gene_name,BJ_sgNT_Ras,BJ_sg69_Ras,BJ_sg71_Ras,BJ_sg_FOXF1_Ras
HCLS1,43,36,54,24
MTURN,149,186,145,81
ZNF609,1347,676,700,718
PAK2,2195,1170,1421,1052
CCDC66,62,22,33,28
DEFB124,0,0,0,0
MCFD2,13412,10652,12102,9912
OR10AA1P,0,0,0,0
LINC00304,1,2,0,0
HARBI1,108,72,91,48
DEFB123,0,0,0,0
C11orf71,54,38,35,34
CYP8B1,0,0,0,0
OR6K6,0,0,0,0
OR6K4P,0,0,0,0
TPRXL,1,0,0,0
SERTM1,0,0,0,0
GAS1,159,105,173,111
ARHGAP45,4,5,4,1
OR10Q1,0,0,0,0
ZNF571,26,11,7,8
GLIPR1L2,1,5,1,2
DEFB119,0,0,0,0
MIGA1,207,112,89,45
KCNE1,0,0,1,0
DIP2C-AS1,0,0,0,0
NRIP1,98,93,70,90
ZSCAN4,3,2,0,0
BHLHA15,0,1,0,0
RNF182,932,402,355,333
C9orf139,2,2,0,0
TSPYL5,0,0,0,0
FUT7,0,0,0,0
H2AC6,908,795,969,579
EIF2S3B,0,0,0,0
SKIDA1,4,4,4,4
H2BC4,123,52,61,45
MB21D2,287,269,349,246
GSX2,0,0,0,0
SSTR2,4,2,3,2
ZNF594,35,15,8,5
PCGF5,106,60,72,60
SLC47A2,0,0,0,0
PRF1,0,0,0,0
OR2A4,0,0,0,0
MAB21L1,265,203,144,163
VN1R3,0,0,0,0
YOD1,94,35,28,43
EXOC5P1,0,0,0,0
TMEM64,164,85,81,92
C3orf22,0,0,0,0
OR10K2,0,0,0,0
LINC02363,0,0,0,1
OR5AZ1P,0,0,0,0
CHRM4,2,2,0,0
OR51A9P,0,0,0,0
SHISA2,0,0,0,0
S1PR5,100,76,85,92
CLRN3,0,0,0,0
SMG1P3,189,60,26,15
GPR157,328,119,100,349
PIPSL,4,0,0,0
CHST13,0,0,0,0
WDFY3-AS2,10,15,6,20
OR7E129P,0,0,0,0
AGTR2,0,0,0,0
SLC36A4,105,85,113,67
ZDHHC20,696,576,487,477
ANKRD30B,4,1,1,1
OR51E1,0,0,0,0
ZFP3,15,8,6,12
ARSJ,1475,1092,1381,766
HOXC9,51,51,69,61
MAP3K15,1,1,1,0
PPA1,1514,1209,1361,1045
HOXC10,12,2,5,10
PSMG4,315,301,328,306
BHLHE22,0,0,0,0
MAP6D1,143,101,87,95
CSNK1G2-AS1,0,0,0,0
ZNF443,11,3,6,11
LINC01559,0,0,0,0
LINC01555,0,0,0,0
CXCR2,1,0,0,1
DEFB112,0,0,0,0
GREM2,34,5,10,6
C11orf42,0,0,0,0
SSR4,3450,2576,2863,3603
CAPS2,10,14,14,7
ZNF792,305,182,188,181
CUEDC1,1169,860,993,1075
SCRIB,0,0,0,0
KCTD2,1733,1389,1407,1523
D2HGDH,534,351,226,365
OR52B1P,0,0,0,0
TTTY11,0,0,0,0
OR56B3P,0,0,0,0
OXTR,1836,1743,1424,1533
CMTR2,68,14,3,2
OR56B4,0,0,0,0
OR7E18P,0,0,0,0
GPR62,0,0,0,0
OR56A1,0,0,0,0
ZNF572,4,3,3,2
ST20,42,60,35,51
PITPNB,831,487,654,551
TCEAL8,690,642,906,629
OR52E4,0,0,0,0
LRRC57,361,241,179,219
OR52N2,0,1,0,0
MRPL14,1111,1022,1182,1090
GPR137C,8,2,3,3
C1orf105,0,1,0,1
OR52N1,0,0,0,0
BBS12,30,22,24,20
ZFP82,50,37,55,31
OR52N5,0,0,0,0
LSMEM1,6,3,5,2
NQO1,10979,14353,19102,14143
OR56B1,0,0,0,0
AEN,3061,2813,2867,3040
FKRP,958,531,627,629
TRAPPC5,1400,1416,1879,1457
RPH3AL,0,2,0,0
SLC25A42,579,366,336,441
FCRL6,0,0,0,0
METTL23,565,579,646,502
SLC26A11,625,299,252,302
HIGD1A,994,834,1212,863
CHRM2,14,17,4,2
OR52N4,0,0,0,0
MAPK15,0,0,0,0
EHMT1,1633,707,847,909
ADIPOQ,0,0,0,0
F2R,3776,2305,2497,1878
OR52P1P,0,0,0,0
LOC107985579,0,0,0,0
HLA-V,1,2,0,1
MUC16,2,0,0,0
NPM1,9181,7671,9505,8087
FER1L6-AS1,0,0,0,0
PJA1,380,335,470,330
DHTKD1,334,331,348,371
PENK,1,0,0,2
HECW1-IT1,0,0,0,0
OR8G2P,0,0,0,0
C4orf50,0,0,0,0
H2AW,281,230,178,172
ZNF746,457,330,299,315
POLR2A,4262,794,487,1370
TMEM132C,1,0,0,0
SLC25A41,1,2,2,2
MTHFD2P7,0,0,0,0
TLCD5,199,189,240,212
OR5AK2,0,0,0,0
FRAT2,99,71,70,91
OR5AK3P,0,0,0,0
TMEM102,62,64,66,51
TMEM132E,0,0,0,0
ZNF322,128,171,119,82
NME9,1,0,0,0
SPEM1,0,0,0,0
OR9G3P,0,0,0,0
HEPHL1,6,1,8,3
LRRC75A,6,8,3,7
CTAGE10P,0,0,0,0
HSP90AA6P,0,0,1,0
OR5M8,0,0,0,0
CCL13,0,0,0,0
CFAP65,0,1,0,1
DDX60L,83,76,38,37
SYNE4,1,2,1,0
OGFOD3,1253,814,827,1096
WASHC1,232,174,175,196
UTS2R,0,0,0,0
AATK,5,4,2,2
DDN,12,6,6,9
SAGE1,0,0,0,0
ZNF467,0,1,2,4
SOX2,0,0,0,0
ZNF678,11,8,7,12
TMEM45A,250,222,355,247
RAP2B,659,410,374,512
ZBTB2,292,148,171,110
RNF135,219,172,206,191
OR6T1,0,0,0,0
ACBD4,145,106,126,111
LOC643067,0,0,0,0
OR8D4,0,0,0,0
SGSH,1967,1053,893,1125
RPL24P4,3,1,1,1
MAB21L2,0,0,0,0
FANCB,18,17,30,10
EDDM3B,0,0,0,0
SETD2,412,161,97,127
EDDM3A,0,0,0,0
C6orf223,0,0,0,0
TMIE,1,0,2,6
MEX3D,207,83,101,187
OR52D1,0,0,0,0
MRPS23,1565,1499,1853,1434
OR52H1,0,0,0,0
FDCSP,0,0,0,0
GPR135,28,11,11,9
SLX1B,11,0,2,95
ANKRD62,0,0,0,3
P2RY13,0,0,0,0
TNFSF15,175,79,134,77
ZFP41,332,136,99,148
ATG9B,2,0,0,3
GPR88,0,0,0,0
ZNF875,465,245,286,278
PLAG1,64,19,39,18
OR8H1,0,0,0,0
OR5T1,0,0,0,0
YIPF6,491,406,466,326
ZBTB20,153,35,45,26
OR2Z1,0,0,0,0
DIPK2A,67,29,59,35
MACIR,476,830,571,911
OR8K5,0,0,0,0
AMIGO1,457,329,259,345
OR8H3,0,0,0,0
OR8H2,0,0,0,0
GPR3,169,137,141,187
TMEM252,0,0,0,0
OR5J1P,0,0,0,0
ODF3L2,2,0,7,2
OR5AS1,0,0,0,0
ACTL9,0,0,0,0
SIAH2,324,251,320,302
COPG1,5794,4861,5440,5394
ADGRB1,0,0,0,0
LINC00471,1,4,8,2
CELF2-AS1,0,0,0,0
OR6S1,0,0,0,0
SLC9A9,16,15,30,14
LSM10,1052,1069,1263,1112
RELL1,24,12,11,8
RFX7,238,59,52,69
SLC35C1,928,653,557,808
OR5D17P,0,0,0,0
TIGIT,0,0,0,0
RNF41,1687,1616,1678,1659
SLC2A4,2,2,4,2
FTMT,0,0,0,0
IBA57,109,75,76,113
CLDN7,10,15,8,4
ZNF329,230,145,145,140
ZNF101,127,84,90,84
OR4C6,0,0,0,0
C5orf24,680,470,499,394
LINC02724,0,0,0,0
ADO,524,427,496,365
COA4,1519,1523,1806,1374
OR4P4,0,0,0,0
PRKAG1,1620,1668,2054,1445
GINS3,88,66,113,123
OR4C15,0,0,0,0
OR4A21P,0,0,0,0
OR4A13P,0,0,0,0
OR4A15,0,0,0,0
OR4A16,0,0,0,0
OR52K2,0,0,0,0
NEUROG1,0,0,0,0
CCDC149,333,265,328,222
GOLGA8CP,0,0,0,0
MRPS11,976,1052,1260,1078
LINC00301,0,0,0,0
SNRPE,646,753,834,705
RTKN2,15,36,31,40
PNMA8A,0,1,0,0
LOC100996643,0,0,0,2
CHST15,490,397,606,329
ADIG,0,0,0,0
USH1G,0,0,0,0
TRPC2,1,0,0,0
TRIM49B,0,0,0,0
IDH2,422,767,1238,1357
OR52A1,0,0,0,0
OR6B2,0,0,0,0
TMEM259,1766,1026,963,1369
GET1,457,399,518,356
TNRC18,1233,341,232,786
FAM181B,0,0,0,0
TMEM30B,0,0,0,0
DEXI,900,738,762,845
ZNF716,0,0,1,3
NOP10,2655,2855,3311,2959
FAM89A,143,110,157,132
KCNIP1,0,0,0,0
TDRKH,199,121,184,87
ZNF708,41,34,15,12
IST1,2352,1737,1914,1801
ERCC6L2,130,53,31,39
MRPL41,1044,1067,1249,1090
ENPP7,0,0,0,0
CREB3L2,2612,1002,1149,1075
P2RY8,0,0,0,0
UNC5C,0,0,0,0
MRGPRG,0,0,0,0
TSEN54,334,305,355,405
RGMA,10,0,2,1
ASB18,0,1,2,1
UBA7,140,125,257,302
MRPS16,1722,1738,1982,1870
SHISAL2A,0,1,0,3
RAD51B,89,75,108,65
CRYGB,0,0,0,0
LDOC1,2,6,0,3
ARL6IP4,2017,2262,2962,2194
EXT1,4446,3622,4103,4301
SHMT2,2873,2969,3751,3557
MOB2,406,337,401,383
HHIPL1,0,0,0,1
ATP6AP2,1939,580,837,798
ZAR1,0,0,0,0
CYB5D1,461,316,368,275
FAM153B,0,0,0,0
BACE2,179,188,169,253
UBE2E2,423,325,473,429
SYNM,270,56,67,36
KCNA4,0,0,0,0
GABRG3,3,2,1,2
FIGN,36,36,16,28
IZUMO1,0,1,0,0
TMIGD1,0,0,0,0
B4GALNT4,198,98,72,227
AP1S2,176,150,126,132
C8orf33,1388,1266,1355,1388
DCAF4L1,1,0,0,0
SPACA6,52,47,54,57
MBD3L3,0,0,0,0
ZSCAN22,75,43,30,47
KCNJ14,16,7,2,6
FBXL6,193,126,113,174
C1S,205,124,149,113
GLTPD2,0,0,0,0
KIAA2012,7,9,10,6
LIPF,1,0,1,1
OR5P3,0,0,0,0
DAOA,0,0,0,0
ZNF804B,0,0,0,0
C17orf77,1,0,0,0
KBTBD3,42,22,44,53
YBEY,178,176,223,190
OR5F2P,0,0,0,0
FAM87A,0,0,0,0
CLN8,240,128,190,132
LOC339059,1,0,0,0
PLCXD1,520,185,191,237
NXPH4,63,28,36,109
RPL27AP5,0,1,0,1
CACNB4,3,1,1,4
IFNL1,0,0,0,0
DNM1P46,19,3,5,4
TRAPPC6B,172,125,98,179
PGBD4,73,43,34,44
CDY2A,0,0,0,0
NPLOC4,5297,4362,5440,5423
OTOL1,0,0,0,0
KCNK4,0,0,2,0
TEX19,1,1,0,0
TSHZ2,0,0,0,0
CAPN12,2,0,2,1
EXOC7,7928,7073,7236,7551
OR2B8P,0,0,0,0
KPNA2,4074,3374,5255,2958
WASH6P,448,247,422,351
NCF1B,0,0,0,0
XKRX,59,21,16,13
BGN,996,364,300,666
CEP97,100,56,59,23
LHFPL1,0,0,0,0
FES,4,2,1,4
GLRX5,712,745,962,719
FAM104B,117,127,201,137
TBPL2,3,5,1,3
CAV3,0,0,0,2
MXRA7,9327,9252,9970,9031
LIMK2,716,486,406,353
MFSD5,891,851,870,797
RNASE10,17,5,8,14
ADI1,2202,2775,2935,2902
RWDD4,294,253,267,242
SPNS3,0,0,0,1
CLEC4G,0,0,0,0
SATB1,171,80,117,104
CSGALNACT2P1,0,0,0,0
NXPH3,0,2,1,0
CSF1R,6,6,13,12
EPHB3,34,32,32,76
VCX,0,0,0,0
ACTL10,13,16,16,28
EPGN,1,0,2,1
LINC00334,0,0,0,0
KRTAP11-1,0,0,0,0
SNORC,21,1,6,2
HS3ST4,0,0,0,0
TRAK1,1937,1006,1067,769
TSPAN10,569,475,358,668
OR2V2,0,0,0,0
PLCB1,76,109,66,27
SKA2,413,368,479,373
CCNYL2,0,0,0,0
OR10G7,0,0,0,0
NDN,1406,1600,1748,1702
CCDC172,0,0,0,0
LINC01006,73,43,72,91
OR4Q3,0,0,0,0
NTM,1512,983,1082,1187
TTC3,1864,1208,830,698
KCNB2,0,0,0,0
PPP1R27,0,0,1,1
BRICD5,35,10,19,20
GALR2,3,1,0,2
RESP18,1,0,0,0
IGIP,59,26,14,14
TSKU,443,308,371,476
CMC4,133,140,155,135
ANXA2,86653,92934,111738,85280
RGS6,0,0,0,1
HOXB4,0,0,0,0
SLC35D3,0,0,0,0
PAQR7,646,455,445,507
PAPPA,1811,893,617,994
MAFA,0,0,0,0
NGRN,3986,4337,4958,3993
GRID1,0,0,0,4
RPS17,19,0,0,0
LOC401589,0,0,0,0
HCAR2,0,0,0,0
OR2T29,0,0,0,0
CCDC87,17,14,14,16
GSTA5,0,0,0,0
C1orf116,13,37,42,42
TMEM198B,182,70,97,116
MAGEB17,0,0,0,0
CRIP2,46,46,68,73
DDX28,245,238,259,274
KRTAP13-2,0,0,0,0
FAM230E,0,0,0,0
ACBD3,662,323,354,280
C16orf72,1340,666,708,603
PLCXD3,2,1,2,5
RRP7BP,136,87,124,118
VMO1,5,1,4,2
OR4F15,0,0,0,0
ALG12,528,415,505,368
LCK,0,1,0,0
GALNT9,0,1,1,1
COL18A1,7303,2246,1961,2998
RBM10,1213,1067,1376,1263
PRKCZ-AS1,24,9,8,22
ADGRG3,0,0,0,0
RPS27AP20,1,2,1,0
GLUD2,0,1,0,0
TMEM95,0,0,0,0
TCHHL1,0,0,0,0
RPL35A,6615,9139,10993,7316
RGS7,1,4,4,5
SLC25A18,0,0,2,0
ZNF721,53,28,18,28
TCEAL7,211,261,297,239
C11orf54,125,49,89,84
CEP63,112,109,105,89
WFDC10B,0,0,0,0
SRPRA,6198,4460,5000,4656
OTOP3,0,0,0,0
EWSR1,3835,3133,3774,3220
ODF3L1,6,9,4,2
HMGN4,781,651,959,612
SPATA13,960,430,418,280
GJC1,1885,873,1004,964
SOX1,0,0,0,0
CNOT10,254,225,377,214
MTA1,1277,804,821,1005
ZNF662,0,1,0,1
CADM1,67,31,34,43
ZNF320,241,96,167,103
C12orf60,15,19,33,31
PYCR1,2916,3131,3946,3682
NAA38,839,1085,1311,1088
SPNS2,0,0,0,0
MCEMP1,0,0,0,0
AP2A2,1434,1168,1235,1025
SLC8A1,69,37,52,58
OR1G1,0,0,0,0
SLC25A21,20,15,39,12
OTOP2,0,0,0,0
CYLC1,0,0,0,0
PCP4,0,0,0,0
ABAT,37,50,48,45
SLC25A10,660,554,536,549
CAMK1D,66,62,38,37
RGPD6,360,132,0,78
LYSMD4,65,40,51,55
WBP2NL,0,0,0,0
IGSF5,1,3,0,0
NKX2-5,0,0,0,0
AFMID,606,450,488,492
GAS6,7435,4497,3827,5516
FREM3,3,6,1,2
NEB,2,0,0,0
BEGAIN,0,1,0,0
GPC6,0,0,1,0
ARHGEF37,41,35,46,27
FAM43B,1,5,6,9
CSMD1,0,0,0,0
CALHM3,0,4,0,0
PTGDR2,4,1,2,2
CEP57L1,74,61,87,65
RIPPLY3,1,4,4,3
PRORY,0,0,0,0
ANKRD20A2P,0,0,0,0
GPR19,2,2,10,10
GJD3,1,0,0,0
LOC102723701,2,0,0,0
RABIF,438,365,375,319
TMEM119,426,767,1170,1608
FANCF,150,169,186,187
CALN1,0,0,0,0
LOC643015,1,0,0,0
GABRR3,0,0,0,0
C2CD4C,0,1,1,3
CHST6,7,7,4,2
HSP90AB3P,1,0,0,1
POTEC,7,1,1,0
RUVBL2,2793,2775,3521,2846
GDPGP1,57,23,41,25
MICA,2,1,0,3
CTNNA3,0,0,0,0
WT1-AS,0,0,0,0
RIMBP3C,12,0,0,3
PRR36,1,1,0,0
LINC01547,16,8,28,26
OR51B4,0,0,0,0
PTTG1IP,6972,6597,7306,6652
DDX41,1258,1236,1453,1296
ABHD16B,0,0,0,0
OR52E8,0,0,0,0
CCDC60,0,0,0,0
PLGLB1,1,4,3,0
DAZAP2,1172,927,984,831
CCBE1,1683,878,1194,505
SELENOF,2380,2458,2916,2201
PRSS40A,4,2,1,0
RPSAP19,5,1,0,4
FAM9A,0,0,0,0
MAGEA2B,0,0,0,4
TMEM121B,5,3,1,3
ZNF623,36,79,77,68
OR2T34,0,0,0,0
TUBB,0,0,11,0
OR52L1,0,0,0,0
EPHA10,7,5,3,3
SPDYE4,0,0,0,0
CCDC125,100,29,26,28
REC114,0,0,0,0
BOLA2,152,113,94,77
BCOR,472,198,174,197
JRKL,81,46,43,44
CABCOCO1,1,2,25,13
GBP6,0,2,2,3
KIAA2026,107,67,27,43
OVCH2,2,1,0,0
SYNDIG1L,0,0,0,0
FHL3,69,33,78,87
OR56A4,0,0,0,0
PMCH,0,0,0,0
TMEM89,0,0,0,0
C19orf71,0,0,0,0
CCDC159,137,101,116,88
RIPK4,0,0,0,1
LRIT3,1,0,0,0
NPIPA1,128,26,35,50
SF3A3,1330,1129,2037,1026
TFDP3,0,0,0,0
TRIM61,5,12,11,3
OR7E38P,417,474,510,414
GRIN2A,0,0,0,1
PKD1P3,57,0,0,48
URAD,0,0,0,0
FLJ40288,0,0,0,0
GTF2H2C,113,112,158,118
ASB7,197,132,121,74
SH2D7,0,0,0,0
TREX2,2,0,9,12
GPR132,2,0,0,2
MX2,18,7,18,9
EP400,1538,414,296,479
MEX3B,10,25,16,13
PI4KAP2,225,180,186,165
TENT5C,70,21,22,9
COA5,156,181,220,160
UTP11,410,354,414,249
PSMG1,555,540,767,441
PRR14L,394,135,89,65
COL18A1-AS1,0,0,0,0
KLRC4,0,0,0,0
ACSM5,0,5,3,3
C10orf120,0,0,0,0
IZUMO1R,1,0,1,2
BPIFA4P,0,0,0,0
SERHL2,69,77,104,89
PCBP3,1,1,4,0
PGPEP1L,0,0,0,0
SETD3,943,673,856,567
TNFAIP8L3,2,2,5,9
ZNRF3,145,101,114,143
FBXL7,572,349,432,435
TANGO2,894,684,731,679
H3C13,0,0,0,0
SMG1P5,172,169,180,156
SFXN4,290,264,335,235
GKN2,0,0,0,0
FAM167B,11,17,10,15
MRPL54,231,251,339,250
ZNF438,47,39,71,45
HMCES,836,857,820,787
CCR3,0,0,1,0
DGCR6,42,37,59,51
GOLGA8G,0,0,0,0
PRR32,0,0,0,0
TP53TG3,0,0,0,0
RP1L1,0,0,0,0
KRTAP8-1,0,0,0,0
C15orf32,0,0,0,0
HOATZ,0,1,0,0
ZNF530,54,51,74,52
NDUFB1,895,955,1062,836
MARCHF11,0,0,0,0
KLHL25,156,106,107,140
TAFA1,1,0,0,0
TRMT12,248,222,225,173
GUSBP1,44,51,45,37
PSG9,84,25,35,10
BMP8A,0,1,0,0
ALYREF,1457,1439,1631,1634
RFLNB,1623,1130,1372,765
EFHC2,0,0,0,0
NOG,11,10,4,14
MRGPRX2,0,0,0,0
UPP1,912,657,860,718
SLC9B1P1,0,0,0,0
OR4N4,0,0,0,0
IFNL2,0,0,0,0
OPCML,1,3,0,0
TRIM52,61,10,22,43
LHFPL6,908,556,606,318
CMTM4,872,597,637,373
TMEM50A,1545,1618,1911,1251
FIGLA,0,0,0,0
ASCL2,0,0,0,0
TBK1,211,123,118,120
CBX6,3534,1950,1457,2409
MACC1,9,4,6,4
ACSM2A,3,0,0,0
TBL3,1155,937,1070,1111
BPY2,0,0,0,0
ACP7,41,15,17,27
KREMEN1,270,200,422,295
TRAIP,70,54,90,88
CHEK2,122,145,227,170
FOXL2,0,0,0,1
AIFM3,0,0,1,1
KCTD16,4,1,8,1
B3GALT5,156,29,49,59
ZNF703,763,376,218,487
SLC35F3,4,3,3,1
KCTD8,0,0,0,0
DOCK8-AS1,7,2,2,2
TUBA8,7,0,0,0
NPIPA5,0,0,0,0
EMILIN3,0,0,0,1
OLFML1,0,0,0,0
FAM162B,115,151,221,175
RBM12B,136,89,125,62
CCR4,0,0,2,0
LIN9,20,22,26,11
NCF4-AS1,0,0,0,0
BTBD9,738,277,480,293
NUDT14,182,161,137,138
ANKRD45,6,5,7,7
CFAP91,1,10,1,2
PNMA3,0,0,0,0
GPR39,149,146,178,145
FAM3B,0,0,0,0
ZNF730,4,1,3,2
KIRREL1,5252,3402,4779,3882
IQGAP3,314,224,340,344
CNGA2,0,0,0,0
TOB2,1364,1106,978,1373
SCN5A,0,0,0,13
ARSI,29,59,77,237
UTY,98,54,72,42
SRARP,1,0,1,0
TTC32,10,5,3,5
LRRC55,0,0,0,0
DNAH2,1,1,2,0
SH2D1A,1,9,4,9
SDR42E2,0,0,0,1
HTR7P1,132,153,134,152
TRBV21OR9-2,0,0,0,0
PRKX,336,216,228,287
KMT5A,1111,736,676,791
KCNH8,0,0,0,0
SMTN,5273,3315,3558,3696
NPW,2,3,2,2
PP2D1,0,0,0,0
COA3,1345,1474,1629,1257
NPB,4,5,18,9
ST6GALNAC3,4,3,4,0
PTP4A2,3778,3372,4757,2875
ACTG1,102506,98580,121842,122014
TMPRSS2,2,1,1,5
DENND5A,2360,1783,2602,1870
OR2T10,0,0,0,0
DSCR4,0,0,0,0
KRTAP20-2,0,0,0,0
CTAG1B,0,0,0,0
DIABLO,997,1197,1447,1064
VPS33B,433,338,368,336
TBX1,1,2,1,0
ADAP2,16,13,25,13
SREBF2-AS1,3,2,2,2
UQCR10,1738,1758,1836,1617
FAM120C,211,136,160,206
BRD7P2,0,0,0,0
TREML3P,0,0,1,0
TRIML1,0,0,0,0
EIF3C,12542,11110,12543,10096
RPL11P4,0,0,0,0
CLDN5,2,4,5,13
LOC100288570,0,0,3,3
NIPSNAP1,2378,2562,2989,2538
RPL7AP28,0,0,0,0
OR4F6,0,0,0,0
CNTN2,0,0,0,0
SPRR4,1,0,0,0
LRTOMT,59,67,74,86
OR10J5,0,0,0,0
KCNQ3,3,3,1,1
ADRA2C,1,2,3,4
NR2C2AP,108,85,120,142
C1QTNF12,4,5,2,3
CRELD2,1271,904,972,1239
OR1D2,0,0,0,0
SCFD2,1243,1102,1272,1075
UBE2F,831,690,840,681
KCNJ12,0,0,1,0
GPR173,46,57,56,71
PPP1R2,483,294,514,323
TSPYL2,927,608,512,482
GOLGA6L4,13,8,0,1
PGP,805,787,831,782
C22orf46,200,102,104,103
SNRNP35,198,136,151,145
DGAT2L6,0,0,0,0
IRAK1,5139,4058,4128,4748
CMSS1,134,146,188,157
OLIG1,0,0,0,0
C11orf72,62,58,79,54
PCDH9,277,91,70,62
ACOT1,123,148,167,211
OAF,1566,1636,1629,2879
ALDH1A3,16,24,23,8
H2AC20,7,11,29,17
KCNK12,0,0,0,0
H2AC21,1,2,1,2
POU6F1,74,70,34,50
DEFB108B,0,0,0,0
TM2D3,559,421,396,291
TSSC4,943,748,863,987
TACSTD2,1,1,0,2
CLECL1,0,0,0,0
SIX6,0,0,0,0
PRKD1,60,61,62,71
CCSER1,0,0,1,0
ZDHHC23,53,31,20,30
MROH7,0,0,0,0
OR51J1,0,0,0,0
S100A7A,0,0,0,0
SRPK3,6,2,4,1
GDF3,0,0,0,0
IQCF2,0,0,0,0
SLIT3,76,69,52,93
EFNA5,0,0,4,0
MRGPRE,0,0,0,0
KRTAP19-1,0,0,0,0
H1-5,1,2,4,0
SPATA32,0,0,0,0
PKP3,44,35,16,29
MAP7D2,0,5,8,3
CSF1,364,244,307,412
COLEC10,82,21,31,13
ACTRT3,56,39,44,23
PLA2G6,73,34,30,59
MAML2,322,102,93,114
UMODL1-AS1,0,0,0,0
PABPC1L2B,0,0,0,0
A3GALT2,1,0,0,0
OR4N5,0,0,0,0
SS18L1,118,51,40,62
KCND2,0,0,0,0
TOP1MT,241,182,229,187
COPB2,3383,2436,3657,2131
LRRC19,0,0,0,0
THAP7,470,451,672,604
KNTC1,88,70,60,50
CCR10,26,18,41,58
NCMAP,0,0,0,0
BPIFC,0,0,0,0
WDR27,133,98,74,57
TXNRD2,831,637,718,680
C1QTNF8,0,0,0,0
OR56A3,0,0,0,0
FOXO4,215,128,166,146
POU3F2,2,0,1,0
PTP4A3,0,7,0,0
FOXD4L1,11,2,6,0
TMEM255B,28,10,15,10
PROS1,114,44,29,39
GAST,1,0,0,0
NUTM1,0,0,0,0
HDDC3,189,187,186,172
BEX5,0,0,0,0
ZFP1,41,51,66,33
CEND1,131,83,107,142
C6orf58,2,1,1,0
DHRS7C,0,0,0,0
DUSP8,4,1,3,5
SOCS3,1560,987,1054,918
SPEM2,0,0,0,0
SLITRK6,36,7,5,6
PIWIL3,0,0,0,1
LPAR5,0,0,1,0
XPOT,903,394,670,529
STING1,1837,935,1014,712
PDE4B,326,246,509,196
TAFA3,81,52,134,60
C14orf180,0,0,0,0
SNN,144,117,130,180
FAM167A-AS1,1,0,0,0
KCNH7,0,0,0,0
NELL2,0,0,0,0
KRBA2,27,3,15,31
MED12,544,279,265,388
ZNF93,26,32,30,31
SEPTIN9,14244,12068,13339,13111
PRSS55,0,0,0,0
ODF4,0,0,0,0
FOXD4L4,1,0,0,0
CDCA2,104,108,166,139
OR7E14P,0,0,0,0
RALYL,0,0,0,0
AMER1,107,90,99,96
ZBTB40,609,322,339,292
H2BC21,1245,672,573,529
CLDN6,3,1,0,0
OR51M1,0,0,0,0
SEPTIN5,637,463,391,570
EIF4ENIF1,506,267,310,334
LRRC26,0,1,0,0
SERINC4,1,2,0,0
RNLS,67,66,64,51
KRTAP6-1,0,0,0,0
APOBR,2,0,1,0
FAM110C,0,0,0,0
DDX53,0,0,0,0
ATL3,987,725,1179,621
NDUFA12,501,631,738,505
MGAT4EP,0,1,0,0
SMIM10,166,146,153,142
UBE2G2,1954,1421,1537,1113
SATL1,0,0,0,0
OR4C10P,0,0,0,0
OSBP2,78,75,80,114
TRARG1,0,0,0,0
PRR23B,0,0,0,0
ZBTB7C,0,0,0,0
APOO,175,161,205,153
PRR16,254,288,291,329
TMED9,8256,7785,8630,10657
DRD1,0,0,0,0
LINC00308,0,0,0,0
TMEM186,214,146,146,135
SDR42E1,3,3,12,1
RBM33,500,175,141,162
ARMCX2,1836,1317,1495,1189
BTBD6,1043,1051,1159,1050
SRY,0,0,0,0
H1-10,500,390,513,491
RBM43,40,11,33,21
SUMO3,2165,2275,2675,2287
IMMP2L,67,93,102,120
TCEAL2,0,0,0,0
LOC101929583,0,0,0,0
CLCNKB,0,0,0,0
DMRTC1B,0,0,0,0
JAG2,9,5,10,13
FMNL1,15,28,16,37
NUTM2A,51,20,33,19
PTRHD1,305,424,495,354
LCN12,2,1,0,0
OR6A2,0,0,0,0
WT1,0,0,0,0
ZFP90,335,201,290,212
AQP12A,0,0,0,0
FAM227A,48,11,6,6
OR6C70,0,0,0,0
NOC4L,441,368,366,315
USP18,132,106,195,131
NDUFA6,0,0,0,0
CHRM5,0,0,0,0
SORCS2,16,27,50,54
TMEM121,65,86,78,83
TMEM106A,744,503,430,465
SIVA1,971,1003,1311,1221
TTTY13,0,0,0,0
BRI3BP,545,257,243,255
IFNE,2,2,2,2
SLC22A10,1,0,0,0
DGAT1,517,425,434,518
RFX6,0,0,0,0
ROBO2,7,21,7,12
AP3M1,1032,537,663,325
F8,38,51,57,41
NT5C1B,0,0,0,0
CA13,0,3,4,4
UBOX5,220,174,252,203
MAFF,1221,937,1631,1134
BRF1,724,475,430,575
LRRC14B,0,0,0,0
SEMA4B,836,465,818,860
ZNF733P,0,0,0,0
MROH2A,0,0,0,0
SPDYE1,0,0,0,0
CIB1,1266,1457,1902,1814
ANKS1B,6,13,15,3
NELFA,467,341,345,363
SLC24A3,3,1,1,0
SGCZ,0,0,0,0
EFCAB10,0,0,0,0
C5orf47,0,0,0,0
KRT76,0,0,0,0
FLRT2,208,102,79,87
RPL9P14,0,0,0,0
INTS5,684,519,469,592
RPS27L,2457,3029,3476,2686
MANEAL,243,190,159,288
ADSS1,37,20,30,12
ANO9,0,0,0,0
FAF1,800,621,799,613
MYADML2,0,0,0,0
FAM43A,197,172,308,263
NSMCE3,3,0,0,2
