gene_name,HepG2_RNA_KO_ADRplus_rep1_TP53,HepG2_RNA_KO_ADRplus_rep2_TP53,HepG2_RNA_WT_ADRminus_rep1,HepG2_RNA_WT_ADRminus_rep2,HepG2_RNA_WT_ADRplus_rep1,HepG2_RNA_WT_ADRplus_rep2
SNORD113-6,0,0,0,0,0,0
RNU6-745P,0,0,0,0,0,0
RNU6-839P,0,0,0,0,0,0
RNU6-697P,0,0,0,0,0,0
RNU6-179P,0,0,0,0,0,0
RNU6-626P,0,0,0,0,0,0
RNA5SP382,0,0,0,0,0,0
RNA5SP197,0,0,0,0,0,0
RNU1-23P,0,0,0,0,0,0
RNA5SP133,0,0,0,0,0,0
RNA5SP263,0,0,0,0,0,0
RNU6-254P,0,0,0,0,0,0
RNA5SP214,0,0,0,0,0,0
RNU6-1147P,0,0,0,0,0,0
RNU6-529P,0,0,0,0,0,0
RNU6-536P,0,0,0,0,0,0
RNU6-97P,0,0,0,0,0,0
SNORD35A,0,0,0,0,0,0
RNU6-66P,0,0,0,0,0,0
RNU6-838P,0,0,0,0,0,0
RNU4-32P,0,0,0,0,0,0
RNA5SP199,0,0,0,0,0,0
RNA5SP352,0,0,0,0,0,0
SNORD114-10,0,0,0,0,0,0
RNU6-624P,0,0,0,0,0,0
RNA5SP393,0,0,0,0,0,0
RNU6-527P,0,0,0,0,0,0
RNU1-83P,1,0,4,0,1,1
RNA5SP483,0,0,0,0,0,0
RNU6-940P,0,0,0,0,0,0
RNA5SP215,0,0,0,0,0,0
RNA5-8SP7,0,0,0,0,0,0
SNORD3P1,0,0,0,0,0,0
SNORA63,0,0,0,0,0,0
RNA5SP391,0,0,0,0,0,0
RNA5SP62,0,0,0,0,0,0
RNU6-183P,0,0,0,0,0,0
RNU1-49P,0,0,0,0,0,0
RNU1-105P,0,0,0,0,1,1
RNU6-485P,0,0,0,0,0,0
RNU6-1285P,0,0,0,0,0,0
SNORA71D,3,38,89,135,21,30
RNU6-833P,0,0,0,0,0,0
RNU6-792P,0,0,0,0,0,0
RNU6-511P,0,0,0,0,0,0
SNORD113-8,0,0,0,0,0,0
RNU6-666P,0,0,0,0,0,0
RNU5E-8P,0,0,0,0,0,0
RNU5E-10P,0,0,0,0,0,0
RNU5B-4P,0,0,0,0,0,0
RNU6-618P,0,0,0,0,0,0
RNU6-509P,0,0,0,0,0,0
RNU6-698P,0,0,0,0,0,0
SNORA38B,2,3,228,3,117,47
SNORD115-24,0,0,0,0,0,0
RNU6-1099P,0,0,0,0,0,0
SNORD114-23,0,0,0,0,0,0
RNU6-1169P,0,0,0,0,0,0
RNA5SP74,0,0,0,0,0,0
RNA5SP346,0,0,0,0,0,0
SNORD114-26,0,0,0,0,0,0
SNORA63B,0,0,0,0,0,0
RNU6-1155P,0,0,0,0,0,0
RNU4-81P,0,0,0,0,0,0
RNA5-8SP2,0,0,0,0,0,0
RNU6-799P,0,0,0,0,0,0
RNU6-1066P,0,0,0,0,0,0
RNU6-1339P,0,0,0,0,0,0
RNU6-1085P,0,0,0,0,0,0
RNU6-1112P,0,0,0,0,0,0
RNU6-1097P,0,0,0,0,0,0
RNU6-727P,0,0,0,0,0,0
SNORD118,0,0,0,0,0,0
RNA5SP403,0,0,0,0,0,0
RNU6-112P,0,0,0,0,0,0
RNU6-1125P,0,0,0,0,0,0
RN7SKP44,0,0,0,0,0,0
RNA5SP507,0,0,0,0,0,0
SNORD115-41,0,0,0,0,0,0
SNORD114-28,0,0,0,0,0,0
RNU6-1017P,0,0,0,0,0,0
RNU6-1244P,0,0,0,0,0,0
RNA5SP322,0,0,0,0,0,0
RNU6-1205P,0,0,0,0,0,0
SNORD115-5,0,0,0,0,0,0
RNA5SP378,0,0,0,0,0,0
RNU6-1214P,0,0,0,0,0,0
RNU6-957P,0,0,0,0,0,0
RNU6-1209P,0,0,0,0,0,0
RNY4P14,0,0,0,0,0,0
RNA5SP457,0,0,0,0,0,0
RNU6-1331P,0,0,0,0,0,0
SNORD35B,0,0,0,0,0,0
SNORA33,27,17,1622,33,505,1432
RNY4P6,0,0,0,0,0,0
RNU6-137P,0,0,0,0,0,0
RNU6-1020P,0,0,0,0,0,0
RNU6-525P,0,0,0,0,0,0
RNU6-103P,0,0,0,0,0,0
RNA5SP429,0,0,0,0,0,0
RNU6-288P,0,0,0,0,0,0
RNU6-640P,0,0,0,0,0,0
SNORD115-39,0,0,0,0,0,0
RNU5F-7P,0,0,0,0,0,0
RNU6-1284P,0,0,0,0,0,0
RNU6-414P,0,0,0,0,0,0
RNA5SP514,0,0,0,0,0,0
SNORD115-33,0,0,0,0,0,0
RNU6-824P,0,0,0,0,0,0
RNVU1-33,10,1,1,2,5,6
RNA5SP50,0,0,0,0,0,0
SNORD114-11,0,0,0,0,0,0
SNORD114-25,0,0,0,0,0,0
RNA5SP349,0,0,0,0,0,0
RNA5SP447,0,0,0,0,0,0
RNU6-1059P,0,0,0,0,0,0
SNORD18A,0,0,0,0,0,0
RNA5SP325,0,0,0,0,0,0
RNY1P11,0,0,0,0,0,0
SNORD113-7,0,0,0,0,0,0
SNORD114-27,0,0,0,0,0,0
RNU5F-3P,0,0,0,0,0,0
SNORD115-37,0,0,0,0,0,0
RNU6-1210P,0,0,0,0,0,0
RNU6-226P,0,0,0,0,0,0
RNA5SP114,0,0,0,0,0,0
RNU4-92P,0,0,0,0,0,0
SNORA5B,0,0,0,0,0,0
SNORD116-10,0,0,0,0,0,0
RNU6-1188P,0,0,0,0,0,0
RNU6-912P,0,0,0,0,0,0
RN7SKP174,0,2,0,0,0,0
RN7SKP160,0,0,2,1,1,4
SNORD115-4,0,0,0,0,0,0
RNU6-263P,0,0,0,0,0,0
RNU6-379P,0,0,0,0,0,0
RNY3P3,0,0,0,0,0,0
RNA5SP335,0,0,0,0,0,0
RNU6-674P,0,0,0,0,0,0
RNU6-873P,0,0,0,0,0,0
RNA5SP27,0,0,0,0,0,0
RNA5SP28,0,0,0,0,0,0
RNU6-682P,0,0,0,0,0,0
RN7SKP103,2,0,2,0,6,1
RNA5SP260,0,0,0,0,0,0
RNU6-931P,0,0,0,0,0,0
SNORD115-8,0,0,0,0,0,0
RNU6-271P,0,0,0,0,0,0
RNU1-124P,2,2,0,2,1,3
RNU6-194P,0,0,0,0,0,0
RNA5SP472,0,0,0,0,0,0
RNU1-31P,0,0,0,0,0,0
RNA5SP68,0,0,0,0,0,0
RNU6-236P,0,0,0,0,0,0
SNORD115-16,0,0,0,0,0,0
RNU6-884P,0,0,0,0,0,0
RN7SKP113,0,0,0,0,0,0
RNU6-961P,0,0,0,0,0,0
RNU6-478P,0,0,0,0,0,0
RNU6-105P,0,0,0,0,0,0
SNORD8,0,0,0,0,0,0
RNA5SP234,0,0,0,0,0,0
RNU1-65P,0,0,0,0,0,0
SNORA80A,22,4,3,1,1,1
RN7SKP250,0,0,0,0,0,0
RNU4-1,0,1,1,0,0,0
RNU6-753P,0,0,0,0,0,0
RNU6-770P,0,0,0,0,0,0
RNU1-130P,0,0,0,0,0,0
SNORD115-28,0,0,0,0,0,0
RNA5SP275,0,0,0,0,0,0
RNU1-32P,0,0,0,0,0,0
SNORD115-6,0,0,0,0,0,0
RNU6-1091P,0,0,0,0,0,0
RNU6-899P,0,0,0,0,0,0
RNU6-1204P,0,0,0,0,0,0
SNORD114-2,0,0,0,0,0,0
RNU6-324P,0,0,0,0,0,0
RN7SKP134,0,0,0,0,0,0
RNA5SP48,0,0,0,0,0,0
RNU6-82P,0,0,0,0,0,0
RNA5SP499,0,0,0,0,0,0
RNU6-457P,0,0,0,0,0,0
RNU6-810P,0,0,0,0,0,0
RNA5SP456,0,0,0,0,0,0
RNA5SP399,0,0,0,0,0,0
RNU6-340P,0,0,0,0,0,0
RNU6-560P,0,0,0,0,0,0
SNORD14E,0,0,0,0,0,0
RNU6-681P,0,0,0,0,0,0
RNU1-146P,2,0,0,0,0,0
RNU6-598P,0,0,0,0,0,0
RNU4-13P,0,0,0,0,0,0
RNU6-944P,0,0,0,0,0,0
RNU6-1243P,0,0,0,0,0,0
RNU6-627P,0,0,0,0,0,0
RNU1-42P,0,0,0,0,0,0
RNU6-854P,0,0,0,0,0,0
SNORD46,0,0,0,0,0,0
RNA5SP435,0,0,0,0,0,0
RNU6-553P,0,0,0,0,0,0
RNU6-1048P,0,0,0,0,0,0
RNU6-960P,0,0,0,0,0,0
RNU6-1090P,0,0,0,0,0,0
RNU6-694P,0,0,0,0,0,0
RNU6-501P,0,0,0,0,0,0
SNORD115-32,0,0,0,0,0,0
RNU6-801P,0,0,0,0,0,0
SNORA74A,35,31,37,25,28,25
RNU6-289P,0,0,0,0,0,0
RNU4-87P,0,0,0,0,0,0
RNU1-7P,0,0,0,0,0,0
SNORA3A,0,0,0,0,0,0
RNA5SP493,0,0,0,0,0,0
RNU6-819P,0,0,0,0,0,0
SNORD115-30,0,0,0,0,0,0
RNVU1-34,0,0,2,2,1,0
RNA5SP516,0,0,0,0,0,0
RNU6-270P,0,0,0,0,0,0
RNA5SP232,0,0,0,0,0,0
RNU6-374P,0,0,0,0,0,0
RNU6-743P,0,0,0,0,0,0
RNY3P11,0,0,0,0,0,0
SNORD74B,0,0,0,0,0,0
RN7SKP107,0,0,0,0,0,0
RNU6-151P,0,0,0,0,0,0
RNU6-704P,0,0,0,0,0,0
RNU1-96P,0,0,0,0,0,0
RNA5SP469,0,0,0,0,0,0
RNA5SP242,0,0,0,0,0,0
RNU6-268P,0,0,0,0,0,0
RNU6-668P,0,0,0,0,0,0
RNA5SP336,0,0,0,0,0,0
RNU6-461P,0,0,0,0,0,0
RNU4-84P,0,0,0,0,0,0
RNU4-51P,1,1,1,0,0,1
RNU6-188P,0,0,0,0,0,0
RNU6-173P,0,0,0,0,0,0
RNA5SP394,0,0,0,0,0,0
RNU6-266P,0,0,0,0,0,0
RNA5SP387,0,0,0,0,0,0
RNU6-366P,0,0,0,0,0,0
RNY1,0,0,0,0,0,0
RNU6-11P,0,0,0,0,0,0
RNA5SP245,0,0,0,0,0,0
RNU6-647P,0,0,0,0,0,0
RNU1-33P,0,0,0,0,0,1
RNY1P12,0,0,0,0,0,0
SNORA58B,0,0,0,0,0,0
RNU6-777P,0,0,0,0,0,0
RNU6-353P,0,0,0,0,0,0
RN7SKP128,0,0,0,0,0,0
RNU1-151P,0,0,0,0,0,0
SNORD115-42,0,0,0,0,0,0
RNA5SP42,0,0,0,0,0,0
RNU6-371P,0,0,0,0,0,0
RNU1-24P,0,0,0,0,0,0
RN7SKP10,0,0,0,0,0,0
RNU6-454P,0,0,0,0,0,0
RNU4-36P,0,0,0,0,0,0
RNU6-1229P,0,0,0,0,0,0
RNA5SP368,0,0,0,0,0,0
RNU1-132P,0,0,0,0,0,0
RNU6-853P,0,0,0,0,0,0
RNU6-1322P,0,0,0,0,0,0
RNU6-115P,0,0,0,0,0,0
RNU6-670P,0,0,0,0,0,0
RNVU1-3,1,3,0,0,2,1
RNU4-68P,1,0,0,0,0,1
RNA5SP202,0,0,0,0,0,0
RNU4-33P,0,0,0,0,0,0
RNU6-879P,0,0,0,0,0,0
RN7SKP118,0,1,0,0,0,0
RNA5SP139,0,0,0,0,0,0
RNU4-40P,2,0,2,1,0,1
RNU6-1305P,0,0,0,0,0,0
SNORA63D,0,0,0,0,1,0
RNU4-50P,0,0,0,0,0,0
SNORD114-9,0,0,0,0,0,0
RNU6-978P,0,0,0,0,0,0
RNY1P1,0,0,0,0,0,0
RNU6-654P,0,0,0,0,0,0
SNORD114-13,0,0,0,0,0,0
RNU4-10P,0,0,0,0,0,0
RNU6-990P,0,0,0,0,0,0
RNU6-1075P,0,0,0,0,0,0
SNORD114-6,0,0,0,0,0,0
SNORD73B,0,0,0,0,0,0
RNU6-755P,0,0,0,0,0,0
RNU1-112P,0,0,0,0,0,0
RNU6-776P,0,0,0,0,0,0
RNA5SP192,0,0,0,0,0,0
RNA5SP524,0,0,0,0,0,0
RN7SKP171,0,0,0,0,0,0
RNU6-1047P,0,0,0,0,0,0
RN7SKP76,0,0,0,0,0,0
RNU1-34P,0,1,0,0,0,0
RNU6-153P,0,0,0,0,0,0
RNU6-1019P,0,0,0,0,0,0
RNU4-41P,0,0,0,0,0,0
RNU6-1164P,0,0,0,0,0,0
SNORD115-27,0,0,0,0,0,0
RNA5SP130,0,0,0,0,0,0
SNORA65,14,6,989,19,97,537
RNA5SP72,0,0,0,0,0,0
RN7SKP227,0,0,0,0,0,0
RNU4-59P,0,0,0,0,0,0
SNORD114-30,0,0,0,0,0,0
RNA5S9,0,0,0,0,0,0
RNU6-361P,0,0,0,0,0,0
RNA5SP142,0,0,0,0,0,0
SNORD115-22,0,0,0,0,0,0
SNORD115-23,0,0,0,0,0,0
RNU6-421P,0,0,0,0,0,0
RNU4-38P,0,0,0,0,1,0
RNA5SP69,0,0,0,0,0,0
RNU105B,3,2,12,14,12,10
RNA5SP500,0,0,0,0,0,0
RN7SKP193,0,0,0,0,0,0
RNA5SP433,0,0,0,0,0,0
RN7SKP37,1,0,0,0,0,0
RNU6-522P,0,0,0,0,0,0
RNU6-1251P,0,0,0,0,0,0
RNY4P23,0,0,0,0,0,0
RNU4-76P,0,0,0,0,0,0
RNU6-558P,0,0,0,0,0,0
RNU6-1163P,0,0,0,0,0,0
SNORA68B,0,0,10,57,7,40
RNU6-1141P,0,0,0,0,0,0
RNU6-1078P,0,0,0,0,0,0
RNA5SP140,0,0,0,0,0,0
SNORD14B,0,0,0,0,0,0
RNA5SP141,0,0,0,0,0,0
RNA5SP204,0,0,0,0,0,0
RNA5SP512,0,0,0,0,0,0
RNU6-1277P,0,0,0,0,0,0
RNU6-335P,0,0,0,0,0,0
RNU4-24P,0,5,1,1,5,3
RNU6-660P,0,0,0,0,0,0
RNU4-67P,0,0,0,0,0,0
RNA5SP515,0,0,0,0,0,0
RNU6-646P,0,0,0,0,0,0
RNU6-309P,0,0,0,0,0,0
RNU6-1082P,0,0,0,0,0,0
RNA5SP509,0,0,0,0,0,0
SNORA63C,0,0,0,0,0,0
RNU6-1317P,0,0,0,0,0,0
SNORA55,7,4,4,11,5,2
RNA5SP379,0,0,0,0,0,0
RNY4P7,0,0,0,0,0,0
RNA5SP353,0,0,0,0,0,0
SNORD45B,0,0,0,0,0,0
RNU4-75P,0,0,0,0,0,0
RNA5SP78,0,0,0,0,0,0
RNU1-141P,0,0,0,0,0,0
RN7SKP275,0,0,0,0,0,0
RNU6-312P,0,0,0,0,0,0
SNORA71C,5,150,218,304,126,113
RNU6-707P,0,0,0,0,0,0
RNA5SP513,0,0,0,0,0,0
RNU6-645P,0,0,0,0,0,0
RNA5SP205,0,0,0,0,0,0
RNU6-450P,0,0,0,0,0,0
RNA5SP478,0,0,0,0,0,0
RNA5SP194,0,0,0,0,0,0
SNORA16B,0,0,2,0,0,0
RNU4-85P,0,0,0,0,0,0
RNU6-726P,0,0,0,0,0,0
SNORD114-15,0,0,0,0,0,0
RNVU1-6,8,4,25,21,17,10
RNU6-973P,0,0,0,0,0,0
RN7SKP50,0,0,4,1,2,5
RNA5SP510,0,0,0,0,0,0
SNORD114-17,0,0,0,0,0,0
RNU4-56P,0,0,0,0,0,0
RNU1-93P,2,0,0,1,0,2
RNU6-343P,0,0,0,0,0,0
RNU6-593P,0,0,0,0,0,0
RNA5S2,0,0,0,0,0,0
RNU6-99P,0,0,0,0,0,0
RNA5SP517,0,0,0,0,0,0
RNA5SP132,0,0,0,0,0,0
RNU6-219P,0,0,0,0,0,0
RNU6-740P,0,0,0,0,0,0
RNU4-16P,0,0,0,0,1,4
RNU4-42P,0,0,0,0,0,0
RNU4-28P,0,0,0,0,0,0
RNA5SP84,0,0,0,0,0,0
RN7SKP15,0,0,0,0,0,0
RNU6-200P,0,0,0,0,0,0
RNU1-91P,0,2,1,0,3,0
RNA5SP505,0,0,0,0,0,0
RNA5SP51,0,0,0,0,0,0
RNU6-621P,0,0,0,0,0,0
SNORD115-48,0,0,0,0,0,0
RNY4P16,0,0,0,0,0,0
RNU6-1187P,0,0,0,0,0,0
RNU6-865P,0,0,0,0,0,0
SNORA14A,15,15,6,3,10,3
RNU4-91P,0,0,0,0,0,0
RNY4P34,0,0,0,0,0,0
RNU6-7,0,0,0,0,0,0
RNU12-2P,0,0,0,0,0,0
RNU6-60P,0,0,0,0,0,0
RN7SKP6,0,0,0,0,0,0
RNA5SP90,0,0,0,0,0,0
SNORD113-4,0,0,0,0,0,0
SNORD32A,0,0,0,0,0,0
SNORD115-15,0,0,0,0,0,0
RN7SKP239,1,0,3,4,3,2
RNU6-1107P,0,0,0,0,0,0
SNORD114-29,0,0,0,0,0,0
RNY1P2,0,0,0,0,0,0
RNA5SP334,0,0,0,0,0,0
RNVU1-24,0,1,0,0,1,0
SNORD113-3,0,0,0,0,0,0
RNA5SP396,0,0,0,0,0,0
RNU6-818P,0,0,0,0,0,0
RNA5SP359,0,0,0,0,0,0
RNU6-686P,0,0,0,0,0,0
RNU6-1303P,0,0,0,0,0,0
RNA5SP125,0,0,0,0,0,0
RNU6-304P,0,0,0,0,0,0
RNA5SP173,0,0,0,0,0,0
RNA5SP479,0,0,0,0,0,0
RNA5SP160,0,0,0,0,0,0
RNU1-133P,0,0,0,0,0,0
RNU6-563P,0,0,0,0,0,0
RNU6-34P,0,0,0,0,0,0
RNU6-828P,0,0,0,0,0,0
RNU6-534P,0,0,0,0,0,0
RNU6-119P,0,0,0,0,0,0
RN7SKP55,0,0,0,0,0,0
RNU6-336P,0,0,0,0,0,0
RNA5SP267,0,0,0,0,0,0
RNA5SP302,0,0,0,0,0,0
RNU6-384P,0,0,0,0,0,0
SNORA5C,121,48,21,20,20,5
RNU6-1325P,0,0,0,0,0,0
RNU6-275P,0,0,0,0,0,0
RN7SKP226,0,0,0,0,0,0
RNA5SP189,0,0,0,0,0,0
RN7SKP9,17,8,20,15,28,4
RN7SKP130,0,0,0,0,0,0
RNU6-392P,0,0,0,0,0,0
RNU5E-4P,0,0,0,0,0,0
RNU6-1180P,0,0,0,0,0,0
RNA5SP488,0,0,0,0,0,0
RNU6-915P,0,0,0,0,0,0
RNU6-526P,0,0,0,0,0,0
RNY4P17,0,0,0,0,0,0
RNU4-9P,4,1,1,3,7,1
RNA5SP149,0,0,0,0,0,0
SNORD48,0,0,0,0,0,0
RNU6-1131P,0,0,0,0,0,0
RNU6-867P,0,0,0,0,0,0
SNORD115-1,0,0,0,0,0,0
SNORD114-3,0,0,0,0,0,0
RNA5SP166,0,0,0,0,0,0
SNORD31B,0,0,0,0,0,0
RNU6-702P,0,0,0,0,0,0
RNA5SP331,0,0,0,0,0,0
RNA5SP298,0,0,0,0,0,0
RNU6-294P,0,0,0,0,0,0
RNA5SP97,0,0,0,0,0,0
RNU6-967P,0,0,0,0,0,0
RN7SKP153,0,0,0,0,0,0
SNORD114-24,0,0,0,0,0,0
RNY1P13,0,0,0,0,0,0
RN7SKP48,0,2,0,0,0,0
SNORD115-38,0,0,0,0,0,0
RNU6-590P,0,0,0,0,0,0
RNU1-140P,0,0,1,0,0,0
RNU6-1022P,0,0,0,0,0,0
RNA5SP442,0,0,0,0,0,0
RNU1-43P,0,0,0,0,1,0
RNA5SP485,0,0,0,0,0,0
RNA5SP224,0,0,0,0,0,0
RNA5SP363,0,0,0,0,0,0
SNORD115-10,0,0,0,0,0,0
SNORD113-9,0,0,0,0,0,0
RNU6-673P,0,0,0,0,0,0
RNY3P1,0,0,0,0,0,0
RNA5SP126,0,0,0,0,0,0
RNA5-8SP4,0,0,0,0,0,0
RN7SKP22,1,0,0,2,0,0
RNA5SP138,0,0,0,0,0,0
SNORD115-20,0,0,0,0,0,0
SNORD115-35,0,0,0,0,0,0
SNORA23,23,14,12,17,13,11
RNA5SP428,0,0,0,0,0,0
RNU1-36P,0,0,0,0,0,0
RNU6-619P,0,0,0,0,0,0
RNU6-806P,0,0,0,0,0,0
RNU6-934P,0,0,0,0,0,0
RNU6-1240P,0,0,0,0,0,0
RNU6-1134P,0,0,0,0,0,0
RNU6-580P,0,0,0,0,0,0
SNORD38A,0,0,0,0,0,0
RNU6-399P,0,0,0,0,0,0
RNU6-215P,0,0,0,0,0,0
RNA5SP223,0,0,0,0,0,0
RNA5SP324,0,0,0,0,0,0
SNORD114-20,0,0,0,0,0,0
RNU6-391P,0,0,0,0,0,0
RNU6-382P,0,0,0,0,0,0
RNA5SP152,0,0,0,0,0,0
RNA5SP19,0,0,0,0,0,0
RN7SKP80,13,9,18,12,21,9
RNA5SP455,0,0,0,0,0,0
RNA5SP79,0,0,0,0,0,0
RNU4-66P,0,0,0,0,0,0
RNU6-1175P,0,0,0,0,0,0
RNU6-715P,0,0,0,0,0,0
RNU6-1280P,0,0,0,0,0,0
RNU6-1306P,0,0,0,0,0,0
RNA5SP190,0,0,0,0,0,0
RNU6-1172P,0,0,0,0,0,0
RNU4-12P,0,0,0,0,0,0
VTRNA1-2,0,0,0,0,0,0
RNU6-690P,0,0,0,0,0,0
RNU6-302P,0,0,0,0,0,0
RNY4P3,0,0,0,0,0,0
RNU1-100P,2,0,1,1,1,2
SNORD114-18,0,0,0,0,0,0
RNA5SP329,0,0,0,0,0,0
RNU6-407P,0,0,0,0,0,0
RNY4P28,0,0,0,0,0,0
RNU4-11P,0,0,0,0,0,0
RNU6-742P,0,0,0,0,0,0
RNU5E-7P,0,0,0,0,0,0
RNA5SP117,0,0,0,0,0,0
RNU1-114P,0,0,0,0,0,0
RNU6-1327P,0,0,0,0,0,0
RNA5-8SP5,0,0,0,0,0,0
RNA5SP128,0,0,0,0,0,0
RNU6-1283P,0,0,0,0,0,0
RNU6-497P,0,0,0,0,0,0
SNORD115-31,0,0,0,0,0,0
SNORA30B,0,0,0,0,0,0
SNORD113-1,0,0,0,0,0,0
RNA5SP427,0,0,0,0,0,0
RN7SK,78,0,0,0,153,0
RNU1-115P,0,0,0,0,0,0
RNU6-1034P,0,0,0,0,0,0
RNU6-169P,0,0,0,0,0,0
RNA5SP240,0,0,0,0,0,0
RNU6-282P,0,0,0,0,0,0
RNU6-1138P,0,0,0,0,0,0
RNU6-53P,0,0,0,0,0,0
RNU6-396P,0,0,0,0,0,0
RNU6-737P,0,0,0,0,0,0
RN7SKP186,0,0,0,0,0,0
RNU6-1276P,0,0,0,0,0,0
RNU6-728P,0,0,0,0,0,0
SNORD14C,0,0,0,0,0,0
RNU6-1318P,0,0,0,0,0,0
SNORD115-44,0,0,0,0,0,0
RNA5SP22,0,0,0,0,0,0
RNA5SP77,0,0,0,0,0,0
SNORD114-12,0,0,0,0,0,0
RNA5SP235,0,0,0,0,0,0
RNU6-117P,0,0,0,0,0,0
RNA5SP37,0,0,0,0,0,0
SNORD114-22,0,0,0,0,0,0
RNU6-1335P,0,0,0,0,0,0
RNY3P12,0,0,0,0,0,0
RNU6-487P,0,0,0,0,0,0
RNU6-1130P,0,0,0,0,0,0
RNU6-996P,0,0,0,0,0,0
RNU1-64P,0,0,0,0,0,0
SNORD6,0,0,0,0,0,0
RNU1-84P,0,0,0,0,0,0
RNA5SP131,0,0,0,0,0,0
RNA5SP366,0,0,0,0,0,0
RNU6-609P,0,0,0,0,0,0
RNA5SP167,0,0,0,0,0,0
RNA5SP238,0,0,0,0,0,0
RNU6-359P,0,0,0,0,0,0
RNU6-1051P,0,0,0,0,0,0
RNU1-16P,6,1,0,3,6,4
RNU6-326P,0,0,0,0,0,0
RN7SKP204,0,0,0,0,0,0
RNY3,0,0,0,0,0,0
RNA5SP277,0,0,0,0,0,0
RNU6-652P,0,0,0,0,0,0
SNORA62,0,0,0,0,0,0
SNORA25B,0,0,0,0,0,0
RNU1-55P,0,0,0,0,0,0
RNA5SP279,0,0,0,0,0,0
RNA5SP211,0,0,0,0,0,0
RN7SKP292,7,1,10,7,13,5
RN7SKP1,0,0,0,0,0,0
RNU6-61P,0,0,0,0,0,0
SNORD82,0,0,0,0,0,0
RN7SKP187,0,0,0,5,4,0
RNVU1-21,0,0,4,0,0,2
RNA5SP259,0,0,0,0,0,0
RNY3P13,0,0,0,0,0,0
RNA5SP30,0,0,0,0,0,0
RNU6-827P,0,0,0,0,0,0
RNU6-744P,0,0,0,0,0,0
RNU6-108P,0,0,0,0,0,0
RNU4-48P,3,2,0,0,0,0
RNA5SP88,0,0,0,0,0,0
RNU6-438P,0,0,0,0,0,0
RNY4P10,0,0,0,0,0,0
RNU5E-6P,0,0,0,0,0,0
RNU6-669P,0,0,0,0,0,0
RNU4-17P,0,0,0,0,0,0
RNU4-20P,0,0,0,0,0,0
RNA5SP248,0,0,0,0,0,0
RN7SKP81,0,0,0,0,0,0
RNA5SP283,0,0,0,0,0,0
RNU6-81P,0,0,0,0,0,0
RNU6-499P,0,0,0,0,0,0
RNU6-597P,0,0,0,0,0,0
RNU6-716P,0,0,0,0,0,0
RNU6-898P,0,0,0,0,0,0
SNORD115-36,0,0,0,0,0,0
RNA5SP151,0,0,0,0,0,0
SNORD34,0,0,0,0,0,0
RNU6-805P,0,0,0,0,0,0
VTRNA1-3,0,0,0,0,0,0
RNU6-650P,0,0,0,0,0,0
SNORD18B,0,0,0,0,0,0
RNU6-395P,0,0,0,0,0,0
RNU6-1329P,0,0,0,0,0,0
RNU4-2,3,2,1,4,6,5
MIR539,0,0,0,0,0,0
MIR421,0,0,0,0,0,0
MIR146B,0,0,0,0,0,0
MIR582,0,0,0,0,0,0
MIR488,0,0,0,0,0,0
KIAA1671-AS1,25,20,4,8,23,25
TDRKH-AS1,126,119,43,46,87,58
ZNF525,600,528,324,311,387,464
LINC01562,8,8,2,1,9,9
LOC100128906,1,0,3,0,1,1
LOC100422622,1,0,1,0,1,2
LINC00449,28,16,16,16,20,17
SLC44A4,3,0,7,7,0,0
INF2,739,396,3171,2847,1351,948
HMGB1P39,8,6,11,5,10,8
IQANK1,37,11,49,47,124,72
TAS2R2P,0,0,0,0,0,1
SCUBE1-AS1,9,2,7,12,7,4
OR52J1P,1,1,0,0,1,1
OR1F2P,2,0,0,0,0,1
LINC02408,7,2,1,0,10,4
LINC00970,35,24,38,25,38,34
GP1BB,0,3,0,0,0,0
C6orf47,305,141,236,298,324,293
LINC00501,26,16,12,26,28,24
LINC01285,33,31,22,26,43,65
OR2T5,1,0,0,0,2,0
OR2L2,0,1,0,0,0,0
OR2W5P,3,0,0,0,0,0
EFCAB2,422,396,349,336,378,352
COX20,1749,2605,1225,1415,1023,765
CHML,3403,3574,3140,2583,824,919
IBA57-DT,11,2,2,5,12,10
STUM,15,9,0,0,57,36
LINC02487,34,36,7,19,12,1
TCP10L3,56,35,20,9,5,10
CAPN8,10,5,5,1,26,18
TATDN3,358,235,221,262,320,338
CR1,35,19,14,17,25,29
C6orf99,1,3,0,0,2,1
LINC00862,68,143,54,96,37,59
RAET1G,2,5,0,0,7,5
C1orf53,37,24,38,33,44,22
SAMD5,71,102,13,6,33,50
LINC00272,0,0,0,0,0,0
TEDDM1,1,2,0,0,1,0
GJE1,1,0,0,0,0,0
ECT2L,13,13,1,0,13,17
GPR52,20,43,29,30,40,41
PRDX6-AS1,88,62,132,127,36,33
METTL11B,6,1,0,0,3,3
FCGR3A,11,0,1,1,2,3
TMEM244,0,1,0,0,0,0
OR6K3,1,0,0,0,0,0
OR10T1P,0,0,0,0,0,0
CENPW,1047,1165,606,556,1933,1636
SPRN,5,1,0,0,26,21
FAM229B,45,35,52,54,55,37
FANK1,3,5,0,0,11,18
S100A7P1,0,0,0,0,0,0
LORICRIN,2,0,0,0,0,0
PRR9,0,1,0,1,1,0
LELP1,0,1,0,1,0,0
SPRR2E,2,0,0,0,0,0
KPRP,4,3,1,0,1,1
EEF1AKMT2,278,283,494,449,218,240
FAM24A,0,2,0,0,0,2
DDO,282,248,138,97,156,137
CCDC162P,500,469,231,202,961,877
