gene_name,G401_BRD9_KO_rep1,G401_BRD9_KO_rep2,G401_LacZ_rep1,G401_LacZ_rep2
SRGAP3,66,54,100,81
FAM217B,1048,913,935,984
SULT1C3,0,0,0,0
OR2J2,0,0,0,0
LCOR,1803,1696,1418,1698
SUPT5H,3238,2738,2368,2366
XPNPEP3,983,691,901,846
OR2T2,0,0,0,0
OR2C3,0,0,0,0
LINC00615,0,1,0,0
ZNF107,355,242,247,329
OR10S1,0,0,0,0
SFTA2,0,0,0,0
PPIA,24272,20177,17005,18837
ZNF471,263,212,247,300
OR10J3,0,0,0,0
ZNF836,2,2,6,9
ZNF493,71,83,56,53
LINC00523,0,0,1,0
GTF2IRD2,231,137,145,261
GRM7,2,2,2,2
SUPT3H,365,257,257,360
BECN2,0,0,0,0
NIF3L1,393,298,328,336
ATP2A1,411,402,545,557
ZNRD1ASP,0,4,2,0
IARS1,5786,4788,4208,4780
MFSD14C,382,292,269,282
POM121,2016,1712,1417,1567
ZBTB44,998,912,955,995
GIMAP5,0,0,0,0
STK31,19,18,23,21
CGB7,134,65,122,147
NLGN3,18,10,20,13
OR8D1,0,0,0,0
ADH7,0,0,0,0
ZNF729,0,0,0,1
CD55,249,191,248,296
CPNE4,0,0,0,0
ZNF565,52,37,44,45
NTNG2,17,38,11,21
ELAVL3,3,1,3,13
WDR5,1445,1294,1125,1162
PRSS29P,0,0,0,0
LONP1,2988,2547,2222,2495
C9orf163,17,14,16,23
TRRAP,4202,3532,2967,3478
NUDT11,0,0,0,0
SRGAP2B,761,496,1210,1089
FUT4,12,8,21,20
ASB13,403,316,260,350
SLC35F1,13,10,10,8
ZNF34,61,32,48,66
ZNF781,10,2,7,4
ZNF140,447,330,276,318
INCA1,44,46,38,50
ZNF774,208,167,177,227
PTPN1,3158,2635,1903,2130
OR10D1P,0,0,0,0
EVL,859,743,765,782
SPANXD,0,0,0,0
THEM5,0,0,0,0
NOXO1,2,9,5,3
EPHB4,2083,1767,1622,1675
PRTN3,2,3,1,4
ZNF765,316,244,239,279
ZNF124,215,194,202,212
XRCC6,9201,8540,7800,8726
S100A5,51,71,52,48
C20orf204,29,29,42,39
PPP1R26,931,778,704,793
NBPF4,0,0,0,0
TSC22D2,765,690,724,635
CRYBA4,0,0,0,1
ASMT,2,1,2,1
NPIPB15,16,6,10,17
ZNF569,108,96,82,86
ARMCX4,6,2,5,5
YRDC,360,316,206,259
ZNF777,443,367,287,350
PIK3R4,1254,1033,929,881
ZNF775,236,184,217,272
ZNF605,895,717,613,546
TRAPPC2,341,287,287,355
RFX8,0,0,0,0
MYL6B,1012,843,957,1033
ZNF799,173,124,94,85
FGF16,0,0,0,0
SIAH1,582,459,444,480
LOC642474,0,0,0,0
GK2,0,0,0,0
C20orf96,357,309,305,299
ESRRG,17,8,10,8
IPO4,1917,1649,1151,1344
NCOR2,3273,2887,2776,3299
SULT1A1,709,616,689,831
ARL9,3,4,1,1
PRPF40A,5428,4698,4284,4906
GDAP2,506,329,352,437
TCEAL3,3,3,7,5
ANAPC7,1547,1345,1095,1273
TPK1,37,34,36,33
SLC6A9,294,225,210,228
AFAP1,152,95,80,107
NACA,9610,8017,7308,8168
MYO18A,2855,2450,1828,2140
SPTSSB,0,0,0,0
BORCS6,337,287,239,293
MAN2A2,1454,1120,990,1278
MME,35023,29162,30974,34106
FAM72A,164,109,144,138
CCDC196,0,1,0,1
CACNA1H,543,416,483,505
SULF2,6908,5640,3503,4062
HBG2,3,3,2,3
LAMA2,0,0,1,0
PFN3,0,0,0,0
PLXNB2,6571,5422,4639,4798
OR5AC2,0,0,0,0
AJAP1,0,0,0,0
XRCC2,513,456,470,508
MYO6,2515,2090,1444,1662
MRTFA,561,578,510,608
MBD3L2B,1,1,0,2
HDAC2,3297,2659,2321,2506
ZNF782,119,134,131,130
SLC22A25,5,0,5,6
POTEF,1,0,0,1
ZNF846,111,99,102,108
HLA-DQB2,0,0,0,0
MMP1,0,0,0,0
ADH1B,4,4,1,3
UGT2B15,0,1,1,2
TCF4,17,9,14,13
WNK3,251,234,195,213
LUADT1,31,25,27,25
SDHAF3,372,308,307,318
HRH1,3,1,0,0
RABL6,3169,2694,2413,2921
ZNF136,165,101,112,109
ZKSCAN5,820,668,542,635
TTC30B,262,192,278,273
SLC30A10,5,2,3,1
TECPR2,1164,651,593,507
TLR7,23,18,11,20
FAM180B,10,4,0,2
LINC00173,91,99,116,98
ZFP62,684,655,700,810
ERI2,407,349,402,363
TOMM7,1969,1716,1377,1459
HSH2D,5,8,13,4
TRPV1,185,160,148,188
ZNF33B,883,671,668,754
PDXDC2P-NPIPB14P,362,332,398,390
ZNF512B,879,715,558,619
AMZ2,1547,1174,1041,1215
ZNF431,496,411,552,618
ALKAL1,0,1,0,0
NF1,3295,2691,2318,2943
VKORC1L1,1594,1265,1133,1279
ZNF418,24,8,7,4
DAPK1,0,0,0,0
LCE1B,0,2,0,0
HLA-DQA1,1,1,3,0
COL27A1,710,656,587,531
GM2A,1799,1517,1075,1209
H2AC13,59,54,21,20
CLPSL2,0,0,0,0
S100A2,113,100,141,167
SNHG17,597,421,347,363
ZNF700,287,219,217,239
LOC401040,0,0,0,0
POU3F4,0,0,0,0
OR14A16,0,0,0,0
CD47,5,1,1,0
OR52K1,0,0,0,0
TLE1,7,14,9,5
MAML3,0,0,2,0
H2AC11,163,157,104,139
STRN3,1307,1130,953,1112
ZNF239,301,243,159,157
SPINK14,0,0,0,0
SPRR2B,0,0,0,0
CHRNG,8,3,6,9
ZSCAN16,25,22,21,17
MVB12B,692,648,466,566
ILRUN,1871,1425,1423,1521
OR11G2,0,0,0,0
POTEI,42,40,39,53
ADA,255,209,243,243
ARID5A,95,92,62,71
PATE2,0,0,3,0
PPTC7,1181,1019,1084,1185
KRT39,0,0,0,0
TOMM20L,2,4,3,5
RGPD4,0,0,0,0
NHLRC2,1375,1148,1138,1236
H2AC7,0,0,0,0
ZFP28,253,221,218,237
CRACDL,3,11,1,1
CBWD3,268,256,334,272
SCN8A,581,453,310,379
LAMB3,0,0,0,1
H2BU1,59,38,32,26
TEX43,0,0,0,0
KPNA5,793,712,798,901
ANKRD36B,306,246,318,314
ARHGEF12,4266,3500,3364,3440
HCAR1,26,17,22,26
ZNF252P,575,517,389,459
PDLIM7,2485,2057,2269,2666
FLNA,18413,16051,17151,18846
TMEM26,0,0,0,0
SRGAP1,314,229,229,238
FAM3C,857,683,582,613
NOP9,1140,979,989,957
OR2T4,0,0,0,0
ZNF705A,0,0,1,0
SLC39A10,1218,1056,1000,1170
SCOC-AS1,6,1,2,2
CASP4,0,0,0,2
AP2A1,3617,3187,3171,3421
ZNF585A,340,217,305,257
FUT11,418,342,351,422
NXF4,0,0,0,0
SMIM10L2B,31,35,32,23
ANXA4,3928,3165,2302,2703
LAGE3,306,260,257,295
GPRACR,10,2,4,6
WDR5B,215,211,138,186
FAM163B,0,0,0,0
NPIPB9,37,45,34,62
WDR45,654,604,397,541
METTL9,3228,2696,2260,2571
ZNF138,221,146,137,139
ZNF429,150,166,142,186
ZNF470,165,132,186,227
SERTAD1,179,157,127,141
ZNF100,181,157,75,134
EOLA2,379,342,230,279
OR51A6P,0,0,0,0
ZNF398,580,465,383,446
ZSCAN25,447,320,358,326
ANXA6,12184,10231,9418,10092
ZNF441,107,87,75,119
GMFB,3333,2685,2362,2629
SIGLEC15,8,8,13,11
ZNF420,246,239,155,194
ZNF763,37,18,16,26
ZMYM1,469,434,443,542
DTHD1,0,0,0,0
H4C3,25,21,24,22
ZSCAN26,246,223,234,206
MAFG,1558,1376,990,1137
ARRDC1,398,332,236,325
KIAA1671,2114,1773,1435,1581
KRT35,0,0,0,1
IGF2R,5578,5283,3942,4377
LCE1C,0,0,0,0
NPSR1-AS1,0,0,0,0
GAL3ST4,26,16,10,17
DYNC1H1,17279,13604,14282,16629
SLC6A17,632,536,330,368
IFNL3,0,0,0,0
PCBP2,10901,9239,9050,10033
ZGPAT,385,400,292,395
SLC25A29,2527,2068,1891,2146
PGAP1,541,422,393,604
SRC,633,501,504,556
ZNF679,0,0,0,0
ZNF682,5,2,2,4
OR8B8,0,0,0,0
ZNF772,168,107,105,107
ZNF257,0,4,3,3
PCNX3,1828,1442,1245,1380
ADAM32,150,155,142,144
ACSL5,10,3,0,3
LRRC8B,1164,997,870,919
RPS2P40,12,6,12,24
ABCB8,1149,857,860,936
H3C12,2,7,0,1
SND1,4298,3868,3500,3855
ZNF785,35,16,26,31
SULT1A2,19,18,23,33
NEK5,73,59,64,73
PSMD12,2682,2299,1988,2105
MAGEA6,0,0,0,0
LINC02291,0,0,0,0
ADGRA1,0,0,0,0
CH17-340M24.3,24,15,19,14
PIWIL2,24,12,17,25
MIRLET7BHG,68,38,50,52
NOL4L,524,339,437,426
CYSRT1,94,82,39,55
SLC22A4,15,9,8,24
ZSCAN5B,1,1,0,0
ENTPD4,1408,1227,1153,1165
C1D,393,325,279,330
TBC1D9B,2545,2237,1937,1938
OR1J2,0,0,0,0
H4C11,20,16,12,30
SLC2A7,1,0,0,0
FAM110D,31,23,48,52
SERPINA1,0,0,0,0
LINC00336,1,1,2,2
TPSB2,3,5,9,4
KANK2,2752,2782,2984,3338
C6orf141,21,10,12,16
GTF2E2,683,589,644,631
IL27,2,0,0,0
GUCA2A,0,0,0,0
RAD54B,397,301,298,262
ZNF165,77,68,40,58
SYNGAP1,831,654,696,796
RAMP2-AS1,61,56,68,72
FITM2,376,295,235,283
BLM,543,430,469,493
HMGA2-AS1,253,198,316,332
ZNF720,531,341,343,347
GATA3-AS1,0,0,0,0
OR10D3,0,0,0,0
DDI2,1639,1314,1216,1326
LOC340268,8,3,0,14
SVIL,3043,2536,1980,2451
C17orf102,0,0,0,0
TRIM33,1990,1699,1565,1761
LRP10,2310,1730,1481,1585
PELI1,85,63,95,114
ZNF655,1926,1668,1514,1455
MRPL21,687,541,484,518
LYPD2,0,0,0,0
UAP1L1,1321,1080,749,835
BNIP3P1,0,1,0,0
ZNF98,0,0,1,0
FBXL22,27,19,18,38
ZNF786,258,200,206,184
ZNF517,259,233,203,220
ZNF675,226,185,187,258
SLC22A5,328,236,240,275
DACT3,277,271,230,262
ADARB1,2335,1883,2090,2361
ZNF860,91,119,49,53
HTT,5282,3053,3219,3387
OR6N1,0,0,0,0
C5AR1,509,471,398,452
DIO3,0,0,0,0
CYP2B6,0,0,5,3
H3C4,0,0,6,6
DCHS2,0,0,0,0
VEPH1,1,2,4,12
FABP12,0,0,0,0
SHPK,606,517,503,542
GGT3P,0,0,0,0
OR51D1,0,0,0,0
IPP,379,349,300,262
OPALIN,0,0,1,0
OR13G1,0,0,0,0
MAP3K5,5,5,16,0
OGDHL,694,565,481,559
CYP2F1,1,0,8,5
GSTK1,549,436,435,469
HNRNPAB,4726,4016,3056,3336
OR2L5,0,0,0,0
STMN3,2088,1773,1376,1545
PDGFA,321,215,128,164
GYPE,2,0,1,0
COL13A1,0,0,0,0
OR7E85BP,0,0,0,0
SPN,40,44,48,81
ZNF695,66,71,67,76
ADAM3A,0,0,6,3
PCDHB11,15,6,3,9
ZNF628,181,106,158,111
GALP,0,2,0,0
SLC2A10,0,0,0,0
ZNF665,54,54,64,61
RPF2,1098,936,739,826
LINC00477,0,0,0,0
SLC28A3,0,0,0,0
FAM177B,0,0,0,0
MIB2,694,439,508,550
OR6Y1,0,0,0,0
MYO5A,1421,1061,835,1095
GZMM,1,0,0,0
ATG7,418,474,290,428
PRAMENP,0,0,0,0
SIPA1L1,1420,1296,1143,1224
TTC30A,45,35,96,130
SSPOP,81,115,163,191
RAB40C,462,410,377,427
PIGN,751,428,580,749
COL4A6,0,0,0,0
ZNF624,185,122,152,121
HHLA3,52,55,46,57
RPS17P2,0,0,0,0
HOXA4,48,38,23,50
TOPORS,853,701,659,686
BCO2,37,12,23,21
KCNMB2,0,0,2,2
ENTPD6,858,720,541,632
DMBX1,293,278,255,235
KLKP1,0,0,0,0
OR11L1,0,0,0,0
ENPP1,8,7,8,4
ATP11AUN,2,0,0,1
CCDC154,15,7,10,5
FAR1,2560,2098,1824,1906
CPLANE1,1219,1071,881,1096
ZNF841,5,5,4,4
MFAP5,79,76,59,55
MYH6,1,0,0,0
VN1R5,1,0,0,0
ZNF615,271,203,222,213
EOLA1,132,87,105,108
CDC42SE1,1522,1268,1111,1130
UBE2Q2P12,0,0,0,0
MPEG1,0,1,0,0
SERPINB2,0,0,0,0
DPP4,0,0,0,0
SERPINB13,0,0,0,1
PDCD1LG2,1,1,0,1
ZNF433,33,12,26,14
CCER1,0,0,1,0
DNAH10,6,3,6,4
SLC22A24,0,0,0,0
KRTAP26-1,0,0,0,0
SPTAN1,7115,6027,6021,6888
NMB,10,11,9,5
PARVA,2039,1737,1200,1625
KLHL14,0,0,0,0
OR6C74,0,0,0,0
FAM114A1,773,662,721,725
RPE,1414,1161,1011,1059
ZNF460,65,53,76,57
CR1L,0,0,0,0
PHF2,859,769,701,717
RPS26,2543,1924,1864,1797
C14orf178,38,18,17,31
SCGB1D4,0,0,0,0
PSAP,30065,24765,16500,17993
S100A10,7,3,6,10
CFAP43,84,66,130,161
LHFPL5,26,19,18,32
RPL37A,8452,7096,7462,8130
HOXC6,271,224,386,326
TXNRD3,490,460,457,400
STPG3,11,9,11,12
MAP1LC3C,38,40,46,55
MCMBP,2249,1789,1551,1777
EME2,499,492,290,406
KLHDC1,67,51,33,42
ZNF81,235,150,133,169
TAF13,601,481,346,370
ATAD3A,1425,1253,910,1072
OR5B17,0,0,0,0
OR52M1,0,0,0,0
FAM118B,570,623,386,406
ZNF461,137,102,117,121
CCDC180,202,210,171,173
SLC9A8,230,208,203,236
OCLN,859,585,577,575
CFAP299,282,265,301,288
H4-16,44,29,16,21
CYP2A13,0,0,0,0
ZNF181,418,334,246,249
SLC22A20P,18,18,13,17
OR8G1,0,0,0,0
INKA2,215,184,148,199
ZNF44,213,160,137,148
GPAA1,903,743,758,916
ADAMTSL2,11,4,14,16
SGTB,768,605,565,702
ZNF790,7,0,5,5
OR5M12P,0,0,0,0
PRB3,0,2,1,0
CYRIA,0,0,0,0
MYO1C,3979,3255,3045,3493
MDS2,7,2,16,6
NKIRAS1,386,255,230,210
OR1S2,0,0,0,0
UGT2B17,0,0,1,0
MEIG1,6,8,12,3
SLC22A12,0,0,0,0
KIF13B,221,188,181,254
NRAP,0,0,0,0
ADH5,3000,2814,2592,2901
SLC22A6,0,0,0,0
H2BC12,472,391,191,214
TEAD4,623,452,489,525
SPG7,1901,1747,1718,1658
HRNR,0,0,0,0
IFNA1,0,0,0,0
HES5,0,0,0,0
NBEAP2,18,16,17,17
ZNF677,21,28,32,23
ERO1A,2942,2443,2378,2608
ZNF823,197,181,147,158
CYYR1-AS1,3,1,6,1
ZNF347,194,188,223,216
OR5H2,0,0,0,0
PLCG2,542,417,281,364
FCHSD1,330,186,174,183
ZNF71,322,270,228,217
AADACL2,0,0,0,0
S100A6,72,61,63,73
RPL12,11329,9273,8893,10016
DNM3,215,167,258,242
ZNF121,1098,880,759,763
MPZL1,2577,2403,2397,2631
VPS13A,2746,2552,2215,2367
MBP,2955,2191,1690,1772
AKAP17A,988,824,806,893
ELOVL2,217,197,154,176
GOLGA6L9,119,142,152,173
LEKR1,0,1,0,0
C1orf122,634,530,468,472
SNHG12,229,186,128,143
CLEC9A,0,0,0,0
KEL,0,1,1,3
NOL8,1062,906,705,819
IRAK4,298,249,229,316
CCDC151,87,107,99,65
DLGAP2,0,0,2,0
MRPL42,2168,1846,1500,1586
ENTPD7,331,298,267,282
FCGR1B,2,1,0,1
ZNF335,553,436,483,479
ZNF560,3,2,0,0
TUBA3C,0,0,0,0
RPS4X,12720,10577,9248,10160
ZNF273,155,123,172,166
ZNF84,1269,985,776,782
MAK16,863,604,624,558
ZNF667,693,605,413,438
AVPR1B,0,0,0,0
SIRPA,416,347,279,316
DSCR8,0,0,0,0
GRK6,773,592,518,569
PRIM1,346,317,295,339
MARCHF5,1117,1006,905,1027
POTEH,3,4,9,5
NPIPB13,85,48,87,89
AKR1B10,4,6,1,6
SULT1C4,6,6,11,10
CYP2A7,0,1,0,1
ZBTB14,345,279,251,291
KRTAP9-9,0,0,0,0
CD2AP,913,753,751,713
NUP62CL,0,0,0,0
SFI1,426,331,417,512
KRTAP4-6,0,0,0,0
TMPRSS11F,0,0,0,0
ZNF649,165,156,136,134
ADH4,0,2,2,3
ZNF248,419,345,302,296
CHSY3,1,0,0,0
TOR4A,36,34,41,43
LPAR1,0,0,0,0
MB,7,5,17,27
OR2L3,0,0,0,0
DEFB107A,0,0,0,0
HIBCH,695,500,529,591
ZNF544,808,616,598,692
TMEM229B,42,50,44,63
SOWAHC,54,47,43,72
ZNF770,2993,2436,2454,2744
ZNF849P,0,0,1,0
ZNF876P,90,68,53,51
NPIPB6,40,20,76,50
HMGN5,45,34,45,50
MIER1,1205,1133,983,1046
MAN1A2,2172,1759,1731,1836
SVIP,12,9,14,9
ZNF251,199,429,333,268
DDRGK1,400,340,305,365
FAM47C,0,0,0,0
TFDP1,3224,2685,1958,2231
CLEC4C,4,1,1,1
ZNF607,165,102,95,88
BPIFA1,0,0,0,0
ZNF334,0,0,0,1
HSD17B11,433,457,548,593
SZT2,730,640,769,852
SULT1C2,24,12,28,35
ZXDA,77,83,66,85
RPS6KL1,216,140,141,165
CACNA1E,1,2,1,0
QRICH1,2002,1717,1509,1654
CSF2RA,70,131,75,112
FKBP1C,0,2,0,4
DDX42,4056,3300,2786,3069
RPL23A,5672,4999,4600,5209
SLC29A3,92,82,55,63
STYX,1253,1054,1078,1176
UBL5,1364,1221,914,1081
OR5BB1P,0,0,0,0
HELZ,2215,1968,2264,2400
TMEM116,228,186,135,215
KRTAP4-5,0,0,0,0
UCKL1,480,425,346,433
OR5B21,0,0,0,0
NUP210P1,0,0,0,0
CARD11,0,0,0,0
ZNF485,101,109,67,73
PEG3,935,823,651,912
SDAD1,1258,1077,750,862
BMS1P9,0,0,0,0
ZKSCAN8,1563,1317,1369,1422
PHETA1,285,143,119,162
TMEM239,3,4,1,4
HYLS1,83,67,48,39
MYL4,1,0,0,0
ZNF442,63,50,70,64
ZNF813,62,65,40,60
HOXC4,167,162,184,187
DCAF12L2,0,0,0,0
PIM3,928,817,733,875
GET3,2168,1751,1370,1578
LOC101928372,53,34,48,30
ASPH,31,23,33,26
OR7A11P,0,0,0,0
SPRED2,1530,1347,995,1053
WWP2,554,486,501,575
GFPT1,2351,2135,1765,1940
UVRAG,1144,915,725,700
KRTAP13-1,0,0,0,0
ZNF26,625,546,430,431
TMEM207,0,0,0,0
ITSN2,1305,1135,888,908
NTRK1,17,14,16,10
OGA,3632,3039,3218,3499
TATDN2P1,0,0,0,0
MT1F,0,0,0,0
TCAF1,2025,1712,2114,2456
ZNF69,104,99,80,81
TXNRD1,24910,21330,18095,19762
NRARP,103,91,59,84
ZNF583,153,83,90,133
KRTAP4-1,0,0,0,0
CCT8L2,0,0,0,3
ZNF568,10,12,14,6
ZXDB,440,332,302,320
CYP21A2,0,0,0,0
ZNF480,411,392,275,321
ZNF587,1136,1036,808,1002
TPM2,3346,2928,2623,2961
FLVCR1-DT,81,73,74,79
RTP2,0,0,0,0
SH3BGRL2,1319,1046,963,1026
ZNF808,51,26,41,40
ANKRD35,0,0,0,0
B3GNT6,16,5,12,15
LOC101929106,0,0,0,0
YTHDF2,2489,2101,1691,1801
NBR2,85,56,62,81
TMA16,754,738,527,561
HLA-DRB5,0,0,0,0
ATL1,25,39,35,26
CNGA1,1,0,1,1
MAFK,681,533,343,392
ARMH1,105,98,64,46
ZNF43,221,208,203,242
GPN1,1139,968,846,979
PLN,0,0,0,0
C2CD4A,270,231,25,19
ZNF28,3,4,11,3
ITGBL1,0,0,0,0
ZNF511,320,362,256,257
C20orf203,12,6,11,9
ZNF627,430,348,348,379
KCNRG,15,21,13,13
WDHD1,1083,868,800,970
ZNF789,442,396,358,386
CTNND1,4819,4330,4259,4828
DDX39B,5,0,0,2
SLC34A3,8,14,10,16
RD3,1,1,2,2
SPANXC,0,0,0,0
SH2D1B,0,0,0,0
ARC,7,13,1,3
NUDT16,1046,882,709,852
TLK1,1673,1455,1023,1486
LRBA,4663,4005,3987,4400
C3orf35,13,6,11,23
ZNF536,0,0,0,0
MMP17,19,7,26,22
OR2M2,0,0,0,0
BAZ1A,654,561,545,644
AKR1C4,0,0,0,0
COPS8,1424,1173,1191,1312
CCDC69,486,377,402,422
MDM4,1168,1021,1004,1061
RYR2,0,2,0,0
ZNF534,0,0,0,0
KLHL9,1433,1218,995,1130
FAM3D,0,0,1,0
NCOA6,1480,1460,1084,1329
STK39,15,13,4,3
TAT,230,194,138,194
C6orf89,1798,1442,1409,1549
CALM1,5215,4503,3625,3969
LPA,0,0,0,0
TAFA2,44,11,41,47
OR10G6,0,0,0,0
TTC37,2818,2364,2188,2345
TUSC1,187,146,104,133
MAGEA1,0,0,0,0
PAPSS2,2,7,0,2
LINC01565,1,0,7,1
SLC9A6,463,381,396,446
FAN1,533,361,460,344
ABCA4,0,0,3,0
EIF1AY,733,601,584,572
ND6,24143,20090,18426,20509
IPO9,3406,2436,2885,3394
OR10R3P,0,0,0,0
GPX6,0,1,0,0
CEP290,1582,1284,1228,1297
SSBP3-AS1,29,23,38,39
COX2,112148,93474,88019,98010
GLMP,64,56,72,83
TOGARAM1,415,172,149,188
ANKRD13B,429,371,372,401
ECI2,1332,1119,1070,1159
UNC13B,2234,1925,1663,1880
TEX45,12,20,15,23
CYTB,84008,70840,61396,68861
LDB1,1956,1612,1447,1699
PPP1R14C,1,4,2,0
CTR9,2538,2176,1952,2377
SMOC1,0,2,3,2
F5,0,0,1,1
MSRB1,807,536,459,593
LRRTM3,2,0,0,0
ZNF652,680,508,530,589
SMURF1,1153,933,792,886
SLC5A3,9355,7902,8068,8747
MTCO3P12,21059,17923,17056,18548
GPATCH3,286,202,178,164
CDC42BPB,3889,3079,2865,3009
PLXNB3,78,97,151,39
OXCT2,28,16,20,15
RPL10A,11149,9254,9279,10166
COLGALT2,73,53,109,86
EPS8L3,47,34,17,37
EGFL6,0,0,5,7
ND2,93154,78115,62801,70312
SYCP1,5,7,7,8
APCDD1L,0,0,0,1
RCSD1,15,11,7,9
RASSF9,6,6,4,9
FAM169A,5895,4765,6300,7114
ZNF830,342,343,222,249
GRIN3A,11,15,9,13
ND5,82633,69325,57553,64034
OR7E103P,0,0,0,0
MUC2,1,0,0,0
CNOT7,2694,2191,2217,2273
TMEM184B,1754,1422,1438,1662
MTOR,3779,3177,2738,3023
SCAMP5,708,536,484,546
ZNF521,952,702,995,1053
ALPK2,18,6,57,42
BRINP2,0,0,0,0
MAGEB3,0,0,0,0
LRIG2,741,622,736,822
COX1,313741,263716,276153,304855
PNP,1521,1317,955,1068
PAX9,14,13,17,10
LRRC10,0,0,0,1
GK,163,187,128,161
FOXJ3,1766,1507,1341,1320
ZNF358,516,441,395,476
SFT2D1,699,593,495,578
CD247,55,21,56,45
GRM3,2,0,1,0
CHAMP1,1212,964,792,856
INPP5F,649,500,525,630
ARHGAP11A,967,762,868,988
SUCNR1,0,0,0,0
HMGN2,4227,3297,3100,3485
SELENOM,517,403,346,350
UBE2J1,2054,1831,1609,1779
GJC2,12,11,4,7
OPA1,3620,2982,3061,3238
DENND4B,1011,748,649,723
RYR3,130,60,72,78
ZNF277,271,257,277,345
ND3,22583,19073,15660,17382
KTI12,241,204,146,163
STYXL2,8,9,10,10
SELENOT,1651,1361,860,1003
ARHGEF15,22,11,7,5
TOX,0,0,0,0
CES1,0,0,0,0
CD3E,0,0,0,0
RUSC2,420,355,390,410
C1orf68,0,0,0,0
FICD,149,134,103,78
OSTC,1661,1413,1308,1528
R3HDM4,518,365,441,556
TSEN15,672,531,559,640
LTN1,2180,1914,2109,2365
RUNDC1,657,560,532,490
CCDC152,0,1,0,0
GRK5,200,144,187,241
TYW1,644,537,412,505
DCAF12,1800,1470,1392,1549
SFMBT2,179,146,134,114
ASB12,0,4,3,4
PNMA5,0,0,0,0
ITPRIPL1,308,282,252,318
ND4,116398,97513,104191,116430
SMC5,1226,1110,1157,1369
ND1,86189,72118,60972,67840
DCAF12L1,0,0,0,0
PRMT6,1003,839,692,791
SHISA4,90,113,91,86
CIPC,1145,894,682,694
CAPZA2,2423,2075,1639,1911
ATP6,125751,104910,98107,110435
TOP1,4188,3604,2838,3197
PRC1,1802,1489,1652,1677
BHLHB9,173,101,117,112
MAP3K3,529,513,416,511
L1CAM,3406,3389,3294,3430
SREBF2,4112,3101,3913,4062
C1orf174,628,517,553,593
POU3F3,0,0,0,0
RASGEF1A,725,552,374,421
SPOUT1,638,437,439,363
RPL39,4590,4206,3794,4315
DZIP3,1513,1211,1211,1353
KIAA0753,878,846,578,695
DCLRE1A,452,413,393,364
ATG9A,1044,765,828,978
NOS1AP,1,1,0,0
CSAG1,0,0,0,0
APRT,1009,771,694,800
GPRASP1,49,66,45,54
TBKBP1,982,891,531,624
MAGEE1,243,217,151,162
CCDC167,111,89,92,113
COX3,118096,99064,95559,106648
ZFP2,50,46,40,51
SOWAHA,16,17,3,7
L3MBTL3,690,440,530,514
DMD,6166,5254,4168,4687
MFAP3L,2,0,0,1
NAGA,785,595,732,734
SMG5,2328,1778,1359,1547
KIFBP,1108,939,652,769
TGM2,751,640,424,464
ARMCX6,442,378,343,351
PJA2,2548,2136,2122,2354
RORB,6,0,8,7
SGMS1,676,543,532,544
OR10R2,0,0,0,0
OR10Z1,0,0,0,0
MIRLET7E,0,0,0,0
MIR375,0,0,0,0
MIR30E,0,0,0,0
MIRLET7A2,0,0,0,0
MIR429,0,0,0,0
MIR380,0,0,0,0
MIR449A,0,0,0,0
MIR345,0,0,0,0
MIR16-2,0,0,0,0
MIR340,0,0,0,0
MIR107,0,0,0,0
MIR448,0,0,0,0
MIR370,0,0,0,0
MIR412,0,0,0,0
MIR377,0,0,0,0
MIR1-1,0,0,0,0
MIR381,0,0,0,0
MIR339,0,0,0,0
MIR103A2,1,1,0,1
MIR369,0,0,0,0
MIRLET7C,0,0,0,0
MIR371A,0,0,0,0
MIR425,0,0,0,0
MIR103A1,0,0,0,0
MIR219A1,0,0,0,0
MIR210,1,0,0,1
MIR335,0,0,0,0
MIR378A,0,0,0,0
MIR361,0,0,0,0
MIR324,1,3,1,0
MIR135B,0,0,0,0
MIR101-2,0,0,0,0
MIR323A,0,0,0,0
MIRLET7F1,0,1,1,0
MIR26A1,0,0,0,0
MIR129-2,0,0,0,0
MIR133B,0,0,0,0
MIR342,0,0,0,0
MIR148A,0,0,0,0
MIR379,0,0,0,0
MIR326,0,0,0,0
MIR410,0,0,0,0
MIR30C2,0,0,0,0
MIR372,0,0,0,0
MIR302C,0,1,0,0
MIR346,0,0,0,0
MIR409,0,0,0,0
MIR411,0,0,0,0
MIR26B,0,0,0,0
MIR148B,0,0,0,0
MIR383,0,0,0,0
MIR365A,0,0,0,1
MIR450A1,0,0,0,0
MIRLET7D,2,1,0,0
MIR101-1,0,0,0,0
MIR373,0,0,0,0
MIR302D,0,0,0,0
MIRLET7G,0,0,0,0
MIR337,0,0,0,0
MIR30D,0,0,0,0
MIR422A,0,0,0,0
MIR208A,0,0,0,0
MIR96,0,0,0,0
MIR126,0,0,0,0
MIRLET7A1,0,0,0,0
MIR374A,0,0,0,0
MIR367,0,0,0,0
MIR331,0,0,0,0
MIR31,0,0,0,0
MIRLET7I,1,0,0,0
RN7SKP72,0,0,0,0
RNA5SP289,0,0,0,0
RNU105C,0,0,0,0
RNU6-1123P,0,0,0,0
RNU6-500P,0,0,0,0
RNU6-834P,1,1,0,0
RNA5SP46,0,0,0,0
RNU6-896P,0,0,0,0
RNU6-28P,0,0,0,0
RNU6-664P,0,0,0,0
