gene_name,WT_A,WT_B,SMARCB1_Null-A,SMARCB1_Null-B,SMARCA4_Null-A,SMARCA4_Null-B,,,,,,,
SLC25A30,2640,1912,2646,2187,3312,2400,,,,,,,
C9orf131,37,27,24,32,38,23,,,,,,,
CD34,35,28,33,32,33,42,,,,,,,
CTSF,3153,2746,2419,2301,3887,3556,,,,,,,
MSRB3,1824,1593,2052,2324,2931,2119,,,,,,,
LEMD3,4547,4098,3492,3586,4581,3415,,,,,,,
C16orf91,1050,1047,1033,1349,1385,956,,,,,,,
TLR10,25,25,25,18,36,31,,,,,,,
TLR1,2,1,1,23,4,5,,,,,,,
TLR6,30,20,54,46,16,13,,,,,,,
FAM174A,487,445,552,704,557,433,,,,,,,
RGMB,3063,2295,2282,2191,2430,1618,,,,,,,
FAM53A,87,52,65,63,97,81,,,,,,,
NWD2,0,1,0,2,0,0,,,,,,,
CYB561D1,1441,1338,1157,1242,1806,1566,,,,,,,
GSTA3,2,2,0,0,12,4,,,,,,,
ZDHHC24,1781,1126,1885,1576,2446,2235,,,,,,,
TRMT10C,5525,5732,4428,5850,6336,4048,,,,,,,
SELP,0,0,0,0,1,0,,,,,,,
CTU2,2560,2681,2874,3657,3346,2093,,,,,,,
MGA,14522,11204,11953,11725,16626,11625,,,,,,,
C12orf66,1672,1271,1525,1422,1638,1480,,,,,,,
ARL13A,20,23,43,31,50,44,,,,,,,
SNX31,3,2,3,0,3,2,,,,,,,
PIGG,4952,3998,4504,4361,5672,4420,,,,,,,
PRPF8,52739,45825,37215,45706,55977,42630,,,,,,,
ADCY6,4527,3101,3292,2570,4115,2954,,,,,,,
REP15,41,40,22,42,77,52,,,,,,,
PITPNA,10498,8492,6926,7504,10991,8184,,,,,,,
DDX23,18168,17630,15210,18489,22492,15175,,,,,,,
ZNF80,14,3,6,6,13,22,,,,,,,
ZNHIT2,905,905,793,995,1113,675,,,,,,,
EVX2,8,4,19,23,16,5,,,,,,,
ZBTB4,3122,2627,2502,2337,4827,3626,,,,,,,
TNK1,34,70,27,12,44,69,,,,,,,
ZHX3,3869,2074,5512,4306,4568,3668,,,,,,,
PHLDA3,639,500,124,236,480,537,,,,,,,
DIRC1,0,0,0,2,0,0,,,,,,,
SLC16A11,24,13,23,16,24,18,,,,,,,
SLC16A13,577,480,456,376,724,525,,,,,,,
GLIS1,10,15,81,45,58,74,,,,,,,
OR2Y1,0,0,0,1,0,0,,,,,,,
CHRNA9,1,0,33,35,8,15,,,,,,,
PODN,38,31,32,31,24,28,,,,,,,
TRIM74,4209,3132,3271,2812,5522,4499,,,,,,,
SLC6A19,0,1,0,0,0,1,,,,,,,
SNHG11,1149,1073,908,1096,1001,666,,,,,,,
C11orf45,357,291,529,415,617,529,,,,,,,
EXO1,7267,6591,4923,5988,6719,4776,,,,,,,
RALGAPA1,4974,4649,5450,5468,7376,4785,,,,,,,
LIG4,1996,1755,1758,1590,2491,1646,,,,,,,
MIR133A2,0,2,2,37,2,1,,,,,,,
TRHR,9,6,7,5,7,0,,,,,,,
GTF2IRD2B,1009,871,515,620,1077,805,,,,,,,
ABRA,15,11,8,8,9,6,,,,,,,
ATP2A2,45778,38884,38459,42192,55212,39820,,,,,,,
ZWILCH,15458,14151,12921,14546,19767,14733,,,,,,,
RPL4,339103,309050,278681,317774,423349,321424,,,,,,,
SNAPC5,3084,2882,2698,3411,4204,3655,,,,,,,
STARD6,20,14,19,17,31,16,,,,,,,
GOLGA6L2,1,1,1,1,4,2,,,,,,,
VWC2L,0,1,0,0,0,1,,,,,,,
C12orf76,1273,974,1095,855,1362,1347,,,,,,,
ZCCHC12,347,228,473,453,507,411,,,,,,,
CNTNAP2,517,466,285,214,129,91,,,,,,,
GALNTL6,200,95,427,389,369,71,,,,,,,
LINGO2,0,0,17,5,0,0,,,,,,,
BBS1,1947,1324,1738,1604,2221,1839,,,,,,,
DENND4A,6214,4173,9137,8747,8771,6439,,,,,,,
IGDCC3,1547,1080,1360,901,2137,1966,,,,,,,
GCSAM,71,49,91,90,130,94,,,,,,,
ANKRD36C,3269,1707,3446,1535,3994,3362,,,,,,,
SLC26A9,11,3,29,85,31,23,,,,,,,
MFSD4A,271,160,181,115,258,332,,,,,,,
PELI3,1303,1077,727,624,737,491,,,,,,,
TTC9B,4,11,3,5,1,8,,,,,,,
MYO1H,32,22,11,25,16,22,,,,,,,
TMEM81,239,234,227,226,296,230,,,,,,,
MRPL11,5558,5714,4902,6418,7299,5362,,,,,,,
KLK15,3,1,0,2,3,3,,,,,,,
IL20RB,63,64,76,113,85,52,,,,,,,
GOLT1A,4,2,2,3,7,1,,,,,,,
AKIRIN1,10765,9036,9132,10326,13380,9015,,,,,,,
NPAS4,5,11,4,2,16,11,,,,,,,
MSL2,5436,4190,3801,3559,5547,4304,,,,,,,
ZNF497,579,523,462,388,512,438,,,,,,,
TRAM1L1,347,310,420,354,271,197,,,,,,,
CMKLR1,17,4,6,6,11,12,,,,,,,
ANGEL2,6054,4764,4720,4306,6635,5584,,,,,,,
UGT8,50,22,32,13,46,34,,,,,,,
KY,173,96,63,65,91,58,,,,,,,
IQCK,417,329,366,316,480,386,,,,,,,
SLCO2A1,14,22,5,1,19,11,,,,,,,
ZNF266,4436,3401,3868,3454,4016,3457,,,,,,,
OR7D4,0,0,0,0,0,0,,,,,,,
SLC29A2,3756,2752,3999,3899,5899,4494,,,,,,,
BRSK2,6324,4460,4511,4187,4798,3644,,,,,,,
B4GAT1,3899,3578,4440,4625,4725,3410,,,,,,,
TMEM167A,12246,10524,12056,13029,17319,12337,,,,,,,
LEP,49,24,39,45,42,48,,,,,,,
SH3PXD2B,10506,9278,6596,6842,12879,11474,,,,,,,
KIAA1551,4885,4196,3230,3392,5237,4721,,,,,,,
LARP7,6786,7122,4902,5685,7375,5157,,,,,,,
FGFBP3,545,403,792,747,568,423,,,,,,,
NR1D2,5688,3934,2457,2387,4284,3273,,,,,,,
PABPC5,0,0,0,0,0,1,,,,,,,
BRMS1,3175,3734,2780,4340,4175,2589,,,,,,,
RPL15,105372,90874,85938,94191,114717,91638,,,,,,,
C4orf32,4601,2757,5292,4332,4594,3790,,,,,,,
HRAS,1788,2065,1518,2210,2214,1461,,,,,,,
WDR49,9,7,1,8,3,12,,,,,,,
SRP72,18070,16163,16851,19617,22154,15285,,,,,,,
PCP2,4,7,8,5,12,6,,,,,,,
RIN1,58,46,67,59,99,29,,,,,,,
C4orf26,40,34,36,24,21,29,,,,,,,
THAP6,2673,1863,1895,1870,2244,2080,,,,,,,
CEP135,5253,3871,2912,2704,5193,3837,,,,,,,
FZD4,2734,2035,2205,1550,2359,1514,,,,,,,
CD248,0,0,3,0,1,1,,,,,,,
BTC,0,0,0,0,0,0,,,,,,,
PDZK1,136,92,94,125,115,105,,,,,,,
ADGRE1,0,0,0,6,2,4,,,,,,,
DENND6A,6105,4395,3935,3057,5539,4611,,,,,,,
PDE12,7325,5921,6980,7257,8161,5968,,,,,,,
GLMN,1619,1482,1791,2045,2330,1621,,,,,,,
DNAH12,33,15,24,25,82,51,,,,,,,
YIF1A,3456,3183,3419,4719,5325,3490,,,,,,,
CNIH2,1398,1047,1367,1228,1613,1508,,,,,,,
AMY1B,8,4,8,7,9,11,,,,,,,
NLRP6,6,2,10,15,10,9,,,,,,,
NDUFA11,6967,6325,5841,6853,8819,6510,,,,,,,
RSRC1,4533,3768,3737,3935,4326,3383,,,,,,,
CATSPERD,5,8,8,9,17,3,,,,,,,
PQLC2L,0,0,0,0,1,0,,,,,,,
RAB1B,12663,11699,11128,13006,15214,11515,,,,,,,
OR9G1,0,0,0,0,0,0,,,,,,,
PTDSS2,3746,2901,2980,3088,3864,2879,,,,,,,
C19orf70,1494,1346,1403,1450,1948,1564,,,,,,,
C3orf33,562,495,606,582,883,577,,,,,,,
OR5M3,0,0,0,0,0,0,,,,,,,
SEZ6L2,637,504,833,910,2097,1707,,,,,,,
ASPHD1,294,171,452,467,1160,887,,,,,,,
KCTD13,1717,1405,3005,3097,3552,2651,,,,,,,
P2RY14,6,3,3,10,7,6,,,,,,,
AMZ1,86,52,46,42,39,66,,,,,,,
GPR171,2,2,2,1,0,2,,,,,,,
GPR149,7,3,0,0,4,3,,,,,,,
CD164L2,1,0,0,0,0,0,,,,,,,
FUT1,286,198,194,117,312,276,,,,,,,
DHX36,12519,9690,10431,10669,12696,9407,,,,,,,
OR5J2,0,0,0,0,0,0,,,,,,,
ZIC4,0,0,0,3,0,0,,,,,,,
OR10AG1,0,0,0,0,0,0,,,,,,,
OR4S2,0,0,0,0,0,0,,,,,,,
FBXW8,3949,2714,3025,2851,2570,2117,,,,,,,
CA5A,286,212,243,175,262,232,,,,,,,
ZG16,30,20,39,25,28,32,,,,,,,
KLC2,7324,6398,5202,6089,8198,6332,,,,,,,
SLC22A1,6,2,1,5,3,0,,,,,,,
TEX36,0,0,0,0,0,0,,,,,,,
CTBP2,12608,9952,8732,8567,12928,9954,,,,,,,
CHST2,176,170,2736,2883,979,492,,,,,,,
ZDHHC14,2150,1673,1385,1532,2051,1257,,,,,,,
ATR,8409,7126,8384,8418,9863,7890,,,,,,,
LRRC75A-AS1,55095,47724,49552,51878,57671,48132,,,,,,,
UBE2C,113,102,92,131,97,50,,,,,,,
DSG4,0,0,301,526,0,0,,,,,,,
GK5,4907,2966,6005,3873,5758,4711,,,,,,,
VCPIP1,3802,2839,3126,2805,4474,3365,,,,,,,
RTP1,0,0,0,0,0,0,,,,,,,
DES,0,17,0,1857,4,0,,,,,,,
PDIK1L,2490,2011,1511,1585,2025,1379,,,,,,,
SPSB4,201,193,16,20,19,6,,,,,,,
RAG2,7,2,5,3,6,3,,,,,,,
TRAF6,1829,1433,1444,1397,2086,1563,,,,,,,
ZNF654,1887,1825,1935,1524,2459,1954,,,,,,,
TVP23C,635,461,465,403,829,641,,,,,,,
MRPS22,4691,4435,5110,5867,5740,4025,,,,,,,
PACS1,6734,4459,6072,5447,8467,7116,,,,,,,
WFDC5,0,0,0,0,0,0,,,,,,,
MARCKSL1,38403,33262,23283,24378,32746,23203,,,,,,,
SH3BP5L,3187,2834,2659,2946,3719,2526,,,,,,,
OR2T1,0,0,0,0,0,0,,,,,,,
TMEM51-AS1,17,24,35,21,85,50,,,,,,,
YPEL2,486,286,735,468,748,596,,,,,,,
CADM2,523,433,271,240,345,444,,,,,,,
ABO,109,78,85,63,95,71,,,,,,,
PSMD2,24187,22522,28403,33829,35799,24727,,,,,,,
FAM182B,18,11,76,24,19,22,,,,,,,
PPM1E,5976,4332,3306,3365,8256,6386,,,,,,,
FAM131A,106,57,100,111,137,152,,,,,,,
CSRP2,2367,2337,2190,1916,2963,1901,,,,,,,
INHBC,35,17,66,58,55,65,,,,,,,
PARL,3926,3938,4067,5152,4807,3681,,,,,,,
DDIT3,1037,1040,735,955,1502,1147,,,,,,,
PCCA,1201,959,1246,1287,1511,914,,,,,,,
HIGD2B,3,3,5,12,8,5,,,,,,,
DCTN2,9010,7183,8088,7814,10869,8661,,,,,,,
NPPA,28,14,27,21,31,18,,,,,,,
ZNF408,837,924,766,1004,1063,677,,,,,,,
CTDSP2,13443,9253,9523,7555,13041,11120,,,,,,,
CKAP5,47494,37754,32787,33604,51634,40870,,,,,,,
ARHGAP1,4027,3411,3539,3880,5236,4231,,,,,,,
MED16,4711,4365,4487,4586,5420,4113,,,,,,,
ATG13,7191,5209,5602,5301,7547,6061,,,,,,,
GAL3ST3,17,2,16,19,22,29,,,,,,,
C1orf127,22,14,12,11,28,27,,,,,,,
CHST1,37,23,5,12,22,5,,,,,,,
GOLGA8A,12518,7453,13883,11001,13322,10755,,,,,,,
VWA3A,3,1,6,13,5,5,,,,,,,
TP53I11,4977,3485,2318,1412,3662,3238,,,,,,,
CENPS,1519,1407,1330,1633,1726,1176,,,,,,,
DOLK,1329,1467,1406,2103,2332,1484,,,,,,,
PHYHD1,64,47,60,46,57,65,,,,,,,
CATSPER1,9,3,11,6,19,13,,,,,,,
CCNE2,3008,2889,2057,2419,2558,1586,,,,,,,
PHYKPL,3808,2632,3369,2993,4419,3634,,,,,,,
ANKS4B,73,52,68,52,66,74,,,,,,,
CST6,0,0,0,0,2,1,,,,,,,
GRAMD2,27,18,26,17,29,30,,,,,,,
ZNF519,3227,2413,2356,1983,2835,2375,,,,,,,
LSM1,2931,3175,3056,3672,4320,2869,,,,,,,
PROP1,0,2,0,0,0,0,,,,,,,
ISX,0,0,0,0,1,0,,,,,,,
BANF1,13460,13419,11747,15444,16706,12853,,,,,,,
APOF,63,46,34,43,58,41,,,,,,,
CHRNA7,3077,2324,2669,2516,3422,2230,,,,,,,
TMEM9B,1654,1652,1707,2074,2506,1746,,,,,,,
NRIP3,1408,1124,1011,1151,2519,2057,,,,,,,
PTPN2,3299,3299,2985,3712,4631,3188,,,,,,,
SCUBE2,900,599,1292,2982,3936,3683,,,,,,,
EIF1AD,2730,2722,2153,2713,3402,2091,,,,,,,
SMAD2,10015,8261,7741,7669,12039,8987,,,,,,,
EIF3F,8504,7573,7630,8570,10927,8193,,,,,,,
ZNF25,1136,761,1281,1040,1412,1307,,,,,,,
OR10P1,0,0,0,0,0,0,,,,,,,
ARL10,196,140,264,289,273,339,,,,,,,
CLTB,4426,4010,4260,5215,6968,5055,,,,,,,
PCSK1,5,0,1,4,0,11,,,,,,,
LPL,274,200,10,99,1,17,,,,,,,
RFESD,305,250,279,221,509,412,,,,,,,
CCDC14,16991,13461,12610,11543,15998,11846,,,,,,,
TBC1D10C,68,52,98,58,110,96,,,,,,,
SART1,9699,8642,7526,8226,10809,8024,,,,,,,
PPP2R2D,4384,3878,3447,3966,5081,3432,,,,,,,
MCTP1,454,323,331,283,321,256,,,,,,,
POLD4,627,386,574,372,908,731,,,,,,,
OR52W1,4,1,1,4,2,0,,,,,,,
LRRC25,52,32,35,34,40,42,,,,,,,
DPP10,2077,1566,42,66,325,309,,,,,,,
CLCF1,212,155,116,103,254,213,,,,,,,
TSGA10IP,0,0,1,2,0,0,,,,,,,
GPR152,0,1,1,1,2,0,,,,,,,
UBQLNL,11,3,13,12,8,14,,,,,,,
UBQLN3,0,1,1,0,0,0,,,,,,,
PNLIP,0,0,0,0,0,0,,,,,,,
LIPT2,253,224,153,163,232,162,,,,,,,
KCNE3,68,50,45,45,68,66,,,,,,,
CABP4,56,33,36,46,64,54,,,,,,,
ALG10B,5936,3784,5183,3937,4809,4511,,,,,,,
DRAP1,3495,3093,3057,3245,4684,3512,,,,,,,
LONRF3,112,73,56,23,71,54,,,,,,,
UCP3,128,149,108,130,119,52,,,,,,,
UCP2,1611,1149,1352,1090,2042,1806,,,,,,,
C11orf68,1416,1303,1392,1540,2136,1691,,,,,,,
PAAF1,2476,2438,2034,1992,2819,2330,,,,,,,
MRPL48,2873,2946,1732,2444,3355,2480,,,,,,,
RAB6A,8021,6295,6576,6353,11740,8273,,,,,,,
P2RY2,145,97,324,349,413,260,,,,,,,
FOSL1,1553,1232,1481,1675,1895,1270,,,,,,,
ERCC4,3012,2447,2529,2197,2936,2138,,,,,,,
SUGCT,83,59,198,108,116,303,,,,,,,
CCDC85B,5985,5346,6019,6619,6752,4975,,,,,,,
TMEM70,3175,3290,2494,3381,3571,2140,,,,,,,
LINC00476,489,397,206,259,514,412,,,,,,,
OR4B1,0,0,0,0,0,0,,,,,,,
RPS6KB2,3753,3454,3090,3768,4870,3596,,,,,,,
RMI2,3135,2492,2097,1688,2524,2519,,,,,,,
PRM1,0,0,0,0,0,0,,,,,,,
TOM1L2,2216,1547,1534,1452,3601,2683,,,,,,,
TEX26,0,0,0,0,1,0,,,,,,,
GOLGA8DP,0,0,0,2,0,0,,,,,,,
ZNF77,707,655,546,496,760,560,,,,,,,
GPR156,12,19,7,16,27,8,,,,,,,
LINC00521,10,4,8,4,3,6,,,,,,,
KDF1,0,0,0,0,3,0,,,,,,,
B3GNTL1,856,759,814,915,1367,1076,,,,,,,
RBMXL3,7,2,0,2,3,5,,,,,,,
MLXIP,8224,5711,7152,5856,7349,6094,,,,,,,
NR2F1,3631,2524,2144,2292,5334,3455,,,,,,,
AURKAIP1,8594,8313,8664,10821,11403,8380,,,,,,,
TTLL11,679,521,423,427,471,310,,,,,,,
EIF4E1B,3,2,12,5,5,13,,,,,,,
TOMM5,6761,6405,6586,8100,7107,5336,,,,,,,
C15orf53,0,0,0,0,0,0,,,,,,,
SLC35E3,2880,2354,3000,2850,3741,2894,,,,,,,
PRIMA1,1754,1786,305,407,2855,2594,,,,,,,
ZNF169,1703,1163,1709,1434,1844,1767,,,,,,,
RUVBL1,17958,17555,15934,20654,21831,15303,,,,,,,
SFN,16,10,7,15,43,40,,,,,,,
MSRA,459,449,281,378,338,237,,,,,,,
ZNF645,0,0,1,0,0,1,,,,,,,
CCDC168,52,55,119,69,91,39,,,,,,,
CTDNEP1,12281,10646,10757,11984,16091,12413,,,,,,,
ETV4,158,70,414,297,910,913,,,,,,,
SWI5,1173,1167,1042,1413,1442,977,,,,,,,
GAPT,7,5,4,4,5,2,,,,,,,
BAIAP2,1827,1816,1321,1264,2452,1800,,,,,,,
CALCB,14,2,2,1,13,6,,,,,,,
CREG2,144,72,66,96,66,83,,,,,,,
WBSCR28,0,1,1,0,2,2,,,,,,,
HOXD8,1192,991,1227,1336,1238,983,,,,,,,
ZDHHC21,3629,2476,3222,3023,4010,2521,,,,,,,
TSPEAR,5,1,7,4,1,6,,,,,,,
PLEKHF2,1364,1255,1175,1300,2107,1379,,,,,,,
A2M,29,12,24,24,16,14,,,,,,,
ARL4D,375,294,356,324,593,383,,,,,,,
DOK7,14,12,17,17,20,17,,,,,,,
LRRN1,5252,4734,4818,4976,173,202,,,,,,,
UBE2O,11220,9428,8391,8576,12634,9604,,,,,,,
ORAI3,215,188,294,174,564,555,,,,,,,
KLHL38,0,0,0,2,0,0,,,,,,,
FLJ34503,4,1,4,1,3,1,,,,,,,
UNC119B,11175,9649,8981,9618,12952,8064,,,,,,,
DENND2C,899,589,711,659,1101,937,,,,,,,
PLEKHD1,98,61,68,65,98,88,,,,,,,
ASCL3,17,7,6,5,11,11,,,,,,,
TUBB6,11271,10320,8199,8641,13220,10995,,,,,,,
LYSMD3,3502,2478,2950,3499,4555,3672,,,,,,,
AMIGO3,56,60,56,99,60,28,,,,,,,
B3GALT6,2895,2655,2901,3262,3046,1732,,,,,,,
ZNF613,395,333,344,301,432,310,,,,,,,
C11orf16,19,24,24,24,38,15,,,,,,,
TMPRSS7,8,2,4,2,1,7,,,,,,,
NUPR1,175,191,212,182,192,203,,,,,,,
JAKMIP2,283,242,8532,2246,24,29,,,,,,,
MBLAC2,2374,1812,1773,1503,2211,1760,,,,,,,
TPRN,3104,3130,2895,3393,3217,1990,,,,,,,
KCNE5,13,9,18,15,18,16,,,,,,,
ZNF683,2,4,2,1,0,2,,,,,,,
SLC35A4,1,1,3,4,1,0,,,,,,,
CRYBG2,61,29,74,51,106,89,,,,,,,
IP6K1,7865,6949,6184,7610,9025,6124,,,,,,,
SSNA1,4322,4421,4076,4861,5305,3565,,,,,,,
CSTF3,9460,7497,8546,8196,9545,7643,,,,,,,
YES1,16265,12468,14024,15452,17223,11237,,,,,,,
CHMP6,912,635,765,844,1029,682,,,,,,,
DLEU1,1732,1460,1348,1665,1968,1370,,,,,,,
UFSP1,109,80,81,76,107,55,,,,,,,
MC5R,3,4,19,9,8,3,,,,,,,
TMEM39A,3162,2414,2561,2625,3898,2765,,,,,,,
TCP11L1,1683,1052,1818,1365,2297,2092,,,,,,,
GPX2,63,37,36,28,73,47,,,,,,,
CCDC57,3421,2461,3020,2835,3315,2667,,,,,,,
HSF5,1,1,0,0,0,1,,,,,,,
FOXG1,2113,1197,1362,1248,1970,1857,,,,,,,
SPHK1,295,252,671,660,610,524,,,,,,,
BNIP3,8370,8880,8293,8044,14004,16681,,,,,,,
ENTHD1,1,0,1,0,1,1,,,,,,,
MYPOP,1148,987,1327,1365,1679,1088,,,,,,,
CIDEA,0,0,0,0,0,1,,,,,,,
OR11H4,2,0,1,0,0,0,,,,,,,
OR4D11,0,0,0,0,0,0,,,,,,,
LRRTM4,62,50,57,71,76,80,,,,,,,
ATAD5,7216,5073,5236,4123,5666,5222,,,,,,,
SMIM19,2832,2579,2209,2212,2532,2208,,,,,,,
OR11H6,0,0,0,0,0,0,,,,,,,
ZNF404,33,20,44,34,46,27,,,,,,,
RTTN,3814,3176,3341,3301,3879,3601,,,,,,,
OR4K17,0,0,0,0,0,0,,,,,,,
OR10H4,0,0,0,0,0,0,,,,,,,
OR51B6,0,0,1,0,0,0,,,,,,,
ACBD7,1117,821,388,366,432,396,,,,,,,
OR4L1,0,0,0,0,0,0,,,,,,,
ANAPC2,4762,4446,4666,5447,5703,3986,,,,,,,
OR4K13,0,0,0,0,0,0,,,,,,,
HMGB4,0,0,0,0,0,0,,,,,,,
ZBTB8OS,2837,2457,3459,3968,4302,3553,,,,,,,
OR4F21,0,0,0,0,0,0,,,,,,,
SLC35G1,1875,1615,2713,2957,3338,2362,,,,,,,
OR4K5,0,0,0,0,0,0,,,,,,,
ZNF135,21,19,14,17,15,21,,,,,,,
OR4N2,0,1,0,2,0,0,,,,,,,
OR4M1,0,0,0,0,0,0,,,,,,,
FOXR1,1,2,1,3,0,3,,,,,,,
COX8A,12863,12854,11123,13950,17783,13257,,,,,,,
TAC4,5,11,3,7,16,23,,,,,,,
ZSCAN2,1322,1169,1475,1391,2048,1542,,,,,,,
PRR18,22,17,10,13,29,14,,,,,,,
B3GNT4,297,238,229,179,383,441,,,,,,,
CDC26,1066,1076,908,1111,1087,771,,,,,,,
HSD11B2,1020,762,426,450,777,676,,,,,,,
CRLF3,3844,2642,2912,2820,3452,2764,,,,,,,
RNPEP,7861,6915,5969,6136,8878,6819,,,,,,,
EID2,2814,2468,2492,2444,2970,2205,,,,,,,
DMRTA1,261,263,52,60,478,295,,,,,,,
EID2B,579,413,478,425,667,566,,,,,,,
GJC3,9,19,10,11,12,11,,,,,,,
RIMS2,1010,790,152,160,282,196,,,,,,,
KCMF1,4431,3826,4553,5437,5818,4709,,,,,,,
DNAJC30,1335,1049,1249,1385,1774,1292,,,,,,,
SPRYD4,2069,1721,2125,2045,2797,2138,,,,,,,
VPS37D,743,571,560,511,682,636,,,,,,,
CLEC14A,0,0,0,0,0,0,,,,,,,
SYNE3,542,375,264,239,697,641,,,,,,,
CLK2,3187,2643,2192,2289,3214,2542,,,,,,,
LPCAT4,2594,1903,2281,2060,3442,3105,,,,,,,
SLCO3A1,1671,1223,877,935,875,979,,,,,,,
ZNF575,44,47,37,37,136,80,,,,,,,
WDR25,763,635,510,451,659,507,,,,,,,
SGF29,974,982,495,732,903,597,,,,,,,
PLA2G16,8514,10133,10828,15751,19264,13391,,,,,,,
DIRAS1,4491,3474,3991,3746,4792,3695,,,,,,,
OR5AN1,0,0,0,0,0,0,,,,,,,
OR10AC1,0,0,0,0,0,0,,,,,,,
PHLDB3,588,563,521,516,963,769,,,,,,,
PRR15,149,76,26,26,912,1043,,,,,,,
GNG7,1669,1213,1595,1401,2081,1711,,,,,,,
USF3,5411,4251,3178,2312,4905,4652,,,,,,,
OR4C3,0,0,0,0,0,0,,,,,,,
OR4S1,0,0,0,0,0,0,,,,,,,
CNTD1,127,127,104,111,157,121,,,,,,,
DCAF4L2,0,0,1,0,0,0,,,,,,,
OR4X1,0,0,0,0,0,0,,,,,,,
CNBD1,0,0,0,0,0,0,,,,,,,
DMBT1P1,46,28,22,23,25,30,,,,,,,
LOC100128398,187,142,167,139,209,198,,,,,,,
KBTBD11,2334,1827,1834,1574,2294,1649,,,,,,,
B3GNT5,6245,5082,5907,6581,5973,4504,,,,,,,
MAP3K19,0,0,3,0,1,0,,,,,,,
C14orf177,0,0,0,0,0,0,,,,,,,
LMNB2,42377,35788,31661,33260,40895,28195,,,,,,,
RMDN1,5820,4219,5451,5162,7035,5408,,,,,,,
MEX3C,4428,3440,2576,2204,4141,3462,,,,,,,
HORMAD2,0,0,0,0,1,2,,,,,,,
RNF152,2615,1638,638,466,2130,1703,,,,,,,
MYO1D,1518,959,1146,1142,1485,1323,,,,,,,
FOXL1,90,48,33,6,19,45,,,,,,,
TGIF2LY,0,0,0,0,0,0,,,,,,,
LRRC37A,72,50,277,239,69,70,,,,,,,
FOXC2,0,6,2,1,2,0,,,,,,,
OR4F17,0,0,0,0,0,0,,,,,,,
BDNF,9,9,4,2,6,5,,,,,,,
CCDC121,569,501,479,545,923,712,,,,,,,
ACSF3,3328,2827,3125,3373,3447,2597,,,,,,,
BOK,137,111,65,102,339,333,,,,,,,
ZNF843,116,98,62,74,170,150,,,,,,,
C8orf59,3594,3481,2732,3465,4135,3232,,,,,,,
PFN4,40,29,37,15,47,35,,,,,,,
OR51V1,0,0,0,0,0,0,,,,,,,
MAGEB6,12,9,0,2,7,0,,,,,,,
OR52Z1,0,0,0,0,0,0,,,,,,,
CDK5R1,1543,1241,1350,1313,1583,1187,,,,,,,
LINC00303,1,0,1,0,6,1,,,,,,,
TCERG1L,11,9,8,9,24,14,,,,,,,
NCKAP5,0,1,0,0,2,0,,,,,,,
MAGEB18,0,0,0,0,0,0,,,,,,,
DEFB104A,0,0,0,0,0,0,,,,,,,
RUFY1,5401,5018,3204,3640,5593,4619,,,,,,,
OR52E2,0,0,0,0,0,0,,,,,,,
BASP1,12062,8837,324,344,4723,5632,,,,,,,
DEFB103A,0,0,0,0,0,0,,,,,,,
OR51L1,0,0,0,0,0,0,,,,,,,
LRRC37A3,1223,941,1479,1245,967,935,,,,,,,
FKBP9P1,310,255,262,211,383,284,,,,,,,
VSIG10,6114,4836,4047,3914,8089,7032,,,,,,,
MIR7-3HG,16,19,21,17,14,10,,,,,,,
IRX5,1698,1377,1807,1744,1665,1033,,,,,,,
METRNL,891,818,1022,1130,1282,1049,,,,,,,
FAM91A1,8183,6634,7280,6952,8710,6915,,,,,,,
WSB2,5883,4903,6008,6778,8373,6509,,,,,,,
GRIN1,9,8,44,21,9,9,,,,,,,
SOX11,436,262,692,250,361,479,,,,,,,
TYMS,25648,24734,15479,17429,23434,16878,,,,,,,
OR51G2,0,0,0,0,0,0,,,,,,,
PXMP2,3222,2968,2057,2512,2691,1923,,,,,,,
OR51A7,0,0,0,0,0,0,,,,,,,
TCEANC,617,520,485,466,559,498,,,,,,,
OR51T1,0,0,0,0,0,0,,,,,,,
PNMA1,5057,4660,4612,6178,7649,5203,,,,,,,
OR51H1,0,0,0,0,0,0,,,,,,,
C8orf4,0,0,51,13,0,2,,,,,,,
MAMSTR,114,66,92,66,142,138,,,,,,,
ANKLE2,12198,10471,9031,9862,13358,9877,,,,,,,
C8G,21,18,19,22,45,29,,,,,,,
FUT2,267,120,168,79,211,210,,,,,,,
OR51S1,0,0,0,0,0,0,,,,,,,
OR51F2,0,0,0,0,0,0,,,,,,,
EFCAB5,55,69,75,59,90,64,,,,,,,
GCNT4,33,15,42,66,187,84,,,,,,,
MUC20,23,19,21,24,39,16,,,,,,,
THAP4,8314,7483,6704,7846,8579,6704,,,,,,,
NFATC2IP,11611,9356,9813,9738,13765,10378,,,,,,,
LY6H,4,4,14,11,11,4,,,,,,,
FIBIN,0,0,0,4,0,0,,,,,,,
FAM89B,1742,1814,1234,1477,1711,1019,,,,,,,
SHMT1,7287,5999,5658,6169,8001,6560,,,,,,,
DPP7,12932,12248,10106,11613,13356,9358,,,,,,,
TRIM60,3,3,8,2,5,10,,,,,,,
SEC24C,11873,10738,12054,14162,16394,11329,,,,,,,
FMR1NB,0,1,0,0,0,1,,,,,,,
SMCR8,6585,5734,5808,6694,7742,5317,,,,,,,
MTHFR,2229,1562,2206,2153,3169,2498,,,,,,,
DEFB104B,0,0,0,0,0,0,,,,,,,
