gene_name,C666-1_WTa,C666-1_WTb,C666-1_WTc,C666-1_Koa_TP53,C666-1_Kob_TP53,C666-1_Koc_TP53
HSPA1B,0,0,0,0,0,0
HSPA1A,0,0,0,0,0,0
LSM2,368,451,536,410,467,494
NOL4L-DT,0,0,0,0,0,0
CARD16,2,1,0,2,0,2
CASP12,0,0,0,0,0,0
MBD5,150,62,103,76,85,51
MSH5,61,25,53,27,51,33
CSHL1,0,0,0,0,0,0
MPIG6B,0,0,0,0,0,0
ABHD16A,2,0,2,3,0,2
LY6G5C,0,0,0,1,0,1
CSNK2B,0,0,0,0,0,0
GPANK1,0,0,0,0,0,0
C6orf47,0,0,0,0,0,0
FAM155A,0,5,3,1,0,0
APOM,5,1,0,0,0,0
LINC02872,0,0,0,0,0,0
TRIM49C,0,2,0,1,0,0
TRIM64,0,0,0,0,0,0
TRIM51BP,0,0,0,0,0,0
LINC01854,0,0,0,0,0,0
BAG6,257,173,689,278,437,479
PRRC2A,0,0,0,2,0,0
TBC1D3P4,0,0,0,0,0,0
AIF1,0,0,0,0,0,0
PRAMEF20,0,0,0,0,0,0
PRAMEF17,0,0,0,0,0,0
PRAMEF19,0,0,0,0,0,0
PRAMEF14,0,0,0,0,0,0
LST1,2,0,0,0,0,0
NFKBIL1,0,0,0,0,0,0
ZNF814,22,20,14,22,13,21
AADACL4,0,0,0,0,0,0
ZNF551,162,84,66,157,107,105
MICA,0,0,0,0,1,0
ZNF805,56,18,34,39,41,35
HLA-C,0,0,1,0,0,0
POU5F1,27,14,14,14,15,14
ZSCAN5C,0,0,0,0,0,0
CCHCR1,7,2,21,8,7,5
PSORS1C2,0,1,2,0,0,0
CDSN,0,0,0,0,0,0
PSORS1C1,0,0,0,0,3,1
MUC21,0,0,0,0,0,0
DEFB122,0,0,0,0,0,0
DEFB121,0,0,0,0,0,0
CFTRP3,0,0,0,0,0,0
DHX16,1,0,0,1,0,0
C6orf136,0,0,16,5,15,6
KRTAP5-11,26,18,13,29,20,19
KRTAP5-10,0,0,0,0,0,0
ABCF1,12,129,47,42,24,0
PRR3,0,4,1,0,0,11
LILRB3,0,0,0,0,0,0
DDR1,369,215,653,388,286,361
ACOXL-AS1,12,0,1,0,2,0
LRCOL1,0,0,0,0,0,0
LINC01123,0,0,0,0,0,0
GNL1,6,0,12,2,0,8
DPRX,0,0,0,1,0,0
LINC01257,15,18,25,13,12,6
ZNF468,365,174,446,497,362,302
TRIM15,1,0,0,0,0,0
ZNF616,281,149,95,202,214,179
FOXB2,0,0,0,0,0,0
TRIM10,0,2,0,0,4,0
TRIM40,0,0,0,0,0,0
TRIM31,0,0,1,0,0,1
PPP1R11,0,0,0,0,0,0
HLA-J,0,10,10,10,11,9
ZNRD1ASP,2,4,2,1,1,0
DISP3,34,14,42,18,39,15
HCG9,0,0,0,0,0,0
RACK1,12613,14135,27875,12057,11861,15781
HLA-G,0,0,0,0,0,0
TBC1D8,725,439,486,708,551,618
NMS,0,0,0,0,0,0
HLA-F,1,1,19,10,11,5
SSX9P,1,0,0,1,1,3
LINC02210,2,1,0,1,0,3
ASPDH,3,3,3,4,2,7
MOG,0,0,0,0,0,0
OR2H2,0,0,0,0,0,0
CST9LP2,0,0,0,0,0,0
CBY3,5,4,2,2,2,5
C5orf60,1,2,0,0,0,0
CST13P,0,0,0,0,0,0
LOC400710,2,0,6,0,0,0
C9orf57,0,0,0,0,0,0
IL31,0,0,0,0,0,0
AKT1S1,886,904,1898,1014,1174,1360
FAM153CP,1,4,1,2,4,2
GABBR1,70,69,101,70,75,87
MIR1915HG,48,26,56,44,49,45
LOC284788,0,0,0,0,0,0
MAS1L,0,0,0,0,0,0
OR2H1,0,0,0,0,0,0
OR12D3,0,0,0,0,0,0
OR11A1,0,0,0,0,0,0
UBTFL3,0,0,0,0,0,0
OR2J2,0,0,0,0,0,0
OR2J3,0,0,0,0,0,0
OR2J1,0,0,0,0,0,0
OR2B3,0,0,0,0,0,0
UBTFL5,0,0,0,0,0,0
MAMDC2-AS1,1,1,0,2,0,2
SPDYC,40,33,49,38,41,43
C9orf135,0,0,0,0,0,0
TRIM27,4,6,2,9,3,0
CNN2P12,0,0,0,0,0,0
MALRD1,0,0,0,0,0,0
LINC01951,1,0,0,0,0,0
LOC100268168,23,6,16,21,14,14
RANBP17,354,210,32,234,107,187
INSYN2B,1,0,0,0,0,0
FOXD4L5,21,41,16,46,26,32
LOC728877,0,0,0,0,0,0
LINC01291,0,0,0,0,0,0
LOC102724238,3,0,15,3,1,1
TTC25,39,25,16,25,20,20
MRPL53,304,359,496,327,327,290
ST8SIA6-AS1,11,1,0,1,0,1
ATXN2,703,779,762,1085,1131,990
DCTN1,2137,1702,3554,2232,3338,3232
SPATA31A1,0,0,0,0,0,0
PNMA8B,0,0,3,0,0,0
TCTN1,393,339,256,372,254,424
FAM216A,275,300,235,480,309,326
ZBTB48,179,233,275,163,128,254
IGFL2,1,1,0,1,4,2
IGFL4,6,3,0,15,4,6
NAT8B,0,0,0,0,0,0
KRTAP9-3,0,0,0,0,0,0
LOC389602,1,2,0,2,1,0
KRTAP4-8,0,0,0,0,0,0
GPR20,0,0,0,0,1,0
KRT25,0,0,0,0,0,0
MZT1,447,458,154,1153,739,712
LINC01545,0,2,0,0,3,2
SPINK9,5,0,1,4,1,1
LRRC3C,0,0,0,2,0,0
PRR20A,0,0,2,0,0,1
ZNF155,103,51,20,120,41,26
UQCC3,111,129,301,110,145,184
FBXO48,71,87,27,101,115,121
GRXCR2,0,0,0,0,0,0
LOC101927533,0,0,0,0,0,1
FAM221B,0,3,0,0,2,0
ATP6V0E2-AS1,89,89,124,71,44,44
CD177,399,275,396,523,971,938
PSG5,0,0,0,0,1,0
ZNF783,699,477,694,307,334,349
ZNF425,116,126,173,110,122,125
FAM83A-AS1,0,0,0,0,0,0
LRRC10B,1,12,0,2,4,3
FBXO47,0,0,0,0,0,0
C12orf73,236,272,195,261,265,214
PCDHGA1,2,1,1,2,2,2
BLACE,0,0,0,0,0,0
PCDHA9,3,0,2,2,0,1
PCDHA8,4,0,3,0,1,0
PCDHA7,0,0,0,0,0,0
PCDHA5,0,0,0,0,0,0
PCDHA4,31,27,1,29,19,20
PCDHA2,0,0,0,0,0,0
PCDHA1,0,0,0,0,0,1
TRIM13,539,439,208,772,553,503
ERICH4,0,0,0,0,0,0
MS4A13,0,0,0,0,0,0
PRSS3P4,0,0,0,0,0,0
PRSS1,0,0,0,5,3,0
OR4D8P,0,0,0,0,0,0
SPIRE2,180,139,167,119,167,219
CRTC1P1,0,2,5,0,0,0
AARD,3,2,0,0,2,0
LINC02138,0,0,0,0,0,0
LOC100129697,0,0,0,0,0,0
PABPN1L,0,0,0,0,0,0
OR5D16,0,0,0,0,0,0
OR5L2,0,0,0,0,0,0
LOC440040,0,0,0,0,0,0
LOC400553,2,0,0,0,0,0
PKHD1L1,0,0,0,0,0,0
SLFN12L,0,0,0,0,0,0
LINC01121,1,1,2,0,0,0
CLLU1-AS1,0,0,0,2,0,0
SLC35B4,682,421,380,636,592,363
LGALS7,0,0,0,0,0,0
SYCE1L,8,7,9,10,18,45
TMEM231,330,242,494,370,625,591
FAM71F2,0,3,0,2,2,0
C2orf91,3,4,5,9,4,1
CCNI2,3,2,0,0,1,2
TMEM240,7,6,7,9,14,8
LINC02716,0,0,1,0,1,0
FAM205A,0,0,0,0,1,0
CDKL4,0,0,0,2,0,0
TMEM88B,0,0,0,0,0,0
ACCSL,0,0,0,0,0,1
C4orf47,3,2,0,5,4,9
TRIQK,169,149,97,285,231,177
SDHAF1,89,135,232,127,109,152
ARID3C,0,1,1,1,1,2
PSENEN,303,399,413,379,425,492
C7orf66,0,0,0,0,0,0
C11orf91,2,1,4,2,0,0
LINC00654,0,0,0,0,1,1
SLC10A5P1,0,0,0,0,0,0
FABP9,0,0,0,0,0,0
ZBTB10,828,463,196,974,893,703
C4orf46,806,691,242,930,812,670
SCGB2B2,2,11,1,1,0,1
CCDC144NL,47,7,8,23,22,11
LGR4,1363,1194,370,1273,1382,943
PSMB10,254,353,616,327,376,436
VIT,2,12,2,6,5,4
TTLL10-AS1,2,0,1,0,0,0
SPDYE2,45,6,8,4,9,5
OR7E36P,0,0,0,0,0,0
E2F4,1251,983,1822,1177,1223,1328
DGAT2L7P,0,0,0,0,0,0
PDE7A,442,363,116,499,470,415
TMEM170B,81,45,14,118,98,85
TRBV20OR9-2,1,0,0,0,0,0
MUC12,2,2,4,0,0,0
CTXN3,0,0,0,0,0,0
LINC01602,35,10,4,11,11,4
MGAT4D,0,0,0,0,0,0
SNX2,1651,1602,495,1772,1414,1161
SAP25,547,756,1575,609,794,1022
NT5M,102,69,173,72,115,120
GCNT2P1,0,0,0,0,0,0
SARNP,881,1109,321,1081,964,915
OR6C68,0,0,0,0,0,0
OR6C65,0,0,0,0,0,0
OR6C3,0,0,0,0,0,0
OR6C1,0,0,0,0,0,0
OR6C72P,0,0,0,0,0,0
LINC01460,4,7,1,7,1,3
ADGRG1,95,42,141,283,283,180
IPO7,5134,3939,1082,4699,3897,2869
PRR13,3692,3845,4601,3708,4096,4046
TECPR1,341,218,430,91,213,408
MT1H,0,0,0,0,0,0
SLCO6A1,0,0,0,0,0,0
MT1A,0,0,0,0,0,0
INSYN1,0,0,0,3,0,0
MT1M,0,0,0,0,0,0
LINC00661,0,0,0,0,0,0
CFI,0,1,2,1,0,0
OR52E6,0,0,0,0,0,0
SAMD9,243,230,14,246,216,157
KRT6A,2,2,0,7,9,6
CNEP1R1,152,201,69,277,180,280
KRT81,28,21,21,34,17,20
EXOC3L4,0,1,9,6,2,8
KRTAP12-3,0,0,0,0,0,0
IZUMO3,0,0,0,0,0,0
KU-MEL-3,0,0,0,0,0,0
KRTAP10-2,0,2,0,0,0,0
TP53TG3D,0,0,0,0,0,0
TP53TG3C,0,0,0,0,0,0
ATP6AP1L,40,47,41,51,50,27
CCDC85C,1084,1022,2309,1308,1486,1634
LOC100133091,59,62,49,56,59,31
OR52J3,0,0,0,0,0,0
OR51A2,0,0,0,0,0,0
OR51A4,0,0,0,0,0,0
MAPRE3-AS1,8,7,10,5,4,12
C2CD4B,0,0,0,0,0,0
RGL3,0,0,0,0,0,0
NAP1L4,0,1,0,1,0,2
TMSB4X,6811,6136,6037,6059,4787,5212
TMEM256,128,209,362,130,178,270
C9orf92,0,0,0,0,0,0
CHKB-DT,7,2,8,17,5,2
CPT1B,213,257,160,194,217,251
SMN1,32,0,1,23,1,0
SERF1A,0,0,0,0,0,0
HMGN1,5027,4955,2188,4903,3940,4138
MUC19,696,467,6,1,0,0
DENND6B,171,137,154,79,125,123
EIF3CL,23,65,802,294,529,1734
LOC107985433,33,20,12,35,25,35
LINC01446,0,0,0,0,0,0
LCMT1,470,532,451,581,648,633
LINC01310,0,0,0,0,0,0
LINC00898,0,0,0,0,0,0
LINC00583,0,0,0,0,0,0
MFSD2B,11,7,9,2,4,4
VCX3B,0,0,0,0,4,2
CDPF1,68,84,172,87,138,87
RPS2P23,0,0,0,0,0,0
LIN52,254,313,205,344,282,213
ARSH,3,1,0,0,0,0
ACOT6,0,0,0,0,0,0
SMIM11A,193,241,138,185,22,196
TECRL,0,0,0,0,0,0
DPF3,26,20,28,32,53,27
MANSC4,0,0,0,2,0,0
LOC100129554,0,0,0,0,0,0
ADARB2-AS1,0,0,0,0,0,0
CYP2D7,0,0,0,2,0,0
LINC00634,15,28,42,25,19,32
ETFRF1,170,125,26,164,156,132
C17orf107,15,10,18,12,2,15
MBD3L4,0,0,0,0,0,0
ITSN1,563,640,1000,702,758,643
ITPRIPL2,721,566,748,663,733,557
LOC107984285,19,10,11,22,12,11
DENND1C,199,278,431,160,269,288
PKD1P4,381,303,660,310,318,459
SLCO1B7,0,0,0,0,0,0
CRLF2,3,4,6,7,0,3
CRYZL1,327,293,122,320,202,244
RP9P,27,41,18,0,0,0
C5orf51,1619,1232,355,1625,1165,954
RPL31P5,0,0,0,0,0,0
CATSPER2P1,6,10,9,17,14,16
GAGE1,1296,1876,2278,1559,1611,1736
ARRDC5,0,0,0,0,0,0
LINC01531,0,0,1,0,0,0
DPP9-AS1,10,2,6,2,0,6
LOC344967,0,1,0,3,1,0
CYS1,1,42,2,1,4,3
PLPP6,445,385,223,400,397,311
KLRC2,0,0,1,0,0,0
KLRC3,6,0,0,4,2,1
C16orf96,1,0,4,1,0,0
GMNC,0,2,1,0,1,0
LINC00487,0,0,0,0,0,0
TTC23L,28,7,27,69,10,3
CLEC6A,0,0,0,0,0,0
OR7E91P,28,24,18,27,24,22
RFPL3S,7,4,2,5,10,13
C22orf42,0,0,0,0,0,0
NANOGNB,0,0,0,0,0,0
LRRC72,0,0,0,0,0,0
PCOTH,4,3,1,4,7,5
C1QTNF9B,0,0,0,2,0,0
FAM99A,0,0,0,0,0,0
RPS3AP47,2,0,0,0,0,3
DEFB134,0,5,1,1,2,1
DEFB135,0,0,0,0,0,0
DEFB136,0,0,0,0,0,0
C1RL-AS1,181,97,117,144,95,34
LOC100128770,22,16,23,11,15,34
OR7E136P,11,8,6,6,3,5
LOC100420864,0,1,0,2,0,0
BHLHA9,0,0,0,0,0,0
ZNF316,495,477,955,211,229,287
SRRM2-AS1,12,8,4,10,3,2
DAZ4,0,0,0,0,0,0
PDPK2P,149,97,173,169,116,123
ONECUT3,0,0,0,0,0,0
CEMP1,44,75,35,50,31,62
OLIG2,0,0,0,0,0,0
C21orf62,0,0,0,0,0,0
PPP1R12BP2,0,0,0,0,0,0
RNPS1,4805,4380,7745,4920,6181,6793
HSP90AB2P,4,6,2,2,11,4
DAZ2,0,0,0,0,0,0
USP17L6P,1,0,0,0,0,2
NYNRIN,19,12,26,25,35,31
DNAJC19,329,475,315,393,363,325
IFITM5,0,0,0,0,0,0
SMIM21,0,0,0,0,0,0
DEFB109B,0,0,0,0,0,0
DEFA7P,0,0,0,0,0,0
C18orf63,0,0,0,0,0,0
DEFA1,0,0,0,0,0,0
DOK6,0,0,0,0,0,0
JPT2,3541,3296,9459,4342,5466,4974
TMEM211,2,0,3,3,0,0
SERPINB11,0,0,0,0,0,0
SERPINB4,0,0,0,0,0,0
SERPINB5,707,641,308,291,243,266
ZDHHC11B,134,124,81,106,97,141
KRTAP19-8,0,0,0,0,0,2
KRTAP20-3,0,0,0,0,0,0
KRTAP20-4,0,0,0,0,0,0
KRTAP22-2,0,0,0,0,0,0
KRTAP27-1,0,0,0,0,0,0
CFAP99,2,8,13,4,7,22
GOLGA8O,0,0,2,0,0,0
LOC642484,1,0,0,0,0,0
TMEM191C,54,91,126,66,91,88
FAM230H,2,0,0,1,0,0
RPL23AP57,0,0,0,0,0,0
HERC2P9,283,182,76,341,179,223
RNASE13,0,0,0,0,0,0
GYG2P1,0,0,0,0,0,0
HBA1,19,29,68,3,35,28
HBM,0,0,0,0,0,0
HBZP1,0,0,0,0,0,0
ELOA2,1,0,0,0,0,0
LINC02346,0,0,0,0,0,0
ATP10A,0,0,0,0,0,0
DUXAP8,789,464,705,792,675,634
ANKUB1,0,0,0,0,0,0
TSSK2,0,0,0,0,0,15
DAXX,474,784,852,709,990,875
TAPBP,11,8,8,0,6,0
TAP2,0,0,0,0,0,0
HLA-DRB1,2557,4321,6256,3377,4949,5433
TSBP1,0,0,0,0,0,0
PPT2,0,0,0,0,0,0
TNXB,41,0,0,0,0,0
PRR23A,0,0,0,0,0,0
FOXL2NB,0,0,0,0,0,0
NELFE,160,263,416,215,168,192
DAXX,0,0,0,0,0,0
ZBTB22,0,0,0,0,6,4
TAPBP,371,594,482,454,743,708
RGL2,503,459,763,294,372,392
PFDN6,5,0,5,4,0,0
WDR46,2,5,8,5,3,8
B3GALT4,1,2,0,5,0,0
VPS52,0,0,0,0,0,0
RING1,0,8,0,0,0,0
RXRB,0,0,0,0,0,0
COL11A2,0,13,11,19,0,9
HLA-DPA1,66,120,136,98,127,116
HLA-DOA,0,0,11,10,0,2
TAP2,0,0,115,0,0,0
HLA-DQA1,0,0,0,0,0,0
HLA-DQB1,211,382,479,175,457,445
HLA-DQA1,258,823,625,436,1747,1539
TSBP1,0,0,0,0,0,0
NOTCH4,3,0,0,1,1,1
PBX2,711,842,863,730,718,735
PRRT1,3,2,1,1,4,1
HCP5,306,392,526,462,566,435
CYP21A2,0,0,0,0,0,0
C4A,25,2,6,51,0,8
STK19,81,77,89,90,72,123
HCG27,2,1,3,4,1,2
DXO,8,10,9,14,2,15
CCHCR1,0,0,0,1,0,0
LOC100652833,0,0,0,0,0,0
ZBTB12,56,69,105,45,52,51
EHMT2,461,348,1121,518,666,658
SLC44A4,0,0,0,0,0,0
FLOT1,368,365,602,415,637,781
COL6A6,15,17,2,5,6,6
CLIC1,0,0,0,2,0,0
DDAH2,57,44,176,25,26,48
MPIG6B,0,1,1,3,3,0
LY6G6C,0,0,0,0,0,0
LY6G6D,0,0,0,0,0,0
ABHD16A,11,9,2,0,3,8
LY6G5C,1,0,0,0,0,1
CSNK2B,11,10,10,13,10,16
GPANK1,135,131,267,149,198,225
GNL1,20,23,20,16,14,19
RAB12,917,988,202,826,876,828
LRRC30,0,0,0,0,0,0
TMEM200C,253,246,407,351,498,586
LST1,0,1,0,0,1,0
HLA-C,10,0,0,5,8,0
HLA-V,54,33,70,70,67,58
ATP6V1G2,0,6,0,0,0,0
HLA-F-AS1,0,0,0,0,0,0
PPIAP30,0,0,0,0,1,1
MICB,0,0,0,0,0,0
HLA-B,851,1033,1545,1049,1749,1823
HLA-C,0,0,0,0,0,1
TCF19,311,314,406,350,515,599
CCHCR1,158,181,218,206,227,312
PSORS1C1,2,0,0,0,2,0
PSORS1C2,0,0,1,0,0,1
CDSN,0,0,0,0,0,0
C6orf15,0,0,0,0,0,0
MUC21,0,0,0,0,0,0
GABBR1,0,0,0,0,0,0
OR2H2,0,0,0,0,0,0
UBD,720,781,559,900,803,685
VARS2,7,1,4,1,3,0
IER3,0,0,0,0,0,0
MDC1,3,0,3,4,0,0
PPP1R18,0,0,0,0,0,0
DHX16,0,0,0,0,0,0
C6orf136,2,1,0,0,0,0
PPP1R10,0,0,0,0,37,0
GNL1,0,0,0,0,0,0
TRIM39,0,0,0,0,0,0
RNF39,12,6,10,6,6,8
PPP1R11,223,170,289,177,219,233
POLR1H,18,41,44,22,19,22
HLA-A,496,956,2266,560,1826,2327
HCG9,0,0,0,0,0,0
HLA-A,237,275,495,336,337,433
HLA-G,0,0,0,0,0,0
HLA-V,0,6,0,0,7,11
GABBR1,0,0,0,0,0,0
OR2H2,0,1,0,0,0,0
MAS1L,0,0,0,0,0,0
OR2H1,0,0,0,0,0,0
OR2B3,0,0,0,0,0,0
HACD2,2092,1849,708,2595,2219,1882
CFAP44,202,258,26,118,92,52
CD200R1L,0,1,0,0,5,0
LNP1,25,19,25,42,28,32
OR5K3,0,0,0,0,0,0
VGLL3,4,1,0,1,0,3
KRBOX1-AS1,0,0,0,0,0,0
TRIM71,2,4,0,2,0,2
ZCWPW2,5,8,0,7,10,7
ANKRD28,1301,1324,778,1645,1137,953
COLQ,64,9,11,19,11,19
METTL6,281,311,162,319,286,205
THUMPD3-AS1,448,278,56,495,110,151
XKR4,438,244,328,715,774,467
RNU6-1292P,0,0,0,0,0,0
RNVU1-7,0,0,0,0,0,1
RNU6-46P,0,0,0,0,0,0
RNU1-28P,0,0,1,0,0,1
RNU6-132P,0,0,0,0,0,0
RNU6-47P,0,0,0,0,0,0
RNU6-877P,0,0,0,0,0,0
SNORA57,0,0,0,0,0,0
RNU6-1286P,0,0,0,0,0,0
RNU6-841P,0,0,0,0,0,0
RNU6-25P,0,0,0,0,0,0
RNU6-431P,0,0,0,0,0,0
SNORD58A,0,0,0,0,0,0
SNORA22B,3,1,0,0,0,0
RNU6-425P,0,0,0,0,0,0
RNU6-946P,0,0,0,0,0,0
RNU6-1296P,0,0,0,0,0,0
SNORD116-11,0,0,0,0,0,0
SNORA2A,0,0,0,0,0,0
RNU6-1336P,0,0,0,0,0,0
RNU6-477P,0,0,0,0,0,0
RNU6-338P,0,0,0,0,0,0
RNU6-741P,0,0,0,0,0,0
RNY1P5,0,0,0,0,0,0
RNU6-1264P,0,0,0,0,0,0
SNORD45C,0,0,0,0,0,0
SNORD116-14,0,0,0,0,0,0
SNORA69,48,0,0,1,12,44
RNU6-979P,0,0,0,0,0,0
RNU1-39P,0,0,0,0,0,0
RNU6-969P,0,0,0,0,0,0
RNU1-63P,0,0,0,0,0,0
SNORD60,0,0,0,0,0,0
RNU6-657P,0,0,0,0,0,0
SNORA80B,3,0,0,0,0,0
SNORA22,0,4,0,0,0,0
RNU6-1062P,0,0,0,0,0,0
SNORA70H,0,0,0,0,0,0
RNU6-672P,0,0,0,0,0,0
RNU6-449P,0,0,0,0,0,0
RNU6-1279P,0,0,0,0,0,0
SNORA70G,0,0,0,0,0,0
RNU6-608P,0,0,0,0,0,0
RNU6-1039P,0,0,0,0,0,0
RNU6-573P,0,0,0,0,0,0
RNU6-471P,0,0,0,0,0,0
RNU6-945P,0,0,0,0,0,0
RNU6-144P,0,0,0,0,0,0
SNORD21,0,0,0,0,0,0
RNU6-730P,0,0,0,0,0,0
RNU6-157P,0,0,0,0,0,0
RNU6-1189P,0,0,0,0,0,0
RNU6-1036P,0,0,0,0,0,0
RNU1-109P,0,0,0,0,0,0
SNORD116-18,0,0,0,0,0,0
SNORA56,0,0,0,0,0,0
RNU6-442P,0,0,0,0,0,0
RNY1P8,0,0,0,0,0,0
RNU1-73P,0,0,0,0,0,0
RNU6-723P,0,0,0,0,0,0
RNU6-1040P,0,0,0,0,0,0
RNU6-128P,0,0,0,0,0,0
RNU6-1227P,0,0,0,0,0,0
RNU6-1080P,0,0,0,0,0,0
RNU6-147P,0,0,0,0,0,0
RNU6-26P,0,0,0,0,0,0
RNU6-444P,0,0,0,0,0,0
RNU6-133P,0,0,0,0,0,0
RNU6-546P,0,0,0,0,0,0
RNU6-1074P,0,0,0,0,0,0
RNU6-1056P,0,0,0,0,0,0
RNU6-756P,0,0,0,0,0,0
RNU6-1027P,0,0,0,0,0,0
RNU6-259P,0,0,0,0,0,0
RNU6-1126P,0,0,0,0,0,0
RNU6-468P,0,0,0,0,0,0
RNU6-936P,0,0,0,0,0,0
RNU6-641P,0,0,0,0,0,0
RNU6-484P,0,0,0,0,0,0
RNU6-620P,0,0,0,0,0,0
RNU6-643P,0,0,0,0,0,0
RNU6-142P,0,0,0,0,0,0
RNU6-245P,0,0,0,0,0,0
RNU6-1083P,0,0,0,0,0,0
RNU6-1323P,0,0,0,0,0,0
SNORD101,0,0,0,0,0,0
SNORA30,0,0,0,0,0,0
RNU6-317P,0,0,0,0,0,0
SNORA6,0,0,0,0,0,0
RNU6-418P,0,0,0,0,0,0
RNU6-10P,0,0,0,0,0,0
RNU6-152P,0,0,0,0,0,0
RNU6-203P,0,0,0,0,0,0
RNU6-435P,0,0,0,0,0,0
RNU6-949P,0,0,0,0,0,0
RNU6-116P,0,0,0,0,0,0
RNU6-44P,0,0,0,0,0,0
RNU6-211P,0,0,0,0,0,0
SNORD37,0,0,0,0,0,0
RNU6-637P,0,0,0,0,0,0
RNU6-213P,0,0,0,0,0,0
SNORA75B,0,0,0,0,0,0
RNU6-224P,0,0,0,0,0,0
SNORA15B-2,0,0,0,0,0,0
RNU6-701P,0,0,0,0,0,0
RNU6-629P,0,0,0,0,0,0
RNU1-129P,0,0,0,0,0,0
RNU6-811P,0,0,0,0,0,0
SNORA32,0,0,0,0,0,0
RNY3P7,0,0,0,0,0,0
RNU6-639P,0,0,0,0,0,0
RNU6-926P,0,0,0,0,0,0
RNU6-968P,0,0,0,0,0,0
RNU6-1293P,0,0,0,0,0,0
RNU6-815P,0,0,0,0,0,0
SNORA10,0,0,0,0,0,0
RNU6-38P,0,0,0,0,0,0
RNU6-483P,0,0,0,0,0,0
RNU6-849P,0,0,0,0,0,0
RNU6-260P,0,0,0,0,0,0
RNU1-138P,0,0,0,0,0,0
RNU6-974P,0,0,0,0,0,0
RNU6-1032P,0,0,0,0,0,0
RNU6-20P,0,0,0,0,0,0
SNORA1,0,0,0,0,0,0
RNU1-74P,0,0,0,0,0,0
RNU6-1029P,0,0,0,0,0,0
SNORA5A,1,0,1,0,0,2
RNU6-746P,0,0,0,0,0,0
RNU6-413P,0,0,0,0,0,0
RNU6-206P,0,0,0,0,0,0
RNU6-209P,0,0,0,0,0,0
RNU6-890P,0,0,0,0,0,0
RNU6-895P,0,0,0,0,0,0
RNU6-571P,0,0,0,0,0,0
RNU6-214P,0,0,0,0,0,0
RNU6-767P,0,0,0,0,0,0
RNU5A-6P,0,0,0,0,0,0
RNU6-207P,0,0,0,0,0,0
RNU6-187P,0,0,0,0,0,0
RNU6-356P,0,0,0,0,0,0
SNORA70F,1,0,0,0,0,0
RNU6-398P,0,0,0,0,0,0
RNU6-533P,0,0,0,0,0,0
RNU6-761P,0,0,0,0,0,0
RNU6-1103P,0,0,0,0,0,0
RNU6-1310P,0,0,0,0,0,0
RNU6-190P,0,0,0,0,0,0
RNA5SP87,0,0,0,0,0,0
SNORA75,3,1,0,0,1,8
RNU6-1008P,0,0,0,0,0,0
RNU6-48P,0,0,0,0,0,0
RNU6-1200P,0,0,0,0,0,0
RNU6-217P,0,0,0,0,0,0
RNU6-42P,0,0,0,0,0,0
RNU6-1124P,0,0,0,0,0,0
SNORA9B,2,1,0,0,0,4
RNU6-36P,0,0,0,0,0,0
RNU6-98P,0,0,0,0,0,0
SNORA24B,0,0,0,0,0,0
RNU6-1013P,0,0,0,0,0,0
RNU1-136P,0,0,0,0,0,0
SNORA70J,0,0,0,0,0,0
SNORA29,0,0,0,0,0,0
RNU6-439P,0,0,0,0,0,0
RNU1-52P,0,0,0,0,0,0
RNU6-1181P,0,0,0,0,0,0
RNY1P6,0,0,0,0,0,0
RNU6-481P,0,0,0,0,0,0
RNU6-80P,0,0,0,0,0,0
RNU6-432P,0,0,0,0,0,0
RNU6-689P,0,0,0,0,0,0
RNU6-1024P,0,0,0,0,0,0
RNU6-1042P,0,0,0,0,0,0
RNU6-514P,0,0,0,0,0,0
RNU4-52P,0,0,0,0,0,0
SNORA70B,0,0,0,0,0,0
RNU4-31P,0,0,0,0,0,0
RNU6-281P,0,0,0,0,0,0
SNORD15A,0,0,0,0,0,0
RNU6-708P,0,0,0,0,0,0
SNORA20B,0,0,0,0,0,0
SNORA36A,0,0,0,0,0,0
RNU6-1324P,0,0,0,0,0,0
RNU6-1201P,0,0,0,0,0,0
RNU6-793P,0,0,0,0,0,0
RNU6-74P,0,0,0,0,0,0
RNU6-675P,0,0,0,0,0,0
RNU6-1316P,0,0,0,0,0,0
RNU6-474P,0,0,0,0,0,0
RNU6-1145P,0,0,0,0,0,0
RNU6-1144P,0,0,0,0,0,0
SNORD61,0,0,0,0,0,0
RNU6-662P,0,0,0,0,0,0
RNU6-40P,0,0,0,0,0,0
RNU6-49P,0,0,0,0,0,0
RNU6-198P,0,0,0,0,0,0
SNORD63,0,0,0,0,0,0
RNU6-610P,0,0,0,0,0,0
RNU6-574P,0,0,0,0,0,0
RNU6-842P,0,0,0,0,0,0
RNU6-524P,0,0,0,0,0,0
RNU6-622P,0,0,0,0,0,0
RNU6-820P,0,0,0,0,0,0
SNORD116-2,0,0,0,0,0,0
RNU6-611P,0,0,0,0,0,0
RNU6-301P,0,0,0,0,0,0
RNU6-891P,0,0,0,0,0,0
RNU6-804P,0,0,0,0,0,0
SNORD116-3,0,0,0,0,0,0
SNORA36C,0,0,0,0,0,0
RNU6-167P,0,0,0,0,0,0
RNU6-975P,0,0,0,0,0,0
RNU6-472P,0,0,0,0,0,0
RNU6-43P,0,0,0,0,0,0
SNORD59A,0,0,0,0,0,0
RNU6-154P,0,0,0,0,0,0
