gene_name,dH1f_sgControl_Rep1,dH1f_sgControl_Rep2,dH1f_sgControl_Rep3,dH1f_sg_AF10_Rep1,dH1f_sg_AF10_Rep2,dH1f_sg_AF10_Rep3
MIR9-1,0,0,0,0,0,0
MIR654,0,0,0,0,0,0
MIR204,0,0,0,0,0,0
MIR511,0,0,0,0,0,0
MIR567,0,0,0,0,0,0
MIR552,0,0,0,0,0,0
MIR136,0,0,0,0,0,0
MIR634,0,0,0,0,0,0
MIR574,0,0,0,1,0,0
MIR516B1,0,0,0,0,0,0
MIR152,0,0,0,0,0,0
MIR328,0,0,0,0,0,0
MIR561,0,0,0,0,0,0
MIR624,0,0,0,0,0,0
MIR138-1,0,0,0,0,0,0
MIR579,1,0,0,0,0,0
MIR105-1,0,0,0,0,0,0
MIR656,0,0,0,0,0,0
MIR153-2,0,0,0,0,0,0
MIR496,0,0,0,0,0,0
MIR30C1,0,0,0,0,0,0
MIR569,0,0,0,0,0,0
MIR629,0,0,0,0,0,0
MIR620,0,0,0,0,0,0
MIR507,0,0,0,0,0,0
MIR660,0,0,0,0,0,0
MIR125B1,0,0,0,0,0,0
MIR638,0,0,0,0,0,0
MIR589,0,1,0,0,0,0
MIR557,0,0,0,0,0,0
MIR181B1,1,0,1,1,0,1
MIR607,0,0,0,0,0,0
MIR154,0,0,0,0,0,0
MIR527,0,0,0,0,0,0
MIR23A,0,0,0,1,2,0
MIR519D,0,0,0,0,0,0
MIR548B,0,0,0,0,0,0
MIR613,0,0,0,0,0,0
MIR513A2,0,0,0,0,0,0
MIR518E,0,0,0,0,0,0
MIR576,0,0,0,0,0,0
MIR493,0,0,0,0,0,0
MIR182,0,0,0,0,0,0
MIR601,0,0,0,0,0,0
MIR519A1,0,0,0,0,0,0
MIR134,0,0,0,0,0,0
MIR100,0,0,0,0,0,0
MIR325,0,0,0,0,0,0
MIR301A,0,0,0,0,0,0
MIR644A,0,0,0,0,0,0
MIR509-1,0,0,0,0,0,0
MIR431,0,0,0,0,0,0
MIR643,0,0,0,0,0,0
MIR549A,0,0,0,0,0,0
MIR323B,0,0,0,0,0,0
MIR503,2,1,1,2,0,0
MIR16-1,0,0,0,0,0,0
MIR125A,0,0,0,0,0,0
MIR130A,0,0,0,0,0,0
MIRLET7F2,0,0,0,0,0,0
MIR652,0,0,0,0,0,0
MIR653,0,0,0,0,0,0
MIR362,0,0,0,0,0,0
MIR140,0,0,0,0,0,0
MIR645,0,0,0,0,1,0
MIR618,0,0,0,0,0,0
MIR185,0,0,0,0,0,0
MIR199A2,14,11,4,7,8,3
MIR591,0,0,0,0,0,0
MIR485,0,0,0,0,0,0
MIR616,2,0,0,1,1,2
MIR548A3,0,0,0,0,0,0
MIR609,0,0,0,0,0,0
MIR106B,0,0,0,0,0,0
MIR320A,0,1,0,0,1,0
SNORA40B,0,0,0,0,0,0
SNORD94,3,6,3,3,0,2
SNORD73A,0,0,0,0,0,0
SNORA35,0,0,0,0,0,0
SNORD96B,0,0,0,0,0,0
SNORA49,0,0,0,1,0,0
SNORD12C,0,1,0,1,4,0
SNORD83B,0,0,0,0,0,0
SNORD83A,2,7,2,5,2,1
SNORA48,0,2,0,0,0,0
SNORD105,0,0,0,0,0,1
SNORD41,0,0,0,0,0,0
MIR12136,54,60,11,35,34,30
RNU6ATAC4P,0,0,0,0,0,0
RNU6ATAC2P,0,0,0,0,0,0
RNU6ATAC3P,0,0,0,0,0,0
MIR196A1,0,0,0,0,0,0
SNORA40,0,0,0,0,0,0
RNU6ATAC5P,0,0,0,0,0,0
RNU6ATAC26P,0,0,0,0,0,0
MIR190A,0,0,0,0,0,0
GPX3,3086,3787,2369,513,469,476
DIO2,88,141,122,372,188,390
SELENOH,975,1019,742,827,721,767
GNRHR2,36,48,41,26,38,28
DIO1,0,0,0,0,0,0
AKR7L,15,26,10,16,29,7
STK38L,981,1034,815,1847,1056,1299
SACM1L,918,1054,693,951,779,866
TSN,1727,1902,1348,1953,1722,1839
MIR454,0,0,0,0,0,0
MIR216B,0,0,0,0,0,0
MIR526A2,0,0,0,0,0,0
MIR501,0,0,0,0,0,0
MIR320B1,0,0,0,0,0,0
MIR3065,0,0,0,0,0,0
MIR670,0,0,0,0,0,0
MIR770,0,0,0,0,0,0
MIR760,0,0,0,0,0,0
MIR766,0,0,0,0,0,0
MIR759,0,0,0,0,0,0
MIR769,0,0,0,0,0,0
MIR765,0,0,0,0,0,1
MIR758,0,0,0,0,0,0
MIR767,0,0,0,0,0,0
SLC48A1,346,388,333,239,268,172
MIR802,0,0,0,0,0,0
MIR762,0,0,0,0,0,0
IGKC,2,4,0,2,2,1
IGKJ5,0,0,0,0,0,0
IGKJ4,0,0,0,0,0,0
IGKJ3,0,0,0,0,0,0
IGKJ2,0,0,0,0,0,0
IGKJ1,0,0,0,0,0,0
IGKV4-1,0,1,0,0,0,0
IGKV2D-26,0,0,0,0,0,0
IGKV3D-20,0,0,0,0,0,0
IGKV6D-41,0,0,0,0,0,0
IGKV3D-11,0,0,0,0,0,0
IGKV1D-42,0,0,0,0,0,0
IGLV4-69,0,0,0,0,0,0
IGLV8-61,0,0,0,0,0,0
IGLV4-60,0,0,0,0,0,0
IGLV6-57,0,0,0,0,0,0
IGLV11-55,0,0,0,0,0,0
IGLV10-54,0,0,0,0,0,0
IGLV1-51,1,3,2,1,1,3
IGLV1-50,0,3,0,1,0,0
IGLV5-48,0,0,0,0,0,0
IGLV1-47,0,0,0,0,0,0
IGLV7-46,0,0,0,0,0,0
IGLV5-45,0,0,0,0,0,0
IGLV1-44,0,0,0,0,0,0
IGLV7-43,0,0,0,0,0,0
IGLV1-40,0,0,0,0,0,0
IGLV1-36,0,0,1,0,0,0
IGLV2-33,0,0,0,0,0,0
IGLV3-27,0,0,0,0,0,0
IGLV3-25,0,0,0,0,0,0
IGLV2-23,0,0,0,0,0,0
IGLV3-22,0,0,0,0,0,0
IGLV3-21,0,0,0,0,0,0
IGLV3-19,0,0,0,0,0,0
IGLV2-18,0,0,0,0,0,0
IGLV3-16,0,0,0,0,1,0
IGLV2-14,0,0,0,0,0,0
IGLV3-12,0,0,0,0,0,0
IGLV2-11,0,0,0,0,0,0
IGLV3-10,0,0,0,0,0,0
IGLV3-9,0,0,0,0,0,0
IGLV4-3,0,0,0,0,0,0
IGLC1,0,0,0,0,0,0
IGLC2,0,0,0,0,0,0
IGLC3,0,0,0,0,0,0
IGLJ4,0,0,0,0,0,0
IGLJ7,0,0,0,0,0,0
IGLC7,0,0,0,0,0,0
TRGJ2,0,0,0,0,0,0
TRGJP2,0,0,0,0,0,0
TRGC1,1,0,0,0,0,0
TRGJP,0,0,0,0,0,0
TRGJP1,0,0,0,0,0,0
TRGV9,0,0,1,2,0,2
TRGV8,0,0,0,0,0,0
TRGV5,0,0,0,0,0,0
TRGV4,0,0,0,0,0,0
TRGV3,0,0,0,0,0,0
TRGV1,0,0,0,0,0,0
TRBV6-1,0,0,0,0,0,0
TRBV7-1,0,0,0,0,0,0
TRBV4-1,0,0,0,0,0,0
TRBV6-4,0,0,0,0,0,0
TRBV7-3,0,0,0,0,0,0
TRBV5-3,0,0,0,0,0,0
TRBV9,0,0,0,0,0,0
TRBV10-1,0,0,0,0,0,0
TRBV11-1,0,0,0,0,0,0
TRBV6-6,0,0,0,0,0,0
TRBV5-5,0,0,0,0,0,0
TRBV7-6,0,0,0,0,0,0
TRBV5-1,0,0,0,0,0,0
TRBV12-2,0,0,0,0,0,0
TRBV19,0,0,0,0,0,0
TRBV20-1,0,0,0,0,0,0
TRBV24-1,0,0,0,0,0,0
TRBC1,0,0,0,0,0,0
TRBV27,0,0,0,0,0,0
TRBJ2-1,0,0,0,0,0,0
TRBJ2-2,0,0,0,0,0,0
TRBJ2-4,0,0,0,0,0,0
TRBJ2-5,0,0,0,0,0,0
TRBJ2-7,0,0,0,0,0,0
TRBC2,0,0,0,0,0,0
TRAV2,0,0,0,0,0,0
TRAV3,0,0,0,0,0,0
TRAV4,0,0,0,0,0,0
TRAV5,0,0,0,0,0,0
TRAV6,0,0,0,0,0,0
TRAV7,0,0,0,0,0,0
TRAV8-1,0,0,0,0,0,0
TRAV9-1,0,0,0,0,0,0
TRAV10,0,0,0,0,0,0
TRAV12-1,0,0,0,0,0,0
TRAV8-2,0,0,0,0,0,0
TRAV8-3,0,0,0,0,0,0
TRAV13-1,0,0,0,0,0,0
TRAV12-2,0,0,0,0,0,0
TRAV8-4,0,0,0,0,0,0
TRAV13-2,1,0,0,0,0,0
TRAV14DV4,0,0,0,0,0,0
TRAV9-2,0,0,0,0,0,0
TRAV12-3,0,0,0,0,0,0
TRAV8-6,0,0,0,0,0,0
TRAV16,0,0,0,0,0,0
TRAV17,0,0,0,1,0,0
TRAV18,0,0,0,0,0,0
TRAV19,0,0,0,1,0,0
TRAV20,0,0,0,0,0,0
TRAV21,0,0,0,0,0,0
TRAV22,0,0,0,0,0,0
TRAV23DV6,0,0,0,0,0,0
TRDV1,0,0,0,0,0,0
TRAV24,0,0,0,0,0,0
TRAV25,0,0,0,0,0,0
TRAV26-1,0,0,0,0,0,0
TRAV27,0,0,0,0,0,0
TRAV29DV5,0,0,0,0,0,0
TRAV26-2,0,0,0,0,0,0
TRAV34,0,0,0,0,1,0
TRAV35,0,0,0,0,0,0
TRAV36DV7,0,0,0,0,0,0
TRAV38-1,0,0,0,0,0,0
TRAV38-2DV8,0,0,0,0,0,0
TRAV39,1,0,0,0,2,1
TRAV40,0,0,0,0,0,0
TRAV41,0,0,0,0,0,0
TRDV2,0,0,0,0,0,0
TRDJ1,0,0,0,0,0,0
TRDJ4,0,0,0,0,0,0
TRDJ2,0,0,0,0,0,0
TRDJ3,0,0,0,0,0,0
TRAJ61,0,0,0,0,0,0
TRAJ59,0,0,0,0,0,0
TRAJ58,0,0,0,0,0,0
TRAJ57,0,0,0,0,0,0
TRAJ56,0,0,0,0,0,0
TRAJ54,0,0,0,0,0,0
TRAJ53,0,0,0,0,0,0
TRAJ52,0,0,0,0,0,0
TRAJ50,0,0,0,0,0,0
TRAJ49,0,0,0,0,0,0
TRAJ48,0,0,0,0,0,0
TRAJ47,0,0,0,0,0,0
TRAJ46,0,0,0,0,0,0
TRAJ45,0,0,0,0,0,0
TRAJ44,0,0,0,0,0,0
TRAJ43,0,0,0,0,0,0
TRAJ42,0,0,0,0,0,0
TRAJ41,0,0,0,0,0,0
TRAJ40,0,0,0,0,0,0
TRAJ39,0,0,0,0,0,0
TRAJ38,0,0,0,0,0,0
TRAJ35,0,0,0,0,0,0
TRAJ34,0,0,0,0,0,0
TRAJ33,0,0,0,0,0,0
TRAJ32,0,0,0,0,0,0
TRAJ31,0,0,0,0,0,0
TRAJ30,0,0,0,0,0,0
TRAJ29,0,0,0,0,0,0
TRAJ28,0,0,0,0,0,0
TRAJ27,0,0,0,0,1,0
TRAJ26,0,0,0,0,0,0
TRAJ25,0,0,0,0,0,0
TRAJ24,0,0,0,0,0,0
TRAJ23,0,0,0,0,1,1
TRAJ22,0,0,0,0,0,0
TRAJ21,0,0,0,0,0,0
TRAJ20,0,0,0,0,0,0
TRAJ19,0,0,0,0,0,0
TRAJ18,0,0,0,0,0,0
TRAJ17,0,0,0,0,0,0
TRAJ16,0,0,0,0,0,0
TRAJ14,0,0,0,0,0,0
TRAJ13,0,0,0,0,0,0
TRAJ12,0,0,0,0,0,0
TRAJ11,0,0,0,0,0,0
TRAJ10,0,0,0,0,0,0
TRAJ9,0,0,0,0,0,0
TRAJ8,0,0,0,0,0,0
TRAJ7,0,0,1,0,0,0
TRAJ6,0,0,0,0,0,0
TRAJ5,0,0,0,0,0,0
TRAJ4,0,0,0,0,0,0
TRAJ3,0,0,0,0,0,0
TRAJ2,0,0,0,0,0,0
TRAJ1,0,0,0,0,0,0
IGHA2,0,0,0,0,0,0
IGHE,0,0,0,0,0,0
IGHG4,0,0,0,0,0,0
IGHG2,0,0,0,0,0,0
IGHA1,0,0,0,0,0,0
IGHG3,0,0,0,0,0,0
IGHD,0,0,0,0,0,0
IGHM,1,1,0,0,0,0
IGHJ6,0,0,0,0,0,0
IGHJ2,0,0,0,0,0,0
IGHD5-24,0,0,0,0,0,0
IGHD2-21,0,0,0,0,0,0
IGHD3-16,0,0,0,0,0,0
IGHD6-13,0,0,0,0,0,0
IGHD5-12,0,0,0,0,0,0
IGHV6-1,0,0,0,0,0,0
IGHV1-2,0,0,0,0,0,0
IGHV1-3,0,0,0,0,0,0
IGHV2-5,0,0,0,0,0,0
IGHV3-7,0,0,0,0,0,0
IGHV3-13,0,0,0,0,0,0
IGHV3-15,0,0,0,0,0,0
IGHV3-16,0,0,0,0,0,0
IGHV1-18,0,0,0,0,0,0
IGHV3-20,0,0,0,0,0,0
IGHV3-21,0,0,0,0,0,0
IGHV1-24,0,0,0,0,0,0
IGHV2-26,0,0,0,0,0,0
IGHV3-33,0,0,0,0,0,0
IGHV4-34,0,0,0,0,0,0
IGHV3-35,0,0,0,0,0,0
IGHV3-38,0,0,0,0,0,0
IGHV4-39,0,0,0,0,0,0
IGHV1-46,0,0,0,0,0,0
IGHV3-48,0,0,0,0,0,0
IGHV3-49,0,0,0,0,0,0
IGHV5-51,0,0,0,0,0,0
IGHV3-53,0,0,0,0,0,0
IGHV1-58,0,0,0,0,0,0
IGHV4-61,0,0,0,0,0,0
IGHV3-66,0,0,0,0,0,0
IGHV1-69,0,0,0,0,0,0
IGHV3-73,0,0,0,0,0,0
IGHV5-78,0,0,0,0,0,0
IGHV7-81,0,0,0,0,0,0
MIR676,0,0,0,0,0,0
MIR708,0,0,0,0,0,0
MIR509-2,0,0,0,0,0,0
MIR509-3,0,0,0,0,0,0
MIR548U,0,0,0,0,0,0
MIR550A3,0,0,0,0,0,0
MIR374B,1,0,0,3,0,0
MIR548BA,0,0,0,0,0,0
MIR543,0,0,0,0,0,0
MIR764,0,0,0,0,0,0
MIR301B,0,0,0,0,0,0
TSSK1B,0,0,0,0,0,1
PRR22,39,45,16,25,18,20
TAS2R19,1,0,0,3,2,1
TAS2R15P,9,3,2,4,7,1
TAS2R14,19,42,12,30,17,11
TAS2R13,0,0,0,0,1,0
RNU6-1168P,0,0,0,0,0,0
SNORD67,0,0,1,0,0,1
RNU6-696P,0,0,0,0,0,0
RNA5SP372,0,0,0,0,0,0
RNU6-1320P,0,0,0,0,0,0
RNU6-910P,0,0,0,0,0,0
RNU6-1106P,0,0,0,0,0,0
RNU6-576P,0,0,0,0,0,0
SNORD66,1,1,0,0,0,0
RNU6-205P,0,0,0,0,0,0
RNU6-763P,0,0,0,0,0,0
RNU1-77P,0,0,0,0,0,0
RNA5SP86,0,0,0,0,0,0
RNU1-149P,0,0,0,0,0,0
RNA5SP207,0,0,0,0,0,0
RNU6-440P,0,0,0,0,0,0
RNU6-258P,0,0,0,0,0,0
RNU6-328P,0,0,0,0,0,0
RNU6-298P,0,0,0,0,0,0
RNU6-127P,0,0,0,0,0,0
RNA5SP91,0,0,0,0,0,0
RNU6-1321P,0,0,0,1,0,0
SNORA48B,0,0,0,0,0,0
RNU6-913P,0,0,0,0,0,0
RNU6-816P,0,0,0,0,0,0
RNU6-604P,0,0,0,0,0,0
RNU6-220P,0,0,0,0,0,0
RNU6-907P,0,0,0,0,0,0
SNORD17,4,8,6,8,6,0
RNA5SP18,0,0,0,0,0,0
RNA5SP244,0,0,0,0,0,0
RNA5SP219,0,0,0,0,0,0
RNU6-360P,0,0,0,0,0,0
RNU6-278P,0,0,0,0,0,0
RNU6-750P,0,0,0,0,0,0
RNA5SP376,0,0,0,0,0,0
RNU6-1176P,0,0,0,0,0,0
RNA5SP176,0,0,0,0,0,0
RNU6-308P,0,0,0,0,0,0
RNU6-724P,0,0,0,0,0,0
SNORD65C,0,0,0,0,0,0
RNA5SP185,0,0,0,0,0,0
RNU6-788P,0,0,0,0,0,0
RNA5SP292,0,0,0,0,0,0
RNA5SP256,0,0,0,0,0,0
RNU6-578P,0,0,0,0,0,0
SNORD89,12,8,6,3,7,7
RNA5SP339,0,0,0,0,0,0
RNU6-239P,0,0,0,0,0,0
SNORD28B,0,0,0,0,0,0
SNORD72,0,1,1,1,0,0
RNU6-821P,0,0,0,0,0,0
RNU6-1009P,0,0,0,0,0,0
RNU6-1154P,0,0,0,0,0,0
SNORD12,0,2,0,0,0,0
RNU6-679P,0,0,0,0,0,0
RNA5SP23,0,0,0,0,0,0
SNORD70B,0,0,0,0,0,0
RNA5SP109,0,0,0,0,0,0
RNU6-1307P,0,0,0,0,0,0
RNU6-1228P,0,0,0,0,0,0
RNU6-129P,0,0,0,0,0,0
RNU6-882P,0,0,0,0,0,0
RNU6-316P,0,0,0,0,0,0
RNU6-244P,0,0,0,0,0,0
RNA5SP297,0,0,0,0,0,0
RNU6-780P,0,0,0,0,0,0
RNA5SP213,0,0,0,0,0,0
RNA5SP210,0,0,0,0,0,0
RNU6-739P,0,0,0,0,0,0
RNU6-823P,0,1,0,0,0,0
RNU6-700P,0,0,0,0,0,0
RNU6-1300P,0,0,0,0,0,0
RNU6-1242P,0,0,0,0,0,0
RNU6-837P,0,0,0,0,0,0
RNU6-550P,0,0,0,0,0,0
RNU6-1177P,0,0,0,0,0,0
RNA5SP332,0,0,0,0,0,0
RNU6-1246P,0,0,0,0,0,0
RNU6-1000P,0,0,0,0,0,0
RNU6-482P,0,1,0,0,0,0
RNA5SP171,0,0,0,0,0,0
RNU6-401P,0,0,0,0,0,0
RNU6-269P,0,0,0,0,0,0
RNU6-159P,0,0,0,0,0,0
SNORD113-2,0,0,0,0,0,0
RNU6-817P,0,0,0,0,2,0
RNU6-1055P,0,0,0,0,0,0
RNU6-796P,0,0,0,0,0,0
RNU6-1275P,0,0,1,0,0,0
RNA5SP323,0,0,0,0,0,0
RNU6-1248P,0,0,0,2,0,0
SNORA74B,0,0,0,0,0,0
RNU6-663P,0,0,0,0,0,0
RNY4P18,0,0,0,0,0,0
RNU6-932P,0,0,0,0,0,0
RNU11-3P,0,0,0,0,0,0
SNORD77B,0,0,0,0,0,0
RNY4P36,0,0,1,1,1,0
RNU6-1111P,0,0,0,0,0,0
RNA5SP105,0,0,0,0,0,0
RNU11-6P,0,0,0,0,0,0
RNA5SP252,0,0,0,0,0,0
RNU6-1269P,0,0,0,0,0,0
RNU6-243P,0,0,0,0,0,0
SNORA53,0,3,0,3,0,1
RNU6-131P,0,0,0,0,0,0
SNORD90,0,0,0,0,0,1
RNU11-4P,0,0,0,0,0,0
SNORD69,1,0,1,3,1,0
RNA5SP286,0,0,0,0,0,0
RNU6-644P,0,0,0,0,0,0
RNU6-695P,0,0,0,0,0,0
RNU6-460P,0,0,0,0,0,0
SNORA12,3,4,0,3,0,4
RNU6-952P,0,0,0,0,0,0
RNU6-754P,0,0,0,0,0,0
RNU6-1158P,0,0,0,0,0,0
RNU1-101P,0,0,0,0,0,0
RNU6-400P,0,0,0,0,0,0
RNU6-530P,0,0,0,0,0,0
RNU6-1197P,0,0,0,0,0,0
RNU6-1109P,0,0,0,0,0,0
SNORD19,0,0,1,3,2,4
RNU6-332P,0,0,0,0,0,0
RNU6-1093P,0,0,0,0,0,0
RNA5SP465,0,1,0,0,0,0
SNORD86,0,0,0,0,0,0
RNA5SP300,0,0,0,0,0,0
RNA5SP299,0,0,0,0,0,0
RNU6-972P,0,0,0,0,0,0
RNU11-5P,0,0,0,0,0,0
RNU6-1250P,0,0,0,0,0,0
RNU6-918P,0,0,0,0,0,0
RNA5SP212,0,0,0,0,0,0
RNU6-466P,0,0,0,0,0,0
RNA5SP63,0,0,0,0,0,0
SNORD70,0,0,0,0,0,1
RNU6-808P,0,0,0,0,0,0
RNA5SP474,1,1,0,1,0,0
RNA5SP496,0,0,0,0,0,0
RNU6-337P,0,0,0,0,0,0
RNU6-995P,0,0,0,0,0,0
RNA5SP354,0,0,0,0,0,0
RNU1-78P,0,0,0,0,0,0
RNA5SP35,0,0,0,0,0,0
RNU6-630P,0,0,0,0,0,0
RNU6-381P,0,0,0,0,0,0
RNU6-1326P,0,0,0,0,0,0
RNU6-1254P,0,0,0,0,0,0
RNA5SP482,0,0,0,0,0,0
RNA5SP467,0,0,0,1,0,0
RNU6-587P,0,0,0,0,0,0
SNORA40C,0,0,0,0,0,0
SNORA26,2,5,3,1,2,3
RNA5SP525,0,0,0,0,0,0
RNU6-876P,0,0,0,0,0,0
RNU6-279P,0,0,0,0,0,0
RNA5SP53,0,0,0,0,0,0
RNU1-56P,0,0,0,0,0,0
SNORA3B,4,5,3,6,6,0
RNU1-139P,0,0,0,0,0,0
RNU6-493P,0,0,0,0,0,0
RNA5SP397,0,0,0,0,0,0
RNA5SP241,0,0,0,0,0,0
ZRSR2P1,18,0,0,0,6,0
KRTAP29-1,0,0,0,0,0,0
LINC01089,117,152,66,91,104,93
RPL18AP11,2,5,1,4,6,2
LOC107985122,0,0,0,0,0,0
LINC02693,0,1,0,0,0,0
KRTAP4-11,0,0,0,0,0,0
KRTAP4-9,0,0,0,0,0,0
KRTAP2-3,15,24,12,12,4,7
RTL8B,229,227,125,169,152,188
EWSAT1,3,1,2,8,1,5
RPL15P3,0,0,13,0,0,0
OR2A42,0,0,0,0,0,0
RNF208,30,27,20,22,25,18
HSPA1B,686,982,655,782,600,610
KRTAP3-3,0,0,0,0,0,0
KRTAP3-1,0,0,0,0,0,0
ND4L,7398,11235,6772,10391,7825,7685
MAP10,31,42,18,36,15,31
RPL23AP4,0,0,0,0,0,0
KRTAP12-4,0,0,0,0,0,0
KRTAP10-3,0,0,0,0,0,0
KRTAP6-3,0,0,0,0,0,0
LOC339803,174,265,167,164,148,185
LOC100129527,0,0,0,0,0,0
POU5F1B,2,16,0,4,4,7
PTTG3P,0,0,0,0,0,0
RPS15AP36,2,0,1,2,0,0
ZNF580,274,320,213,296,247,234
ZNF611,139,161,83,119,92,111
KLK9,0,0,0,0,0,0
SYT3,2,0,3,2,1,6
NUP62,833,1040,669,864,742,762
CGB8,0,0,0,0,0,0
RPL23AP80,0,0,0,1,1,0
RPL17P8,23,14,16,9,16,12
DENND1B,181,201,210,167,119,245
OR5S1P,0,0,0,0,0,0
RPL5P5,1,1,1,0,1,1
EEF1B2P7,0,3,0,1,0,0
C1orf220,12,19,11,10,8,5
SFT2D2,943,1244,972,836,752,788
LOC100422263,1,0,0,0,0,0
CEP43,398,460,257,442,271,327
RPS17P6,1,0,0,0,0,0
HMGB3P6,0,1,0,0,0,0
LPAL2,24,38,21,33,17,8
CHP1P2,57,45,27,36,26,23
RPL31P11,2,15,6,0,3,3
SCAF8,721,929,521,846,659,699
ARPC1BP1,0,0,0,0,0,0
VPS26CP1,0,0,0,0,0,0
CFAP45,19,29,8,18,25,12
ACKR1,8,12,5,12,10,10
SCYL2P1,5,7,4,3,3,3
ZNF254,178,123,73,119,96,75
KRT18P68,1,0,0,0,1,0
AHCYP5,0,0,1,0,0,0
RPL7AP37,1,1,1,1,1,1
COX5BP2,0,0,0,0,0,0
TUBB8P8,0,0,0,0,0,0
LOC729141,0,0,0,0,0,0
DYNLT2B,181,154,92,115,92,101
EEF1DP5,0,0,0,0,0,0
CRYGS,45,49,28,34,25,28
CRIP1,354,451,350,313,327,311
RPL23AP60,0,0,0,0,0,0
RPL7AP60,2,1,2,2,4,4
LOC101929598,0,0,0,0,0,0
GAPDHP36,0,0,0,0,0,0
KLHL23,40,48,33,74,45,50
RPL8P4,0,2,0,0,0,0
LINGO4,0,0,1,1,0,0
RPL13P6,0,1,0,0,0,2
RPL17P41,2,1,1,1,0,0
RPL36AP48,0,0,0,0,0,0
OR10D5P,0,0,0,0,0,0
RPS7P8,2,1,1,0,0,1
FAM24B,6,12,3,3,1,5
TRIM59,329,384,217,327,254,232
YBX1P4,2,2,0,0,2,0
MLLT11,355,426,297,302,332,355
ASIC3,29,41,17,46,25,20
GIMAP1,3,0,2,2,3,0
KRT18P64,0,0,1,0,0,0
CCDC183,11,13,12,23,15,3
ARHGEF35,35,32,29,34,27,18
OR2F1,0,0,0,0,0,0
CSH2,0,0,0,0,0,0
DNLZ,86,92,92,93,68,73
NOC2LP1,5,5,1,7,7,11
LOC100130018,0,0,0,0,0,0
TCL1B,0,0,0,0,0,0
RPL23AP62,0,0,0,0,0,0
EEF1A1P16,18,30,21,25,14,25
RPS17P12,0,0,0,0,0,0
SUPT4H1,932,1044,806,958,869,804
LOC100422300,0,0,0,0,0,0
EEF1B2P6,1,9,0,1,5,2
TSGA13,6,1,3,3,4,2
RPS6P26,6,8,10,4,8,5
RPL6P25,0,0,1,0,1,0
RPL7AP9,1,0,1,0,0,0
IFITM9P,1,2,1,1,1,1
RPS10P15,1,1,0,0,1,0
NRAS,1642,1793,1088,1627,1201,1397
RPL23AP45,0,0,0,0,0,0
PGK1P2,1,2,1,0,0,0
RPL31P39,0,1,0,0,3,1
RPL28P5,3,4,2,0,2,4
RPS2P31,4,5,2,2,4,4
RPL31P37,1,0,0,0,0,0
RPL18AP13,0,0,0,0,0,1
HNRNPCP6,0,1,1,3,0,0
RPL18P11,0,0,0,1,1,0
RPL9P18,2,3,0,1,0,2
RPL7AP34,4,4,5,3,1,0
RPS18P2,0,3,2,1,4,1
LTC4S,8,7,8,5,2,7
RPS4Y1P1,0,1,0,0,1,0
RPS7P11,1,6,0,2,0,0
NPM1P50,4,3,2,5,1,0
CLNS1AP1,0,0,1,1,0,1
ANKRD39,85,102,80,101,86,70
QTRT1,467,617,330,387,365,388
CHUK,511,571,391,512,436,535
RPL21P18,3,6,2,1,2,5
MXD3,83,77,92,84,73,77
RPL36P12,1,0,0,2,1,1
RPS3P6,2,1,3,2,3,1
LOC401703,0,0,1,1,2,3
GSTM2,300,475,258,291,207,245
NAP1L1P3,3,4,2,1,0,1
LINC00671,4,4,0,0,4,2
COG8,192,270,192,185,204,211
EIF4E2P1,0,0,0,0,1,0
RPL7AP39,7,3,0,6,0,0
ARHGAP19,177,210,112,226,156,201
RPSAP46,6,6,1,3,2,2
HAUS7,285,422,212,245,224,193
LCAT,76,119,49,108,55,65
RPS2P17,20,17,17,14,14,12
MAGEA12,0,0,0,0,0,0
PTPRCAP,0,17,4,2,4,4
HNRNPA1P33,2,2,2,1,1,3
PVRIG,0,0,0,2,1,1
LOC345471,0,0,0,1,0,0
KRTAP4-12,0,0,0,0,0,0
KRTAP2-4,0,0,0,0,0,0
GPC2,26,36,22,63,46,42
RPL7AP17,0,0,0,0,0,0
KRT222,9,13,0,10,2,10
LOC100421580,0,0,0,0,0,0
RPL17P34,8,9,5,3,5,6
OR5AC1,0,0,0,0,0,0
RPL18AP3,0,0,0,0,0,0
SIPA1,191,327,182,225,141,203
RPS23P2,1,0,0,1,0,0
OR6C69P,0,0,0,0,0,0
ERV3-1,75,102,80,96,77,103
SYNJ2BP,780,764,721,856,673,665
ARL2,894,1071,828,808,842,763
FIRRE,53,75,20,60,33,40
RPL31P51,0,1,0,0,0,0
TTLL13P,1,3,2,3,4,4
LOC100418710,0,1,0,0,0,0
ASS1P4,1,1,0,0,0,0
NT5C3AP1,3,0,2,0,2,2
ACTN4P1,0,0,1,1,1,1
RPL26P13,1,1,1,1,1,0
LAP3P2,17,9,15,7,9,6
GBP7,0,1,0,1,1,0
RBMXL1,300,323,163,353,253,338
RPL36P7,2,0,1,1,0,0
SRA1,703,810,524,661,651,613
RPS12P25,0,4,0,1,2,3
RPL32P22,2,0,0,0,0,0
STIMATE,283,350,258,386,301,338
KRT8P41,0,2,2,4,10,7
RPL7AP43,3,5,5,3,5,8
VN1R64P,0,0,0,0,0,0
DNAJC9,765,942,569,729,634,632
RPLP0P6,15,25,24,17,10,21
LOC100288416,0,0,0,0,0,0
RPL31P43,0,0,0,0,0,0
HNRNPA1P64,1,4,0,2,1,2
C8orf82,230,238,234,198,138,139
