gene_name,WT_-LV_1,WT_-LV_2,WT_-LV_3,WT_+LV_1,WT_+LV_2,WT_+LV_3,ZEB1_+/-_-LV_1,ZEB1_+/-_-LV_2,ZEB1_+/-_-LV_3,ZEB1_+/-_+LV_1,ZEB1_+/-_+LV_2,ZEB1_+/-_+LV_3
SLC23A1,5,0,1,0,0,0,0,0,0,0,0,0
KRT74,0,0,0,0,0,0,0,0,0,0,0,0
NPAS2,302,367,223,85,251,327,261,287,287,374,311,87
KRT72,0,0,0,0,0,0,0,0,0,0,0,0
KISS1,15,2,4,3,8,4,0,0,3,21,2,2
LONRF2,349,336,331,178,151,174,372,247,233,670,236,226
NUDT9,1046,1081,911,475,442,872,1026,1656,1126,1375,1580,617
HSD17B13,9,6,6,5,2,0,7,9,6,6,7,3
PA2G4,9945,9829,8483,4783,13222,12867,7041,9863,7939,17058,15368,5695
COX7B2,0,0,0,0,0,0,0,0,0,1,1,0
ELOVL6,1368,2159,1275,1194,849,1320,1577,2301,1792,2376,3410,1028
KRT83,0,0,0,0,1,0,0,0,0,0,0,0
PFKFB3,1911,1785,1436,1192,2294,2349,1920,2580,1630,1842,2138,701
TMC7,267,303,224,130,235,325,190,384,236,367,441,159
ARL6IP1,4853,7827,4819,3698,2506,3803,6121,7656,6693,6500,8383,3588
SERPINB9,683,769,520,341,544,589,574,621,493,615,903,348
SMAGP,700,785,467,274,462,540,777,903,676,928,725,371
IRX1,0,0,0,0,0,0,0,0,0,0,0,0
CDH2,3706,4178,2694,2046,3088,3297,3852,5604,4429,6674,6308,3104
IRX2,0,0,1,0,0,0,0,0,0,0,1,0
EMB,1188,2200,1238,777,718,1258,1365,1883,2255,1748,2854,1076
SIX2,174,208,171,60,75,81,133,237,183,214,227,69
DLGAP1,0,8,3,2,2,0,2,6,1,11,1,0
STAT2,1214,1223,1037,568,631,667,1742,1962,1549,1448,1636,734
NUDCD2,674,912,670,424,480,621,681,901,776,1128,979,548
IRF2BP1,441,457,317,281,288,301,448,589,521,639,487,298
OR9K2,0,0,0,0,0,0,0,0,0,0,0,0
HSPA4,9444,14782,10293,7381,9624,14352,10094,14060,12382,18404,27231,8845
FOXA3,80,68,79,13,19,27,34,185,83,74,59,25
FAM71B,0,0,0,0,0,0,0,0,0,0,0,0
SLC26A5,1,0,0,0,0,0,0,0,0,0,0,0
COMMD5,436,510,371,199,477,547,420,582,448,787,704,316
SGCD,0,0,0,0,0,0,0,0,0,0,0,1
GTSF1,0,3,2,2,1,2,0,1,2,2,0,0
DPY19L2P2,62,68,48,42,46,33,39,62,52,85,64,33
ZNF16,427,369,309,129,276,302,445,555,428,513,515,191
ARMC10,338,504,408,328,358,427,361,444,387,610,930,364
RNF34,971,1209,862,616,802,924,980,1570,1033,1640,1443,568
ACYP2,149,124,89,86,65,117,91,181,93,214,196,80
TRABD,1862,1636,1698,921,1895,1751,1601,2183,1508,2418,2386,861
ATF7,1854,2037,1416,1193,1301,1387,2084,2854,2268,3176,3436,1286
RASA4B,158,200,125,99,0,193,396,378,276,204,214,62
SOCS6,362,412,358,187,320,351,359,441,354,623,487,253
CAVIN4,160,188,161,107,206,172,101,96,71,300,133,126
ZNF296,43,33,24,13,32,39,21,34,10,46,37,6
HOXB9,697,613,774,229,290,114,642,969,748,993,511,229
TTLL6,9,4,4,3,13,1,28,11,32,28,29,11
POLH,1548,1774,1195,730,661,1016,1968,2291,2034,1770,2525,839
SYT9,0,1,0,0,0,0,0,0,0,0,0,0
KCNS3,75,55,59,29,40,49,143,247,137,201,138,89
RBMXL2,4,0,4,0,0,1,1,1,4,0,8,0
KIF5B,11209,13405,10065,6565,5487,11307,13968,20236,15358,22974,12443,9228
GPR37,90,199,86,105,114,106,144,75,59,312,287,62
AKAP13,4925,5272,4101,1852,2998,3556,3993,5401,3777,7184,5326,2686
TPD52L3,0,0,0,0,0,0,0,0,0,0,0,0
CDCA4,2124,2268,1857,1167,1613,1953,1775,2536,2425,3108,2561,1264
OR10A4,0,0,0,0,0,0,0,0,0,0,0,0
SDR16C5,0,1,0,1,0,0,0,0,1,0,3,0
DYDC1,10,6,9,6,8,4,5,5,7,13,7,3
OR10A2,0,0,0,0,0,0,0,0,0,0,0,0
CHCHD7,331,380,271,147,572,319,460,589,430,567,929,323
HTRA3,7,1,1,1,1,1,1,5,2,0,4,0
FOXN2,375,434,405,249,302,463,415,580,451,681,702,256
LMOD2,0,0,0,0,0,0,0,0,0,0,0,0
BFSP2,0,0,0,0,0,0,0,0,0,0,0,0
FSHR,0,0,0,0,0,0,0,0,0,0,0,0
CELP,35,22,18,13,12,19,19,16,24,28,25,13
USP32,1798,2400,1613,1300,1333,1708,2523,3062,2183,2974,3322,1096
CEL,128,95,71,65,61,29,56,36,64,72,48,80
PPM1D,982,976,807,476,730,627,1005,1287,893,1207,1087,490
GPR27,125,148,110,103,120,51,175,113,135,192,162,126
LOC93622,1905,2087,1468,1337,874,1276,599,712,730,2212,1391,1289
PSG6,0,0,0,0,0,0,0,0,0,0,0,0
KBTBD2,1168,1410,1170,771,631,1022,1006,1446,1120,1707,1934,780
RIOX2,1030,975,714,529,1595,1340,887,1092,970,1684,1855,486
TRIAP1,1136,1470,1094,751,541,975,724,974,936,1489,2048,812
LSM3,1795,2265,1533,969,1290,1642,1544,2023,1641,2626,3242,1381
KIAA0232,1034,1237,1029,771,748,938,1007,1324,1054,1505,1867,794
MTSS1,113,108,79,52,147,75,54,86,67,130,79,27
TMEM43,1777,2022,1512,1096,2128,1867,1531,2301,1742,2461,2535,1077
RNF139,504,832,599,312,377,534,547,716,733,782,1292,581
RPS9,3436,3914,1094,2563,1254,1397,2016,1201,1564,2021,1422,916
PLA2G1B,1,1,1,0,0,0,0,0,1,0,0,0
CYTL1,2,2,6,7,29,0,129,0,0,0,1,0
TSEN34,32,60,38,0,44,67,1,52,37,232,56,15
TRH,0,0,0,0,0,0,0,0,0,0,0,0
GSTA4,395,488,456,253,326,392,517,716,572,591,694,257
MSANTD4,609,634,556,359,569,427,592,942,710,1073,962,336
NDUFA3,26,20,15,10,24,12,24,33,19,37,17,17
OSCAR,0,0,0,0,0,1,0,0,0,0,0,0
PAQR8,332,398,333,227,169,190,256,328,271,490,517,225
NUDT6,162,221,185,93,25,115,228,290,237,237,276,106
OR7G3,0,0,0,0,0,0,0,0,0,0,0,0
TANC2,2261,2591,1784,765,1382,1435,3030,4387,3036,3829,2581,1299
OR7G2,0,0,0,0,0,0,0,0,0,0,0,0
TEX13B,0,0,0,0,0,0,0,0,0,0,0,0
PKHD1,1,1,1,2,0,0,4,0,0,0,1,0
OR1M1,0,0,0,0,0,0,0,0,0,0,0,0
NCBP2L,0,0,0,0,0,0,0,0,0,0,0,0
DNAJC24,491,745,562,344,337,460,476,651,616,791,1027,421
MBD3L1,0,0,0,0,0,0,0,0,0,0,0,0
ZNF160,256,301,261,142,276,211,347,386,376,450,472,187
PGK2,0,0,0,0,0,0,0,0,0,0,0,0
OR8B12,0,0,0,0,0,0,0,0,0,0,0,0
ZNF415,4,9,5,0,4,4,0,8,4,8,8,4
CAVIN3,0,0,0,0,1,0,0,0,0,0,0,0
CEACAM3,0,0,0,0,0,0,0,0,0,0,0,0
DCDC1,16,26,13,9,6,15,41,35,34,41,52,20
HAS2,11,28,13,0,3,5,23,17,24,5,5,3
PDGFD,20,122,25,12,29,37,151,158,93,48,70,43
PLAC1,2,15,13,2,3,2,1,1,2,14,4,0
DDI1,0,0,0,0,0,0,0,0,0,0,0,0
LINC00208,0,0,0,0,0,0,0,0,0,0,0,0
S1PR1,39,14,33,23,14,14,8,5,27,89,60,23
HS6ST2,961,1055,665,428,704,869,1072,1273,987,1557,1534,548
OR4D5,0,0,0,0,0,0,0,0,0,0,0,0
PYGO1,449,483,397,302,262,397,329,408,392,668,550,277
LRRC8E,570,413,329,94,86,209,351,576,368,453,345,213
PKIA,134,230,126,44,97,136,102,88,115,268,241,88
XKR6,42,60,36,45,68,40,49,77,31,70,92,40
TSNARE1,233,257,190,76,219,181,275,294,223,293,344,110
FPR2,5,5,5,3,0,1,10,6,6,7,10,5
FPR1,0,3,0,0,0,0,0,1,2,1,3,3
PATE1,0,0,0,0,0,0,0,0,0,0,0,0
OR13H1,0,0,0,0,0,0,0,0,0,0,0,0
FEZ2,649,811,480,459,637,879,772,1019,845,1389,2143,449
SOX7,272,252,184,86,175,223,392,548,308,329,339,79
C8orf74,0,6,0,2,0,1,0,2,0,1,2,0
C11orf24,870,878,663,553,1268,1003,787,1110,829,1431,1349,438
FAM86JP,61,60,70,25,38,44,52,82,52,103,75,40
ALK,0,0,0,0,0,0,0,0,0,0,0,0
KYAT1,691,634,488,258,458,461,381,544,410,882,721,376
MTM1,185,274,166,122,108,195,173,249,203,262,255,110
SIGLEC17P,0,0,0,0,0,0,0,0,0,0,0,0
TRMT61B,184,240,206,164,173,241,154,274,184,295,360,149
INSR,1347,1190,977,701,813,850,1332,1572,1212,1801,1422,711
MFN1,1219,1632,1163,770,1047,1281,2829,3743,3163,2462,3974,1120
GIMAP8,0,1,0,0,0,0,0,0,0,0,0,0
HSFX1,12,20,18,0,10,6,27,19,21,10,24,11
NRTN,76,46,54,52,12,35,71,85,40,54,64,40
KCNMB3,141,141,99,71,65,81,192,294,207,171,265,60
FUT3,9,1,0,0,1,0,0,8,4,4,2,2
KCNG3,60,92,56,44,59,82,43,51,51,89,87,47
ATP6V0E2,1605,1664,1199,1036,1569,1331,1622,1938,1553,2127,2528,842
PRKCE,357,399,275,185,335,372,511,752,439,557,598,185
OR2K2,0,0,0,0,0,0,0,0,0,0,0,0
JAGN1,635,691,586,292,469,651,602,760,585,1127,751,408
RLN3,0,0,0,0,0,0,0,0,0,0,0,0
TADA3,1886,1950,1413,844,1457,1118,2217,2823,2026,2605,2482,1178
SOCS5,514,819,489,303,292,487,587,795,647,755,1019,451
C1GALT1C1,432,672,406,327,291,484,408,529,523,607,851,371
C9orf16,1026,973,780,685,755,718,875,1054,718,1471,1085,576
MORN4,424,359,297,123,254,218,429,528,374,435,413,290
ZNF672,966,956,751,702,824,721,959,1167,892,1757,1214,645
ZNF692,389,503,318,179,450,437,416,623,361,610,546,233
NAIF1,533,493,366,262,305,366,429,522,338,747,449,274
RBKS,13,12,10,8,9,7,12,43,8,15,22,7
OR2M4,0,0,0,0,0,0,0,0,0,0,0,0
GRIK1,0,0,0,0,0,0,0,0,0,3,0,0
MUC7,0,0,0,0,0,0,0,0,0,0,0,0
OPRPN,0,0,0,0,0,0,0,0,0,0,0,0
SMR3B,0,0,0,0,0,0,0,0,0,0,0,0
TMEM126A,319,416,318,316,336,427,298,368,290,609,830,305
TMEM126B,771,828,506,402,622,803,780,1049,778,1289,1246,501
TRIM8,1312,1162,953,787,1607,1160,1184,1684,1069,2096,1610,1114
NETO2,3054,4103,2626,1851,2146,2940,3158,4004,3017,4955,4345,2160
CSN3,0,0,0,0,0,0,0,0,0,0,0,0
CLDN20,1,0,0,0,0,0,0,0,0,0,0,0
CDC42BPG,177,127,183,37,64,25,222,287,276,244,342,162
SCAND1,444,434,290,361,378,353,350,434,312,560,618,216
JUNB,289,161,136,140,224,159,274,380,241,355,214,111
FAM241B,448,484,431,123,165,233,389,598,397,537,491,352
TMEM37,71,75,53,49,51,55,95,135,105,80,153,50
UGT2B7,0,1,0,0,0,0,2,0,0,0,0,0
LRG1,14,20,15,17,17,12,20,19,17,19,10,11
SHCBP1,1723,1941,1380,695,1231,1245,2750,4252,2601,2496,2612,946
SOSTDC1,0,0,0,0,0,2,0,0,3,0,4,0
NPTX1,217,147,143,42,210,73,27,21,38,161,59,63
FAM98B,1440,2105,1642,1226,1075,1470,1333,1933,1780,2233,3419,1258
ZNF439,45,35,23,21,40,12,36,50,29,36,28,12
ZNF440,478,558,385,221,262,408,589,619,495,763,642,308
GAA,559,924,807,198,602,416,1579,2188,1500,798,1594,322
CANT1,2403,2466,1893,1357,2079,2129,2479,2955,2170,3047,3395,1402
KCNK3,22,10,14,15,20,12,18,22,23,24,17,4
ZDHHC16,1570,1729,1143,878,1483,1482,1518,2058,1453,2805,2170,1276
CHST11,430,351,379,199,494,340,438,598,356,392,393,100
EXOSC1,991,1109,747,416,985,963,932,1398,980,1487,1511,663
PGAM1,13176,16457,10859,8002,12789,14366,14145,16333,13288,22480,23445,12779
CHD7,3698,2739,1744,2137,3719,2867,3662,3807,2408,3997,4775,1138
ESCO2,716,1323,993,750,415,852,695,1202,1257,1135,1413,841
KRT19,0,0,0,0,0,0,0,0,0,0,1,0
KRT15,26,19,22,18,33,6,40,35,31,35,36,12
LURAP1,115,107,88,61,57,87,142,129,93,142,98,62
KRT38,0,0,0,0,0,0,0,0,0,0,0,0
CLCN5,545,504,504,391,766,452,420,700,554,745,1349,259
TPPP,369,451,314,137,143,126,336,251,293,321,343,169
KCND3,17,18,20,9,12,21,4,11,9,18,10,11
APLN,58,59,37,43,222,166,17,20,22,175,68,41
KRTAP4-4,0,0,0,0,0,0,0,0,0,0,0,0
KRT13,0,0,0,0,0,0,0,0,0,0,0,1
XAGE3,0,0,0,0,0,0,1,0,0,0,0,0
KRT9,0,0,0,0,0,0,0,0,0,0,0,0
XAGE5,2,1,3,0,0,3,4,4,1,3,3,4
PDE7B,7,6,6,3,1,1,1,11,4,22,6,6
MRPL36,1740,1847,1411,1192,1733,1914,1191,1754,1419,2588,2724,1027
ZNF581,594,529,449,297,534,587,638,867,567,931,622,336
NAT1,177,250,154,105,178,148,183,298,231,268,304,147
KRT20,0,0,0,0,0,0,0,0,0,0,0,0
GLOD5,0,0,0,0,0,0,0,0,0,0,0,0
KSR2,119,82,105,78,13,14,60,79,125,142,32,57
ZNF524,101,70,48,49,53,59,86,124,80,137,127,53
MCC,2166,2068,1668,861,1573,1300,2147,2676,1779,2501,2874,968
KRT27,0,0,0,0,0,0,0,0,0,0,0,0
ZBTB26,364,570,421,246,197,188,301,329,259,555,392,296
CDK5R2,15,9,3,12,6,3,11,13,2,10,19,8
DSEL,106,197,126,97,150,145,89,79,101,230,196,85
POLR1C,582,573,411,315,779,733,414,565,446,866,859,282
ASXL1,5975,6488,4898,3252,4384,5338,5529,7774,5265,8460,8169,3597
OR1L6,0,0,0,0,0,0,0,0,0,0,0,0
DLK2,239,190,161,94,85,95,214,232,142,135,95,91
ZNF562,1340,1528,1102,627,1056,986,1281,1667,1316,2092,1917,767
ZNF318,2323,2783,1871,1369,1702,1955,2522,3569,2669,3465,3560,1555
ZNF561,638,632,575,352,500,568,777,1200,786,1101,1035,451
WIPF2,2565,2802,1965,1283,2043,1686,2815,3642,2647,3458,3315,1411
HOPX,22,33,34,11,27,19,60,45,34,31,36,22
SPACA5B,0,0,0,0,0,0,0,0,0,0,0,0
OR1L3,0,0,0,0,0,0,0,0,0,0,0,0
NLRP5,0,0,0,0,0,0,0,0,0,0,0,0
LRRC8C,858,1039,723,548,513,703,963,1107,1056,1154,1252,574
SPACA5,2,0,0,0,0,1,0,0,1,1,2,0
RSL1D1,4513,3959,3337,1855,5725,5466,2876,4382,2962,7634,6211,2296
LRRC8D,767,855,582,463,712,929,463,803,687,1033,1040,361
MROH2B,0,0,0,0,0,0,0,0,0,0,0,0
OR1L8,0,0,0,0,0,0,0,2,1,0,0,0
PPID,1051,1208,969,634,708,1422,939,1371,1273,1968,2307,689
OR1N2,0,0,0,0,0,0,0,0,0,0,0,0
COL24A1,1,5,0,0,1,2,2,0,1,0,5,0
ETFDH,1021,1331,1019,579,437,1035,1497,1806,1218,1647,2012,687
OR1N1,0,0,0,0,0,0,0,0,0,0,0,0
RXFP1,4,0,0,0,0,2,0,2,0,0,0,0
LPAR3,130,135,132,97,160,150,102,140,128,220,180,64
PTGER4,46,59,25,40,44,19,33,37,34,117,25,24
TBCA,2481,3806,2771,1814,1833,2621,2760,3240,3251,3984,5687,2158
NEUROD2,175,167,168,96,115,120,139,213,140,206,242,98
MAP6,119,52,59,24,10,25,42,18,32,141,49,69
OTP,1,1,0,4,5,2,4,3,4,5,3,0
ECEL1,0,2,0,2,0,0,0,0,0,1,0,0
BCL2L1,2551,2374,1863,1202,2288,2366,1624,2080,1808,3510,2946,1397
FGG,0,0,0,0,0,0,0,0,0,1,0,0
FGA,0,0,0,0,0,0,0,0,0,0,0,0
OR2AT4,0,0,0,0,0,0,0,0,0,0,0,0
FGB,0,0,0,0,0,0,0,0,0,0,0,0
PLRG1,2111,2595,1954,1310,1029,2168,1984,3168,2626,3277,3631,1234
ZNF584,418,419,416,256,377,382,435,571,364,867,601,289
DSCAM,1,0,0,0,0,0,0,0,0,0,0,0
DNAI2,0,1,0,0,0,0,0,0,0,0,0,0
NMUR1,20,5,6,6,6,8,14,20,20,11,14,7
CLSTN1,3825,4319,3170,1821,2823,2959,4901,5915,4522,5772,5395,2226
CXXC5,615,471,389,626,807,535,209,246,169,1116,620,244
ZNF274,465,554,395,269,418,314,535,743,474,969,596,304
PIK3CD,215,170,145,60,124,86,237,273,169,162,214,115
PTCRA,0,0,0,0,0,0,0,0,0,0,0,0
SLC25A33,292,294,326,216,302,303,331,436,335,428,480,195
ENC1,1976,2149,1560,721,2346,2156,1273,1673,1686,3352,2555,1339
SPSB1,194,230,192,109,199,202,138,230,119,263,197,146
P2RY6,6,4,3,4,5,3,1,5,0,8,6,1
BPTF,4636,6190,4622,2902,4323,4464,6045,8555,5714,7810,8491,3430
S100Z,0,2,0,0,1,0,2,2,3,1,8,1
ZIK1,1,2,1,0,2,0,3,6,9,6,19,0
GPR82,44,36,32,18,29,36,42,69,36,62,51,19
NMRAL2P,2,2,5,0,0,1,0,0,1,7,1,5
GPR34,0,0,0,0,0,0,0,0,0,0,0,0
SHANK2-AS3,40,55,35,24,45,29,54,39,26,40,47,22
PLEKHG5,146,89,98,25,39,69,185,189,116,90,94,56
ATF7IP,3381,4134,3175,2159,2097,2641,3471,4639,3522,4621,4629,2223
LKAAEAR1,0,0,0,0,0,0,0,0,0,1,1,0
RGS19,434,446,289,282,432,446,441,536,373,609,702,237
TCEA2,608,631,579,375,382,346,733,842,710,667,779,327
DEFB4A,0,0,0,0,0,0,0,0,0,0,0,0
ANO5,134,68,166,20,7,31,2,3,41,304,72,185
HDAC3,4070,4760,3243,1936,4263,3795,3781,4916,3786,5770,4945,2349
SPATA46,0,1,0,0,2,0,0,4,0,0,1,0
GPHN,425,409,307,165,401,284,516,571,526,624,681,263
VAT1L,0,0,0,0,0,1,0,2,0,0,1,0
TMEM51,142,182,129,73,155,155,127,161,125,203,166,70
CAMTA1,567,616,517,262,404,555,520,662,518,828,950,363
LRRC34,22,17,16,8,15,17,34,34,14,27,31,15
PAH,0,0,0,0,0,0,0,0,0,0,0,0
SPATA5L1,330,436,303,240,282,463,271,379,371,584,681,319
GATM,31,19,16,2,5,16,15,18,11,22,16,8
SYCE1,0,0,0,0,0,0,0,0,0,0,0,0
NXNL1,0,1,0,2,2,0,5,3,3,3,2,3
RASGRP4,10,9,13,5,7,6,10,20,11,18,19,11
NHLH1,12,24,8,8,16,27,9,8,18,33,16,17
SLFNL1,4,7,3,0,4,2,4,15,5,0,5,1
BCL2,245,232,176,147,158,181,179,166,161,459,234,179
RHNO1,1493,1326,1175,677,972,919,1448,2198,1487,1914,1570,722
CTPS1,4938,4406,3408,1946,5144,6064,2714,3729,2888,8356,5883,2237
UTF1,4,3,3,0,2,2,3,1,0,0,27,2
KNDC1,47,23,84,37,18,24,42,53,87,84,104,53
WDR87,0,1,0,0,0,0,0,0,0,0,1,0
METTL18,195,273,196,159,150,187,195,218,222,286,295,178
CFAP46,0,1,0,0,0,0,0,0,0,0,0,0
COL8A2,2,3,3,0,0,0,1,1,1,1,0,0
PWWP2B,250,256,226,267,346,307,231,373,213,432,406,186
PCDHB1,29,20,22,20,19,16,28,28,27,50,36,18
ZNF540,28,22,16,15,8,24,36,41,38,42,41,21
ANGPTL7,0,0,0,0,0,0,0,1,0,0,0,0
FBXL14,165,148,139,165,194,194,186,202,137,232,196,97
EXOSC10,2266,2415,1750,1222,1858,2223,2153,2794,2129,3417,3136,1237
ZNF570,99,141,69,70,41,34,131,148,83,136,97,78
NINJ2,5,3,1,4,10,3,0,4,0,2,5,3
MLLT3,132,223,119,89,131,133,370,521,411,227,384,109
FAM90A1,70,77,66,28,36,31,59,114,104,145,66,61
RRM2,3789,3105,2451,1822,2615,3144,2365,3071,2349,4338,3668,1534
TRAPPC12,408,442,332,255,369,501,602,705,499,608,753,205
IFNB1,0,0,0,0,0,0,0,0,0,0,0,0
RPS21,5294,6529,4616,2751,4318,4936,5835,7766,5580,7891,8256,3434
C3AR1,2,3,2,3,15,6,0,0,0,4,1,2
MRM3,618,727,645,378,597,789,474,762,498,1104,1138,391
PTEN,574,777,638,422,406,553,766,916,783,960,1324,731
RPS7,11243,12523,9346,5359,8351,10684,10865,12997,10569,17079,15779,7030
PRND,7,5,13,4,4,6,7,17,7,10,11,4
RNASEH1,455,502,347,251,428,502,401,512,428,827,626,280
PRNP,1479,1439,1009,609,1415,1167,1289,1800,1435,1078,1336,710
KLF17,4,0,3,1,2,2,0,0,0,0,4,2
ADRA1D,12,18,11,11,25,16,9,7,7,17,3,2
FRMD5,174,147,98,44,71,109,206,269,268,273,218,132
AQP4,1,7,20,1,1,1,7,0,4,7,0,0
MIR31HG,1,2,1,0,0,0,0,0,1,12,16,5
CYP4F11,2,0,0,4,1,0,1,3,3,3,1,0
TLN2,297,602,279,270,184,286,679,970,781,605,740,199
LGALS9C,3,0,0,0,0,0,7,4,0,0,7,0
TVP23B,336,648,535,245,314,543,311,721,493,882,709,368
FBXW10,5,4,7,0,5,2,6,3,6,7,10,3
OR10H3,0,0,0,0,0,0,0,0,0,0,0,0
ZNF217,1106,1332,990,459,722,713,1543,2144,1390,1738,1717,732
OR10H2,0,0,0,0,0,0,0,0,0,0,0,0
SRGAP2C,316,380,335,630,244,742,338,463,372,450,643,587
OR52A5,0,0,0,0,0,0,0,0,0,0,0,0
SCG2,8,6,5,9,13,24,2,0,7,7,2,2
ATPAF2,654,615,504,221,379,412,568,728,546,906,708,341
CYP4F22,14,16,18,3,3,2,2,3,1,12,8,4
FOXB1,24,13,5,1,2,0,36,59,51,30,25,6
PPIH,1208,1261,997,538,979,1165,1071,1390,1003,1722,1749,673
DRC3,43,25,18,19,19,11,42,55,40,55,73,28
ZNF57,77,71,65,28,59,48,82,108,76,139,97,55
SHLD1,74,73,64,47,57,59,48,102,90,96,115,33
C11orf40,0,0,0,0,0,0,0,0,0,0,0,0
JMJD1C,2563,2210,1594,1062,1203,1583,1889,3230,2131,2829,2384,1836
LDHAL6B,0,1,0,0,0,0,1,0,0,0,0,1
SYNPO,644,654,362,208,902,295,522,571,612,951,1127,685
OR52P2P,0,0,0,0,0,0,0,0,0,0,0,0
ZNF556,147,156,136,88,109,152,160,167,111,223,166,98
MAL,0,0,0,0,0,0,0,0,0,0,0,0
ZNF554,242,212,209,110,149,123,265,342,264,285,280,121
RAB33B,200,344,239,85,54,112,226,390,279,386,300,152
THOP1,1107,1185,727,681,1463,1366,1055,1281,902,1836,1448,662
REG3A,0,0,0,0,0,0,0,0,0,0,0,0
GAP43,143,173,156,82,127,148,20,47,57,364,552,82
REG1B,0,0,0,0,0,0,0,0,0,0,0,0
EPHX4,90,147,92,61,117,124,111,133,121,148,204,82
LAMB2,1019,1062,605,486,660,501,1942,2187,1292,1701,961,551
USP19,1676,1789,1115,1137,1707,1189,1587,1970,1418,2257,2386,1186
QARS1,3451,3404,2875,1989,3330,2186,3229,4921,2927,4548,4537,2212
ORMDL3,968,1396,661,462,814,946,989,1538,1158,1772,1213,703
SERF1A,52,77,45,21,51,24,124,55,41,85,47,28
KLF11,377,322,387,257,271,262,261,405,299,472,377,173
LRRC15,25,17,10,16,26,25,4,18,3,11,13,11
SMN1,90,156,74,49,51,97,68,85,83,115,271,84
EIF2AK3,656,765,461,302,317,346,560,1044,841,907,856,376
TEX37,1,0,0,0,2,0,2,1,0,0,1,1
MOB3A,1354,1257,988,682,923,809,2506,2948,1968,1582,1488,618
KRCC1,154,211,193,87,13,82,141,262,261,294,207,103
NME6,385,380,328,219,414,372,326,476,375,600,571,197
CYCS,3583,3993,2717,1786,2542,3824,2713,4158,3353,5901,6689,2044
CD8B,0,0,0,0,0,0,0,0,0,0,0,0
SLFN12,626,729,426,431,682,710,268,597,435,1014,944,412
SLC9C1,0,0,0,0,0,0,0,0,0,0,0,0
OR1A1,0,0,0,0,0,0,0,0,0,0,0,0
OR1A2,0,0,0,0,0,0,0,0,0,0,0,0
OR8I2,0,0,0,0,0,0,0,0,0,0,0,0
LCE1D,0,0,0,0,0,0,0,0,0,0,0,0
CCL11,0,0,0,0,0,0,0,0,0,0,0,0
FRMD3,85,59,37,29,60,36,72,170,43,154,62,31
SNTB1,404,463,379,156,439,446,520,534,867,811,800,171
MTBP,986,1676,1251,457,650,999,958,1420,1395,1463,2126,911
TEFM,314,440,346,187,249,347,280,350,297,505,531,293
MRPL13,1527,2615,1827,823,1145,1783,1550,1816,2105,2663,4400,1365
MALT1,725,875,660,399,526,806,722,909,704,1081,1220,559
PRL,0,0,0,0,0,0,0,0,0,0,0,0
ISG20,40,53,84,17,14,13,59,125,95,79,34,14
OR4C11,0,0,0,0,0,0,0,0,0,0,0,0
MBOAT1,160,243,168,157,145,163,279,362,218,268,314,158
OR8U1,0,0,0,0,0,0,0,0,0,0,0,0
ID4,151,233,150,67,52,29,104,149,211,137,251,80
OR4X2,0,0,0,0,0,0,0,0,0,0,0,0
GPR22,0,0,0,0,0,0,0,0,0,0,0,0
CXCR6,0,0,0,0,0,0,0,0,0,0,1,0
CEBPB,530,455,419,205,281,266,419,874,576,800,362,147
AZU1,23,18,21,12,22,15,28,23,20,13,36,14
TPSAB1,1,0,0,1,0,0,0,0,0,0,0,0
ATOH1,1,2,3,5,3,2,3,2,2,16,12,1
PAIP1,2641,3390,2449,1768,1590,2367,2657,3773,3148,4221,4024,2024
CLEC7A,27,25,24,11,18,13,27,31,16,31,42,11
C5orf34,680,946,710,335,340,569,875,1144,943,1025,970,431
C1QTNF4,7,5,1,3,4,2,6,7,1,1,9,2
SERHL,0,9,21,2,3,6,3,8,1,4,26,3
NEGR1,397,238,156,129,109,349,59,176,242,661,613,88
ZNF131,2849,3126,2309,1511,1860,2471,2508,3289,2853,3970,3515,1722
MACROD2,34,63,36,21,26,17,31,70,42,44,71,26
DPAGT1,1061,1058,823,471,1064,1078,896,1295,1023,1249,1412,598
BSG,14185,17071,11326,10610,13887,12797,10979,27618,18705,19228,24112,8351
HINFP,928,832,686,372,680,619,738,1013,668,1148,1053,516
CDY1,0,0,0,0,0,0,0,0,0,0,0,0
OR10V1,0,0,0,0,0,0,0,0,0,0,0,0
CERS6,2043,3279,2398,1273,1328,1833,2399,3367,2927,3490,4140,1875
SPTLC3,61,118,66,41,43,30,198,218,195,101,266,88
COPRS,1302,1280,1005,758,1665,1451,982,1309,1018,2099,1959,762
TP53RK,397,379,335,258,462,520,253,434,318,715,684,243
B3GALT1,30,44,15,59,46,38,19,32,23,69,162,36
OR5A1,0,0,0,0,0,0,0,0,0,0,0,0
CLEC12A,0,2,0,0,0,2,0,0,0,0,0,0
OR5A2,0,0,0,0,0,0,0,0,0,0,0,0
BPGM,517,519,436,264,317,430,501,670,529,727,806,320
POP7,1253,1156,894,633,1376,1325,809,1198,897,1644,1577,624
ALG14,310,556,318,138,306,322,384,470,293,670,513,284
SUCLG2,416,645,377,254,299,335,809,929,753,691,1108,347
STARD5,103,108,69,14,23,39,111,208,130,148,137,30
CSDC2,233,206,201,25,56,69,267,344,224,238,203,59
RCAN2,22,80,44,8,4,9,25,28,48,69,32,35
IL16,11,6,4,8,5,2,3,1,7,9,4,7
