gene_name,DLD1_WT_replicate1,DLD1_WT_replicate2,DLD1_Furin_KO_replicate1,DLD1_Furin_KO_replicate2,HCA7_WT_replicate1,HCA7_WT_replicate2,HCA7_Furin_KO_replicate1,HCA7_Furin_KO_replicate2,HT29_WT_replicate1,HT29_WT_replicate2,HT29_Furin_KO_replicate1,HT29_Furin_KO_replicate2
L1CAM,0,0,0,0,1,5,3,10,0,5,0,0
SREBF2,3725,3063,3854,2874,5285,7792,5281,6914,3964,4919,3052,2971
C1orf174,680,579,617,449,542,775,485,708,363,472,335,394
POU3F3,2,0,0,0,0,0,0,0,0,0,0,0
RASGEF1A,3,0,1,3,0,3,12,2,5,3,0,2
SPOUT1,936,754,690,598,724,1098,1107,1283,670,976,663,652
RPL39,5959,4979,4503,3327,5692,9817,8157,10479,6847,10262,6527,7229
DZIP3,391,362,480,348,343,544,558,658,387,417,299,334
KIAA0753,386,303,308,279,412,715,447,681,296,299,323,216
DCLRE1A,794,655,702,542,742,1087,712,918,396,572,305,359
ATG9A,1154,949,981,667,950,1504,1034,1209,1736,2330,1605,1732
NOS1AP,169,178,235,189,112,127,119,129,41,65,28,29
CSAG1,0,0,0,0,0,0,0,0,37,44,2,3
APRT,1855,1793,1486,1049,1736,3039,2103,2667,1778,2671,2097,2048
GPRASP1,43,45,54,39,31,50,47,42,29,11,29,16
TBKBP1,46,46,67,59,1,11,2,1,0,5,0,3
MAGEE1,0,0,0,0,0,0,0,0,0,0,0,0
CCDC167,132,109,141,96,112,192,132,144,107,176,111,105
COX3,62734,46703,79686,59879,144202,188530,109845,147829,161637,219957,126517,131511
ZFP2,18,11,20,10,3,3,6,3,0,4,0,0
SOWAHA,7,14,6,12,51,65,106,152,29,52,23,18
L3MBTL3,327,243,556,358,611,810,1592,2067,74,111,83,93
DMD,211,131,267,228,262,358,354,515,74,130,95,72
MFAP3L,368,287,310,211,145,335,265,314,8,9,1,2
NAGA,1062,868,1206,907,477,687,604,743,451,636,362,371
SMG5,2789,2238,2604,1750,1406,2427,1450,1894,2783,3827,2535,2630
KIFBP,801,660,810,545,620,955,620,841,403,517,342,347
TGM2,45,15,36,20,22,33,6,15,1890,2573,864,787
ARMCX6,226,135,243,212,65,133,2,0,186,246,104,117
PJA2,1848,1503,1655,1222,1088,1577,1220,1513,695,817,516,562
RORB,4,0,1,4,1,4,1,1,7,0,0,0
SGMS1,337,257,249,244,206,306,219,283,256,346,207,259
OR10R2,0,0,0,0,0,0,0,0,0,0,0,0
OR10Z1,0,0,0,0,0,0,0,0,0,0,0,0
MIRLET7E,0,0,0,0,0,0,0,0,0,0,0,0
MIR375,0,0,0,0,0,0,0,0,0,0,0,0
MIR30E,0,1,0,0,0,0,0,0,0,0,0,0
MIRLET7A2,0,0,0,0,0,0,0,0,0,0,0,0
MIR429,1,0,1,0,1,6,3,2,5,2,9,1
MIR380,0,0,0,0,0,0,0,0,0,0,0,0
MIR449A,0,0,0,0,0,0,0,0,0,0,0,0
MIR345,0,0,0,0,0,0,0,0,0,0,0,0
MIR16-2,0,0,0,0,0,0,0,0,0,0,0,0
MIR340,0,0,0,0,0,0,0,0,0,0,0,0
MIR107,0,0,0,0,0,0,0,0,0,0,0,0
MIR448,0,0,0,0,0,0,0,0,0,0,0,0
MIR370,0,0,0,0,0,0,0,0,0,0,0,0
MIR412,0,0,0,0,0,0,0,0,0,0,0,0
MIR377,0,0,0,0,0,0,0,0,0,0,0,0
MIR1-1,0,0,0,0,0,0,0,0,0,0,0,0
MIR381,0,0,0,0,0,0,0,0,0,0,0,0
MIR339,0,0,0,0,1,1,0,0,0,1,0,0
MIR103A2,0,0,0,0,0,0,0,0,1,0,0,0
MIR369,0,0,0,0,0,0,0,0,0,0,0,0
MIRLET7C,0,0,0,0,0,0,0,0,0,0,0,0
MIR371A,0,0,0,0,0,0,0,0,0,0,0,0
MIR425,0,0,0,0,0,0,0,0,0,0,0,0
MIR103A1,0,0,0,0,0,0,0,0,0,0,0,0
MIR219A1,0,0,0,0,0,0,0,0,0,0,0,0
MIR210,0,1,0,0,0,0,0,0,0,0,0,0
MIR335,0,0,0,0,0,0,0,0,0,0,0,0
MIR378A,0,0,0,0,0,0,0,0,0,0,0,0
MIR361,0,0,0,0,0,0,0,0,0,0,0,0
MIR324,0,0,0,0,0,0,0,0,0,0,0,0
MIR135B,0,0,0,0,0,0,0,0,0,0,0,0
MIR101-2,0,0,0,0,0,0,0,0,0,0,0,0
MIR323A,0,0,0,0,0,0,0,0,0,0,0,0
MIRLET7F1,0,0,0,0,0,0,0,1,0,0,0,0
MIR26A1,0,0,0,0,0,0,0,0,0,0,0,0
MIR129-2,0,0,0,0,0,0,0,0,0,0,0,0
MIR133B,0,0,0,0,0,0,0,0,0,0,0,0
MIR342,0,0,0,0,0,0,0,0,0,0,0,0
MIR148A,0,0,0,0,0,0,0,0,0,0,0,0
MIR379,0,0,0,0,0,0,0,0,0,0,0,0
MIR326,0,0,0,0,0,0,0,0,0,0,0,0
MIR410,0,0,0,0,0,0,0,0,0,0,0,0
MIR30C2,0,0,0,0,0,0,0,0,0,0,0,0
MIR372,0,0,0,0,0,0,0,0,0,0,0,0
MIR302C,0,0,0,0,0,0,0,0,0,0,0,0
MIR346,0,0,0,0,0,0,0,0,0,0,0,0
MIR409,0,0,0,0,0,0,0,0,0,0,0,0
MIR411,0,0,0,0,0,0,0,0,0,0,0,0
MIR26B,0,0,0,0,0,0,0,0,0,0,0,0
MIR148B,0,0,0,0,0,0,0,0,0,0,0,0
MIR383,0,0,0,0,0,0,0,0,0,0,0,0
MIR365A,0,0,0,0,0,0,0,0,0,0,0,0
MIR450A1,0,0,0,0,0,0,0,0,0,0,0,0
MIRLET7D,0,1,1,1,0,1,2,0,4,3,4,4
MIR101-1,0,0,0,0,0,0,0,0,0,0,0,0
MIR373,0,0,0,0,0,0,0,0,0,0,0,0
MIR302D,0,0,0,0,0,0,0,0,0,0,0,0
MIRLET7G,0,0,0,0,0,0,0,0,0,0,0,0
MIR337,0,0,0,0,0,0,0,0,0,0,0,0
MIR30D,0,0,0,0,0,0,0,0,0,0,0,0
MIR422A,0,0,0,0,0,0,0,0,0,0,0,0
MIR208A,0,0,0,0,0,0,0,0,0,0,0,0
MIR96,0,0,0,0,0,0,0,0,0,0,0,0
MIR126,0,0,0,0,0,0,0,0,0,0,0,0
MIRLET7A1,0,0,1,0,0,0,0,0,0,0,0,0
MIR374A,0,0,0,0,0,0,0,0,0,0,0,0
MIR367,0,0,0,0,0,0,0,0,0,0,0,0
MIR331,0,0,0,0,0,0,0,0,0,0,0,0
MIR31,0,0,0,0,0,0,0,0,0,0,0,0
MIRLET7I,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP72,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP289,0,0,0,0,0,0,0,0,0,0,0,0
RNU105C,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1123P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-500P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-834P,0,1,1,0,1,0,0,0,0,2,0,0
RNA5SP46,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-896P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-28P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-664P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-874P,0,0,0,0,0,0,0,0,0,0,0,0
SNORA60,2,2,3,0,1,1,1,4,7,2,1,2
RNU6-349P,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP26,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-661P,0,0,0,0,0,0,0,0,0,0,0,0
RNU1-58P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1094P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-502P,0,0,0,0,0,0,0,0,0,0,0,0
SNORA21,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1312P,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP430,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-208P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-858P,0,0,0,0,0,0,0,0,0,0,0,0
SNORD115-34,0,0,0,0,0,0,0,0,0,0,0,0
RNU4-82P,0,0,0,0,0,0,0,1,0,0,1,0
RNA5SP347,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP52,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP183,0,0,0,0,0,0,0,0,0,0,0,0
RNU4-39P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1298P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-230P,1,0,0,0,0,0,0,0,2,0,3,2
RNU6-204P,0,0,0,0,0,0,0,0,0,0,0,0
RNU5E-1,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-766P,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP432,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP273,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1115P,0,0,0,0,0,0,0,0,0,0,0,0
RNU1-150P,0,0,0,0,0,0,0,0,0,0,0,0
SNORA63E,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP327,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1084P,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP453,0,0,0,0,0,0,0,0,0,0,0,0
RNU5F-1,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-79P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-369P,0,0,0,0,0,0,0,0,0,0,0,0
SNORD114-7,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-600P,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP93,0,0,0,0,0,0,0,0,0,0,0,0
RNY4P19,1,0,0,0,1,0,0,0,0,0,0,0
RNA5SP308,0,0,0,0,0,0,0,0,0,0,0,0
SNORA1B,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP301,0,0,0,0,0,0,0,0,0,0,0,0
VTRNA3-1P,0,0,0,0,0,0,0,0,0,0,0,0
RNU1-108P,0,0,0,0,0,0,0,0,0,0,0,0
SNORD9,1,1,0,0,0,2,0,0,0,0,0,1
RNU6-543P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-845P,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP276,0,0,0,0,0,0,0,0,0,0,0,0
SNORD115-12,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP388,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP191,0,0,0,0,0,0,0,0,0,0,0,0
RNU4-35P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1216P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-556P,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP104,0,0,0,0,0,0,0,0,0,0,0,0
SNORA31,0,3,4,2,0,0,1,4,9,1,3,3
RNU6-633P,0,0,0,0,0,0,0,0,0,0,0,0
RNU4-15P,0,0,0,0,0,0,0,0,0,0,0,0
RNU1-70P,0,0,0,1,0,0,0,0,0,0,0,0
SNORD115-25,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1313P,0,0,0,0,0,0,0,0,0,0,0,0
RNU1-94P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-247P,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP110,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP477,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-212P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-235P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-386P,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP295,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-462P,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP305,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-315P,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP195,0,1,0,0,0,0,1,0,0,0,0,0
RNA5SP361,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP502,0,0,0,0,0,0,0,0,0,0,0,0
RNU5A-1,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-228P,0,0,0,0,0,0,0,0,0,1,0,0
RNA5SP174,0,0,0,0,0,0,0,0,0,0,0,0
SNORD18C,0,0,0,0,0,0,0,0,0,0,0,0
SNORD114-1,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-822P,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP119,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP321,0,0,0,0,0,0,0,0,0,0,0,0
SNORD114-14,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1301P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-859P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-562P,1,0,0,0,0,0,0,0,0,0,0,0
RNU6-951P,0,0,0,0,0,0,0,0,0,0,0,0
RNY4P24,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP124,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP258,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-989P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1010P,0,0,1,0,0,0,0,0,0,0,0,0
RNU1-14P,0,0,0,0,0,0,0,0,0,0,0,0
SNORD33,0,3,3,0,2,4,0,0,0,2,3,0
RNU4-79P,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP319,0,0,0,0,0,0,0,0,0,0,0,0
RNU4-90P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1330P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1272P,1,2,0,0,0,2,0,0,0,0,0,0
RNU1-35P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1266P,0,1,1,0,0,0,0,1,0,0,0,0
SNORD3G,0,0,0,0,0,0,0,0,0,0,0,0
RNU4-21P,0,0,0,0,1,2,2,1,0,0,0,1
SNORD16,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-862P,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP185,0,0,0,0,0,0,0,0,0,2,0,0
RNU1-38P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1128P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-446P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-223P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-170P,0,0,0,0,0,0,0,0,0,0,0,0
RNU4-23P,0,0,1,0,0,0,0,0,0,0,0,0
SNORD115-2,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-655P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1079P,0,1,1,0,0,0,0,1,0,0,0,0
RNA5SP307,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-227P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-552P,0,0,0,0,0,0,0,0,0,0,0,0
SNORD104,24,22,14,13,6,15,12,16,13,9,14,16
RNU6-363P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-78P,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP426,0,0,0,0,0,0,0,0,0,0,0,0
RNU1-76P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1287P,0,0,0,0,0,0,0,0,0,0,0,0
SNORA52,0,0,8,0,0,0,0,0,0,0,0,0
SNORA80C,0,0,0,0,0,1,1,0,1,0,0,0
RNY3P2,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-836P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-451P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1233P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-924P,0,0,0,0,0,0,0,0,0,0,0,0
SNORD114-5,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1159P,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP383,1,2,0,1,3,1,3,2,4,2,0,0
RNU1-134P,0,0,0,1,0,1,1,1,0,0,0,1
RNA5SP491,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP374,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-428P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1260P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-199P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1290P,0,0,0,0,0,0,0,0,0,0,0,0
SNORD115-21,0,0,0,0,0,0,0,0,0,0,0,0
RNU1-47P,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP150,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP358,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP375,0,0,0,0,0,0,0,0,0,0,0,0
RNU1-72P,0,0,2,0,0,1,0,0,0,1,0,0
RNU5F-6P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-490P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1120P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-582P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-495P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-942P,0,0,1,0,0,0,0,0,0,0,0,1
RNA5SP452,0,0,0,0,0,0,0,0,0,0,0,0
RNVU1-22,0,0,0,0,0,1,0,0,0,1,0,0
RNU6-330P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-249P,0,0,0,0,0,0,0,0,0,0,0,0
RNU1-17P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1273P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-492P,0,0,0,0,0,0,0,0,0,0,0,0
SNORD114-16,0,0,0,0,0,0,0,0,0,0,0,0
RNU4-44P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-161P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1252P,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP405,0,0,0,0,0,0,0,0,0,0,0,0
RNU1-18P,0,0,0,0,0,0,0,0,0,0,0,0
RNY1P16,0,1,0,0,1,0,1,0,1,2,0,0
RN7SKP75,0,0,0,0,0,0,0,0,0,0,0,0
SNORD114-19,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-653P,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP443,0,0,0,0,0,0,0,0,0,0,0,0
SNORD115-14,0,0,0,0,0,0,0,0,0,0,0,0
SNORD1B,0,0,0,0,0,0,0,1,0,1,0,0
RNU6-605P,0,0,0,0,0,0,0,0,0,0,0,0
SNORD115-3,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-797P,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP264,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-486P,0,0,0,0,0,0,0,0,0,0,0,0
VTRNA1-1,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP145,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-986P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-623P,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP448,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP98,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-642P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-403P,0,0,0,0,0,0,0,0,0,0,0,0
RNU4-73P,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP65,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP115,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-812P,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP218,0,0,0,0,0,0,0,0,0,0,0,0
RNU4-58P,0,0,0,0,0,0,0,0,0,0,0,0
RNY4P9,0,0,0,0,0,0,0,0,0,0,0,0
RNU4-80P,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP326,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-433P,0,0,0,0,0,0,0,0,0,0,0,0
SNORA73B,35,30,21,18,9,33,23,24,23,27,24,20
SNORD114-31,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-181P,0,0,0,0,0,0,0,0,0,0,0,1
RNU6-1167P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-508P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-252P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-251P,0,0,0,0,0,0,0,0,0,0,0,1
RNU6-984P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1249P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-774P,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP123,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1021P,0,0,0,0,0,0,0,0,0,0,0,0
RNY1P10,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-778P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-544P,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP231,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-216P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-23P,0,0,0,0,0,0,0,0,0,0,0,0
RNU5B-1,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP145,0,0,0,0,0,0,0,0,0,0,0,0
SNORD115-18,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP350,0,0,0,0,0,0,0,0,0,0,0,0
RNU5D-1,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1309P,0,0,0,0,0,0,0,0,0,0,0,0
RNU1-19P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-238P,0,0,0,0,0,0,0,0,0,0,0,0
RNU1-20P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-832P,0,0,0,0,0,0,0,0,0,0,0,0
RNU1-21P,0,0,0,0,0,0,0,0,0,0,0,0
RNU1-22P,0,0,0,0,0,0,0,0,0,0,0,0
RNY4P27,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-992P,0,0,0,0,0,0,0,0,0,0,0,0
SNORD113-6,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-745P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-839P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-697P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-179P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-626P,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP382,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP197,0,0,0,0,0,0,0,0,0,0,0,0
RNU1-23P,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP133,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP263,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-254P,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP214,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1147P,0,0,0,0,0,0,0,0,0,0,0,1
RNU6-529P,0,0,1,0,0,0,0,0,0,0,0,0
RNU6-536P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-97P,0,0,0,0,0,1,0,0,0,0,1,0
SNORD35A,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-66P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-838P,0,0,0,0,0,0,0,0,0,0,0,0
RNU4-32P,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP199,0,1,2,1,0,1,3,2,0,0,1,0
RNA5SP352,0,0,0,0,0,0,0,0,0,0,0,0
SNORD114-10,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-624P,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP393,1,0,0,0,0,0,0,0,1,0,0,0
RNU6-527P,0,0,0,0,0,0,0,0,0,0,0,0
RNU1-83P,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP483,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-940P,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP215,0,0,0,0,0,0,0,0,0,0,0,0
RNA5-8SP7,0,0,0,0,0,0,0,0,0,0,0,0
SNORD3P1,1,0,0,0,0,0,0,1,0,0,0,0
SNORA63,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP391,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP62,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-183P,0,0,0,0,0,0,0,0,0,0,0,0
RNU1-49P,0,0,0,0,0,0,0,0,0,0,0,0
RNU1-105P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-485P,1,0,0,1,0,1,1,0,0,0,0,0
RNU6-1285P,1,0,0,0,0,0,0,0,0,0,0,0
SNORA71D,1,1,0,0,0,0,0,1,0,0,1,1
RNU6-833P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-792P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-511P,0,0,0,0,0,0,0,0,0,0,0,0
SNORD113-8,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-666P,0,0,0,0,0,0,0,0,0,0,0,0
RNU5E-8P,0,0,0,0,0,0,0,0,0,0,0,0
RNU5E-10P,0,0,0,0,0,0,0,0,1,0,0,0
RNU5B-4P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-618P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-509P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-698P,0,0,0,0,0,0,0,0,0,0,0,0
SNORA38B,0,0,1,0,0,0,0,1,0,2,1,0
SNORD115-24,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1099P,3,1,3,2,1,5,0,0,3,0,0,1
SNORD114-23,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1169P,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP74,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP346,0,0,0,0,0,0,0,0,0,0,0,0
SNORD114-26,0,0,0,0,0,0,0,0,0,0,0,0
SNORA63B,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1155P,0,0,0,0,0,0,0,0,0,0,0,0
RNU4-81P,0,0,0,0,0,0,0,0,0,0,0,0
RNA5-8SP2,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-799P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1066P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1339P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1085P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1112P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1097P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-727P,0,0,0,0,0,0,0,0,0,0,0,0
SNORD118,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP403,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-112P,0,0,2,4,0,2,0,0,0,0,0,0
RNU6-1125P,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP44,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP507,0,0,0,0,0,0,0,0,0,0,0,0
SNORD115-41,0,0,0,0,0,0,0,0,0,0,0,0
SNORD114-28,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1017P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1244P,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP322,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1205P,0,0,0,0,0,0,0,0,0,0,0,0
SNORD115-5,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP378,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1214P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-957P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1209P,0,0,0,1,1,0,2,0,0,0,0,0
RNY4P14,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP457,0,0,0,0,0,0,0,0,0,1,0,0
RNU6-1331P,0,0,0,0,0,0,0,0,0,0,0,0
