gene_name,1-D0-Del_PLEC,2-D0-Del_PLEC,3-D0-Del_PLEC,4-D0-Del_PLEC,6-D0-Neg,7-D0-Neg,8-D0-Neg
OR52J1P,0,0,0,0,0,0,0
OR1F2P,2,1,3,2,3,3,0
LINC02408,6,11,9,17,10,11,0
LINC00970,23,21,16,30,28,30,0
GP1BB,0,0,0,0,0,0,0
C6orf47,318,580,206,328,397,493,0
LINC00501,7,14,13,21,6,19,0
LINC01285,12,13,14,20,18,11,0
OR2T5,0,0,0,0,0,0,0
OR2L2,0,0,0,0,0,0,0
OR2W5P,0,0,0,0,0,0,0
EFCAB2,299,203,218,251,235,240,2
COX20,2326,2175,1996,2207,2832,2513,16
CHML,3259,3653,3078,3520,3760,3468,39
IBA57-DT,1,1,0,0,2,1,0
STUM,1,0,4,0,0,0,0
LINC02487,0,0,0,0,0,0,0
TCP10L3,0,0,0,0,0,0,0
CAPN8,0,0,0,0,0,0,0
TATDN3,467,555,532,676,570,503,13
CR1,5,5,7,9,5,3,0
C6orf99,1,0,1,1,0,0,0
LINC00862,0,2,1,2,1,1,0
RAET1G,106,140,146,138,118,134,1
C1orf53,202,109,145,139,132,94,1
SAMD5,5,4,1,5,7,4,0
LINC00272,0,0,0,0,0,0,0
TEDDM1,4,4,2,4,0,3,0
GJE1,0,0,0,0,0,0,0
ECT2L,3,0,4,2,3,3,0
GPR52,0,0,0,3,1,1,0
PRDX6-AS1,27,27,28,33,30,39,0
METTL11B,0,0,0,0,0,0,0
FCGR3A,0,0,1,0,0,0,0
TMEM244,21,19,20,22,17,20,0
OR6K3,0,0,0,0,0,0,0
OR10T1P,0,0,0,0,0,0,0
CENPW,1015,989,862,992,1021,924,8
SPRN,0,0,0,1,0,1,0
FAM229B,502,409,430,390,416,320,5
FANK1,73,37,57,80,47,59,0
S100A7P1,0,0,0,0,0,0,0
LORICRIN,1,0,0,0,0,0,0
PRR9,0,0,0,0,0,0,0
LELP1,0,0,0,0,0,0,0
SPRR2E,0,0,0,0,0,0,0
KPRP,0,0,0,2,0,0,0
EEF1AKMT2,1404,1392,1322,1463,1491,1368,9
FAM24A,0,0,0,0,0,0,0
DDO,44,49,37,61,39,36,0
CCDC162P,11,4,5,17,1,7,1
LINC00222,0,2,0,1,1,2,0
ADAMTSL4-AS1,15,18,12,14,9,5,0
PLPP4,0,0,0,0,0,0,0
BVES-AS1,50,51,71,56,74,47,0
LIN28B-AS1,0,0,0,1,4,2,0
H2AC18,188,273,292,477,302,516,4
H2BC18,211,269,254,378,248,268,5
PNLIPRP3,0,0,0,0,1,0,0
H3C15,7,8,12,11,7,7,0
HSD3B1,0,0,0,0,0,0,0
HSD3B2,0,2,1,1,0,1,0
LINC02868,0,0,0,0,0,0,0
ATP1A1-AS1,21,23,22,26,23,24,1
RBM20,23,17,18,17,15,20,0
SMIM9,0,0,2,0,0,0,0
C6orf163,30,31,38,46,28,30,2
SNHG5,8612,7316,7291,7476,8260,6672,100
ADD3-AS1,11,17,17,17,16,25,1
RIPPLY2,0,0,0,0,0,0,0
CHIAP2,1,0,0,0,0,0,0
GDI1,4933,5725,5145,6138,4609,4815,84
PCMTD2,1695,1701,1835,1962,1592,1447,41
SOX18,0,0,0,0,0,0,0
LIME1,87,136,167,167,170,174,7
SPATA42,0,0,0,1,5,0,0
LOC100130587,0,0,0,0,0,0,0
OOEP,1,0,0,0,0,0,0
KHDC3L,0,0,0,0,0,0,0
DPPA5,0,0,0,0,0,0,0
C1orf146,0,0,0,0,0,0,0
HSP90B3P,4,2,1,4,2,2,0
SPANXN1,0,0,0,0,0,0,0
SPANXA2,1,0,0,0,1,0,0
LINC00632,7,3,5,2,3,6,0
CXorf66,0,0,0,0,0,0,0
C10orf62,1,0,1,0,0,0,0
SAMD13,196,112,121,114,138,94,1
RTL8A,1442,1594,1604,1815,1732,1606,23
CCDC160,0,0,0,0,0,0,0
C1orf141,1,0,0,0,1,0,0
EFCAB7,1180,995,919,1064,860,789,10
DEFB110,0,0,0,0,0,0,0
GLYATL3,1,0,0,0,0,0,0
LDLRAD1,1,0,0,0,0,0,0
LOC100133077,0,0,0,0,1,1,0
RHOXF2B,0,0,0,0,0,0,0
ARRDC1-AS1,388,425,396,497,410,427,7
ZYG11A,16,13,9,23,12,18,0
LINC01270,48,60,56,53,35,50,0
LCN8,0,0,0,0,0,0,0
C1orf185,0,1,3,0,0,1,0
GLT6D1,0,0,0,0,0,0,0
IFIT1B,0,2,0,0,1,1,0
CT83,0,0,0,0,0,0,0
LIPN,0,0,0,0,0,0,0
LIPK,0,0,0,0,0,0,0
LIPJ,1,0,0,0,0,0,0
TRPC5OS,0,0,0,0,0,0,0
LRIT2,0,0,0,0,0,0,0
SLC12A5-AS1,0,0,0,0,0,0,0
LRRC73,38,39,42,56,33,34,2
FOXO6,0,0,0,0,0,0,0
TCEAL5,0,0,0,0,0,0,0
SYS1,1211,1589,1703,1580,1338,1206,17
TCEAL6,0,0,0,0,0,0,0
INPP5B,1241,1502,1374,1873,1171,1285,12
RPA4,5,7,7,9,8,2,0
TDRG1,0,0,0,0,0,0,0
MAFB,593,749,869,1019,751,779,7
TRAF3IP1,1407,1688,1237,1628,1295,2143,26
BMP2KL,0,0,0,0,0,0,0
CHIC1,1380,1308,1304,1607,1195,1227,8
LOC100287792,9,6,9,12,6,9,0
NAP1L6P,16,20,15,25,13,25,1
GIGYF2,4921,5805,5332,6262,4705,5217,58
C2orf72,1,2,1,4,2,1,0
RUFY2,1679,1790,1592,1962,1722,1630,16
NHSL2,3817,3868,4594,4918,3487,3797,60
GGTA1,0,0,0,0,0,0,0
PHACTR4,2229,2212,2084,2508,1966,2092,27
CLPSL1,0,0,0,0,0,0,0
ASAH2B,572,567,454,739,628,539,5
LINC00474,0,0,0,0,0,0,0
AGAP6,382,454,375,578,403,406,8
TIMM23B,1192,1210,1149,1154,1243,1278,14
ZDHHC18,1700,1958,1671,1947,1834,1884,20
TMEM273,1,0,0,1,0,0,0
CXorf65,0,0,0,0,0,0,0
AGAP9,363,425,364,627,459,495,6
LRRC37A5P,9,8,5,8,4,5,1
NPY4R,0,0,0,0,0,0,0
GPRIN2,0,0,0,0,0,0,0
SYT15,181,256,331,351,195,243,1
BMS1P1,454,383,406,605,371,488,6
MACO1,1086,1287,1170,1338,1224,1107,20
PTPN20,1,4,5,2,1,4,0
GGNBP1,2,0,1,3,2,1,0
TXNDC8,0,1,0,0,0,0,0
AWAT1,0,0,0,0,0,0,0
KIFC1,2881,3661,3012,3630,3316,3417,39
DAXX,516,379,492,581,465,548,0
BMPR2,5821,6080,6187,7248,5557,6119,77
PFDN6,1315,1342,1168,1445,1292,1282,18
WDR46,1312,1236,1278,1577,1061,1347,23
RING1,0,0,0,111,0,0,0
OXLD1,331,494,499,559,632,479,6
LINC02731,9,14,6,17,11,8,0
OR13C3,0,0,0,0,0,0,0
LINC00587,0,0,0,0,0,0,0
BRD2,3369,4100,4099,4842,3709,3615,55
HLA-DMA,0,0,0,0,0,0,14
PSMB8-AS1,429,354,415,485,373,440,3
COL5A2,21135,21401,23722,21912,18063,18095,369
TAP2,1486,1668,1568,1903,1846,1693,0
SPIN3,361,403,380,553,343,350,3
NBDY,1278,1335,1373,1503,1298,1287,9
LINC01993,14,23,22,27,22,22,0
TMEM235,0,0,0,0,0,0,0
PAGE3,0,0,0,0,0,0,0
LINC01973,0,0,0,0,0,0,0
HLA-DRA,0,0,0,0,0,0,0
BTNL2,0,0,0,0,0,0,0
COL15A1,7,7,12,16,22,9,0
TSBP1,0,0,0,0,0,0,0
TMEM225,0,0,0,0,0,0,0
NOTCH4,0,0,0,0,0,0,0
PBX2,2191,2106,2400,3044,2433,1880,13
AGER,29,61,100,81,68,64,5
AGPAT1,3563,3877,4090,4113,3434,3556,48
PJVK,31,61,63,61,41,38,0
PRRT1,28,35,37,30,22,26,0
FKBPL,193,222,191,232,176,186,1
MRPL38,1496,1793,1442,1831,1327,1577,13
SMIM5,2,6,2,1,0,2,0
ERICH2,0,0,0,0,1,0,0
SP5,0,0,0,0,0,0,0
CYP21A1P,0,1,0,0,0,0,0
STK19,282,166,59,195,174,195,4
CD300LD,0,0,0,0,1,0,0
BTBD17,0,0,0,0,0,0,0
DXO,141,191,131,174,152,48,8
SKIV2L,1055,213,180,1107,837,741,7
C9orf129,0,1,1,1,1,1,0
NELFE,2645,2959,2846,3239,3067,2618,42
CFB,525,532,700,690,339,382,12
NXPE2,0,0,3,0,0,0,0
SPANXN5,0,0,0,0,0,0,0
C2,21,6,0,27,8,5,0
ZBTB12,219,137,317,313,266,257,5
SDHD,5874,5629,5267,5616,5845,5179,58
EHMT2,66,162,68,157,251,349,1
XAGE1A,0,0,0,0,0,0,0
PKP4-AS1,0,0,0,0,0,0,0
LAYN,1273,1328,1364,1352,1268,1198,21
XAGE1B,0,0,0,0,0,0,0
SLC44A4,3,0,6,2,0,0,0
SNHG32,653,0,0,0,0,0,0
HSPA1B,0,0,0,0,0,0,0
HSPA1A,647,1069,1240,1645,1225,1160,0
LSM2,1618,1621,1453,1674,1820,1607,10
NOL4L-DT,0,0,0,0,0,0,0
CARD16,616,554,520,475,476,413,8
CASP12,0,0,0,0,0,0,0
MBD5,1057,1377,1282,1484,1432,1043,23
MSH5,216,289,217,263,183,232,0
CSHL1,0,0,0,0,0,0,0
MPIG6B,0,0,0,0,0,0,0
ABHD16A,12,27,71,91,34,42,17
LY6G5C,38,0,0,35,45,46,5
CSNK2B,0,0,0,0,0,0,1
GPANK1,113,96,128,160,135,122,0
C6orf47,433,473,513,622,486,572,0
FAM155A,0,0,0,0,0,1,0
APOM,10,3,5,7,5,5,0
LINC02872,11,5,6,7,9,5,0
TRIM49C,0,0,0,0,0,0,0
TRIM64,0,0,0,0,0,0,0
TRIM51BP,0,0,0,0,0,0,0
LINC01854,0,0,0,1,0,0,0
BAG6,2698,3635,2913,3443,3371,3561,48
PRRC2A,9212,11828,10687,12638,10224,11437,152
TBC1D3P4,0,0,0,0,0,0,0
AIF1,0,0,0,0,0,0,0
PRAMEF20,0,0,0,0,0,0,0
PRAMEF17,0,0,0,0,0,0,0
PRAMEF19,0,0,0,0,0,0,0
PRAMEF14,0,0,0,0,0,0,0
LST1,0,0,0,0,1,0,0
NFKBIL1,224,355,378,361,323,280,3
ZNF814,64,89,91,113,74,103,1
AADACL4,0,0,0,0,0,0,0
ZNF551,333,318,383,436,368,454,3
MICA,636,710,613,722,602,615,7
ZNF805,149,154,152,151,129,147,4
HLA-C,9674,11593,11834,12863,12741,11047,159
POU5F1,50,39,61,71,40,72,0
ZSCAN5C,0,0,0,0,0,0,0
CCHCR1,946,1018,1039,1278,1039,959,21
PSORS1C2,0,0,0,0,0,0,0
CDSN,0,0,0,0,0,0,0
PSORS1C1,28,30,46,28,15,14,0
MUC21,0,0,0,0,0,0,0
DEFB122,0,0,0,0,1,0,0
DEFB121,0,0,0,0,0,0,0
CFTRP3,0,0,0,0,0,0,0
DHX16,0,18,7,17,3,2,0
C6orf136,0,81,5,57,7,142,0
KRTAP5-11,2,2,2,1,0,0,0
KRTAP5-10,0,1,2,0,0,0,0
ABCF1,1216,1863,1610,1964,1753,1364,0
PRR3,62,79,26,79,77,77,0
LILRB3,0,0,0,0,0,0,0
DDR1,71,60,80,61,44,95,1
ACOXL-AS1,12,3,9,9,1,0,0
LRCOL1,0,0,0,0,1,0,0
LINC01123,163,275,216,273,270,234,2
GNL1,3194,2880,2948,3194,3013,2960,29
DPRX,0,0,0,0,0,0,0
LINC01257,0,0,0,0,0,0,0
ZNF468,324,410,317,454,298,362,7
TRIM15,0,0,0,0,0,0,0
ZNF616,165,157,151,261,133,117,6
FOXB2,0,0,0,0,0,0,0
TRIM10,0,0,0,0,0,0,0
TRIM40,0,0,0,0,0,0,0
TRIM31,0,0,0,0,0,0,0
PPP1R11,1201,1180,1247,1434,1095,1191,24
HLA-J,2,1,5,2,2,0,0
ZNRD1ASP,86,38,101,117,47,86,0
DISP3,0,0,0,0,0,0,0
HCG9,0,0,0,0,0,0,0
RACK1,73388,79852,80311,89002,82974,75807,1116
HLA-G,0,0,0,0,0,0,0
TBC1D8,3401,3364,3522,4254,3188,3163,46
NMS,0,0,0,0,0,0,0
HLA-F,558,648,675,710,668,505,24
SSX9P,0,0,0,0,0,0,0
LINC02210,19,12,13,22,15,27,0
ASPDH,0,0,0,0,0,0,0
MOG,3,1,0,4,4,4,0
OR2H2,0,0,0,0,0,0,0
CST9LP2,0,0,0,0,0,0,0
CBY3,0,0,0,0,0,0,0
C5orf60,0,0,3,2,1,4,0
CST13P,0,0,0,0,0,0,0
LOC400710,1,0,0,1,0,1,0
C9orf57,0,0,0,0,0,0,0
IL31,0,0,0,0,0,0,0
AKT1S1,3340,4127,3932,4487,3785,3961,61
FAM153CP,0,0,0,4,0,2,0
GABBR1,854,658,733,822,796,931,39
MIR1915HG,90,95,104,110,80,81,0
LOC284788,0,0,0,0,0,0,0
MAS1L,0,0,0,0,0,0,0
OR2H1,0,0,0,0,0,0,0
OR12D3,0,0,0,0,0,0,0
OR11A1,3,2,2,4,1,2,0
UBTFL3,0,0,0,0,2,0,0
OR2J2,0,0,0,0,0,0,0
OR2J3,0,0,0,0,0,0,0
OR2J1,0,0,0,0,0,0,0
OR2B3,0,0,0,0,0,0,0
UBTFL5,0,0,0,0,0,0,0
MAMDC2-AS1,10,7,12,15,3,14,0
SPDYC,0,0,0,0,0,0,0
C9orf135,1,0,0,2,0,1,0
TRIM27,7,13,9,7,9,11,0
CNN2P12,0,0,0,0,0,0,0
MALRD1,0,0,0,0,0,0,0
LINC01951,1,1,3,2,1,5,0
LOC100268168,37,39,39,42,40,48,2
RANBP17,227,336,192,329,280,261,8
INSYN2B,1022,991,1007,1300,903,1001,10
FOXD4L5,3,4,4,5,6,0,0
LOC728877,0,0,0,0,0,0,0
LINC01291,0,0,0,0,1,0,0
LOC102724238,67,70,84,92,109,93,0
TTC25,66,57,71,84,66,50,0
MRPL53,616,918,843,1072,1032,885,21
ST8SIA6-AS1,8,4,2,11,11,10,0
ATXN2,1781,1938,1762,2570,1499,1554,20
DCTN1,10525,11952,11045,12546,11386,11900,135
SPATA31A1,0,0,0,0,0,0,0
PNMA8B,0,0,0,0,0,0,0
TCTN1,1948,2215,2383,2464,2061,2454,39
FAM216A,1195,1102,913,1040,1053,984,20
ZBTB48,298,324,352,395,433,238,8
IGFL2,0,0,1,0,0,0,0
IGFL4,4,6,7,5,3,3,0
NAT8B,0,0,0,0,0,0,0
KRTAP9-3,0,0,0,0,0,0,0
LOC389602,0,1,2,2,0,1,0
KRTAP4-8,0,0,0,0,0,0,0
GPR20,0,0,0,0,0,0,0
KRT25,0,0,0,0,0,0,0
MZT1,1487,1498,1325,1591,1601,1368,18
LINC01545,3,2,6,5,4,1,0
SPINK9,18,22,24,22,23,19,0
LRRC3C,0,0,0,0,0,0,0
PRR20A,0,0,0,0,0,0,0
ZNF155,221,284,259,297,246,228,4
UQCC3,369,486,448,505,619,559,14
FBXO48,142,182,139,212,171,153,3
GRXCR2,0,0,0,0,0,0,0
LOC101927533,4,2,6,3,4,4,0
FAM221B,11,18,11,18,5,12,0
ATP6V0E2-AS1,25,38,28,44,38,31,0
CD177,0,1,3,3,2,3,0
PSG5,74,107,69,67,68,74,5
ZNF783,802,1018,1244,1551,840,810,7
ZNF425,70,54,57,83,51,44,6
FAM83A-AS1,0,0,0,0,0,0,0
LRRC10B,0,0,0,0,0,0,0
FBXO47,0,0,0,0,0,0,0
C12orf73,190,166,171,199,168,156,6
PCDHGA1,53,77,69,114,69,71,1
BLACE,0,0,0,1,0,1,0
PCDHA9,6,6,9,14,7,9,0
PCDHA8,5,5,7,1,4,3,0
PCDHA7,0,0,0,0,0,0,0
PCDHA5,0,0,2,0,0,0,0
PCDHA4,89,66,76,103,57,84,2
PCDHA2,0,1,0,1,0,0,0
PCDHA1,1,2,2,2,2,2,0
TRIM13,1130,885,886,882,960,981,8
ERICH4,2,0,0,0,0,0,0
MS4A13,0,0,0,0,0,0,0
PRSS3P4,0,0,0,0,0,0,0
PRSS1,0,2,0,0,1,0,0
OR4D8P,0,0,0,0,0,0,0
SPIRE2,83,139,90,133,104,116,0
CRTC1P1,0,0,0,0,0,0,0
AARD,3,14,6,16,9,12,6
LINC02138,0,0,0,0,0,0,0
LOC100129697,0,1,0,1,0,0,0
PABPN1L,0,0,0,0,0,0,0
OR5D16,0,0,0,0,0,0,0
OR5L2,0,0,0,0,0,0,0
LOC440040,0,0,0,0,0,0,0
LOC400553,0,6,0,0,0,0,0
PKHD1L1,0,0,0,1,0,0,0
SLFN12L,47,25,41,38,34,58,1
LINC01121,11,21,32,27,16,24,0
CLLU1-AS1,0,0,0,0,1,0,0
SLC35B4,3458,3839,3219,4050,3006,3701,33
LGALS7,0,0,0,0,0,0,0
SYCE1L,2,1,1,4,6,2,0
TMEM231,1885,2051,1833,2186,1542,1512,22
FAM71F2,36,34,25,45,28,26,0
C2orf91,19,10,22,10,11,18,1
CCNI2,2,0,1,0,0,1,0
TMEM240,14,18,13,28,23,19,0
LINC02716,0,0,0,0,0,0,0
FAM205A,0,0,0,0,0,0,0
CDKL4,0,0,1,5,0,1,0
TMEM88B,0,0,0,0,0,0,0
ACCSL,1,0,0,0,0,0,0
C4orf47,21,15,20,19,13,12,0
TRIQK,2008,1829,1940,1642,1584,1426,40
SDHAF1,190,171,221,219,183,176,3
ARID3C,3,12,2,11,4,5,0
PSENEN,1970,1846,1805,1888,1840,1602,28
C7orf66,0,0,0,0,0,0,0
C11orf91,3,2,1,10,3,3,0
LINC00654,334,326,401,500,310,307,6
SLC10A5P1,0,0,1,0,0,0,0
FABP9,0,0,0,0,0,0,0
ZBTB10,881,845,987,950,787,853,10
C4orf46,2304,2351,1910,2307,2482,2433,14
SCGB2B2,2,20,3,4,2,5,0
CCDC144NL,0,0,0,0,0,0,0
LGR4,813,816,1093,1097,882,879,17
PSMB10,1388,1709,1802,1875,2064,1528,16
VIT,650,603,579,667,564,573,10
TTLL10-AS1,1,5,1,2,2,0,0
SPDYE2,1,0,0,0,0,0,0
OR7E36P,0,0,0,0,0,0,0
E2F4,4899,5611,5112,5953,5281,5183,67
DGAT2L7P,0,0,1,0,1,0,0
PDE7A,974,1051,897,1277,1093,976,12
TMEM170B,44,53,48,64,75,37,1
TRBV20OR9-2,0,0,0,1,1,0,0
MUC12,1,2,0,0,0,0,0
CTXN3,0,0,0,0,0,0,0
LINC01602,4,3,2,4,3,2,0
MGAT4D,0,0,0,0,1,0,0
SNX2,4866,4464,4358,4978,4558,3979,82
SAP25,0,0,7,0,16,0,1
NT5M,37,65,49,56,80,70,0
GCNT2P1,0,0,0,0,0,0,0
SARNP,4002,3342,3164,3279,3517,2990,52
OR6C68,0,0,0,0,0,0,0
OR6C65,0,0,0,0,0,0,0
OR6C3,0,0,0,0,0,0,0
OR6C1,0,0,0,0,0,0,0
OR6C72P,0,0,0,0,0,0,0
LINC01460,21,18,25,23,19,21,0
ADGRG1,44,54,41,53,32,93,0
IPO7,27450,28009,25242,28395,26365,28448,367
PRR13,3962,4265,4042,4411,3990,3927,49
TECPR1,1147,1769,1350,1491,1179,1209,16
MT1H,0,0,0,0,0,0,0
SLCO6A1,0,1,1,1,1,0,0
MT1A,7,13,7,10,10,12,0
INSYN1,2,8,3,9,8,9,0
MT1M,38,37,45,50,41,35,0
LINC00661,0,0,0,0,0,1,0
CFI,4210,3605,3840,3815,2997,3080,72
OR52E6,0,0,0,0,0,0,0
SAMD9,4359,4157,4114,4508,3388,3188,68
KRT6A,0,0,0,0,0,0,0
CNEP1R1,598,616,556,823,626,433,7
KRT81,0,0,0,0,0,1,0
EXOC3L4,0,0,0,0,0,0,0
KRTAP12-3,0,0,0,0,0,0,0
IZUMO3,0,0,0,0,0,0,0
KU-MEL-3,0,0,0,0,0,0,0
KRTAP10-2,0,0,0,0,0,0,0
TP53TG3D,0,0,0,0,0,0,0
TP53TG3C,0,0,0,0,0,0,0
ATP6AP1L,56,73,72,73,78,71,0
CCDC85C,150,180,204,199,265,221,15
LOC100133091,208,192,148,221,188,205,6
OR52J3,0,0,0,0,0,0,0
OR51A2,0,0,0,0,0,0,0
OR51A4,0,0,0,0,0,0,0
MAPRE3-AS1,38,76,42,73,40,56,0
C2CD4B,0,0,0,0,0,0,0
RGL3,25,22,34,43,22,26,0
NAP1L4,6736,7168,6083,7300,7022,6634,91
TMSB4X,135284,121819,134463,134645,131656,113055,1835
TMEM256,509,457,484,431,442,323,6
C9orf92,3,2,3,3,2,3,0
CHKB-DT,5,7,11,10,6,11,0
CPT1B,341,341,379,413,204,245,6
SMN1,1725,1625,1223,1355,1639,1447,10
SERF1A,587,389,139,135,258,133,0
HMGN1,8253,8047,7644,9177,8834,8212,95
MUC19,0,0,1,0,1,0,0
DENND6B,253,300,320,437,246,283,5
EIF3CL,1630,1148,1133,2538,2315,3074,0
LOC107985433,6,14,3,14,5,5,0
LINC01446,0,0,0,0,0,0,0
LCMT1,878,984,954,1072,984,989,21
LINC01310,0,0,0,0,0,0,0
LINC00898,0,0,0,0,0,0,0
LINC00583,0,0,0,0,0,0,0
MFSD2B,144,193,174,223,191,214,0
VCX3B,0,0,0,0,0,0,0
CDPF1,299,352,314,398,349,321,3
RPS2P23,0,0,0,0,0,0,0
LIN52,893,848,678,990,856,780,7
ARSH,0,0,0,0,0,0,0
ACOT6,0,0,0,0,0,0,0
SMIM11A,243,713,664,290,813,120,0
TECRL,1,3,1,3,0,1,0
DPF3,741,766,704,1014,639,687,5
MANSC4,0,1,0,3,0,0,0
LOC100129554,0,1,0,0,0,0,0
ADARB2-AS1,0,0,0,0,0,0,0
CYP2D7,0,3,0,1,1,2,0
LINC00634,3,5,5,9,2,3,0
ETFRF1,657,669,635,683,636,584,9
C17orf107,3,0,6,5,8,0,0
MBD3L4,0,0,0,0,0,0,0
ITSN1,3456,3721,4024,4428,3532,3847,43
ITPRIPL2,6176,5807,5986,7250,5912,6055,94
LOC107984285,26,11,17,21,10,18,0
DENND1C,0,1,0,0,0,0,0
PKD1P4,554,1056,1290,1597,1445,1406,18
SLCO1B7,0,0,0,0,0,1,0
CRLF2,0,7,0,3,5,4,0
CRYZL1,1210,1279,1454,1810,1270,1418,11
RP9P,253,296,222,240,289,256,5
C5orf51,2967,2892,2756,3424,2586,2509,35
RPL31P5,0,0,1,0,0,0,0
CATSPER2P1,65,68,65,69,77,51,0
GAGE1,2,0,0,0,0,0,0
ARRDC5,0,0,0,1,0,0,0
LINC01531,18,7,7,8,3,11,0
DPP9-AS1,1,0,1,0,0,0,0
LOC344967,10,2,0,8,0,3,0
CYS1,43,55,70,76,60,46,1
PLPP6,329,333,297,433,291,262,8
KLRC2,0,2,4,0,1,1,0
KLRC3,0,3,0,2,0,2,0
C16orf96,0,0,0,0,0,0,0
GMNC,0,1,5,1,1,0,0
LINC00487,0,0,1,2,0,0,0
TTC23L,15,2,8,8,12,24,0
CLEC6A,0,0,0,0,0,0,0
OR7E91P,0,0,0,0,1,0,0
RFPL3S,8,5,2,11,4,15,0
C22orf42,0,0,0,0,0,0,0
NANOGNB,0,2,1,0,0,0,0
LRRC72,0,0,0,0,0,0,0
PCOTH,54,62,62,62,68,69,2
C1QTNF9B,0,0,1,0,1,1,0
FAM99A,0,0,0,0,0,0,0
RPS3AP47,7,7,5,9,7,5,0
DEFB134,0,0,0,0,0,0,0
DEFB135,0,0,0,0,0,0,0
DEFB136,0,0,0,0,0,0,0
C1RL-AS1,407,449,487,741,367,440,14
LOC100128770,2,1,0,0,1,0,0
OR7E136P,0,0,0,0,0,0,0
LOC100420864,0,0,0,0,0,0,0
BHLHA9,0,0,0,0,0,0,0
ZNF316,995,876,1111,1071,946,970,34
SRRM2-AS1,12,18,14,26,19,15,0
DAZ4,0,0,0,0,0,0,0
PDPK2P,14,23,29,28,18,33,0
ONECUT3,9,2,10,3,3,7,0
CEMP1,0,0,0,4,1,0,0
OLIG2,0,0,0,0,1,0,0
C21orf62,0,0,0,0,1,0,0
PPP1R12BP2,0,0,0,0,0,0,0
RNPS1,7175,8277,7491,8469,8960,8385,111
HSP90AB2P,55,56,45,53,54,57,0
DAZ2,0,0,0,0,0,0,0
USP17L6P,0,0,0,0,0,0,0
NYNRIN,711,883,962,1239,755,646,9
DNAJC19,1462,1354,1237,1316,1367,1221,11
IFITM5,0,0,0,0,0,0,0
SMIM21,0,0,0,0,0,0,0
DEFB109B,0,0,0,0,0,0,0
DEFA7P,0,0,0,0,0,0,0
C18orf63,0,0,0,3,0,0,0
DEFA1,0,0,0,0,0,0,0
DOK6,0,0,0,0,0,0,0
JPT2,4130,4411,3671,4634,4126,4096,68
TMEM211,0,0,0,0,0,0,0
SERPINB11,2,1,0,0,0,2,0
SERPINB4,196,146,180,154,140,99,3
SERPINB5,0,0,0,0,1,0,0
ZDHHC11B,0,1,0,2,2,0,0
KRTAP19-8,0,0,0,0,0,0,0
KRTAP20-3,0,0,0,0,0,0,0
KRTAP20-4,0,0,0,0,0,0,0
KRTAP22-2,0,0,0,0,0,0,0
KRTAP27-1,0,0,0,0,0,0,0
CFAP99,2,3,2,0,1,4,0
GOLGA8O,13,6,0,10,7,31,1
LOC642484,5,2,3,3,0,1,0
TMEM191C,21,17,16,34,15,20,0
FAM230H,0,0,0,0,2,0,1
RPL23AP57,7,5,4,3,4,5,0
HERC2P9,1105,1256,1120,1603,1093,1340,14
RNASE13,1,0,0,1,0,0,0
GYG2P1,3,3,4,5,4,8,0
HBA1,7,14,8,16,8,14,0
HBM,0,0,0,0,0,0,0
HBZP1,0,0,0,0,0,0,0
ELOA2,0,0,0,0,0,0,0
LINC02346,0,0,0,0,0,0,0
ATP10A,1342,1565,1584,1596,1302,1575,14
DUXAP8,72,68,54,55,75,81,0
ANKUB1,1,4,1,5,1,4,0
TSSK2,0,0,0,0,0,0,0
DAXX,1299,1323,1312,1410,1219,1252,33
TAPBP,2442,2909,2865,3705,2897,2819,30
TAP2,0,0,0,0,0,0,0
HLA-DRB1,3264,2959,1954,2804,1827,1544,40
TSBP1,0,0,0,0,0,0,0
PPT2,0,0,0,0,0,0,0
TNXB,220,118,162,341,148,178,0
PRR23A,0,0,0,0,0,0,0
FOXL2NB,28,55,51,66,26,46,0
NELFE,455,664,644,846,721,933,0
DAXX,198,116,154,21,80,122,0
ZBTB22,0,0,0,0,0,0,0
TAPBP,419,643,641,697,692,931,0
RGL2,2501,2810,2713,2781,2315,2332,19
PFDN6,7,13,7,11,9,9,0
WDR46,38,66,79,74,95,71,0
B3GALT4,0,0,0,0,0,0,1
VPS52,0,0,0,0,0,0,0
RING1,860,1181,1306,1096,1108,1001,16
RXRB,0,0,0,0,0,0,0
COL11A2,18,7,0,0,0,18,0
HLA-DPA1,0,14,258,0,222,0,7
HLA-DOA,2,11,0,2,1,0,0
TAP2,0,0,0,0,0,0,0
HLA-DQA1,0,0,0,0,0,0,0
HLA-DQB1,0,0,0,0,0,0,0
HLA-DQA1,0,0,0,0,0,0,0
TSBP1,0,0,0,0,0,0,0
NOTCH4,6,0,5,7,3,0,0
PBX2,0,46,0,20,0,32,0
PRRT1,2,0,0,0,0,0,0
HCP5,31,23,27,41,28,0,0
CYP21A2,0,0,0,0,0,0,0
C4A,118,18,92,202,61,45,0
STK19,18,81,30,100,15,29,0
HCG27,2,1,0,1,7,3,0
DXO,0,0,0,0,0,0,0
CCHCR1,1,12,4,4,4,5,0
LOC100652833,0,0,0,0,0,0,0
ZBTB12,0,0,0,0,0,0,0
EHMT2,954,1447,962,1385,799,1295,8
SLC44A4,0,0,0,0,0,0,0
FLOT1,4154,4600,3995,4528,4166,3650,39
COL6A6,0,0,0,0,1,0,0
