gene_name,1_S5_L003:_RNA-seq_HUDEP2_sgSCR_pre-differentiation_rep1,2_S6_L003:_RNA-seq_HUDEP2_sgSCR_pre-differentiation_rep2,3_S7_L003:_RNA-seq_HUDEP2_sgSCR_pre-differentiation_rep3,4_S8_L003:_RNA-seq_HUDEP2_MBD2_KO_pre-differentiation_rep1,5_S9_L003:_RNA-seq_HUDEP2_MBD2_KO_pre-differentiation_rep2,6_S10_L003:_RNA-seq_HUDEP2_MBD2_KO_pre-differentiation_rep3,7_S11_L003:_RNA-seq_HUDEP2_sgSCR_post-differentiation_rep1,8_S12_L003:_RNA-seq_HUDEP2_sgSCR_post-differentiation_rep2,9_S13_L003:_RNA-seq_HUDEP2_sgSCR_post-differentiation_rep3,10_S14_L003:_RNA-seq_HUDEP2_MBD2_KO_post-differentiation_rep1,11_S15_L003:_RNA-seq_HUDEP2_MBD2_KO_post-differentiation_rep2,12_S16_L003:_RNA-seq_HUDEP2_MBD2_KO_post-differentiation_rep3
TM4SF1,0,0,0,0,0,0,0,0,0,0,0,0
OTUD3,341,500,410,343,378,311,543,614,384,337,334,320
OTUD7A,12,0,7,6,17,2,2,8,10,6,2,7
GUSB,410,799,510,685,638,532,597,808,444,423,546,417
BRD3,188,278,269,268,206,176,159,185,106,135,193,115
KLF13,1029,1633,919,1493,1194,1164,1299,1161,623,1854,2282,1299
FRMPD4,0,0,0,0,0,0,0,0,0,0,0,0
ZFPM2,101,93,45,119,61,83,117,177,67,63,36,60
ZNF764,52,53,41,60,53,38,43,80,42,48,26,41
HSFY2,0,1,0,2,0,1,0,2,0,0,0,0
ZNF747,166,305,153,228,154,175,141,162,138,95,82,78
ZNF768,550,725,565,575,501,426,432,538,365,217,241,188
TAS1R3,1,0,3,12,22,8,3,1,0,21,28,22
MAP3K2,557,754,563,741,598,542,862,1029,688,774,806,600
PUSL1,35,63,48,80,84,64,39,43,37,55,49,34
SF3B5,1454,2100,1473,2145,1822,1635,1049,1399,926,780,799,701
TIGD4,11,16,7,9,10,7,0,6,2,2,4,1
IFFO2,13,35,26,14,17,10,20,44,17,10,9,14
NLGN2,1,5,2,6,7,5,4,6,1,4,0,1
MYO7B,0,0,0,0,0,0,2,1,1,0,0,0
CHD3,1252,1773,1411,1577,1475,1448,1163,1274,893,607,719,532
TMEM154,19,51,16,434,307,176,12,109,19,24,63,16
MYRIP,1,2,1,1,1,2,2,5,2,0,4,0
ALCAM,7,19,25,140,123,118,1,3,1,4,9,10
YWHAG,1863,2827,1934,2324,2534,2307,1793,2359,1481,1231,1576,1123
UBE2E3,342,498,355,545,377,419,305,393,268,240,288,216
CNTROB,290,411,331,452,421,412,457,656,350,367,430,246
TRAPPC1,74,113,61,109,76,96,58,105,55,34,46,24
ZPLD1,0,0,1,0,0,0,0,2,1,0,0,1
KCNAB3,9,16,14,18,19,12,10,12,9,3,10,7
SERPINA9,0,0,0,0,0,0,1,0,0,0,0,0
FAM153A,5,3,3,4,2,1,1,21,7,5,3,3
GPR37L1,3,5,2,4,2,5,8,6,5,2,6,2
SIMC1,0,7,1,0,0,0,3,0,2,6,2,0
TMEM192,606,805,530,634,576,521,476,520,399,359,270,238
LOC728554,0,0,0,0,0,0,0,0,0,0,0,0
NSG2,0,0,0,0,0,0,0,0,1,0,0,0
SPDYE5,0,0,0,0,1,1,0,0,3,1,4,0
SERPINA6,0,0,0,0,0,0,0,1,0,0,0,0
ZNF778,305,450,261,348,387,285,307,326,281,322,261,261
NIPA1,203,312,250,326,223,277,187,208,126,135,136,55
FOXD4,3,5,2,13,10,4,5,7,6,15,15,13
GPR25,0,0,0,0,0,0,0,0,0,0,0,0
UBE2E1,1425,1776,1207,1793,1177,1360,870,1120,798,811,822,558
HNRNPA3,2619,3800,2686,3127,3796,2674,2762,3522,2231,1791,2289,1527
SIK2,306,431,270,371,322,330,248,300,193,249,285,248
RNF150,0,0,0,0,0,0,0,7,0,0,0,0
CCDC144A,66,82,52,100,60,129,115,117,70,74,133,58
LOC554249,18,90,9,66,17,22,11,41,7,50,19,11
VGLL2,0,0,0,0,0,0,0,1,0,0,1,0
HOXD4,0,0,0,0,0,0,0,0,0,0,0,0
CHRNB1,32,34,23,41,30,21,19,53,25,29,26,16
HOXD12,0,0,0,0,0,0,0,0,0,1,1,0
GYPA,747,994,711,2682,1783,1538,2276,3238,2063,5826,6569,4574
USP38,617,824,615,783,694,616,677,889,638,585,720,516
SLC16A5,3,0,1,4,1,1,0,0,3,1,1,1
NANP,324,494,305,507,449,458,405,500,360,375,397,291
ANKK1,0,0,0,1,0,0,0,0,1,1,0,0
ADRA1B,0,0,0,0,0,0,0,0,0,0,0,0
ADPRM,141,158,99,180,99,116,134,185,120,119,134,74
FABP6,0,0,0,1,2,1,0,0,0,0,0,0
PWWP2A,333,518,301,526,377,373,403,557,310,316,467,298
USP50,0,0,1,1,1,2,1,2,1,1,2,2
USP47,1709,2243,1690,2340,1774,1831,1415,1853,1222,1338,1214,908
PDCD6IP,1403,1916,1262,1675,1314,1395,1800,2395,1556,1223,1324,912
MRGPRX1,0,0,0,0,0,0,1,1,0,0,0,0
ZNF212,145,224,182,209,205,179,163,223,114,104,113,126
MRAP,0,2,2,0,0,0,0,1,2,2,1,1
FAM161A,179,180,151,154,120,127,107,142,83,45,84,34
ZNF282,240,428,300,338,330,311,253,324,224,155,181,167
GLB1,578,942,443,773,641,794,829,572,572,414,368,388
FAXDC2,131,175,88,280,217,201,100,161,80,230,212,183
CRTAP,710,1049,749,863,873,724,644,795,578,329,361,251
HSPB2,0,3,0,0,5,0,0,0,0,0,0,0
C7orf33,0,0,0,0,0,0,0,0,0,0,0,0
CNGB3,0,0,0,0,0,0,0,1,0,1,0,0
SLN,1,0,0,0,0,0,0,0,0,0,0,0
ELP5,263,393,277,403,393,293,257,410,263,181,247,247
CMTM8,0,0,0,0,0,0,0,0,0,0,0,0
GABARAP,361,572,365,524,477,389,376,475,265,353,393,323
LGALS9B,0,4,0,1,2,3,1,1,0,1,0,0
STX8,355,476,268,347,230,243,377,502,373,217,272,190
CDK1,2051,2553,1626,2409,1563,1767,2118,2800,1889,1990,2317,1502
UBB,7145,10370,6956,11024,9196,7858,6067,8538,5399,6772,7280,5694
NFRKB,378,556,328,417,478,429,371,509,332,210,288,197
FABP4,0,0,0,0,0,0,0,0,0,0,0,0
FRMPD2,8,30,10,12,15,5,12,22,3,3,10,5
PRDM10,154,253,132,286,167,282,297,355,222,98,239,133
B3GNT2,478,557,422,508,383,434,415,548,440,377,415,313
FOS,91,123,57,68,72,59,187,272,161,111,127,118
TMED10,2023,2751,2010,2770,2380,2227,1358,2031,1164,1057,1227,812
OR2A20P,0,0,0,0,0,0,0,0,0,0,0,0
SETMAR,100,121,100,111,83,109,89,108,78,52,67,50
SMAD1,147,218,142,71,71,81,87,102,89,21,37,18
CST5,0,0,0,0,0,0,0,0,0,0,0,0
CST2,0,0,0,0,0,0,0,0,0,0,0,0
EMX2,1,1,0,0,1,1,1,0,0,0,1,0
CST1,0,0,0,0,0,0,0,0,0,0,0,0
SP7,0,0,0,0,0,0,0,2,1,1,0,0
TCAF2,17,19,17,12,12,18,20,26,16,19,19,5
SEMA3E,79,139,119,15,7,14,19,105,18,6,9,9
LRRN2,4,8,2,12,9,12,12,32,26,43,47,35
SLC30A1,36,42,38,238,131,122,824,918,717,2051,2226,1402
DCLK2,0,0,0,0,0,0,0,0,0,0,0,5
ZNF804A,0,0,0,2,4,2,1,2,0,1,0,1
GPRC5C,1,2,3,1,1,1,0,2,1,2,1,0
TMEM182,115,190,121,119,89,109,127,152,102,79,76,70
VSTM2A,0,0,0,0,0,0,0,0,0,0,0,0
KRT8,4,5,7,11,9,6,7,4,8,7,4,7
KRT78,0,0,0,0,0,0,0,0,0,0,0,0
ADORA2B,236,359,240,400,367,341,188,230,168,127,117,94
SDR9C7,0,0,0,1,0,0,0,0,0,0,0,0
MGMT,173,228,175,218,167,133,130,196,114,71,92,60
METTL7B,0,0,0,0,0,0,0,0,1,0,0,0
KRT86,0,0,0,0,0,0,0,0,0,0,0,0
HARS1,932,1211,903,1338,1148,1158,978,1354,971,1062,1320,918
NFXL1,250,407,234,280,279,273,157,245,152,121,140,68
KRT75,0,0,0,0,0,0,0,0,1,0,0,0
DENND5B,12,13,5,7,10,16,16,49,7,10,19,19
CD14,6,2,2,5,3,3,3,6,3,0,6,2
DNAJC18,75,139,90,128,95,111,15,41,7,22,7,8
KRT6C,0,0,0,0,0,0,0,0,0,0,0,0
RIOX1,397,576,398,512,493,458,347,411,255,182,186,158
SPATA24,30,29,26,47,26,26,17,22,11,10,9,9
RALGAPB,958,1358,821,1221,936,953,945,1125,680,738,796,604
PYM1,315,417,332,382,292,274,291,383,266,249,231,170
MZB1,1,2,2,0,0,1,1,2,1,1,1,0
KRT4,0,0,0,0,0,0,1,0,0,0,0,0
SLC23A1,0,0,0,1,0,0,3,1,0,0,0,0
KRT74,0,0,0,0,0,0,0,0,2,1,0,0
NPAS2,2,2,1,0,0,0,3,3,1,0,0,1
KRT72,0,0,0,0,0,0,0,1,0,0,0,0
KISS1,0,0,0,0,0,0,0,0,0,0,0,0
LONRF2,8,15,32,78,58,96,62,68,26,205,237,223
NUDT9,165,299,207,214,221,187,146,177,143,109,106,74
HSD17B13,11,12,8,12,13,7,12,26,14,12,15,8
PA2G4,2605,3651,2634,3574,3023,2988,2292,3284,2135,1959,2232,1623
COX7B2,0,0,1,0,0,0,0,0,0,0,0,0
ELOVL6,2691,3807,2481,3184,2696,2779,3146,3777,2595,2714,2744,1858
KRT83,0,0,0,0,0,0,0,0,0,0,0,0
PFKFB3,106,144,118,104,157,76,154,184,96,121,129,132
TMC7,9,13,2,11,7,9,4,10,6,9,6,6
ARL6IP1,3533,5007,3212,4224,3338,3292,3426,4620,3159,3243,3537,2616
SERPINB9,11,10,8,10,9,4,15,21,4,7,6,4
SMAGP,8,5,8,14,15,11,4,6,4,1,4,7
IRX1,0,0,0,1,0,0,0,1,0,1,2,0
CDH2,0,0,0,0,0,0,1,1,0,0,0,0
IRX2,0,1,0,0,0,0,0,0,0,0,0,0
EMB,8,13,9,0,0,0,1,1,1,0,0,0
SIX2,0,0,0,1,0,0,0,0,1,0,0,0
DLGAP1,1,1,0,0,0,0,2,2,1,0,2,0
STAT2,310,411,297,358,256,247,353,409,299,216,189,173
NUDCD2,623,778,362,733,591,649,439,652,361,379,450,298
IRF2BP1,352,524,399,505,497,409,364,463,315,272,272,260
OR9K2,0,0,0,0,0,0,0,0,0,0,0,0
HSPA4,4184,5541,3774,5565,4145,4897,3148,4048,2674,2125,2373,1674
FOXA3,0,0,0,0,0,0,0,4,2,0,0,0
FAM71B,0,0,0,0,0,0,2,1,0,0,0,0
SLC26A5,0,3,0,2,1,1,1,1,0,3,0,0
COMMD5,108,196,145,180,180,164,111,172,98,105,94,77
SGCD,0,0,0,0,0,0,0,1,0,4,0,0
GTSF1,0,0,0,0,1,0,0,0,0,0,0,1
DPY19L2P2,800,1040,675,849,683,614,845,1160,724,694,792,568
ZNF16,82,127,75,102,104,87,86,121,73,95,103,74
ARMC10,625,906,516,773,603,570,565,701,452,367,431,248
RNF34,445,709,473,617,479,496,372,479,289,243,253,185
ACYP2,61,59,45,70,74,60,49,82,36,64,59,44
TRABD,177,226,147,248,321,196,152,305,168,155,165,172
ATF7,122,239,128,167,154,149,141,218,163,56,108,65
RASA4B,17,71,23,56,45,20,40,32,30,16,32,16
SOCS6,794,1073,782,480,379,395,549,764,540,203,207,186
CAVIN4,1,1,2,0,1,1,1,2,2,1,1,1
ZNF296,18,18,13,21,22,20,19,24,19,17,18,13
HOXB9,0,0,0,0,1,0,1,1,1,3,6,2
TTLL6,0,0,0,3,0,0,0,2,0,0,0,0
POLH,485,714,264,305,382,383,591,831,514,504,624,497
SYT9,0,0,0,0,0,0,0,0,1,0,0,0
KCNS3,3,3,1,0,0,0,0,4,3,0,0,0
RBMXL2,1,0,0,0,0,0,0,0,0,0,0,0
KIF5B,2675,3517,2417,3265,2659,2699,3266,4147,2786,2426,2720,1857
GPR37,0,0,0,0,0,0,0,1,0,0,0,0
AKAP13,373,557,386,511,326,378,445,436,323,305,296,196
TPD52L3,0,0,0,0,0,0,0,0,0,0,0,0
CDCA4,310,499,342,520,436,366,425,579,354,440,503,430
OR10A4,0,0,0,0,0,0,0,0,0,0,0,0
SDR16C5,0,0,0,0,0,0,0,0,0,0,0,0
DYDC1,7,6,12,7,9,5,7,8,2,3,3,2
OR10A2,0,0,0,0,0,0,0,0,0,0,0,0
CHCHD7,545,705,406,566,470,438,408,556,368,285,338,244
HTRA3,0,0,0,0,0,0,1,1,0,1,0,1
FOXN2,899,1259,836,1190,821,830,1176,1489,994,932,1016,826
LMOD2,0,0,0,0,0,0,0,1,0,0,1,0
BFSP2,0,0,0,0,0,0,0,0,0,0,0,0
FSHR,0,0,0,0,0,0,0,0,0,0,0,0
CELP,5,1,4,1,3,1,2,2,2,7,4,1
USP32,2249,2968,2095,3202,2152,2475,3217,3880,2783,3025,3435,2407
CEL,0,4,2,5,5,3,6,11,12,1,3,2
PPM1D,294,351,201,332,303,299,152,221,151,221,250,167
GPR27,0,0,0,0,0,0,0,1,0,0,0,0
LOC93622,407,552,364,565,424,418,547,767,466,545,602,448
PSG6,0,0,0,0,0,0,0,2,1,3,0,1
KBTBD2,748,1044,691,972,753,766,711,989,506,804,870,592
RIOX2,962,1242,751,1314,978,1025,697,909,673,624,716,481
TRIAP1,339,551,328,463,413,426,297,415,305,243,255,198
LSM3,944,1339,835,1146,822,982,685,919,671,513,578,369
KIAA0232,1068,1259,715,1081,887,756,1282,2038,1344,1337,1306,1212
MTSS1,1688,1913,1526,1868,1361,1428,1625,2017,1281,824,856,843
TMEM43,622,885,724,972,796,792,474,671,441,374,402,313
RNF139,2375,2871,2006,2560,1977,2119,2041,2777,1804,1825,1959,1440
RPS9,301,571,411,501,423,404,517,635,450,590,485,485
PLA2G1B,0,0,0,2,1,0,1,1,1,1,0,0
CYTL1,84,163,121,8,5,6,114,144,91,9,6,12
TSEN34,4,26,4,6,11,6,12,10,25,0,7,0
TRH,0,0,0,0,0,0,0,0,0,0,0,0
GSTA4,19,29,24,25,19,16,11,12,8,7,11,5
MSANTD4,546,730,442,591,488,488,538,604,508,399,328,278
NDUFA3,5,1,3,7,5,7,3,8,4,4,11,6
OSCAR,0,0,0,0,1,0,0,0,0,0,0,0
PAQR8,49,62,65,44,29,27,47,31,25,7,5,5
NUDT6,184,201,148,197,124,125,130,150,94,93,113,63
OR7G3,0,0,0,0,0,0,0,0,0,0,0,0
TANC2,314,333,238,155,184,150,275,320,188,102,81,69
OR7G2,0,0,0,0,0,0,0,0,0,0,0,0
TEX13B,0,0,0,0,0,0,0,0,0,0,0,0
PKHD1,0,0,0,0,1,0,1,3,1,1,2,0
OR1M1,0,0,0,0,0,0,1,0,0,0,0,0
NCBP2L,0,0,0,0,0,0,0,1,0,0,1,0
DNAJC24,226,266,223,231,198,193,207,261,172,123,170,118
MBD3L1,0,0,0,0,0,0,1,0,0,0,0,0
ZNF160,418,476,335,404,304,302,316,609,379,253,356,205
PGK2,0,0,0,0,0,0,0,0,0,0,0,0
OR8B12,0,0,0,0,0,0,0,0,0,0,0,0
ZNF415,3,4,4,3,4,3,3,3,12,9,4,0
CAVIN3,0,0,0,0,0,0,2,6,3,2,0,1
CEACAM3,0,0,0,0,0,0,0,0,0,0,0,0
DCDC1,6,4,0,5,14,2,2,2,11,9,11,3
HAS2,0,0,0,0,0,0,1,0,0,0,0,1
PDGFD,1,0,0,0,1,1,1,1,1,1,0,2
PLAC1,10,2,6,14,16,10,3,8,5,13,10,5
DDI1,0,0,0,0,0,0,0,0,1,0,0,0
LINC00208,0,0,0,0,0,0,3,0,0,0,0,0
S1PR1,0,0,0,2,0,0,0,1,3,0,2,0
HS6ST2,0,0,0,0,0,0,0,0,0,0,1,0
OR4D5,0,0,0,0,0,0,0,0,0,0,0,1
PYGO1,608,890,574,439,259,341,310,342,229,132,156,52
LRRC8E,9,14,3,5,3,19,1,18,4,6,11,4
PKIA,114,202,156,302,195,174,61,142,61,87,131,77
XKR6,156,184,170,98,91,67,75,91,62,26,43,26
TSNARE1,56,103,108,90,119,115,113,158,82,71,52,78
FPR2,0,2,0,2,5,3,0,2,3,1,0,1
FPR1,1,4,2,0,1,4,2,4,2,6,7,1
PATE1,0,0,0,0,0,0,0,0,0,0,0,0
OR13H1,0,0,0,0,0,0,0,0,0,0,0,0
FEZ2,369,446,300,341,252,279,252,372,219,113,138,105
SOX7,10,23,15,10,7,6,9,8,5,6,2,1
C8orf74,0,1,0,0,0,0,0,0,0,0,0,0
C11orf24,181,199,132,202,163,172,124,176,158,113,78,115
FAM86JP,15,15,16,16,16,7,16,14,6,5,10,9
ALK,0,0,0,0,0,0,2,0,0,0,0,0
KYAT1,65,111,91,115,90,87,60,94,38,38,28,38
MTM1,371,488,325,251,204,180,286,342,411,87,196,62
SIGLEC17P,48,63,63,43,22,27,7,37,10,3,13,10
TRMT61B,192,296,199,307,214,161,165,240,164,152,121,89
INSR,526,734,504,704,758,669,576,858,520,949,1062,931
MFN1,910,1231,758,1264,779,869,1334,1942,1147,1712,1975,1191
GIMAP8,0,0,0,0,0,0,0,1,1,0,0,0
HSFX1,3,0,1,0,0,1,0,1,4,0,0,0
NRTN,7,4,5,22,20,14,1,2,6,2,4,2
KCNMB3,25,33,21,27,19,9,21,53,27,11,7,14
FUT3,0,0,0,0,0,0,1,2,0,0,6,0
KCNG3,0,0,0,0,0,0,0,0,0,0,0,0
ATP6V0E2,6,12,8,29,28,19,2,11,10,5,11,9
PRKCE,17,2,8,13,2,10,6,13,0,0,3,3
OR2K2,0,0,0,0,0,0,0,0,1,0,0,0
JAGN1,256,392,292,410,336,299,224,334,222,210,206,194
RLN3,0,0,0,0,1,0,0,0,0,0,0,1
TADA3,322,383,278,328,305,220,286,385,252,163,160,136
SOCS5,402,499,400,448,357,349,368,489,349,293,339,239
C1GALT1C1,224,354,234,321,236,272,162,239,179,106,157,87
C9orf16,81,100,97,113,115,71,131,194,113,133,161,158
MORN4,47,84,72,54,45,54,62,88,63,49,89,36
ZNF672,217,292,231,274,332,233,210,394,212,315,353,302
ZNF692,410,596,466,629,752,569,485,667,434,551,522,440
NAIF1,125,116,111,118,111,111,104,145,76,77,95,44
RBKS,21,31,31,33,28,19,30,46,25,17,20,20
OR2M4,0,0,0,0,0,0,0,0,1,0,0,0
GRIK1,0,0,0,0,0,0,0,1,0,0,0,0
MUC7,0,0,0,0,0,0,0,0,0,0,0,0
OPRPN,0,0,0,0,0,0,0,0,0,0,0,0
SMR3B,0,0,0,0,0,0,0,0,0,0,0,0
TMEM126A,336,465,298,417,313,378,253,302,236,156,191,124
TMEM126B,727,1030,600,963,655,832,420,626,398,374,373,249
TRIM8,57,62,44,48,36,70,60,79,25,42,42,38
NETO2,431,581,490,535,464,554,322,442,319,346,366,361
CSN3,0,0,0,0,0,0,0,0,0,0,0,0
CLDN20,0,0,0,0,0,0,0,0,0,0,0,0
CDC42BPG,46,115,78,64,96,68,19,41,10,9,27,7
SCAND1,168,259,187,266,257,229,159,237,152,150,129,137
JUNB,613,895,677,830,892,625,1407,1965,1219,1709,1785,1811
FAM241B,2,5,1,2,4,1,1,3,3,2,4,0
TMEM37,0,0,0,0,0,0,0,0,0,0,0,0
UGT2B7,0,2,0,0,0,0,2,3,1,0,3,0
LRG1,156,220,213,218,203,167,161,168,86,64,91,77
SHCBP1,949,1285,818,1031,810,951,702,1001,625,694,662,547
SOSTDC1,0,0,0,0,0,0,0,0,0,0,1,0
NPTX1,8,22,13,5,10,10,19,28,35,7,17,16
FAM98B,453,688,440,572,531,498,764,860,536,456,735,419
ZNF439,44,54,52,51,28,33,55,61,33,38,38,26
ZNF440,174,277,131,128,115,114,102,179,123,75,79,75
GAA,20,44,20,54,59,30,34,59,27,32,41,43
CANT1,196,272,206,243,259,224,202,234,162,166,135,138
KCNK3,5,2,3,5,5,3,4,9,5,4,3,1
ZDHHC16,309,424,367,409,349,376,160,200,128,113,99,88
CHST11,874,1240,1059,1165,946,966,1070,1779,1010,868,1008,778
EXOSC1,455,612,413,576,421,402,393,483,343,277,306,269
PGAM1,1024,1577,1087,1424,1510,1405,754,1087,686,383,527,454
CHD7,1568,2248,1613,2602,1519,2312,1289,2011,1106,617,1149,826
ESCO2,1397,1745,1171,1731,1201,1364,1087,1549,975,1112,1160,835
KRT19,103,190,162,165,151,99,19,27,11,10,12,6
KRT15,11,31,23,35,16,21,13,31,19,21,11,8
LURAP1,0,3,0,1,3,2,0,1,3,0,1,0
KRT38,0,0,0,0,0,0,0,0,0,0,0,0
CLCN5,801,1178,833,1466,735,1149,1464,1638,1272,820,753,566
TPPP,0,0,0,3,1,0,1,4,0,2,1,2
KCND3,1,1,0,1,0,3,0,2,3,1,0,1
APLN,0,1,0,0,0,0,0,1,0,0,0,0
KRTAP4-4,0,0,0,0,0,0,0,0,0,0,0,0
KRT13,34,31,23,67,69,49,22,21,32,75,61,47
XAGE3,0,0,0,0,0,0,0,0,0,0,0,0
KRT9,0,0,0,0,0,0,0,0,1,0,0,0
XAGE5,0,0,0,0,0,0,0,0,0,0,1,0
PDE7B,2,1,1,0,3,8,1,3,2,0,0,5
MRPL36,240,338,217,353,293,353,217,261,183,135,147,131
ZNF581,128,158,135,165,195,130,129,149,103,96,117,96
NAT1,268,287,198,274,189,222,137,159,124,103,113,49
KRT20,0,0,0,0,0,0,0,0,0,0,0,0
GLOD5,0,1,0,0,0,0,0,0,0,0,0,0
KSR2,0,0,0,0,0,0,1,0,0,2,0,0
ZNF524,53,101,81,115,127,77,89,121,84,124,95,91
MCC,2,2,0,3,3,3,11,2,0,1,3,1
KRT27,0,0,0,0,0,0,3,0,0,0,1,0
ZBTB26,162,234,214,215,226,201,186,270,191,132,138,146
CDK5R2,0,0,0,0,0,0,0,0,1,0,0,0
DSEL,10,13,9,6,9,12,5,12,4,6,13,4
POLR1C,930,1200,833,1197,903,1030,673,1002,675,440,466,322
ASXL1,702,1051,679,945,901,752,734,1047,853,850,1051,821
OR1L6,0,0,0,0,0,0,0,0,0,0,0,0
DLK2,1,3,0,0,4,2,0,2,0,1,2,0
ZNF562,1030,1324,895,1053,983,1009,958,1184,810,551,525,437
ZNF318,1234,1761,1204,1454,1199,1206,1423,1727,1178,891,1029,799
ZNF561,380,593,354,446,298,379,307,385,285,225,248,172
WIPF2,80,173,95,112,85,94,96,180,96,64,108,119
HOPX,6,8,7,9,7,14,1,13,6,15,5,5
SPACA5B,0,0,0,0,0,0,0,0,0,0,0,0
OR1L3,0,0,0,0,0,0,0,0,0,0,0,0
NLRP5,0,0,0,0,0,0,4,0,0,0,0,0
LRRC8C,883,1125,813,856,677,696,504,604,387,172,217,150
SPACA5,0,0,0,0,0,0,0,0,0,0,0,0
RSL1D1,2939,3817,2494,3523,2881,2898,2662,3515,2666,1821,2255,1726
LRRC8D,1136,1681,1131,1558,1166,1227,1200,1509,1059,889,1043,838
MROH2B,0,0,0,0,0,0,0,0,0,0,0,0
OR1L8,0,0,0,0,0,1,0,0,0,0,0,0
PPID,353,484,311,416,380,359,264,332,240,170,236,106
OR1N2,0,0,0,0,0,0,1,0,0,0,1,1
COL24A1,0,0,0,0,0,0,0,3,0,1,0,0
ETFDH,512,720,483,595,488,507,518,676,495,503,538,344
OR1N1,0,0,0,0,0,0,0,0,1,0,0,0
RXFP1,0,0,0,0,0,0,0,0,0,0,0,0
LPAR3,0,0,0,0,0,0,1,0,0,1,2,0
PTGER4,2,2,2,1,2,0,0,0,0,0,1,0
TBCA,768,954,690,952,665,703,770,1058,652,577,716,480
NEUROD2,0,0,0,1,0,0,0,0,4,0,0,0
MAP6,0,1,1,0,0,1,1,0,1,2,0,0
OTP,0,0,0,1,0,0,0,1,0,0,0,0
ECEL1,0,0,0,0,0,0,0,0,0,0,0,0
BCL2L1,290,391,270,402,346,369,292,332,251,456,546,420
FGG,0,0,0,0,0,0,0,0,0,1,0,0
FGA,0,0,0,0,0,0,0,0,0,0,0,0
OR2AT4,1,0,1,0,0,0,2,1,0,2,0,0
FGB,0,0,0,0,0,0,0,0,0,0,0,0
PLRG1,1533,2026,1302,2042,1398,1324,1637,2125,1414,1264,1372,956
ZNF584,309,452,397,491,405,378,371,459,284,240,239,232
DSCAM,1,2,1,1,0,0,3,2,2,0,0,0
DNAI2,0,1,1,0,0,3,3,4,5,2,3,3
NMUR1,2,0,3,5,2,0,2,7,2,3,0,0
CLSTN1,32,40,27,34,18,11,15,19,15,3,8,6
CXXC5,271,363,295,129,116,113,272,394,254,120,99,82
ZNF274,439,540,396,557,523,450,621,778,428,633,576,544
PIK3CD,10,4,7,9,7,8,6,24,8,3,6,3
PTCRA,0,0,0,0,0,0,0,0,0,0,0,1
SLC25A33,223,317,239,312,253,275,191,245,165,134,126,93
ENC1,0,0,0,0,0,0,0,1,0,0,0,0
SPSB1,0,0,0,0,0,0,1,0,3,0,1,0
P2RY6,0,0,0,0,0,0,2,0,1,0,0,0
BPTF,2209,2587,2010,2731,1640,2021,2920,3002,2257,1947,2303,1471
S100Z,2,1,2,0,4,0,0,3,0,1,0,0
ZIK1,73,99,73,152,113,103,44,68,50,84,82,95
GPR82,18,27,12,22,14,26,21,27,10,14,10,7
NMRAL2P,0,0,0,1,0,0,3,1,2,0,0,1
GPR34,2,2,2,13,9,8,1,2,0,3,1,0
SHANK2-AS3,14,14,5,7,9,5,7,14,4,6,8,2
PLEKHG5,5,2,2,10,5,4,2,4,2,1,3,1
ATF7IP,627,861,652,653,527,634,1232,1510,860,807,873,625
LKAAEAR1,0,0,0,0,1,0,1,0,0,0,1,0
RGS19,18,33,19,37,27,14,10,8,7,17,2,3
TCEA2,11,28,17,59,37,21,22,39,10,27,28,19
DEFB4A,0,0,0,0,0,0,0,0,0,0,0,0
ANO5,240,279,215,220,142,195,194,290,180,98,103,73
HDAC3,317,478,345,463,465,354,303,382,196,197,278,217
SPATA46,0,0,0,0,0,0,0,0,0,0,0,0
GPHN,276,315,158,221,110,243,173,175,88,34,122,51
VAT1L,0,2,0,0,0,0,3,4,1,2,0,1
TMEM51,0,0,0,0,0,0,0,0,0,0,0,0
CAMTA1,92,144,95,123,117,87,77,122,80,78,71,55
LRRC34,330,388,203,346,173,193,155,168,183,97,91,68
PAH,0,0,0,0,5,0,1,0,0,0,0,0
SPATA5L1,257,330,200,271,286,255,182,260,185,101,125,117
GATM,3,17,10,1,3,2,6,8,11,10,4,0
SYCE1,0,0,0,0,0,0,0,0,0,0,0,0
NXNL1,1,0,0,0,0,0,0,0,0,0,0,0
RASGRP4,15,16,14,20,15,9,20,25,17,14,21,9
NHLH1,0,0,0,0,0,0,0,1,0,0,0,0
SLFNL1,1,3,0,0,3,3,2,0,0,0,0,1
BCL2,36,52,23,19,17,20,48,44,38,22,18,12
RHNO1,315,409,302,367,281,271,332,456,299,322,404,240
CTPS1,529,766,522,914,839,799,675,959,657,562,599,544
UTF1,0,0,0,3,1,0,0,1,1,1,3,0
KNDC1,1,1,0,0,12,0,21,2,0,2,2,1
WDR87,0,1,0,1,0,14,1,0,1,0,0,0
METTL18,130,173,80,140,121,108,131,194,145,91,115,72
CFAP46,0,0,0,0,0,0,1,0,1,0,1,0
COL8A2,3,0,0,4,7,6,2,2,4,3,1,0
PWWP2B,4,12,7,57,56,48,3,5,2,21,12,26
PCDHB1,20,26,23,26,20,30,19,43,11,20,25,15
ZNF540,5,13,11,18,10,6,4,18,6,4,8,1
ANGPTL7,0,0,0,0,0,0,0,0,0,1,0,0
FBXL14,88,141,134,125,134,115,92,90,63,38,38,37
