gene_name,Wild-type_rep1,Wild-type_rep2,Wild-type_rep3,ATF7IP_KO_rep1,ATF7IP_KO_rep2,ATF7IP_KO_rep3,SETDB1_KO_rep1,SETDB1_KO_rep2,SETDB1_KO_rep3
FBRS,331,407,341,351,570,262,422,537,265
FRRS1,139,188,139,167,247,102,235,168,137
PHKG2,357,461,357,312,439,185,348,489,292
MFSD14A,2163,2768,2545,2062,3060,1371,1877,2727,2130
SASS6,1298,1654,1987,1355,1858,929,1867,1629,1356
COX6A2,0,0,0,0,0,0,0,0,0
ITGAD,8,6,6,3,7,7,4,7,3
ADGRG4,3,0,1,0,2,1,2,2,2
ZIC3,1,3,1,0,1,1,0,2,1
MALSU1,698,898,941,587,886,386,654,897,571
VPS8,433,577,583,484,648,326,579,722,414
GALK2,333,496,434,338,508,189,420,521,326
LHFPL4,5,1,3,3,6,1,2,0,4
B3GNT7,4,7,5,4,7,3,5,5,0
MPV17L,196,327,292,163,330,176,174,216,185
BUB1B,2622,3601,3965,2486,3834,1639,2475,3750,2357
PDE6D,200,279,292,187,278,152,238,267,189
EIF4A2,5394,7389,6644,6135,8008,3890,6376,8227,5696
BRPF1,639,890,908,593,886,501,850,804,560
RPUSD3,423,571,505,318,534,207,510,505,319
SST,0,0,0,0,0,0,0,0,0
TATDN2,501,704,481,418,834,440,480,881,558
GHRL,4,12,11,11,11,13,5,9,8
SEC13,1187,1646,1427,963,1537,791,936,1594,1024
EXOG,136,217,180,137,192,99,173,210,145
NTAN1,139,159,171,110,141,75,116,149,115
SHCBP1L,1,2,0,0,2,1,1,3,0
NMNAT2,1,2,0,4,1,1,2,4,1
ZFYVE9,594,850,811,594,905,539,770,603,629
ATP2B2,1,0,1,0,0,0,0,0,0
LYZL4,0,0,0,0,0,0,0,0,0
SLC6A1,0,0,1,0,0,0,0,0,0
SMG1,3193,4362,3809,2941,4561,2031,3913,3950,2905
FCHO2,481,704,670,588,803,393,621,757,577
RBPMS,121,143,142,94,161,66,102,115,86
TMEM171,0,0,0,0,0,0,0,0,0
KLHL40,0,0,0,0,0,0,0,0,0
C8A,0,0,0,0,0,0,0,0,0
TIMP4,0,1,0,0,0,0,0,0,0
SYN2,0,0,0,0,1,1,0,0,0
NRG1,23,41,31,12,33,2,20,35,11
C1orf27,558,777,884,555,822,462,720,709,574
CPT2,492,745,618,535,631,247,482,541,472
NECAP2,347,494,444,302,448,204,320,521,375
LRP8,949,1201,1164,740,1116,485,675,831,730
CDCP2,0,0,0,0,0,0,0,0,0
PAXIP1,602,744,778,532,780,351,596,726,563
STEAP2,5,18,14,16,15,7,7,20,12
SSBP3,614,851,875,811,1468,764,989,798,998
HTR5A,0,0,0,0,0,0,0,0,0
CLDN12,480,688,641,486,728,291,509,746,459
MMP14,2,5,4,2,2,0,1,0,1
FZD1,89,109,117,142,254,86,88,170,150
GATAD1,456,654,561,457,710,271,751,724,547
SUSD3,5,3,4,4,2,1,4,2,3
ZFHX2-AS1,35,35,36,40,42,20,38,49,32
TMED6,19,17,27,14,28,13,14,21,15
CLEC18A,8,9,8,6,12,2,5,4,5
DHRS4,171,223,223,197,257,106,208,252,186
C1orf158,14,15,12,15,17,5,13,19,11
CLEC18C,2,0,1,1,3,6,1,1,6
ARMC12,1,0,3,3,0,2,2,6,4
DDX19B,515,685,700,507,675,334,856,600,482
ST3GAL2,497,642,568,590,919,409,435,791,541
FUK,193,272,170,196,255,105,199,240,166
IL34,0,1,0,0,2,2,1,1,2
DHRS1,144,212,164,121,205,77,153,213,134
CACNA1D,14,14,14,10,18,10,15,15,12
ARSE,2,6,5,2,7,3,1,5,3
KIT,3,6,3,5,2,3,3,3,0
HYDIN,5,5,5,4,7,2,4,7,5
AASDH,221,339,304,238,389,149,291,421,257
ZNF19,54,62,71,53,81,33,91,88,54
CACNA2D3,158,233,203,148,250,86,226,216,153
RNF111,547,755,753,573,818,406,666,752,530
CCNB2,1426,2086,1935,1544,2102,965,1800,2428,1429
FAM81A,362,526,483,287,284,107,298,304,143
MYO1E,5016,6512,6570,4366,6230,2413,6318,5885,3703
APPL1,1955,2585,2482,1708,2972,1439,2469,2759,2063
MUM1L1,0,0,0,0,0,0,0,0,0
AFAP1L1,114,149,158,132,205,72,170,190,104
TSC22D3,306,433,349,381,492,218,1150,496,274
DSCR3,593,873,811,585,948,368,665,877,556
DYRK1A,1366,1799,1654,1349,2095,841,1597,1893,1399
KCNJ6,27,43,38,31,51,27,33,50,34
KCNJ15,57,52,48,42,58,20,34,71,37
ERG,300,350,431,249,326,70,368,284,172
ETS2,1489,1947,2031,872,1412,709,1702,1511,1005
TSPAN18,1,2,1,0,2,0,0,0,0
LCA5L,34,60,55,52,67,24,87,65,39
SLC35B2,881,1167,930,709,1173,435,748,1186,648
TMEM164,319,392,312,399,517,192,310,478,277
MX1,36,18,41,28,37,23,27,35,27
CREB3L1,8,9,7,3,9,1,11,11,4
C2CD2,523,669,661,380,603,207,415,578,361
TAB3,767,1098,1186,750,1240,615,934,1151,967
SLC38A10,632,833,851,819,1184,459,803,836,692
C9orf43,17,32,22,13,24,9,19,22,12
PALM2,0,0,0,0,0,0,0,0,0
ZNF618,109,166,145,73,170,89,114,136,90
DGKI,1,4,2,2,5,3,3,3,0
TMEM268,222,314,252,244,408,175,632,389,286
SVOPL,742,997,1026,290,510,164,846,642,360
SNX22,135,181,154,167,161,65,103,180,115
UBN2,1092,1510,1440,1210,1794,891,1121,1545,1114
BRAF,704,1018,996,925,1205,511,1014,1052,819
SLC34A2,15,12,16,13,20,8,10,20,9
ACAN,2,4,2,3,6,4,2,2,3
PSMG3,747,994,887,754,1244,530,1194,1267,876
CABP1,4,9,11,4,17,5,3,8,6
WDR19,507,617,628,400,636,301,630,732,452
SLC37A3,441,538,474,300,389,168,310,395,242
AP3S2,362,487,394,390,546,252,639,612,400
FMNL2,817,1079,1142,307,547,260,804,615,358
GAREM2,15,6,11,14,19,8,14,14,5
SPPL3,230,305,260,227,361,228,217,334,245
DPYSL5,5,6,2,4,7,3,4,2,5
DRC1,1,0,0,2,0,0,0,0,0
RAB28,202,335,345,239,366,156,372,491,282
FAM213B,43,61,52,43,63,32,40,61,41
TNFRSF14,0,0,1,0,0,1,0,0,1
PANK4,13,16,12,10,11,3,8,15,12
CIB4,0,0,0,0,0,0,0,0,0
MEGF11,16,14,17,16,37,17,18,27,10
C12orf43,238,365,290,262,374,163,278,362,244
PEX10,175,230,216,106,234,76,196,235,158
RER1,801,1079,964,802,1228,568,837,1219,785
RADIL,6,4,4,10,13,4,9,9,9
SKI,249,340,296,231,463,197,292,395,287
WIPI2,957,1321,1204,929,1418,623,1046,1685,1073
LDLRAP1,223,311,268,236,349,145,195,398,231
AGAP1,582,762,781,427,743,337,654,731,465
KRTCAP3,3,7,4,1,5,2,2,1,0
ANKRD61,22,41,34,32,51,23,30,36,27
PAFAH2,157,200,171,108,195,65,142,191,120
EXTL1,7,8,17,8,18,4,24,17,7
SLC30A2,23,27,13,19,17,12,24,29,21
BRE,403,561,494,399,634,257,452,558,417
TRIM63,1,1,3,0,3,1,1,4,4
WDR66,93,115,103,97,148,93,72,138,107
MRPL17,948,1345,1281,630,1234,501,943,1233,774
DUSP2,797,1061,827,1244,1712,764,573,1398,968
GRHL3,0,1,0,4,1,0,0,2,1
UBXN11,190,295,315,231,353,152,369,389,249
NLRP14,0,0,1,1,0,1,0,0,0
PTPDC1,344,521,484,328,504,224,467,466,346
GALNT14,0,0,0,0,0,0,0,0,0
NCK1,776,1144,1167,736,1185,510,1208,1113,768
HPD,4758,6896,6933,5348,8947,2699,5853,6885,5590
RHPN1,233,336,257,246,395,112,321,416,217
TPRG1L,124,185,174,129,187,90,113,180,135
LRRC43,1,1,1,0,3,0,0,2,0
AAED1,400,539,507,370,515,298,414,461,429
XDH,10,18,15,12,9,4,7,13,16
XKR8,30,41,30,25,40,22,29,28,23
CNNM4,214,274,256,177,269,134,202,219,160
EYA3,514,694,618,474,700,336,440,669,452
DZIP1L,137,178,171,127,214,105,151,217,132
TMSB15A,6,7,9,7,9,5,3,4,6
FANCC,483,711,585,447,748,324,616,683,516
MRAS,232,276,262,185,256,139,264,240,165
WASF2,991,1292,1225,970,1510,745,1042,1349,1036
ABHD3,457,620,492,504,698,319,398,632,480
ESYT3,25,30,29,34,61,21,21,42,20
FAIM,366,476,512,375,588,280,412,503,452
FAM46B,106,142,125,118,186,136,46,201,129
CLSTN2,14,19,28,23,23,22,17,24,21
COLEC12,21,20,24,20,30,25,19,35,16
RNF207,164,186,202,181,267,95,182,229,147
CUL4B,1021,1550,1437,1163,1657,859,1201,1652,1207
GPR153,92,127,99,76,118,34,113,103,41
SLC13A3,3,3,1,2,3,1,4,1,1
GPRASP2,0,0,0,0,0,0,0,0,0
RHBDL2,25,39,31,30,35,17,31,34,21
AUTS2,11,30,19,17,66,24,14,2,24
SHROOM4,3,1,3,1,5,1,3,2,2
HIST1H2BD,3778,4888,4073,3823,6377,2254,6629,6903,3934
CDC25C,231,315,274,230,332,125,301,352,189
HIST1H4H,1698,2270,1651,1956,2754,1024,2262,2576,1649
MITD1,335,445,471,279,466,208,447,446,342
EIF5B,2529,3826,4742,2420,3660,1940,2735,3396,2946
RIBC1,18,17,32,16,34,15,26,33,19
TMSB15B,0,7,15,4,9,2,5,9,4
CATIP,16,16,10,24,28,13,26,29,15
CNOT11,761,1094,900,777,1123,527,717,1024,763
KCNB1,80,88,120,91,149,74,91,92,90
TSPAN33,6,13,6,3,11,3,8,4,3
NRG2,93,105,98,125,256,127,105,146,172
AHCYL2,229,298,226,275,348,124,252,284,185
B4GALT5,648,921,771,621,989,385,540,631,602
CD1D,0,0,0,0,1,0,0,0,0
CD1A,0,0,0,0,0,0,0,0,0
SPATA2,93,107,82,74,115,54,73,113,63
CD1C,0,1,0,0,0,0,0,0,0
FAM86C1,103,122,109,91,126,61,150,110,98
CD1B,0,0,0,0,0,0,0,0,0
DNAH3,14,20,14,19,16,15,14,18,9
CD1E,0,0,0,0,0,0,0,0,0
HMHB1,0,0,0,0,0,0,0,0,0
CPA2,1,1,1,4,1,0,1,2,1
NCF1,9,14,8,6,11,3,13,9,3
CPA5,2,1,0,0,0,0,1,0,1
TSR2,392,509,495,328,459,211,379,508,316
PPP1R9A,672,941,1059,451,686,221,971,645,368
ZC3H18,737,994,1181,688,1130,525,940,926,736
ZFAND2B,63,97,56,66,140,33,140,126,74
POM121L2,0,0,0,0,0,0,0,0,0
GDPD5,135,166,109,194,314,158,122,264,160
DYNC1I1,3,4,3,0,3,2,5,6,5
PFKFB1,0,2,1,3,5,2,5,5,2
ALAS2,0,1,3,1,2,0,1,1,1
TMED4,1891,2419,1979,1535,2302,821,1976,2449,1402
PPP1R15B,5780,7899,7509,4912,8414,4756,6211,6746,5820
COPG2,364,582,474,544,712,180,504,620,417
EMSY,647,835,857,658,1034,472,640,919,669
PAGE5,0,0,0,0,0,0,0,0,0
GPAT4,700,967,922,653,934,486,722,1066,652
PKD1L1,0,0,1,0,2,1,0,0,1
ZSCAN12,372,526,575,580,779,432,666,658,549
TAGLN2,4163,6196,4745,3955,5726,3078,2832,5175,3801
ELK4,1473,1948,2000,1521,2438,1094,1568,1840,1602
SLAMF8,0,0,0,1,1,0,0,0,0
SLC45A3,66,66,61,28,37,19,57,40,19
DUSP23,109,154,183,156,234,100,127,145,141
RNF166,225,305,241,206,264,109,296,315,183
NBL1,521,694,605,451,704,291,479,862,414
HTR6,0,0,2,0,1,1,0,0,0
ITLN2,0,0,0,1,0,0,0,0,0
F11R,425,482,427,572,733,360,494,559,534
USF1,332,433,467,351,524,262,435,451,361
PLA2G2F,0,0,0,1,0,0,0,0,0
SPATA2L,58,52,40,56,65,24,49,63,35
NIT1,181,234,152,213,234,103,202,232,131
DEDD,290,355,338,287,393,175,349,347,277
ZNF276,376,414,380,347,492,185,411,431,305
NPM2,0,0,1,0,1,0,0,0,0
EDA,1,0,3,0,1,0,1,2,0
FGF17,0,0,0,2,1,0,2,2,0
VWA5B1,9,11,3,3,13,6,11,17,2
CDA,85,154,133,95,128,69,109,131,69
PINK1,499,609,527,545,786,390,435,774,468
B4GALT3,277,371,353,257,325,154,273,296,191
DMTN,159,213,203,137,183,66,142,188,129
ADAMTS4,126,178,156,195,306,71,173,146,155
FAM160B2,178,211,192,212,292,136,191,284,168
NDUFS2,962,1349,1427,952,1337,590,1277,1032,859
SLC5A11,4,2,3,2,4,1,3,4,4
FCER1G,2,4,2,1,3,3,1,2,3
APOA2,1,2,5,4,2,3,3,2,2
TOMM40L,151,210,161,115,164,78,171,139,118
MPZ,0,1,0,0,0,0,0,0,0
WFDC8,1,0,1,0,3,0,2,1,0
CCAR2,966,1329,1239,925,1462,583,1086,1277,914
WNT9B,2,7,5,3,5,2,5,5,3
CACHD1,0,0,0,1,0,0,0,0,0
CDC42SE2,1079,1462,1452,903,1403,748,1205,1425,949
RAPGEF6,918,1177,1290,735,1396,536,1009,1124,799
EPB41,1146,1521,1638,937,1414,644,1484,1276,882
MIS18A,205,282,308,187,309,125,285,309,197
ALG8,753,991,836,685,1083,437,655,1039,642
FBXW5,787,1055,889,707,935,311,896,1017,618
C21orf59,662,908,941,577,840,300,818,892,476
SYNJ1,197,314,257,234,382,135,293,330,208
PAXBP1,1226,1735,1733,1141,1912,696,1647,1794,1206
IFNAR2,198,272,296,164,318,83,315,300,213
MRPL10,440,561,577,380,504,232,472,554,367
IFNGR2,123,149,232,186,287,77,149,230,89
GART,2893,3887,3799,2558,3523,1194,3658,3368,2271
SON,4145,6087,5670,4483,7212,2772,4135,6485,4607
DONSON,901,1073,1062,938,1394,509,1089,1257,855
SV2A,6,6,5,6,13,3,7,6,4
LAD1,0,0,1,0,0,0,0,0,0
STC1,2,1,6,4,2,2,5,4,1
TNNI1,5,2,6,6,7,1,2,4,4
CSRP1,3949,4502,4235,2234,3440,1900,2482,3789,2281
PRAC1,0,0,0,1,0,0,0,1,0
HOXB13,25,27,26,28,34,27,23,34,29
C1QC,0,0,0,0,0,0,0,0,0
KCNE2,8,6,9,6,4,3,1,5,5
ATP5G1,694,976,679,675,931,391,424,892,543
RCAN1,435,637,595,328,552,325,400,619,387
UBE2Z,1484,1922,1738,1338,2087,837,1304,2009,1343
CIART,5,8,9,5,10,5,9,10,7
SNF8,797,1009,994,746,1036,537,726,1050,744
CLIC6,3,3,3,5,3,4,3,5,1
CCDC24,56,73,72,61,91,35,63,73,56
RUNX1,202,299,278,184,311,131,233,287,165
IGF2BP1,737,974,918,554,846,439,664,645,521
GIP,0,1,0,0,0,0,0,0,0
CBR1,854,1140,1046,811,1144,369,823,1168,731
CBR3,97,137,143,94,154,47,162,150,74
C2orf81,42,47,48,27,52,26,50,58,30
GJD2,0,0,0,1,1,1,1,1,0
ACTC1,1,2,0,5,0,0,0,2,4
MORC3,510,664,762,562,838,296,663,816,523
CHAF1B,706,896,998,602,936,345,899,856,729
CLDN14,0,0,1,0,0,0,1,0,0
SIM2,152,231,229,143,262,130,179,233,138
HLCS,382,600,526,480,643,233,740,623,447
GOLGA6A,1,0,1,1,0,1,0,0,0
SCUBE1,7,8,9,7,16,5,10,12,10
ARHGAP27,54,67,39,24,58,30,24,43,26
ADPGK,653,848,729,582,906,374,676,806,537
PTMS,1619,2082,2214,1269,2249,993,1522,2456,1586
PLA2G4D,10,17,17,12,25,6,9,15,13
PADI4,1,3,2,1,0,0,1,1,2
ADIPOR1,1475,1957,1999,1572,2072,1113,1271,1679,1613
CYB5R1,211,302,264,210,266,123,245,272,166
PSMD4,1349,1846,1744,1332,1688,774,1388,1433,1205
ATP13A2,289,450,326,309,518,210,250,466,303
M1AP,4,8,5,7,8,5,7,5,8
PSMB4,1387,1871,1553,1528,1807,859,1286,1758,1296
IRX6,0,0,0,0,0,0,0,0,0
BTG2,466,631,728,608,953,296,523,712,502
CES5A,4,9,8,4,4,1,2,4,4
HK2,923,1326,1214,622,860,473,1058,884,550
C1R,23,37,25,29,51,12,52,34,20
CELF3,1,1,2,0,2,2,1,0,2
ALDH4A1,201,284,216,245,328,84,202,318,138
STARD9,478,624,658,441,712,289,548,663,433
THEM4,400,587,493,522,669,262,519,453,471
TCHH,0,0,0,0,0,0,0,0,1
LCE2B,0,0,0,0,0,0,0,0,0
UBR1,929,1309,1259,1031,1390,676,1054,1320,887
AMFR,1106,1494,1204,1104,1717,679,1253,1972,974
MED8,326,437,346,343,432,220,557,386,291
TGM7,0,0,0,0,0,0,0,0,0
RGL4,11,15,21,19,28,9,13,24,20
SPRR2G,0,0,0,0,0,0,0,0,0
PGLYRP3,0,0,0,0,0,0,0,0,0
ISL2,39,45,44,43,51,27,61,43,44
RSPRY1,641,851,833,546,967,437,734,866,558
CCDC17,21,26,26,16,30,11,19,13,13
GPBP1L1,1861,2573,2527,1915,2549,1272,1955,2083,1857
NAE1,1685,2224,2247,1465,2102,1017,1943,2196,1431
TMEM69,405,479,463,268,442,160,389,345,256
ADGRG5,0,1,1,0,1,0,0,0,0
DRC7,0,0,1,2,0,0,2,0,0
ACE,4,11,3,6,10,3,5,6,6
TEPP,3,3,8,11,12,8,6,16,9
UROC1,0,0,0,1,0,2,0,1,1
EFCAB14,1200,1687,1624,1340,1952,983,1075,1529,1359
SPON2,69,68,57,93,123,64,63,120,79
CHCHD6,100,122,132,108,143,66,131,178,92
CTBP1,915,1130,894,922,1359,589,892,1671,745
LRRC36,118,144,100,85,130,52,137,133,69
TPPP3,4,1,6,3,5,3,0,2,3
ZDHHC1,5,3,4,7,11,3,2,4,6
ATP6V0D1,407,622,434,425,600,282,380,591,376
AGRP,1,4,1,1,3,0,1,3,3
ZFYVE28,58,47,71,44,96,36,80,105,38
CARMIL2,33,41,42,29,59,18,40,44,48
C16orf86,18,16,14,12,14,4,15,23,16
PIP,0,0,0,0,0,0,0,1,0
FAM131B,1,3,3,2,4,5,1,3,3
RGS12,120,183,185,145,207,94,140,262,150
PSKH1,249,336,265,204,394,138,308,381,233
ZYX,467,554,573,508,542,291,348,592,322
ABR,31,37,20,15,43,27,22,23,22
LYPD5,8,18,26,24,19,19,17,26,20
CCDC117,1293,1728,1699,1288,1833,862,1119,1865,1296
ZNF230,43,57,57,120,142,81,131,136,108
CCDC107,138,163,182,108,168,71,126,162,112
ZNF222,34,32,40,86,112,63,89,95,78
NPR2,17,26,30,17,32,10,20,21,15
ZNF890P,0,1,4,0,4,2,2,5,3
ZNF221,80,78,103,395,479,286,277,494,413
ZNF233,30,41,28,30,57,29,70,56,47
ZNF235,76,84,65,96,139,63,109,150,102
GNE,1094,1443,1382,1093,1580,684,998,1439,897
TNFRSF13C,56,58,49,31,79,27,79,53,39
OR3A3,0,0,0,0,0,0,0,0,0
ARHGAP35,1782,2655,2522,1792,3019,1454,2311,2658,1919
PTGIR,12,12,13,9,21,9,12,20,12
CALM2,1767,2327,2220,1740,2748,1336,1224,2877,1715
DFFA,1522,2106,2013,1300,2028,843,1909,2409,1282
CCDC28B,54,65,55,24,59,26,43,39,26
IQCC,75,143,119,91,150,65,196,129,130
TMEM234,75,92,84,104,108,59,115,103,90
BSDC1,452,544,444,453,701,332,520,558,483
ZBTB8A,586,734,802,633,960,446,770,728,628
ATAD3B,494,668,580,451,590,265,467,608,356
SSU72,599,855,734,591,860,433,742,841,540
UBE2J2,257,331,317,251,350,172,240,355,210
ZNF362,248,322,354,237,438,195,395,291,328
FNDC5,5,13,5,5,13,5,5,5,12
CPAMD8,12,20,22,23,26,11,22,30,21
NR2F6,829,1084,859,807,1219,491,825,1136,726
ANKLE1,30,43,43,29,54,18,31,45,27
CCDC58,433,458,651,364,416,250,495,517,342
VMA21,1820,2493,2125,1288,1743,648,1757,2020,1242
KALRN,42,37,40,16,44,25,32,21,34
CILP2,14,16,18,23,34,11,14,27,15
FAM86C2P,49,45,40,36,59,29,75,67,33
ABCG1,5,11,13,4,13,6,14,9,4
TFF3,0,0,0,0,0,0,0,0,0
TFF2,0,2,2,1,0,1,2,2,1
TFF1,0,0,0,0,0,0,0,0,1
TMPRSS3,173,271,251,191,280,83,327,310,187
UBASH3A,3,2,0,0,1,0,1,0,0
RSPH1,0,1,2,1,3,2,2,1,2
SLC37A1,179,210,182,140,152,68,121,218,94
PDE9A,49,59,51,65,93,13,81,69,57
WDR4,255,413,292,249,384,140,331,366,226
NDUFV3,820,1170,1195,734,1131,384,883,1106,820
PKNOX1,235,296,271,258,377,185,274,363,253
CBS,1730,2279,2144,1458,2172,638,2772,2212,1331
U2AF1,506,743,608,487,636,275,503,612,389
CRYAA,0,0,1,0,0,0,0,0,0
HSF2BP,76,94,84,54,66,34,79,80,62
RRP1B,2640,3449,3320,1874,2691,994,2175,2659,1778
PDXK,2406,3111,2409,1948,3077,982,1739,3407,1814
G6PD,1132,1423,1396,825,1619,552,722,1291,780
CSTB,612,896,1017,595,884,336,554,874,712
RRP1,562,721,770,397,631,223,643,623,414
AGPAT3,878,1096,976,576,1098,339,821,1036,662
TRAPPC10,660,913,772,646,869,329,689,901,556
GAB3,18,15,4,9,11,4,11,14,5
C21orf33,136,160,185,138,165,42,112,244,143
ICOSLG,123,135,108,134,175,63,59,168,98
AIRE,13,13,8,12,16,4,10,12,5
C21orf2,102,169,116,130,204,55,102,166,121
LRRC3,32,39,47,57,75,38,23,79,57
ITGB2,7,20,9,9,19,4,20,25,13
FAM207A,253,332,348,208,285,127,289,307,234
RALGDS,211,309,257,249,349,165,194,359,211
FTCD,0,0,0,3,13,0,2,14,18
SPATC1L,10,13,9,11,8,5,7,20,3
LSS,859,1092,975,628,1029,330,519,1094,728
VAV2,311,450,398,250,401,175,372,366,272
MCM3AP,1351,1798,1588,1261,1982,736,1527,1819,1196
C21orf58,251,316,270,260,408,122,342,413,222
PCNT,1171,1607,1615,1173,2211,763,1588,1787,1386
DIP2A,688,943,760,529,912,393,591,962,583
S100B,4,7,2,6,10,2,9,8,3
PRMT2,403,498,435,397,546,191,285,563,374
CLDND2,10,16,11,15,33,10,17,35,14
ZNF208,4,14,12,311,977,255,12,80,392
ADAMTS13,8,10,9,11,30,7,20,20,12
CACFD1,38,48,32,44,64,19,45,69,42
SLC2A6,69,101,64,70,86,44,44,96,53
ZNF761,186,232,249,231,309,152,228,284,228
FCN2,0,2,2,2,2,1,4,2,0
C9orf116,54,77,64,28,36,33,54,79,29
LCN1,0,0,0,0,0,0,0,0,0
ZNF714,665,865,917,908,1456,674,941,1222,942
GPSM1,179,211,201,169,235,108,204,237,122
C19orf47,150,198,172,158,211,123,186,209,146
HIPK4,2,1,0,1,2,1,0,4,1
CFAP157,66,63,48,50,89,27,32,58,48
TOR2A,81,122,89,94,137,48,84,117,101
ST6GALNAC6,191,266,251,188,306,125,240,384,188
SHKBP1,197,247,202,221,308,147,187,307,193
RDH13,105,129,110,78,116,56,85,123,76
ZER1,284,371,375,253,442,180,343,386,271
ZDHHC12,273,346,258,262,398,174,197,422,258
PKN3,710,888,825,582,960,361,802,1018,635
SPTBN4,1,5,3,8,6,5,4,8,3
BRSK1,17,22,30,21,22,7,24,20,20
COX6B2,8,13,15,14,19,8,10,25,14
TMEM190,5,1,3,6,3,6,1,8,3
NLRP4,0,0,0,0,0,0,0,0,0
PLPP7,7,16,6,14,19,6,10,7,6
TAOK1,4141,5567,5649,4060,6328,3021,4730,5501,4052
MED27,190,290,256,232,272,136,225,288,153
DEDD2,297,363,347,263,426,197,150,436,279
SIK3,334,404,387,223,400,211,350,350,267
MPZL3,110,134,122,78,125,83,79,139,95
JAML,0,0,0,0,0,0,0,0,0
NEK8,126,170,171,100,142,62,125,158,106
TLCD1,217,270,245,213,258,115,152,196,184
PCSK7,521,684,600,506,848,400,539,780,559
SAFB,1355,2005,2401,1189,2048,1111,1565,1839,1489
CD3G,28,39,30,19,24,12,23,30,19
S100A1,36,30,21,29,46,16,28,27,29
CHTOP,1059,1425,1285,980,1681,835,1196,1335,1142
CXCR5,0,0,0,0,1,0,0,0,0
ZBTB7B,528,678,550,645,882,384,712,659,574
FLAD1,416,491,418,352,522,195,407,412,319
SHC1,1329,1824,1551,1388,2141,706,1565,1551,1321
VPS11,167,265,235,166,271,119,217,245,167
NLRX1,189,246,202,170,247,107,213,249,165
ADAR,4667,6172,5277,4290,6019,2583,4441,4597,3727
IL6R,77,92,90,58,75,38,69,81,44
UBE2Q1,804,1118,1268,651,1069,559,791,966,764
CHRNB2,10,18,9,10,17,5,13,14,5
CRTC2,244,304,315,245,403,187,278,278,199
ANO10,219,335,299,154,319,167,179,310,180
FDPS,2608,3507,3102,2116,3202,1122,2027,2636,1918
RUSC1,315,407,268,275,476,193,300,318,262
GBAP1,132,157,179,132,164,76,148,107,129
FAM189B,105,166,118,105,170,68,104,131,119
PAQR6,77,107,80,91,97,44,78,65,92
PMF1,704,883,839,591,788,362,679,799,573
SLC25A44,463,630,596,413,715,324,457,521,410
LMNA,4029,5264,4299,3651,5371,2989,3204,4242,3878
CCR5,0,0,0,0,0,0,0,0,0
NBEAL2,370,415,332,206,412,119,274,359,206
CCDC12,320,433,430,223,352,207,293,411,253
PTH1R,3,6,3,6,10,8,5,9,3
UBQLN4,746,998,840,710,982,411,644,746,562
MYL3,2,2,1,0,1,0,0,0,3
PPP1R35,174,247,186,176,227,75,210,201,117
GPATCH4,1101,1476,1633,844,1208,618,1249,1030,955
LRRC71,2,3,3,6,4,2,4,2,1
FCRL3,5,10,5,6,6,5,9,12,6
AZGP1,0,0,0,0,0,0,0,0,0
FGFR4,213,250,225,189,263,74,145,257,143
CYP3A4,0,3,4,1,3,0,1,3,3
CYP3A7,4,0,2,1,0,1,0,0,1
NACC1,2268,2865,2562,1931,2885,1193,1798,2788,1749
CYP11B1,0,0,0,0,0,0,0,0,0
HK3,0,1,0,2,3,2,0,1,0
LY6K,1738,2463,2113,1511,1861,1206,1505,2819,1768
IER2,1741,2346,1653,1878,2300,857,1675,2463,1181
ZNF394,209,300,312,245,369,147,224,306,254
CPSF4,386,516,363,320,481,168,498,469,272
LY6E,744,1007,718,714,1131,355,745,1398,559
VPS28,278,343,277,269,389,145,262,413,202
TONSL,548,662,575,528,719,288,490,811,421
PTGER1,0,1,0,2,1,1,6,2,0
MUM1,539,640,623,485,760,370,420,715,449
RECQL4,582,766,627,625,1016,316,698,1112,553
LRRC14,397,508,375,486,659,282,504,726,365
ZNF333,90,130,123,125,161,75,112,121,90
COL26A1,4,8,7,76,92,10,69,66,64
PPP1R16A,326,512,391,285,456,160,370,523,265
FOXH1,7,4,3,9,5,2,11,8,4
ORAI2,103,107,129,92,168,87,95,151,97
ALKBH4,125,173,138,124,164,60,108,169,105
CCDC105,0,0,0,0,0,0,0,0,0
SH2B2,28,57,42,28,39,11,28,36,27
MRNIP,211,247,217,190,288,134,186,236,169
SQSTM1,4056,5585,4730,2912,4575,2068,3229,4686,2865
MGAT4B,528,786,564,438,703,309,457,784,465
RPL8,18594,27519,28300,18833,30807,13832,27606,33211,23246
MAML1,393,507,423,337,579,267,396,469,307
PGLYRP2,0,0,0,0,0,0,0,0,0
LRWD1,189,233,210,164,214,103,166,205,135
FBXL13,9,16,21,14,20,7,9,21,10
NAPEPLD,61,89,91,79,96,34,69,83,71
SCGB3A1,0,0,0,0,0,0,0,0,1
PSMC2,1020,1279,1369,1018,1353,606,945,1279,1006
CELF5,28,40,36,46,62,18,62,56,37
MFSD12,4511,5490,4889,3752,5583,3226,3354,5896,3972
LOC102725072,20,12,15,13,20,13,23,16,20
USP41,0,0,0,0,0,1,0,0,1
TUBA3FP,13,16,17,11,15,13,16,16,9
YDJC,361,469,346,316,378,157,333,393,258
CCDC116,3,8,6,7,5,5,4,8,6
DVL3,724,976,934,720,1165,603,917,1104,699
AP2M1,2615,3692,3331,2765,3943,2061,2525,4248,2623
