gene_name,WT1,WT2,WT3,KO2_ASH1L,KO1_ASH1L,KO4_ASH1L,KO3_ASH1L
DPP10,0,1,0,3,0,0,4
CLCF1,1617,1463,1554,1067,798,1090,1079
ACRP1,0,0,0,0,0,0,0
TSGA10IP,0,0,2,0,0,0,0
GPR152,0,0,0,0,0,0,0
UBQLNL,5,3,4,25,0,8,11
UBQLN3,0,0,0,0,0,0,0
PNLIP,0,0,0,0,0,0,0
LIPT2,25,33,40,52,50,80,22
KCNE3,6,11,4,55,3,28,5
CABP4,93,131,93,111,40,114,12
ALG10B,808,1395,1191,2018,360,954,544
DRAP1,5279,4829,5080,3953,5344,6527,3214
LONRF3,950,1201,1171,702,704,541,659
UCP3,27,36,31,39,28,20,21
UCP2,3890,4270,4344,2897,999,2003,2444
C11orf68,1334,1340,1584,1402,2551,2256,1181
PAAF1,1277,1608,1441,1354,1148,1545,1076
MRPL48,3286,3906,3523,2134,2426,2911,1495
RAB6A,7285,9510,8875,5904,5188,7303,4184
P2RY2,126,125,110,190,138,442,101
FOSL1,8075,6383,5678,3897,12947,10558,6697
ERCC4,1053,1262,1639,1342,520,1489,879
SUGCT,14,25,19,33,130,77,75
CCDC85B,1597,2077,1385,573,867,1594,1140
TMEM70,5698,6103,4862,3693,2552,4721,2554
LINC00476,105,119,117,158,148,222,99
OR4B1,0,0,0,0,0,0,0
RPS6KB2,3059,3052,3125,3042,2428,2797,2614
RMI2,698,871,779,1459,551,1081,456
PRM1,0,0,0,0,0,0,0
TOM1L2,1302,1480,1830,1705,1591,2491,966
TEX26,0,0,0,0,0,0,0
GOLGA8DP,3,0,0,0,0,0,0
ZNF77,60,61,80,50,139,146,9
GPR156,8,17,6,1,26,43,10
CCDC197,0,1,0,0,2,0,0
MTLN,818,848,898,790,729,801,568
KDF1,41,35,66,223,0,9,27
B3GNTL1,629,731,855,657,548,803,760
RBMXL3,0,0,0,0,0,0,0
LINC02873,14,28,24,13,7,25,17
NR2F1,2167,2322,2285,932,370,1047,1034
C15orf54,1,2,0,0,0,0,0
EIF3KP1,3,0,1,0,0,3,3
AURKAIP1,5288,5439,4986,3886,5281,6236,4950
TTLL11,174,225,257,182,275,294,153
EIF4E1B,0,0,0,0,0,0,0
TOMM5,8989,9448,8490,9886,11118,12861,6125
ZBTB44-DT,2,9,5,5,1,6,3
LINC02694,0,0,0,0,0,1,0
SLC35E3,1714,1484,1710,1321,893,1335,1261
ZNF169,150,139,127,171,134,185,163
RUVBL1,14009,15978,14823,12864,14384,17681,9240
SFN,4990,4480,3724,2705,2505,2759,2446
OR52B3P,0,0,0,0,0,0,0
MSRA,291,283,348,242,540,457,367
CBLL2,0,0,0,0,0,0,0
CCDC168,3,3,4,4,11,23,9
CTDNEP1,5472,5961,5859,6821,4955,7046,5294
ETV4,3272,3669,3707,4772,4899,5009,2868
SWI5,1526,1778,1595,1860,1393,2084,1060
GAPT,0,0,0,0,0,0,0
BAIAP2,2365,1948,1687,3472,2650,3204,2884
CALCB,0,2,3,1,0,0,1
CREG2,21,32,37,57,26,32,49
TMEM270,1,0,3,5,1,0,4
HOXD8,0,0,0,0,0,0,0
RPL7AP66,3,4,7,1,6,4,5
ZDHHC21,566,719,498,959,597,825,175
TSPEAR,0,0,1,0,0,0,0
PLEKHF2,854,1161,1026,1767,534,1353,352
A2M,7,0,1,4,4,4,0
ARL4D,266,351,410,371,404,591,251
DOK7,31,21,19,68,1,22,27
LRRN1,600,957,961,1294,237,988,247
UBE2O,4477,5006,4797,6046,4524,6819,4260
ORAI3,790,834,968,1891,790,2219,590
KLHL38,22,32,33,60,6,80,35
LINC02880,1,0,4,3,0,1,0
UNC119B,3356,3972,4238,5570,2111,3760,1891
DENND2C,28,32,30,39,71,23,37
PLEKHD1,9,6,21,11,19,24,14
ASCL3,0,0,0,0,0,0,0
TUBB6,7030,6569,5606,2979,14833,7168,6229
LYSMD3,1474,1730,1511,1329,1293,1828,876
AMIGO3,0,4,0,0,0,0,13
B3GALT6,1554,1802,1524,1693,2203,3002,1691
ZNF613,303,312,392,447,336,573,203
C11orf16,5,15,5,7,1,23,0
TMPRSS7,0,0,2,5,1,0,0
NUPR1,644,1765,4622,895,591,536,1032
JAKMIP2,15,4,17,7,358,10,2
RPL23P2,7,9,2,5,3,1,5
MBLAC2,583,661,535,460,687,771,485
TPRN,889,966,724,1316,1476,1855,781
KCNE5,25,25,38,28,37,70,24
ZNF683,0,0,0,0,0,0,1
SLC35A4,8453,8828,8024,8720,9093,11724,5382
CRYBG2,28,45,74,117,9,56,26
IP6K1,4365,4089,3695,6102,5157,6692,3647
SSNA1,2961,2903,2999,3525,3361,4279,2145
CSTF3,5144,5683,4479,6306,4318,7565,5348
YES1,5002,5298,4708,4896,4850,4370,2780
CHMP6,1342,1606,1387,2097,1337,2524,1733
DLEU1,1168,1317,1090,1139,1166,1434,935
UFSP1,102,111,91,92,52,122,105
MC5R,0,0,0,0,0,0,0
TMEM39A,3005,3682,3552,3347,2530,3230,2686
TCP11L1,1024,1339,1331,1741,1341,1421,1101
GPX2,71,89,81,488,2,6,5
CCDC57,1168,1256,1581,1946,1062,1953,1788
HSF5,0,0,0,0,0,0,0
FOXG1,0,0,0,0,0,0,0
SPHK1,423,444,409,1171,423,252,437
BNIP3,3892,4810,4573,2226,2973,3168,2069
ENTHD1,0,0,0,0,0,0,0
MYPOP,267,314,281,250,232,500,263
CIDEA,0,0,0,0,0,0,0
OR11H4,0,0,0,0,0,0,0
OR4D11,0,0,0,0,0,0,0
LRRTM4,40,44,53,39,36,37,19
ATAD5,1342,1322,1033,1894,1243,1653,1388
SMIM19,591,803,798,914,637,659,326
OR11H6,0,0,0,0,0,0,0
ZNF404,82,53,75,97,103,146,29
RTTN,1465,2211,2082,1763,2129,1772,1208
OR4K17,0,0,0,0,0,0,0
OR10H4,0,0,0,0,0,0,0
RPP38-DT,14,7,11,10,18,17,9
OR51B6,0,0,0,0,0,0,0
ACBD7,42,51,69,56,92,105,38
OR4L1,0,0,0,0,0,0,0
ANAPC2,1974,1574,1676,2307,2487,2592,1731
OR4K13,0,0,0,0,0,0,0
HMGB4,0,0,0,0,0,0,0
ZBTB8OS,1846,2021,1805,1678,1440,1796,1766
OR4F21,0,0,0,0,0,0,0
SLC35G1,623,753,654,762,575,698,403
OR4K5,0,0,0,0,0,0,0
OR4K3,0,0,0,0,0,0,0
ZNF135,2,0,0,0,0,2,3
OR4N2,0,0,0,0,0,0,0
OR4M1,0,0,0,0,0,0,0
OR4H12P,0,0,0,0,0,0,0
FOXN3P1,0,0,0,0,0,0,0
COX8A,10636,10257,11551,7582,6798,10107,5724
TAC4,0,0,0,0,0,0,0
ZSCAN2,388,454,510,648,275,320,280
PRR18,2,1,1,4,1,7,0
B3GNT4,24,22,30,24,33,19,12
CDC26,1097,1483,1142,1653,1384,1754,825
HSD11B2,46,19,33,61,103,63,102
CRLF3,1482,1842,1520,1214,1584,2024,1213
RNPEP,5389,5977,6272,8717,1986,5417,3995
EID2,772,830,578,844,695,1265,661
DMRTA1,128,106,165,210,136,174,98
EID2B,160,159,129,177,161,329,127
GJC3,2,1,0,11,2,1,3
RIMS2,50,117,119,106,177,124,130
KCMF1,4319,5230,4189,3318,3223,4125,4148
DNAJC30,707,801,671,1055,658,807,613
SPRYD4,1488,1565,1593,1612,899,1560,1046
VPS37D,47,40,61,60,27,60,53
CLEC14A,0,0,0,0,0,0,0
SYNE3,827,856,1274,715,593,1243,668
LPCAT4,2435,2755,2512,2959,1771,3143,1636
SLCO3A1,1124,1071,1114,740,1565,913,424
ZNF575,26,26,37,24,38,79,16
WDR25,384,509,781,454,395,606,548
SGF29,656,699,831,696,449,790,688
PLAAT3,2851,3558,3777,2775,918,1492,750
DIRAS1,256,288,280,297,199,517,116
OR5AN1,0,0,0,0,0,0,0
OR10AC1,1,0,0,0,5,0,3
PHLDB3,296,347,466,378,231,618,281
PRR15,769,1057,851,2125,237,491,159
GNG7,17,14,34,31,2,42,6
OR4C5,0,0,0,0,0,0,0
USF3,1845,1971,2166,2698,1787,2620,989
OR4C3,0,0,0,0,0,0,0
OR4S1,0,0,0,0,0,0,0
CNTD1,8,18,8,23,2,1,2
DCAF4L2,0,0,0,1,0,0,0
OR4X1,0,0,0,0,0,0,0
CNBD1,0,0,1,1,1,0,0
DMBT1L1,10,2,8,6,14,3,8
LOC100128398,195,215,280,264,218,503,186
KBTBD11,6,11,20,95,3,50,10
B3GNT5,1057,1242,1333,2314,1976,1420,789
MAP3K19,0,2,0,0,0,0,0
C14orf177,0,0,0,0,0,0,0
LMNB2,15996,15952,14540,12772,21632,20371,14835
RMDN1,1344,1766,1619,2541,1357,2239,1069
MEX3C,2157,3265,3313,2647,4601,4106,1806
HORMAD2,0,0,0,0,1,0,0
RNF152,3,4,0,0,0,0,0
MYO1D,40,100,47,164,114,123,117
C20orf197,0,0,0,0,0,0,0
FOXL1,1639,1829,1841,1753,1671,2557,1439
TGIF2LY,0,0,0,0,0,0,0
LRRC37A,3,26,22,0,13,2,3
FOXC2,0,0,1,0,0,0,0
OR4F17,0,0,0,0,0,0,0
BDNF,6,7,15,19,111,158,14
CCDC121,122,111,114,109,67,127,98
ACSF3,2057,2349,2523,2889,2239,3120,2169
BOK,228,255,262,428,1561,329,600
ZNF843,14,5,18,30,7,11,10
TTTY14,0,0,2,1,0,0,0
RBIS,2195,2654,2248,2371,1886,3574,1400
PFN4,4,12,12,34,10,37,4
OR51V1,0,0,0,0,0,0,0
MAGEB6,0,1,0,0,0,0,0
OR52Z1,0,0,0,0,0,0,0
CDK5R1,221,191,179,232,233,290,277
C15orf56,0,1,3,2,3,13,0
LINC00303,0,0,0,0,0,0,0
TCERG1L,1,0,0,5,8,12,6
NCKAP5,438,208,206,653,198,876,272
MAGEB18,0,0,0,0,0,0,0
RUFY1,3048,3899,3137,4070,2194,4391,1884
OR52E2,0,0,0,0,0,0,0
BASP1,5822,5615,3753,1639,4405,4333,3993
OR51L1,0,0,0,0,0,0,0
LRRC37A3,124,115,162,253,164,387,129
FKBP9P1,136,171,157,205,177,387,129
VSIG10,1958,2076,2375,2396,974,2016,783
MIR7-3HG,0,0,0,0,0,0,0
IRX5,344,189,211,220,88,242,185
METRNL,486,460,511,360,985,1347,472
FAM91A1,12184,15111,12912,13555,12821,18471,10888
KRT18P28,0,0,0,0,0,0,0
WSB2,8109,8928,7800,8159,5234,8467,6173
GRIN1,104,51,75,41,62,20,138
SOX11,0,0,0,0,0,0,0
TYMS,10172,10713,8630,6913,10298,7796,5493
OR51G2,0,0,0,0,0,0,0
PXMP2,1594,1484,1487,957,1340,1453,690
OR51A7,0,0,0,0,0,0,0
TCEANC,65,93,94,101,27,103,41
OR51T1,0,0,0,0,0,0,0
PNMA1,5754,5671,4577,5189,4926,7659,4388
OR51H1,0,0,0,0,0,0,0
TCIM,165,201,339,98,59,803,29
MAMSTR,49,58,58,53,80,100,59
TYMSOS,18,25,21,21,45,20,9
ANKLE2,6145,6010,5511,6180,5983,7220,5784
C8G,11,18,23,14,7,32,15
FUT2,9,18,19,27,7,12,61
OR51S1,0,0,0,0,0,0,0
OR51F2,0,0,0,0,0,0,0
EFCAB5,3,3,33,28,10,8,40
GCNT4,66,66,36,52,1,12,2
MUC20,2,0,0,0,0,0,5
THAP4,2534,2433,2638,2620,2396,2784,2984
OR51N1P,0,0,0,0,0,0,0
NFATC2IP,4063,4003,3612,4017,2486,4027,3454
LY6H,0,0,0,0,0,0,0
FIBIN,0,0,0,0,1,0,0
FAM89B,739,851,808,723,648,1054,337
SHMT1,1924,2151,1949,3114,1594,1976,1421
DPP7,2037,1886,2131,3248,2742,3400,2577
TRIM60,0,0,0,0,0,0,0
LOC107984399,0,0,0,0,0,0,0
SEC24C,12919,13595,11761,12232,9733,12618,9036
FMR1NB,0,0,3,0,3,3,0
SMCR8,2799,3216,3462,4477,3365,4381,3127
MTHFR,1429,1554,1867,2550,1120,2342,960
C19orf18,0,0,1,1,0,0,0
DEAF1,1979,1971,2379,2699,3507,3278,2829
MTX3,1673,1714,1878,1961,1985,2259,1328
TMEM80,311,370,330,401,195,358,235
SIX5,828,1116,1294,965,582,1149,470
IFNW1,0,0,0,0,0,0,0
FBXO46,739,874,793,701,658,1254,693
ZDHHC13,1320,1850,1392,2063,2120,3349,1288
SLC38A9,2132,2596,2530,2129,2130,2840,1373
ACER2,16,21,11,93,40,34,5
WDR73,1870,1932,2170,2638,1900,2537,1714
POLE,9790,8416,8003,9632,7704,8616,8735
PHETA2,541,425,423,321,131,130,653
SCN4B,7,9,8,8,3,5,2
DSCAML1,5,35,10,216,0,0,0
RHOG,2605,2504,2214,1468,2100,2344,1432
EPS8L2,6145,5980,5778,7943,3986,6931,4808
ZDHHC22,0,0,0,0,0,0,0
IRAG1-AS1,1,1,0,11,0,0,0
ANO6,11245,13595,13817,12984,4753,10924,3862
ZBTB34,564,551,529,776,747,663,438
PRDM16-DT,0,0,0,0,0,0,1
FAM9B,20,15,20,46,4,32,12
CETN1,0,0,0,0,0,0,0
NUDT4B,1079,1199,1081,581,557,906,601
FAM210A,1577,1943,1644,1664,2209,1594,1246
OR2T35,0,0,0,0,0,0,0
TALDO1,12507,14670,14834,14810,10593,15680,9452
ULK1,3166,4888,7279,3463,2685,5303,1799
OR14C36,0,0,0,0,0,0,0
RIMKLA,8,4,26,4,80,327,6
CLVS1,7,12,8,21,4,27,3
OR2M7,0,0,0,0,0,0,0
RPS6KA3,20397,25787,22094,33271,5450,16932,5612
B3GNT8,13,10,14,13,4,6,6
PUS1,4879,5510,5382,3858,2863,3988,3423
CHD9,4196,5332,5508,4689,3874,4017,4250
OR2T12,0,0,0,0,0,0,0
SPACA4,0,0,0,1,0,0,0
OR2T33,0,0,0,1,2,0,0
GATD1,2391,2080,2769,2482,3752,3531,2084
LINC01561,0,0,0,0,3,0,0
TRIM72,69,62,99,82,29,96,59
MAN1B1,5318,5859,5953,12845,8923,10835,4594
DEFB103B,0,0,0,0,0,0,0
DEFB4A,0,0,0,0,0,0,0
KCNA3,0,0,0,0,0,0,0
OR2AJ1,0,0,0,0,0,0,0
FZD8,29,43,30,28,65,107,33
GJD4,0,0,0,2,0,0,0
FBXO39,0,3,1,6,2,15,0
CLDN22,0,4,0,5,0,0,0
KCNA2,7,3,1,0,0,0,0
TOP3A,2342,2661,2300,3131,2615,3196,2170
CASKIN2,808,807,875,836,985,1106,1050
OR7E125P,0,0,0,0,0,0,0
ZBTB38,3708,4774,4599,4674,5291,8108,2099
BEND2,11,20,13,4,8,7,7
C8orf31,0,17,9,45,0,3,9
FLJ13224,1,1,1,2,2,1,5
RPL13AP3,0,1,0,2,0,0,0
CCDC71,1242,1286,1412,1844,1209,1676,919
C10orf71,0,0,0,0,0,0,0
OVOS2,1,0,20,0,3,18,0
LRRN4CL,0,6,10,5,0,15,11
FLJ40194,29,20,20,20,6,35,7
HIC1,118,172,111,89,104,77,110
PPFIA3,272,205,288,268,236,299,120
MAGEF1,1690,1931,1767,2934,1891,2976,1243
UMODL1,0,1,0,7,0,2,6
OR7E8P,0,0,0,0,0,0,0
NINJ2-AS1,219,236,246,337,211,384,123
SAMD9L,3227,4341,3602,4195,1209,4417,1885
ZFAS1,8144,10232,11630,10978,6196,11713,5324
UBE2U,0,2,0,1,0,4,0
PAWR,6686,7917,7536,3625,4007,5234,5260
TGIF1,2142,3198,3255,2999,1834,3294,1409
MIEF2,300,447,387,553,399,723,239
NAP1L5,331,292,310,503,387,529,155
RPL19P3,1,0,0,0,1,0,1
NIM1K,33,13,19,30,31,24,14
CD19,1,0,0,1,0,0,0
ERICH5,7,7,6,133,2,6,6
OR2T8,3,0,3,5,16,2,0
NR2C2,2718,2947,2869,3607,3650,4192,1842
GPR4,1,0,0,0,1,0,0
ACOT4,21,29,25,86,50,39,24
OLIG3,0,0,0,0,0,0,0
CAVIN1,7043,7091,5211,6108,10874,8470,5101
OR2G3,0,0,0,0,0,0,0
ARIH2,9147,10346,10551,9979,9847,11310,6045
RBM44,25,22,24,18,20,98,14
ZBTB33,2881,3296,2786,3250,2758,3450,1657
OR2G2,0,0,0,0,0,0,0
ZBED2,22,7,4,0,1,0,1
VCX2,0,0,0,0,0,0,0
IRX3,174,185,111,861,240,861,273
ST8SIA3,0,0,0,0,0,0,0
RPRM,11,8,15,7,1,1,2
OR2B11,0,0,0,0,0,0,0
SLC25A22,5701,5393,6112,5700,7052,8613,7926
RABEP2,847,934,842,872,598,1127,591
NHLH2,0,0,0,0,0,0,0
C1orf167-AS1,2,3,3,0,0,1,2
ATOX1,2370,2867,2698,2406,2802,2980,1595
FAM187B,0,0,0,0,0,0,0
TBL1XR1,7269,8237,7607,8624,6878,9040,5871
SAMD12,575,641,1125,1832,1185,1428,943
CD163,0,0,1,0,2,7,6
C18orf32,635,678,489,154,422,477,347
OR7E149P,0,0,0,0,0,0,0
GIMAP3P,0,0,0,0,0,0,0
PIDD1,913,814,901,1261,898,1155,1268
LOC100288208,0,1,1,1,0,7,0
ZNF491,8,3,0,4,0,2,1
RPLP2,35632,42212,46528,44357,34210,47394,29527
HASPIN,894,876,695,1119,1255,1422,1016
JUN,5036,5814,5653,3576,5712,5901,3226
CSTF2T,2466,2720,2336,2811,2414,3369,1806
PGBD5,7,40,4,20,21,58,4
C12orf54,11,4,4,5,8,9,11
GBA,9607,10514,11432,13875,8250,18204,10736
CASC2,89,98,117,155,150,147,66
ACAD9,4693,5334,5121,5512,5443,6254,3627
IL17RA,1208,1339,1053,1055,1148,1376,800
PNPLA2,3654,3702,4789,3897,4957,5743,2964
MBOAT4,3,1,3,4,3,2,0
TEX44,0,0,0,0,0,0,0
AGTRAP,2553,2753,2959,3806,2424,3886,2378
CD163L1,957,1146,1168,790,1198,1650,775
SRRM3,17,7,13,58,10,20,12
THAP5,2402,2492,1926,2058,1161,1973,1764
DEFB114,0,0,0,0,0,0,0
CRACR2B,2684,2705,2449,1049,1525,2285,2189
SUMO4,0,4,0,1,0,2,4
MAGEB10,0,0,0,7,6,2,0
OR4F4,0,0,0,0,0,0,0
NAALADL2,102,88,39,62,143,126,41
CD151,27851,30297,31741,29648,31845,46048,19389
LOC100129540,1,0,1,2,0,2,0
POLR2L,10125,9842,9776,8904,8484,12244,8396
FAM20C,25,35,20,139,114,115,158
NECTIN3,1817,2358,2015,741,2538,3996,1057
SLC35G5,2,2,0,0,0,3,1
ANXA2R,54,68,41,41,32,47,31
TMEM94,2690,2784,3832,6405,2592,5275,3462
FLII,8281,8173,8967,10097,8775,9711,8341
SOX12,2348,2612,2830,3009,2517,2819,1953
HNRNPA0,10995,10998,9970,11905,14268,16235,8706
FXNP2,1,0,0,0,0,0,0
LOC648987,212,249,247,266,297,254,233
YIPF7,0,0,1,1,0,6,0
FAM87B,0,2,0,1,3,1,2
LOC105373159,38,26,22,47,5,23,19
MYOZ1,0,2,0,0,0,2,0
KCNJ10,2,0,0,1,0,0,0
CHID1,5922,6194,5662,6706,5390,8302,5278
PCDHB9,33,43,44,40,59,58,71
ZNF620,292,419,425,444,346,403,289
ZNF518A,1299,1513,1377,2186,1049,1155,1374
TMEM187,790,549,910,1046,402,1058,248
SVBP,682,685,714,541,649,950,455
ZNF619,349,415,526,577,425,696,393
CCDC184,1,2,2,1,36,12,4
AP3S1,4644,5322,4940,3272,6006,6050,2582
GRB2,9065,10379,8755,10714,8379,12338,6260
ZBTB41,1573,1841,1821,2627,787,1748,1282
UBE2N,11376,12917,9841,7741,7259,10373,6618
SPATA31C2,0,0,0,0,0,0,0
ARL6IP6,1495,1637,1550,1341,1135,1591,993
ZNF354C,46,55,28,289,1,239,34
CAPZA3,4,1,3,5,0,0,0
MAMDC4,342,262,550,312,236,163,87
CENPBD1,1213,1371,1392,2283,851,1811,1766
ODF3,0,0,0,0,0,0,0
BET1L,4831,5047,4926,4742,3632,5710,4053
RPS27,51666,61310,57470,48589,32568,73182,36362
RIC8A,8905,7983,7046,8587,10321,12279,8114
IMP3,2325,2617,2037,2133,2093,2736,2254
ASB8,1348,1549,1444,1500,768,1566,1048
LCN15,1,2,0,6,0,2,2
ODF3B,68,60,112,85,83,90,109
DPY19L2,68,68,63,144,129,136,26
SPATA31E1,0,0,0,1,0,0,0
ZNRF3-AS1,40,34,33,36,20,25,24
C2orf73,2,0,0,1,5,7,0
GPR150,9,8,4,10,23,18,8
TSPYL6,0,0,0,0,0,0,0
LRRC75B,24,45,60,89,13,12,45
DMAP1,1715,1799,1785,2072,1826,1969,1869
ADAMTSL1,25,18,36,0,74,152,23
CALHM5,0,2,0,4,119,20,0
IMPDH2,21323,23962,23072,24468,22303,22643,17431
ALS2CL,173,173,130,235,254,155,48
MLF1,1624,2173,1906,1780,3272,3304,1174
PRSS42P,1,4,4,14,2,4,0
NDUFAF3,3952,4277,4217,3700,2644,4161,2921
C2orf69,933,848,565,1018,666,920,799
GRAMD1C,296,304,307,115,288,248,72
STAP2,342,401,343,706,312,334,651
HTR3C,1,0,0,1,0,0,0
TSSK6,43,70,80,69,39,68,75
BOLA1,481,513,606,664,279,614,477
PDE4DIP,1673,1949,1823,3485,1064,2089,1198
DDX10,4027,4681,4249,2202,2148,2834,2481
GOLGA8Q,0,0,0,0,0,0,0
PPP1R42,2,0,0,1,2,6,0
NDUFV2,10525,12534,11869,10554,6611,8180,5504
FAM27E5,0,0,0,0,0,0,0
DALRD3,1046,1364,1638,1704,879,1361,850
ZNF114,133,106,123,79,38,106,151
ZNF518B,1063,1180,1031,1296,1281,1675,456
AMER3,10,13,3,8,5,9,4
SPINK6,0,0,0,0,0,0,0
ZNF366,3,1,8,6,0,11,4
LCORL,1365,1579,1319,1690,1521,2179,1120
PARD6G,45,15,34,31,64,33,18
ZNF454,0,0,2,2,6,4,0
SH2B1,2168,1962,2279,2461,1454,2585,1407
ZC3H12D,159,120,176,226,33,86,86
VN1R1,6,9,4,2,0,9,3
POGLUT3,3445,4192,2778,2372,1493,2441,1506
PLEC,35986,32838,33987,36342,42367,58023,24504
SH2D4B,0,0,1,1,0,0,2
RNF212,84,101,82,768,682,928,567
PRSS36,17,41,24,41,8,8,32
ZNF543,97,135,159,184,139,134,105
TMEM151B,8,4,8,7,0,5,2
GALNT11,2685,3263,3046,3417,2140,4226,1940
SLITRK1,97,114,176,321,50,502,160
C9orf62,0,0,0,0,0,0,0
WDR6,11827,11169,11444,13617,13537,12677,9348
PRM3,0,0,1,0,0,0,0
TNP2,0,0,0,0,0,0,0
SPAG11A,0,0,0,0,0,0,0
GEN1,3047,3099,2410,2303,1967,2326,2644
TMPRSS9,27,16,10,9,13,42,22
AQP11,41,51,50,88,35,47,32
TMEM11,1403,1494,1442,1712,1490,1982,1386
ZNF354B,442,453,418,481,424,635,362
KCNG2,0,0,0,0,0,0,0
SHISA3,0,2,1,2,9,57,0
OR2D3,0,0,0,0,0,0,0
CALML3,0,0,0,0,0,0,0
CALML5,0,0,2,0,0,0,0
ZFAND2A,2172,2434,2199,1986,2034,3001,2081
PLEKHM3,696,915,1089,1237,721,1098,649
ZNF223,78,149,90,173,54,112,40
HTR1A,0,0,0,0,0,0,0
CCDC185,0,3,3,4,0,12,8
FAM220A,1299,1793,1577,1938,1048,1510,1346
DNAJC22,2164,2072,1779,4151,293,1209,1059
NEUROG2,2,1,2,1,10,1,6
CEP295NL,2,11,10,8,19,7,4
BEND3,1246,1272,1175,1414,698,1151,942
NT5DC1,3616,4657,4301,4262,2475,4633,2650
RPS3AP5,4,20,21,24,9,15,8
TIMM23B-AGAP6,18,35,19,26,22,28,39
GLDC,3,20,3,58,12,31,0
COX14,751,929,940,908,441,945,465
LINC00314,0,0,0,0,0,0,0
MCMDC2,66,95,87,138,14,99,38
TUBAL3,7,14,10,5,4,0,1
RPL10P16,18,8,2,2,0,4,0
P4HTM,1720,1669,2436,3163,2024,3016,1387
UCN3,0,0,0,0,0,0,0
DTX3,252,175,208,1125,351,796,670
KLHL11,183,158,157,238,198,202,260
AMBN,0,0,0,1,0,0,0
CTXN1,1044,1014,1061,422,744,1048,751
SLC25A20,1014,1438,1088,1487,932,1297,619
CA8,0,0,0,13,1,6,10
CD28,0,0,0,1,0,0,1
EPM2AIP1,1674,1863,1600,2457,2162,2832,796
ERBB4,9,18,57,0,0,0,57
MAF,13,12,9,612,64,567,6
CTNNBIP1,753,765,751,533,697,1047,714
OR6B3,0,0,0,0,0,0,0
DEFB125,0,0,0,0,0,0,0
PSAPL1,1,0,0,3,3,1,0
OTOS,0,1,1,0,0,0,0
GTPBP6,2110,2144,2273,1924,1312,2345,1108
ERN1,1737,2628,3107,1985,753,1465,1750
GPR35,74,77,91,307,0,38,9
C10orf53,0,0,1,0,0,0,0
CSRNP3,0,2,11,4,0,10,0
ZNF713,68,114,80,188,72,124,49
PARP10,992,1169,1502,2348,656,1586,880
DYNAP,3,2,6,8,0,0,0
SUZ12,4622,4943,3891,7791,4585,7130,4448
NSUN3,805,1084,916,1190,707,875,444
KCTD12,466,635,503,280,1337,1624,468
DHFR2,535,748,639,890,479,701,204
RPS16P1,0,0,1,0,1,0,2
RPP25,3550,3659,2996,2898,3131,3416,3327
GRINA,8093,8473,9401,12886,6230,11145,6654
C5orf64,4,6,5,4,0,9,10
GLULP4,0,0,0,0,0,0,0
THBD,280,337,310,298,135,599,174
GP5,1,0,0,6,0,2,0
LMO7DN,5,2,3,0,2,0,0
COX5A,7607,8939,7569,6571,6877,8948,5659
STX19,3,7,1,13,4,3,0
ERFE,63,67,102,107,64,36,49
FAM219B,1192,1548,1596,1047,1234,1489,1081
ZHX2,279,291,402,465,448,441,372
CPN2,1,1,5,15,1,11,0
CPNE7,3357,2789,3190,4197,2872,3646,3713
C5orf46,0,0,0,0,1,0,0
CD300LB,2,0,0,5,0,0,0
GDPD4,0,0,7,1,0,0,1
RIIAD1,5,5,3,9,0,0,0
MPI,1948,2304,2314,2572,1797,2358,1906
ADORA2A-AS1,10,9,11,15,0,0,3
H1-8,0,0,0,0,0,0,0
TRIM73,85,28,36,35,34,58,16
OPLAH,261,363,619,610,163,550,393
TMEM52,43,39,29,62,27,35,67
TMEM139,923,874,781,1409,45,311,32
RNF186,0,0,1,6,0,0,0
LOC100286922,0,0,0,0,0,0,0
EFCAB13,38,61,60,130,8,95,16
MSC,1771,2239,3127,327,2894,4257,874
APOLD1,368,518,490,649,685,1007,489
RFLNA,0,2,0,0,0,17,0
EXOSC4,1432,1453,1313,1062,1382,1318,1378
DPY19L3,1936,1821,2562,1955,1188,1454,1544
TAF7,8849,10140,8766,10407,8681,12732,5161
FOXE1,1,0,1,22,108,1,0
PFAS,4659,6118,6435,5228,5301,6683,4710
HYI,1527,1491,1432,875,1178,1172,1004
CYBC1,2486,2389,2492,3681,2138,3693,2010
TPRX1,0,0,0,0,0,0,3
LGALS7,0,0,0,0,0,0,0
ZNF552,448,551,536,495,367,527,303
SMIM10L2A,5,12,7,22,0,8,3
GAK,4396,4487,4811,4677,5098,6168,3434
ZBTB7A,2314,2085,2094,2240,2692,3159,2030
TUFM,18417,19920,19139,19033,11769,19344,17480
ERICH3,0,2,3,5,0,3,4
RMI1,1532,1784,1394,2595,1994,2509,1395
CTC1,968,1790,1545,1820,941,1460,1122
FBXO34,1652,2049,1872,2628,2376,2870,1589
LINC00324,15,12,27,30,20,34,16
SELENOW,3263,3461,3368,2694,2648,5409,2738
MRFAP1L1,2564,2990,2529,3900,2481,3825,1376
SNX18,3578,3281,3181,2685,2755,4042,1322
EXD1,29,31,56,30,27,51,30
AURKB,4053,4105,3623,3555,4540,5116,4025
TAS1R2,0,0,0,0,0,0,0
C14orf39,1,0,0,1,0,0,0
MRFAP1,14532,16807,13766,15953,15273,16953,7864
C3orf38,1141,1372,1152,1711,1427,1885,1021
