gene_name,A375_Control_1,A375_Control_2,A375_Control_3,A375_POLK_1,A375_POLK_2,A375_POLK_3
TTLL11,197,300,277,315,249,265
EIF4E1B,0,0,0,0,0,0
TOMM5,6976,8920,7916,8460,6678,7097
ZBTB44-DT,1,2,2,0,3,1
LINC02694,0,0,0,0,0,0
SLC35E3,864,977,1419,1776,1537,1410
ZNF169,105,111,104,118,97,94
RUVBL1,7292,9116,8083,9925,7965,8015
SFN,13,30,14,56,48,34
OR52B3P,0,0,0,0,0,0
MSRA,319,394,347,422,358,338
CBLL2,0,0,0,0,0,0
CCDC168,11,4,13,8,3,8
CTDNEP1,5977,7344,6101,8554,6800,7005
ETV4,7359,9357,8391,11859,9661,9773
SWI5,502,648,591,870,719,764
GAPT,0,0,0,0,0,0
BAIAP2,1223,1314,1346,2043,1472,1608
CALCB,0,0,1,0,0,0
CREG2,4,0,2,3,1,3
TMEM270,0,0,2,1,5,5
HOXD8,244,289,240,249,235,237
RPL7AP66,4,5,4,1,2,1
ZDHHC21,802,1400,1194,1601,1110,983
TSPEAR,6,14,6,10,4,2
PLEKHF2,477,586,488,630,516,516
A2M,619,950,1280,645,914,828
ARL4D,700,924,848,1243,1052,1218
DOK7,13,19,42,49,14,16
LRRN1,3,0,0,0,2,1
UBE2O,3747,4481,3971,4524,3553,3767
ORAI3,444,499,504,657,625,652
KLHL38,0,0,0,1,1,0
LINC02880,0,0,0,0,0,0
UNC119B,2103,2426,1978,3764,3127,3256
DENND2C,47,55,42,35,40,47
PLEKHD1,7,7,7,2,6,3
ASCL3,0,0,0,0,0,0
TUBB6,5946,7367,6511,6396,5144,4937
LYSMD3,758,1074,1048,1099,911,923
AMIGO3,70,14,17,57,8,6
B3GALT6,2171,2588,2158,2905,2324,2569
ZNF613,102,143,65,112,114,135
C11orf16,1,1,5,1,4,2
TMPRSS7,1,0,0,3,0,2
NUPR1,36,25,8,118,78,45
JAKMIP2,281,364,323,344,251,293
RPL23P2,1,2,6,4,0,4
MBLAC2,564,770,650,847,693,684
TPRN,991,1181,999,1147,956,1139
KCNE5,11,8,15,21,15,19
ZNF683,0,0,0,0,0,0
SLC35A4,5127,6838,6077,6030,4767,4932
CRYBG2,1,3,23,3,4,30
IP6K1,3626,4812,4329,4791,3768,3803
SSNA1,2822,3772,3271,4222,3541,3549
CSTF3,2468,3040,2904,3208,2232,2661
YES1,3656,3907,3645,3661,2936,3223
CHMP6,1094,1358,1280,1652,1293,1368
DLEU1,662,749,819,1102,691,854
UFSP1,127,152,149,164,157,155
MC5R,0,0,0,0,0,0
TMEM39A,1273,1532,1462,1476,1340,1477
TCP11L1,881,935,736,1085,939,934
GPX2,3,1,4,6,9,7
CCDC57,840,1012,925,786,806,682
HSF5,0,0,0,1,0,0
FOXG1,16,34,20,11,10,12
SPHK1,533,615,553,816,604,671
BNIP3,2914,3967,3413,4210,3301,3430
ENTHD1,0,0,0,0,0,2
MYPOP,822,1058,899,985,751,809
CIDEA,0,0,0,0,0,0
OR11H4,0,0,0,0,0,0
OR4D11,0,0,0,0,0,0
LRRTM4,47,80,68,50,50,58
ATAD5,916,1107,1082,1345,1017,1138
SMIM19,264,387,349,356,295,300
OR11H6,0,0,0,0,0,0
ZNF404,31,16,18,22,7,24
RTTN,370,420,485,568,419,483
OR4K17,0,0,0,0,0,0
OR10H4,0,0,0,0,0,0
RPP38-DT,14,20,19,16,9,16
OR51B6,0,0,0,0,0,1
ACBD7,67,82,81,123,71,101
OR4L1,0,0,0,0,0,0
ANAPC2,1794,2026,1906,2028,1764,1794
OR4K13,0,0,0,0,0,0
HMGB4,0,0,0,0,0,0
ZBTB8OS,830,1040,931,1162,907,857
OR4F21,0,0,0,0,0,0
SLC35G1,743,913,796,956,751,809
OR4K5,0,0,0,0,0,0
OR4K3,0,0,0,0,0,0
ZNF135,4,0,2,13,3,5
OR4N2,0,0,0,0,0,0
OR4M1,0,0,0,0,0,0
OR4H12P,0,0,0,0,0,0
FOXN3P1,0,0,0,0,0,0
COX8A,6899,9156,8027,10046,8537,8776
TAC4,2,0,0,1,1,2
ZSCAN2,278,409,398,515,407,384
PRR18,0,2,0,0,0,2
B3GNT4,31,40,40,37,38,36
CDC26,1258,1466,1401,1823,1486,1424
HSD11B2,25,60,57,41,47,30
CRLF3,1399,1990,1656,2138,1603,1582
RNPEP,6692,8484,7050,8752,7413,7709
EID2,1192,1369,1017,1353,1162,1415
DMRTA1,402,440,431,425,318,348
EID2B,268,290,169,236,161,220
GJC3,6,3,4,11,1,13
RIMS2,67,53,84,91,51,68
KCMF1,2628,3329,2957,2929,2524,2825
DNAJC30,552,709,644,833,683,722
SPRYD4,335,485,453,929,750,794
VPS37D,150,193,153,136,170,170
CLEC14A,0,0,0,0,0,0
SYNE3,783,939,830,1131,841,957
LPCAT4,1383,1645,1532,2261,1850,2135
SLCO3A1,1025,1380,1079,1084,834,938
ZNF575,63,127,96,94,92,84
WDR25,320,363,318,460,415,359
SGF29,409,520,390,495,365,411
PLAAT3,742,936,811,1497,1306,1238
DIRAS1,933,999,1018,973,653,852
OR5AN1,0,0,0,0,0,0
OR10AC1,0,0,0,0,0,0
PHLDB3,533,716,621,997,718,746
PRR15,1,10,10,9,10,9
GNG7,516,635,551,639,580,639
OR4C5,0,0,0,0,0,0
USF3,919,1259,946,1441,1060,1240
OR4C3,0,0,0,0,0,0
OR4S1,0,0,0,0,0,0
CNTD1,51,43,27,63,34,39
DCAF4L2,1,2,1,3,2,1
OR4X1,0,0,0,0,0,0
CNBD1,0,0,1,0,0,0
DMBT1L1,5,6,3,15,7,6
LOC100128398,22,39,39,39,27,34
KBTBD11,9,15,13,14,12,23
B3GNT5,1129,1351,1195,1135,1035,957
MAP3K19,0,0,0,0,0,0
C14orf177,0,0,0,0,0,0
LMNB2,13007,16370,13426,15318,13482,14404
RMDN1,1880,2461,2168,3047,2330,2402
MEX3C,2379,2987,2511,3453,2591,2773
HORMAD2,0,0,0,0,1,0
RNF152,91,95,60,70,64,78
MYO1D,389,656,331,624,589,668
C20orf197,0,0,0,1,0,2
FOXL1,62,33,52,17,20,22
TGIF2LY,0,0,0,0,0,0
LRRC37A,0,3,2,3,4,0
FOXC2,268,360,278,156,132,165
OR4F17,0,0,0,0,0,0
BDNF,95,150,120,139,121,125
CCDC121,108,155,143,168,136,148
ACSF3,952,1198,1060,1509,1322,1347
BOK,473,514,464,632,562,568
ZNF843,7,16,19,13,18,13
TTTY14,2,0,0,0,0,0
RBIS,1062,1262,1065,1609,1282,1315
PFN4,47,49,54,43,33,48
OR51V1,0,0,0,0,0,0
MAGEB6,1,0,3,47,34,43
OR52Z1,0,0,0,0,0,0
CDK5R1,640,807,692,801,706,717
C15orf56,50,49,39,79,37,48
LINC00303,1,0,0,0,0,0
TCERG1L,0,0,1,6,3,1
NCKAP5,579,688,674,438,353,498
MAGEB18,0,0,0,4,3,3
RUFY1,1399,1721,1617,1525,1413,1471
OR52E2,0,0,0,0,0,0
BASP1,5,14,9,10,8,13
OR51L1,0,0,0,0,0,0
LRRC37A3,42,110,67,50,72,96
FKBP9P1,21,42,30,25,16,23
VSIG10,565,739,548,1070,881,1024
MIR7-3HG,0,0,0,0,0,0
IRX5,544,682,532,338,267,338
METRNL,618,817,691,870,734,772
FAM91A1,4768,5859,5270,6136,5182,5179
KRT18P28,0,0,0,0,0,0
WSB2,2888,3325,3040,5250,4316,4423
GRIN1,0,10,10,14,10,8
SOX11,10447,12859,11291,7141,5735,6250
TYMS,9462,11971,9824,12383,9933,10361
OR51G2,0,0,0,0,0,0
PXMP2,606,874,685,1040,912,952
OR51A7,0,0,0,0,0,0
TCEANC,18,43,43,68,46,62
OR51T1,0,0,0,0,0,0
PNMA1,1283,1634,1421,1803,1517,1564
OR51H1,0,0,0,0,0,0
TCIM,0,0,2,0,2,0
MAMSTR,38,30,44,42,48,41
TYMSOS,72,88,73,98,86,87
ANKLE2,2063,2336,2102,3899,3070,3272
C8G,5,2,0,0,2,2
FUT2,8,23,9,43,51,7
OR51S1,0,0,0,0,0,0
OR51F2,0,0,0,0,0,0
EFCAB5,5,7,3,5,3,10
GCNT4,5,0,7,1,1,2
MUC20,7,0,1,4,2,6
THAP4,2161,2641,2402,2942,2379,2652
OR51N1P,0,0,0,0,0,0
NFATC2IP,2740,2882,2541,3205,3179,3127
LY6H,0,0,0,0,0,0
FIBIN,0,0,0,0,0,0
FAM89B,2094,2527,1823,2323,1995,2696
SHMT1,4013,5283,4918,6567,5183,5242
DPP7,2828,3263,2982,3840,3362,3459
TRIM60,0,0,0,0,0,0
LOC107984399,0,0,0,0,4,0
SEC24C,5954,7604,6680,8324,6843,6800
FMR1NB,0,0,2,1,0,0
SMCR8,2781,3453,3110,4064,3283,3223
MTHFR,845,1089,1134,1311,1013,1059
C19orf18,0,0,1,0,0,0
DEAF1,1072,1222,1211,1357,1070,1219
MTX3,1497,1729,1520,2055,1704,1777
TMEM80,346,414,378,345,358,375
SIX5,1369,1761,1416,1950,1774,1882
IFNW1,0,0,0,0,0,0
FBXO46,769,1064,769,1334,1099,1187
ZDHHC13,455,563,409,663,530,532
SLC38A9,771,843,765,1211,946,1041
ACER2,52,81,82,100,70,81
WDR73,1509,2065,1766,2400,1915,1803
POLE,2971,2885,2952,5778,4741,4635
PHETA2,2,12,5,1,6,1
SCN4B,29,17,10,5,3,1
DSCAML1,0,0,0,0,0,1
RHOG,1081,1441,1207,1704,1294,1337
EPS8L2,80,95,71,270,212,222
ZDHHC22,1,1,1,0,8,0
IRAG1-AS1,1,1,0,3,1,0
ANO6,3441,4452,3796,4204,3467,3412
ZBTB34,596,800,703,802,650,610
PRDM16-DT,0,0,0,0,0,0
FAM9B,4,10,3,6,13,16
CETN1,0,0,0,0,0,0
NUDT4B,221,274,229,432,349,343
FAM210A,1166,1240,1231,1396,1071,1132
OR2T35,0,0,0,0,0,0
TALDO1,4637,5566,4922,6381,5392,5275
ULK1,1348,1513,1265,2270,1855,1998
OR14C36,0,0,0,0,0,0
RIMKLA,144,211,118,12,9,6
CLVS1,23,3,2,7,1,6
OR2M7,0,0,0,0,0,0
RPS6KA3,12158,16146,14548,15907,13220,13495
B3GNT8,2,4,1,3,2,4
PUS1,1229,1536,1364,2733,2254,2274
CHD9,2959,3358,3416,3410,2927,2539
OR2T12,0,0,0,0,0,0
SPACA4,1,2,0,2,0,0
OR2T33,4,5,6,6,9,3
GATD1,1626,1877,1558,1206,1176,1442
LINC01561,2,3,0,2,3,3
TRIM72,41,30,32,31,22,32
MAN1B1,2783,3381,3013,3921,3246,3534
DEFB103B,0,0,1,0,0,0
DEFB4A,0,0,0,0,0,0
KCNA3,0,0,0,0,0,0
OR2AJ1,0,0,0,0,0,0
FZD8,1733,2222,1734,2084,1652,1757
GJD4,2,0,1,2,2,0
FBXO39,0,0,0,0,0,0
CLDN22,0,0,0,0,0,0
KCNA2,119,104,101,23,42,43
TOP3A,2571,3437,3167,4252,3110,3330
CASKIN2,1295,1734,1500,1642,1281,1355
OR7E125P,0,0,0,0,0,0
ZBTB38,4977,6115,5688,9033,7466,7324
BEND2,0,0,0,0,0,1
C8orf31,26,82,41,33,38,43
FLJ13224,15,13,17,19,6,8
RPL13AP3,0,0,0,0,0,0
CCDC71,1608,1930,1775,2559,2054,2164
C10orf71,0,0,0,0,0,0
OVOS2,1,11,12,9,6,1
LRRN4CL,8,6,8,6,3,8
FLJ40194,2,1,1,0,2,0
HIC1,48,63,88,55,83,51
PPFIA3,883,1219,1208,1308,1005,993
MAGEF1,4040,5111,4806,3644,2982,3236
UMODL1,0,0,0,1,0,1
OR7E8P,0,0,0,0,0,0
NINJ2-AS1,0,0,1,0,2,1
SAMD9L,259,274,245,364,384,274
ZFAS1,2898,3763,3377,5144,4259,4498
UBE2U,0,0,0,0,0,0
PAWR,998,1180,1078,2171,2175,2118
TGIF1,1186,1631,1445,1626,1355,1426
MIEF2,313,389,404,396,405,302
NAP1L5,0,0,0,8,2,1
RPL19P3,0,0,0,0,0,0
NIM1K,87,83,70,208,170,172
CD19,0,0,0,2,0,0
ERICH5,0,0,0,0,0,0
OR2T8,2,3,2,12,6,6
NR2C2,2319,2758,1986,2592,2213,2450
GPR4,0,2,1,0,0,2
ACOT4,2,0,0,0,0,0
OLIG3,0,0,0,0,0,0
CAVIN1,13993,17623,15294,20195,16633,16941
OR2G3,0,0,0,0,0,0
ARIH2,5596,7326,6456,7982,6597,6582
RBM44,7,8,5,9,2,4
ZBTB33,1282,1459,1360,1740,1379,1411
OR2G2,0,0,0,0,0,0
ZBED2,2,4,3,3,2,3
VCX2,71,76,68,168,154,119
IRX3,1188,1438,1243,1102,964,1065
ST8SIA3,0,0,3,0,0,0
RPRM,3,2,2,1,3,10
OR2B11,0,0,1,0,1,0
SLC25A22,2560,3430,2809,4669,3961,3772
RABEP2,810,1217,928,1267,1097,1225
NHLH2,19,17,12,15,6,10
C1orf167-AS1,0,0,0,0,0,0
ATOX1,2154,2639,2420,3889,3249,3215
FAM187B,0,0,0,0,0,0
TBL1XR1,3195,4012,3049,3157,3310,2653
SAMD12,155,137,97,139,73,102
CD163,0,0,0,0,0,0
C18orf32,552,615,525,736,717,615
OR7E149P,0,0,0,0,0,0
GIMAP3P,0,0,0,0,0,0
PIDD1,1016,1141,894,1363,1110,1198
LOC100288208,0,0,0,0,0,0
ZNF491,19,26,57,34,48,37
RPLP2,19364,24728,22629,30682,24904,25688
HASPIN,969,1168,1006,1357,1073,1102
JUN,650,854,742,717,517,554
CSTF2T,1617,2047,1894,2408,1940,1898
PGBD5,42,37,34,7,14,10
C12orf54,0,0,0,0,0,0
GBA,2515,3120,2951,3666,3014,3036
CASC2,77,82,99,153,114,136
ACAD9,1941,2274,1966,2523,2084,1981
IL17RA,603,830,864,1039,727,817
PNPLA2,3908,4991,4432,5815,4765,5234
MBOAT4,2,3,1,0,0,1
TEX44,0,0,0,0,0,0
AGTRAP,1194,1638,1389,1896,1653,1640
CD163L1,6,26,74,19,53,35
SRRM3,499,596,515,648,608,594
THAP5,1310,1716,1587,1930,1453,1476
DEFB114,0,0,0,0,0,0
CRACR2B,7,14,11,18,8,8
SUMO4,3,2,0,1,1,2
MAGEB10,0,0,4,5,2,1
OR4F4,0,0,0,0,0,0
NAALADL2,10,6,8,13,8,15
CD151,6646,8416,7474,9667,8091,8306
LOC100129540,1,1,2,3,0,1
POLR2L,3018,3841,3275,3978,3158,3515
FAM20C,2121,2942,2375,4172,3510,4079
NECTIN3,1072,1350,1182,1380,1086,1096
SLC35G5,0,0,2,3,0,2
ANXA2R,64,44,74,73,53,68
TMEM94,2436,3625,2905,3598,3008,2686
FLII,7374,9465,7598,9999,7605,9284
SOX12,1600,1937,1522,3400,2845,3370
HNRNPA0,17521,22066,20084,21678,17332,17646
FXNP2,0,0,0,0,0,0
LOC648987,201,259,265,256,195,221
YIPF7,1,3,0,1,3,0
FAM87B,9,10,6,13,17,12
LOC105373159,23,28,27,31,33,29
MYOZ1,1,3,6,9,3,0
KCNJ10,22,27,56,38,48,25
CHID1,2802,3487,2949,3886,3158,3324
PCDHB9,152,188,212,244,234,283
ZNF620,39,63,54,110,58,116
ZNF518A,580,849,575,697,499,675
TMEM187,109,106,103,112,94,144
SVBP,318,370,357,363,263,306
ZNF619,164,139,92,172,228,266
CCDC184,120,177,149,235,202,214
AP3S1,2271,2775,2316,3151,2253,2634
GRB2,6907,8878,8087,8436,6899,7228
ZBTB41,992,1238,1098,1132,892,949
UBE2N,5760,7274,6387,11285,8840,9177
SPATA31C2,116,160,147,206,195,167
ARL6IP6,1140,1571,1388,1344,1112,1045
ZNF354C,288,312,274,546,414,429
CAPZA3,0,0,0,0,0,0
MAMDC4,129,90,109,143,102,105
CENPBD1,687,867,784,881,720,795
ODF3,0,0,0,0,0,0
BET1L,1615,2183,1874,2575,2143,2366
RPS27,27378,34521,30962,38504,31371,33088
RIC8A,3287,3991,3822,5228,4226,4345
IMP3,3341,4045,3611,4511,3572,3539
ASB8,652,658,689,1383,1486,1153
LCN15,3,0,1,1,0,0
ODF3B,8,18,8,22,7,18
DPY19L2,133,117,125,173,149,174
SPATA31E1,0,0,0,1,0,0
ZNRF3-AS1,6,17,11,12,9,17
C2orf73,0,1,0,0,0,0
GPR150,0,0,0,0,0,0
TSPYL6,0,0,0,0,0,0
LRRC75B,47,62,42,69,54,51
DMAP1,763,1022,931,1289,1069,1167
ADAMTSL1,49,19,26,31,51,33
CALHM5,3,8,5,31,26,16
IMPDH2,14236,18334,16003,22470,18357,19189
ALS2CL,32,22,23,28,50,33
MLF1,900,1054,957,1213,1064,1171
PRSS42P,0,1,0,0,0,1
NDUFAF3,2233,3008,2588,4163,3555,3782
C2orf69,560,666,622,755,611,602
GRAMD1C,73,113,144,77,119,95
STAP2,146,177,153,286,233,280
HTR3C,0,0,0,0,0,0
TSSK6,90,135,97,126,147,145
BOLA1,83,96,76,102,82,86
PDE4DIP,982,1228,1127,2107,1930,1773
DDX10,1590,2230,2001,2481,2106,2147
GOLGA8Q,2,0,0,1,0,0
PPP1R42,1,0,5,5,0,1
NDUFV2,3272,4100,3563,4580,3707,3806
FAM27E5,2,0,0,8,5,2
DALRD3,1070,1391,1143,2149,1756,1942
ZNF114,5,15,14,18,22,11
ZNF518B,1834,2374,2139,2191,2082,1920
AMER3,0,0,0,0,0,0
SPINK6,0,0,0,0,0,1
ZNF366,1,0,0,1,1,1
LCORL,779,1079,860,686,1029,1188
PARD6G,582,769,586,691,554,640
ZNF454,44,64,50,98,37,44
SH2B1,2241,2811,2389,2773,2274,2348
ZC3H12D,21,23,20,44,27,30
VN1R1,8,16,4,13,4,5
POGLUT3,2343,3001,2540,3551,2602,2595
PLEC,31907,36614,33651,42722,33655,31987
SH2D4B,5,8,10,2,7,2
RNF212,0,0,0,0,0,0
PRSS36,12,12,7,7,16,25
ZNF543,210,273,262,288,236,245
TMEM151B,27,24,31,22,5,29
GALNT11,1140,1402,1294,1541,1332,1312
SLITRK1,224,311,256,344,291,279
C9orf62,0,0,0,0,0,0
WDR6,8243,10085,8997,10147,8927,9557
PRM3,0,0,0,1,0,0
TNP2,0,0,0,0,0,0
SPAG11A,0,0,0,0,0,0
GEN1,762,994,893,926,771,781
TMPRSS9,16,31,28,30,16,8
AQP11,38,48,29,49,38,32
TMEM11,1630,1789,1712,1942,1471,1456
ZNF354B,164,215,194,256,237,279
KCNG2,5,1,5,5,8,8
SHISA3,69,87,66,59,36,53
OR2D3,0,0,0,1,0,0
CALML3,0,0,0,0,0,0
CALML5,3,1,0,0,0,0
ZFAND2A,460,538,481,658,463,532
PLEKHM3,503,698,602,887,680,701
ZNF223,117,141,95,215,149,222
HTR1A,0,0,0,0,0,0
CCDC185,0,0,0,0,0,0
FAM220A,664,866,675,1065,798,755
DNAJC22,734,1154,908,1328,1045,1134
NEUROG2,65,81,61,116,103,95
CEP295NL,24,17,24,13,11,12
BEND3,630,784,606,774,549,565
NT5DC1,889,1168,1044,1107,1016,1122
RPS3AP5,38,24,24,37,37,35
TIMM23B-AGAP6,6,6,3,7,4,3
GLDC,138,180,151,886,879,722
COX14,595,789,727,1588,1262,1410
LINC00314,0,0,0,2,5,1
MCMDC2,12,13,28,19,6,19
TUBAL3,0,1,0,0,1,0
RPL10P16,120,141,106,160,131,154
P4HTM,7,2,4,2,1,3
UCN3,0,0,0,0,0,0
DTX3,699,956,806,1612,1308,1519
KLHL11,317,316,292,343,306,283
AMBN,0,0,0,0,0,0
CTXN1,2517,3229,2398,2060,1800,1935
SLC25A20,861,1062,969,1202,907,971
CA8,27,37,26,17,24,23
CD28,4,4,3,2,1,1
EPM2AIP1,1341,1576,1318,1596,1319,1385
ERBB4,8,72,5,66,6,34
MAF,1098,1344,1165,1950,1527,1939
CTNNBIP1,2893,3595,2950,2878,2458,2766
OR6B3,0,0,0,1,0,0
DEFB125,0,0,0,0,0,0
PSAPL1,1,0,0,0,0,0
OTOS,0,0,0,1,0,1
GTPBP6,2684,3277,2837,3373,2646,2940
ERN1,264,361,434,367,337,355
GPR35,9,9,4,3,9,6
C10orf53,0,0,0,0,0,0
CSRNP3,28,71,69,62,44,71
ZNF713,97,89,68,59,48,81
PARP10,854,833,749,1407,1354,1296
DYNAP,4,9,8,2,8,4
SUZ12,3895,4659,4213,5613,4412,4464
NSUN3,391,609,538,612,548,639
KCTD12,559,587,550,427,333,306
DHFR2,779,927,797,991,761,860
RPS16P1,1,2,1,3,1,1
RPP25,1933,2476,2027,2972,2276,2468
GRINA,6031,7302,6236,7394,5972,6363
C5orf64,1,5,9,1,0,7
GLULP4,0,0,0,0,0,0
THBD,1,0,0,1,2,0
GP5,0,0,0,0,0,0
LMO7DN,1,1,0,0,0,0
COX5A,5019,6575,5653,7045,5721,6298
STX19,1,0,0,1,2,0
ERFE,204,275,257,215,217,232
FAM219B,879,972,874,868,903,840
ZHX2,205,260,238,207,163,173
CPN2,3,3,0,1,0,2
CPNE7,234,172,124,85,54,66
C5orf46,0,0,0,0,0,0
CD300LB,0,0,0,0,0,0
GDPD4,6,14,3,15,9,8
RIIAD1,0,0,0,0,0,1
MPI,2190,2649,2492,3400,2874,3128
ADORA2A-AS1,1,3,2,1,2,0
H1-8,0,0,0,0,0,0
TRIM73,75,92,28,61,67,105
OPLAH,97,107,101,408,332,435
TMEM52,7,8,7,10,3,4
TMEM139,21,17,47,41,36,28
RNF186,0,0,0,0,0,0
LOC100286922,0,0,0,0,0,0
EFCAB13,64,100,100,147,93,90
MSC,326,482,419,567,452,536
APOLD1,192,126,224,216,182,126
RFLNA,4,1,2,0,2,2
EXOSC4,4069,4900,4525,5839,4730,4792
DPY19L3,1247,1430,1227,1330,1512,1195
TAF7,5317,6562,5820,8297,6231,6945
FOXE1,1,1,0,0,0,0
PFAS,5535,7657,6071,7787,5858,6436
HYI,1468,1846,1514,1751,1363,1392
CYBC1,1554,1898,1573,2171,1982,1996
TPRX1,0,0,0,0,0,0
LGALS7,0,0,0,2,5,1
ZNF552,214,301,254,312,242,254
SMIM10L2A,7,9,6,2,1,8
GAK,4515,5788,5180,6613,5359,5365
ZBTB7A,2142,2560,2222,3097,2478,2952
TUFM,19524,23436,21103,27224,22116,22825
ERICH3,6,2,0,2,1,1
RMI1,1033,1342,1056,1403,1004,1121
CTC1,903,1202,723,1436,1182,1451
FBXO34,762,1054,872,1038,777,893
LINC00324,16,21,13,41,17,25
SELENOW,2632,3333,3286,3422,2912,3073
MRFAP1L1,2640,3359,3038,3516,2732,2742
SNX18,1400,1694,1436,1606,1232,1348
EXD1,17,13,16,45,34,25
AURKB,3669,4547,3969,4933,4350,4415
TAS1R2,0,0,2,0,0,0
C14orf39,1,17,16,5,22,15
MRFAP1,21576,26548,23570,22244,18651,19751
C3orf38,1180,1409,1301,1352,1060,1190
KLHDC7A,0,0,0,0,0,0
TMEM107,456,528,498,591,459,533
RRS1,4242,5137,4772,5943,4453,4592
EXOC3L1,25,26,12,23,12,14
TRIML2,2,3,7,28,21,14
OR13D1,0,0,0,0,0,0
IGSF22,1,7,0,1,7,12
C9orf50,5,14,8,11,8,14
ZFP42,1093,1187,1136,1332,1027,1062
CCDC89,0,1,0,3,0,0
TAAR3P,0,0,0,0,0,0
FAM133A,149,183,146,884,665,718
DPM3,1171,1447,1432,1520,1309,1405
C12orf42,0,0,0,0,0,0
CYC1,7743,9684,8509,12115,10134,10446
PER1,1272,2121,1785,1292,1466,1459
HTR1F,0,1,0,0,0,1
TMTC2,1172,1520,1435,3803,3235,3119
HES7,179,295,233,231,230,242
FARSA,18270,24208,22909,28882,23037,23362
SPTY2D1,1619,1783,1972,2168,1727,1643
RPL31P38,7,8,8,10,9,8
C10orf67,0,0,0,0,0,0
SAMD4B,4768,5726,5026,6050,4995,5074
LINC00670,2,0,2,2,3,3
CYP11B2,0,0,0,0,0,0
GIMAP7,0,0,0,0,0,0
ALOXE3,13,22,14,11,7,14
EDC3,3120,3969,3514,4473,3374,3667
TCAIM,789,1049,884,1045,891,952
RPS2P28,0,0,0,1,0,1
FUCA1,652,778,728,962,744,836
PXT1,0,0,0,2,0,0
GGN,42,83,52,63,61,60
OR7E97P,0,0,0,0,0,0
TMEM125,0,0,0,0,1,2
ZNF664,3834,4590,3782,7082,6036,5998
SIGLECL1,0,0,0,0,0,0
CALR,60127,75573,67931,62042,47890,50878
LINC00311,1,3,9,1,4,4
MAGED1,5413,7097,6451,9312,7717,7913
GVQW3,104,131,92,111,102,86
LDLRAD3,1449,1851,1543,1831,1449,1653
CDH4,2,0,5,0,0,0
LOC100128310,0,0,0,0,0,0
SMCO3,1,3,2,1,2,5
RAD23A,11715,14274,12389,17984,14900,15265
PCARE,1,1,0,7,7,1
GADD45GIP1,5422,6787,6213,7603,6578,6434
DAND5,4,9,9,11,7,10
TMEM151A,2,3,1,3,1,0
PTPN11,7894,9581,8849,15291,11590,12537
NSUN7,0,0,1,0,0,1
RTL3,0,0,0,0,1,0
FAM156B,38,7,63,6,31,38
WSCD1,178,256,198,165,168,131
RAB39A,106,143,133,165,103,136
CLK3,2021,2620,2352,3100,2734,2604
HLA-DQB1,2,2,0,1,1,0
GATA2,1231,1489,1317,1546,1211,1252
ARID3B,243,294,263,425,326,328
TMEM31,0,0,1,0,2,0
PACS2,977,1211,1090,1338,1161,1065
OR4K11P,0,0,0,0,0,0
ELMOD2,554,665,610,587,732,573
EGR3,893,1258,967,818,604,737
CATSPERE,2,0,2,12,4,4
GPC5,12,24,22,44,15,11
VWA1,355,336,266,843,666,956
LINC00174,62,107,87,105,65,68
DNAJB8,2,0,0,0,0,0
GEMIN4,3800,4230,3997,4849,3918,3939
IL6-AS1,0,0,0,0,0,0
FJX1,1416,1762,1333,1282,1076,1259
OR13C6P,0,0,0,0,0,0
SLC24A3-AS1,1,1,7,1,1,2
LINC01699,0,0,0,0,0,0
KLHL28,390,427,372,394,295,383
MKRN3,212,256,230,154,150,94
ZBTB18,1053,1316,1207,1230,1042,1121
OR9A2,0,0,0,0,0,0
C14orf28,41,84,72,135,58,92
ALOX12B,17,34,22,17,23,23
SLC17A8,1,0,3,0,3,1
EIF3J-DT,418,523,503,487,399,435
SHARPIN,1046,1410,1189,1697,1459,1395
LBX2,316,475,370,336,305,321
DNHD1,272,357,333,404,413,363
SLITRK4,320,421,409,209,189,214
HTR1D,4,5,3,3,2,3
GCC1,1653,2195,1896,2285,1732,1781
LSMEM2,1,13,5,5,2,3
NBPF17P,0,0,0,0,0,3
RNF151,3,2,2,2,1,2
CIITA,1956,2374,1923,3411,2541,2782
ZFPM1,741,716,519,459,434,581
ALOX15B,12,17,13,27,15,21
PLD6,411,538,416,518,398,410
GPHB5,0,0,0,0,0,0
GRM8,175,185,219,66,39,46
CDC42EP4,2073,2732,2258,3223,2391,2723
DGKZP1,5,1,1,0,0,0
OR2AP1,0,0,0,0,0,0
OR6C4,0,0,0,0,0,0
ZBTB42,311,490,413,445,388,382
LACC1,96,188,131,152,109,111
MAF1,4593,5871,5133,7282,5962,6194
TPPP2,0,0,0,0,0,0
FCER1A,0,0,0,0,0,0
RPRML,10,21,14,14,15,6
ARL14,0,1,0,1,1,0
LINC00305,0,0,0,0,0,0
OR6C2,0,0,0,0,0,1
WDR97,30,52,37,59,32,31
NLRP8,0,0,0,0,0,0
PCED1B,52,53,57,104,84,91
FLJ37453,203,247,244,224,186,212
APOBEC3B,1133,1405,1328,1786,1548,1614
SYCN,0,0,0,0,0,0
PIPOX,6,17,10,1,12,1
ATP8B5P,7,2,3,2,6,12
FOXS1,2,0,0,0,1,0
ATOH7,3,5,7,7,3,6
CDH5,9,20,17,0,2,0
LRRC3B,1,0,0,0,1,0
FAM216B,0,0,0,0,0,0
MRGPRX4,23,28,39,61,54,38
