gene_name,Jurkat_ctrl_repl.1,Jurkat_ctrl_repl.2,Jurkat_ctrl_repl.3,Jurkat_SIX6_KO_repl.1,Jurkat_SIX6_KO_repl.2,Jurkat_SIX6_KO_repl.3
PRR3,0,0,51,36,0,64
LILRB3,25,9,13,40,20,37
DDR1,333,308,515,581,668,536
ACOXL-AS1,0,1,0,0,0,1
LRCOL1,0,0,0,0,1,0
LINC01123,43,56,58,138,122,147
GNL1,2901,3689,3494,6634,5101,4343
DPRX,0,0,0,0,0,0
LINC01257,1,1,2,0,1,0
ZNF468,321,399,489,910,854,656
TRIM15,1,0,0,3,0,0
ZNF616,327,422,522,949,673,543
FOXB2,0,0,0,0,0,0
TRIM10,0,0,0,0,0,0
TRIM40,0,0,0,0,0,0
TRIM31,1,0,0,0,0,0
PPP1R11,2236,2129,2295,3534,3083,2772
HLA-J,11,8,5,6,19,4
ZNRD1ASP,311,320,318,578,550,387
DISP3,100,80,110,232,168,143
HCG9,0,0,0,0,0,0
RACK1,41508,41731,42261,92708,85212,62377
HLA-G,1,1,0,2,3,2
TBC1D8,833,655,988,1400,1290,1076
NMS,0,0,0,0,0,0
HLA-F,440,353,408,616,600,365
SSX9P,0,0,0,0,0,0
LINC02210,9,11,28,33,26,39
ASPDH,14,13,20,47,58,37
MOG,3,0,4,0,0,0
OR2H2,0,0,0,0,0,0
CST9LP2,0,0,0,0,0,0
CBY3,17,29,34,47,17,28
C5orf60,7,0,1,5,0,1
CST13P,0,0,0,0,0,0
LOC400710,0,2,5,10,10,6
C9orf57,0,0,0,2,2,1
IL31,0,1,0,0,0,0
AKT1S1,999,908,967,1158,966,893
FAM153CP,25,13,35,22,21,17
GABBR1,334,159,216,106,179,94
MIR1915HG,162,175,143,100,97,87
LOC284788,0,0,0,0,0,0
MAS1L,0,0,0,0,0,0
OR2H1,0,0,0,0,0,0
OR12D3,0,0,0,0,0,0
OR11A1,0,0,0,1,0,0
UBTFL3,0,0,0,0,0,0
OR2J2,0,0,0,0,0,0
OR2J3,0,0,0,0,0,0
OR2J1,0,0,0,0,0,0
OR2B3,0,0,0,0,0,0
UBTFL5,0,0,0,0,0,0
MAMDC2-AS1,3,3,0,11,11,8
SPDYC,0,0,0,0,1,0
C9orf135,0,0,0,0,0,0
TRIM27,22,17,31,48,20,27
CNN2P12,0,0,0,0,0,0
MALRD1,0,0,0,0,0,0
LINC01951,3,3,4,7,4,1
LOC100268168,31,29,37,73,75,60
RANBP17,0,0,0,0,0,0
INSYN2B,1,3,3,4,3,5
FOXD4L5,1,7,6,2,3,14
LOC728877,0,0,0,0,0,0
LINC01291,0,0,0,0,0,0
LOC102724238,7,17,16,12,20,3
TTC25,43,32,44,50,58,38
MRPL53,949,910,959,1868,1533,1341
ST8SIA6-AS1,1,1,6,5,0,3
ATXN2,1112,1144,1460,2020,2622,1782
DCTN1,6496,6014,6521,10646,9098,7934
SPATA31A1,0,0,0,0,0,0
PNMA8B,47,78,57,241,211,151
TCTN1,254,314,298,373,278,303
FAM216A,1948,1754,1962,2582,1869,1842
ZBTB48,651,484,541,949,959,822
IGFL2,0,0,0,0,0,0
IGFL4,1,1,1,3,8,6
NAT8B,0,0,0,0,0,0
KRTAP9-3,0,0,0,0,0,0
LOC389602,0,0,0,0,0,0
KRTAP4-8,0,0,0,0,0,0
GPR20,1,0,1,2,2,2
KRT25,0,0,0,0,0,0
MZT1,3254,3053,3422,6315,4928,4210
LINC01545,3,11,5,4,3,6
SPINK9,3,2,3,9,9,3
LRRC3C,0,0,0,0,0,0
PRR20A,0,0,0,0,0,0
ZNF155,0,0,6,0,0,0
UQCC3,467,483,538,758,574,515
FBXO48,384,406,398,949,726,504
GRXCR2,0,0,0,0,0,0
LOC101927533,1,2,0,0,0,2
FAM221B,1,1,0,5,0,7
ATP6V0E2-AS1,123,154,119,330,269,209
CD177,0,3,4,0,0,0
PSG5,0,0,0,0,0,0
ZNF783,1041,917,1037,2196,1905,1772
ZNF425,27,34,17,103,176,103
FAM83A-AS1,0,2,0,0,0,0
LRRC10B,370,369,381,270,263,197
FBXO47,0,0,0,0,0,0
C12orf73,662,597,599,979,828,765
PCDHGA1,0,0,0,5,1,4
BLACE,15,12,49,6,10,7
PCDHA9,3,7,10,22,21,8
PCDHA8,4,0,0,4,9,6
PCDHA7,0,0,0,0,0,2
PCDHA5,3,0,0,0,3,7
PCDHA4,47,55,63,91,62,47
PCDHA2,0,0,0,1,0,3
PCDHA1,0,0,0,3,1,3
TRIM13,2045,1918,2170,3103,2696,2071
ERICH4,0,0,0,1,0,0
MS4A13,0,0,0,0,0,0
PRSS3P4,0,0,0,0,0,0
PRSS1,2,1,0,0,0,1
OR4D8P,0,0,0,0,0,0
SPIRE2,75,47,73,98,129,87
CRTC1P1,0,0,0,0,0,0
AARD,110,91,97,362,301,229
LINC02138,1,0,0,0,0,0
LOC100129697,69,34,58,54,60,62
PABPN1L,0,1,3,1,1,1
OR5D16,0,0,0,0,0,0
OR5L2,0,0,0,0,0,0
LOC440040,0,0,0,0,0,0
LOC400553,40,21,36,41,16,9
PKHD1L1,0,5,0,0,0,0
SLFN12L,2,9,1,3,3,2
LINC01121,8,10,25,28,1,2
CLLU1-AS1,0,0,0,0,0,0
SLC35B4,2642,2418,2652,3535,2623,2241
LGALS7,0,0,0,0,0,0
SYCE1L,15,32,40,81,61,39
TMEM231,962,580,782,1657,1126,1091
FAM71F2,1,0,0,0,0,0
C2orf91,12,9,3,6,2,1
CCNI2,690,722,798,866,601,530
TMEM240,18,17,21,43,31,17
LINC02716,1,0,0,0,1,0
FAM205A,0,0,0,0,4,2
CDKL4,4,3,7,6,25,17
TMEM88B,9,9,9,2,13,2
ACCSL,0,0,0,0,0,1
C4orf47,11,2,6,16,10,13
TRIQK,530,738,538,963,782,612
SDHAF1,542,582,500,1123,902,690
ARID3C,7,6,11,11,13,12
PSENEN,1114,1190,1042,1272,1074,860
C7orf66,0,0,0,0,0,0
C11orf91,0,0,0,0,2,2
LINC00654,1,2,6,6,5,4
SLC10A5P1,0,0,0,0,0,0
FABP9,0,0,0,0,0,0
ZBTB10,1005,916,1117,2124,1884,1287
C4orf46,2381,2157,2772,3644,2894,2600
SCGB2B2,3,11,2,6,7,7
CCDC144NL,5,0,0,0,0,0
LGR4,3,5,5,18,12,11
PSMB10,2163,1970,2270,2174,1757,1518
VIT,0,0,0,0,0,0
TTLL10-AS1,2,3,0,4,5,0
SPDYE2,13,32,28,43,32,55
OR7E36P,0,1,0,0,0,0
E2F4,3554,3465,3629,5643,4385,4389
DGAT2L7P,0,0,0,0,0,0
PDE7A,3973,3441,3735,10288,9149,5965
TMEM170B,1408,1326,1579,2454,2415,1780
TRBV20OR9-2,2,1,0,0,0,1
MUC12,18,12,3,34,23,14
CTXN3,3,1,3,1,4,1
LINC01602,0,0,4,6,1,1
MGAT4D,1,0,0,0,0,1
SNX2,2242,2197,2370,3036,2466,2066
SAP25,38,39,44,75,69,29
NT5M,290,325,326,909,847,548
GCNT2P1,0,0,0,0,0,0
SARNP,2909,2914,3298,3510,2774,2486
OR6C68,0,0,0,0,0,0
OR6C65,0,0,0,0,0,0
OR6C3,0,0,0,0,0,0
OR6C1,0,0,0,0,0,0
OR6C72P,0,0,0,0,0,0
LINC01460,15,9,12,19,10,11
ADGRG1,167,136,228,259,191,144
IPO7,6585,5591,6448,6567,5705,5157
PRR13,4074,4008,4456,6101,4871,4579
TECPR1,1433,1324,1172,2794,3580,2294
MT1H,0,0,0,0,0,0
SLCO6A1,0,0,0,0,0,0
MT1A,0,0,0,0,0,0
INSYN1,0,0,2,1,1,0
MT1M,0,0,0,0,0,1
LINC00661,0,0,0,0,0,0
CFI,0,1,0,4,2,4
OR52E6,0,0,0,0,0,0
SAMD9,1335,1168,1476,1865,1787,1346
KRT6A,0,0,0,1,0,0
CNEP1R1,634,539,660,1168,1095,673
KRT81,7,6,7,1,2,1
EXOC3L4,2,1,1,2,0,0
KRTAP12-3,0,0,0,0,0,0
IZUMO3,0,0,0,0,0,0
KU-MEL-3,0,0,0,0,0,0
KRTAP10-2,0,0,0,0,1,0
TP53TG3D,0,0,0,0,0,0
TP53TG3C,0,0,0,0,0,0
ATP6AP1L,255,207,211,588,448,255
CCDC85C,1958,1801,2209,2981,2287,2124
LOC100133091,157,123,116,357,283,217
OR52J3,0,0,0,0,0,0
OR51A2,0,0,0,0,0,0
OR51A4,0,0,0,0,0,0
MAPRE3-AS1,12,17,30,32,23,12
C2CD4B,3,3,2,7,8,4
RGL3,0,0,0,0,0,0
NAP1L4,3736,3318,3769,6282,4597,4045
TMSB4X,51493,48932,53839,87914,78763,64960
TMEM256,475,437,394,963,766,606
C9orf92,0,0,0,0,0,1
CHKB-DT,22,21,18,42,30,18
CPT1B,877,819,917,1704,1522,1253
SMN1,8,7,30,13,50,118
SERF1A,0,0,0,0,0,0
HMGN1,17688,18995,19291,23552,19075,16650
MUC19,0,15,6,16,0,16
DENND6B,118,161,162,90,105,46
EIF3CL,76,67,99,33,51,56
LOC107985433,11,4,7,20,13,11
LINC01446,0,0,0,0,0,0
LCMT1,1103,1119,1346,2075,1909,1512
LINC01310,0,0,0,0,0,0
LINC00898,0,0,0,0,0,0
LINC00583,0,0,0,0,0,0
MFSD2B,23,18,16,17,15,12
VCX3B,0,1,0,0,0,0
CDPF1,368,252,319,650,531,381
RPS2P23,0,0,0,0,0,0
LIN52,1092,954,1063,1421,1030,920
ARSH,0,0,0,0,0,0
ACOT6,1,0,0,0,0,0
SMIM11A,892,872,866,666,760,449
TECRL,0,0,0,0,0,0
DPF3,425,626,586,3226,2851,1999
MANSC4,0,0,0,0,1,0
LOC100129554,0,0,0,0,0,0
ADARB2-AS1,0,0,0,0,0,0
CYP2D7,0,0,0,1,1,2
LINC00634,35,44,34,61,70,60
ETFRF1,329,303,330,480,414,345
C17orf107,13,10,14,22,8,12
MBD3L4,0,0,0,0,0,0
ITSN1,820,722,978,959,839,761
ITPRIPL2,2,0,0,0,2,1
LOC107984285,26,41,41,84,56,53
DENND1C,1220,1243,1373,3438,3031,2288
PKD1P4,2029,1997,1843,3842,3435,2505
SLCO1B7,0,0,0,0,0,0
CRLF2,2,1,1,2,2,0
CRYZL1,802,762,907,1675,1238,988
RP9P,1,0,4,0,1,0
C5orf51,2302,2434,2552,3356,2939,2557
RPL31P5,0,0,0,0,0,0
CATSPER2P1,62,37,80,170,130,67
GAGE1,2,2,1,0,0,0
ARRDC5,0,0,1,1,2,1
LINC01531,0,0,0,0,0,0
DPP9-AS1,11,11,18,25,13,12
LOC344967,7,0,3,3,7,1
CYS1,0,0,0,0,0,0
PLPP6,194,200,240,667,641,381
KLRC2,0,0,0,0,0,1
KLRC3,0,0,0,0,0,1
C16orf96,0,3,0,3,8,5
GMNC,0,0,0,0,0,0
LINC00487,0,0,0,4,5,1
TTC23L,0,1,2,27,1,0
CLEC6A,0,0,0,0,0,0
OR7E91P,0,0,0,0,0,0
RFPL3S,10,15,19,17,12,44
C22orf42,33,46,50,49,89,75
NANOGNB,0,0,0,0,0,0
LRRC72,0,0,0,0,0,0
PCOTH,2,2,13,6,2,15
C1QTNF9B,40,18,39,83,70,62
FAM99A,0,0,0,0,0,0
RPS3AP47,4,3,5,4,6,4
DEFB134,0,0,0,0,0,0
DEFB135,0,0,0,0,0,0
DEFB136,0,0,0,0,0,0
C1RL-AS1,177,184,127,575,263,408
LOC100128770,0,0,0,6,5,0
OR7E136P,1,0,2,0,0,0
LOC100420864,0,0,0,0,2,3
BHLHA9,0,0,0,0,0,0
ZNF316,1696,1588,1582,3985,3787,2703
SRRM2-AS1,21,11,20,19,19,32
DAZ4,0,0,0,0,0,0
PDPK2P,110,81,84,192,190,196
ONECUT3,1,0,1,0,3,0
CEMP1,89,0,82,69,52,0
OLIG2,0,0,0,0,0,0
C21orf62,0,0,0,1,0,0
PPP1R12BP2,0,0,0,0,0,0
RNPS1,9156,8305,9467,15752,12115,11238
HSP90AB2P,57,62,64,28,21,35
DAZ2,0,0,0,0,0,0
USP17L6P,0,1,0,0,0,0
NYNRIN,138,137,137,118,151,99
DNAJC19,1309,1131,1287,1486,1097,1042
IFITM5,0,0,0,0,0,0
SMIM21,0,0,0,0,0,0
DEFB109B,1,0,0,0,0,0
DEFA7P,0,0,0,0,0,0
C18orf63,0,0,0,0,0,0
DEFA1,0,0,0,0,0,0
DOK6,0,0,1,0,3,2
JPT2,4618,4889,5024,7187,5393,5005
TMEM211,0,0,0,0,0,0
SERPINB11,0,0,0,0,0,0
SERPINB4,0,0,0,0,0,0
SERPINB5,0,0,0,0,0,0
ZDHHC11B,15,35,22,7,15,3
KRTAP19-8,2,0,1,0,0,1
KRTAP20-3,0,0,0,0,0,0
KRTAP20-4,0,0,0,0,0,0
KRTAP22-2,0,0,0,0,0,0
KRTAP27-1,0,0,0,0,0,0
CFAP99,3,1,4,6,5,3
GOLGA8O,8,7,26,5,5,1
LOC642484,0,1,1,1,0,0
TMEM191C,15,52,22,83,96,59
FAM230H,0,3,0,0,0,0
RPL23AP57,0,0,0,0,0,0
HERC2P9,807,653,968,1248,992,916
RNASE13,0,0,0,0,0,0
GYG2P1,0,0,0,0,0,0
HBA1,9,18,11,9,6,2
HBM,0,0,0,0,0,0
HBZP1,0,0,0,0,0,0
ELOA2,1,0,2,1,2,0
LINC02346,0,0,0,0,0,0
ATP10A,62,89,53,0,0,2
DUXAP8,1460,1379,1660,1660,1419,1440
ANKUB1,1,0,0,0,5,1
TSSK2,0,0,0,0,0,0
DAXX,1932,1956,1945,2207,1772,1580
TAPBP,1856,1734,1971,4505,3511,2616
TAP2,0,0,0,0,0,0
HLA-DRB1,0,0,0,0,0,0
TSBP1,0,0,0,0,0,0
PPT2,0,0,0,0,0,0
TNXB,4,0,4,4,2,0
PRR23A,0,0,0,1,0,0
FOXL2NB,7,4,2,1,6,3
NELFE,1982,1769,1948,3062,2168,1893
DAXX,173,119,62,23,123,244
ZBTB22,0,0,0,0,0,0
TAPBP,206,274,212,523,534,470
RGL2,686,459,562,2376,2041,1357
PFDN6,46,0,0,0,0,0
WDR46,243,203,232,52,43,62
B3GALT4,0,0,0,0,0,0
VPS52,0,0,0,0,0,0
RING1,844,993,1084,1518,1345,1191
RXRB,42,0,0,0,63,0
COL11A2,32,0,35,0,50,63
HLA-DPA1,0,0,11,12,1,0
HLA-DOA,0,0,0,0,0,0
TAP2,0,0,0,0,0,0
HLA-DQA1,0,0,0,0,0,0
HLA-DQB1,0,0,0,0,0,0
HLA-DQA1,0,0,0,0,0,0
TSBP1,0,0,0,0,0,0
NOTCH4,2,3,0,2,0,7
PBX2,158,65,137,440,284,162
PRRT1,8,0,2,3,3,3
HCP5,0,0,4,9,9,0
CYP21A2,0,0,0,0,0,0
C4A,60,13,38,52,33,68
STK19,29,34,19,32,28,28
HCG27,30,23,30,31,34,30
DXO,80,74,60,125,83,89
CCHCR1,423,397,408,583,378,325
LOC100652833,0,0,0,0,0,0
ZBTB12,5,0,0,0,0,0
EHMT2,614,426,703,1564,1665,827
SLC44A4,1,0,0,0,0,0
FLOT1,2518,2228,2122,6334,5748,3812
COL6A6,2,0,2,2,5,2
CLIC1,0,0,0,0,0,0
DDAH2,232,329,266,764,935,665
MPIG6B,0,0,0,0,0,0
LY6G6C,0,0,1,0,0,2
LY6G6D,0,0,0,0,0,0
ABHD16A,0,0,0,0,0,0
LY6G5C,3,6,8,18,6,7
CSNK2B,57,89,75,96,85,67
GPANK1,243,181,204,258,256,202
GNL1,224,211,156,568,464,325
RAB12,610,630,651,1201,883,659
LRRC30,0,0,0,0,0,0
TMEM200C,0,0,0,0,0,0
LST1,40,31,33,18,14,10
HLA-C,34,0,0,143,127,103
HLA-V,0,0,0,29,30,19
ATP6V1G2,0,10,16,19,0,14
HLA-F-AS1,0,0,0,0,0,0
PPIAP30,0,0,0,0,0,0
MICB,22,13,0,7,0,0
HLA-B,1829,1564,1877,2924,2425,1607
HLA-C,659,604,790,1668,1362,950
TCF19,1137,911,1079,1685,1411,1083
CCHCR1,179,72,103,55,132,31
PSORS1C1,0,0,0,0,0,0
PSORS1C2,0,0,0,0,0,0
CDSN,0,0,0,0,0,0
C6orf15,0,0,0,0,0,0
MUC21,0,0,0,0,0,0
GABBR1,0,0,0,0,0,0
OR2H2,0,0,0,0,0,0
UBD,0,0,0,0,0,0
VARS2,0,0,0,0,0,0
IER3,220,186,221,307,388,259
MDC1,12,5,13,31,17,18
PPP1R18,27,27,0,0,0,0
DHX16,0,0,0,0,0,0
C6orf136,0,0,0,18,0,0
PPP1R10,2,1,0,0,0,1
GNL1,0,0,0,0,0,0
TRIM39,0,0,0,0,0,0
RNF39,0,0,0,0,0,0
PPP1R11,2,0,0,0,0,0
POLR1H,0,0,0,0,0,0
HLA-A,16834,16188,16634,34374,28999,19734
HCG9,0,0,0,0,0,0
HLA-A,4,5,3,0,6,2
HLA-G,0,0,0,0,0,0
HLA-V,0,0,0,0,0,0
GABBR1,0,0,0,0,0,0
OR2H2,0,0,0,0,0,0
MAS1L,0,0,0,0,0,0
OR2H1,0,0,0,0,0,0
OR2B3,0,0,0,0,0,0
HACD2,3260,2980,3734,4868,3939,3592
CFAP44,208,175,202,304,640,292
CD200R1L,0,0,0,2,0,0
LNP1,41,47,53,124,103,96
OR5K3,0,0,0,0,0,0
VGLL3,11,3,1,3,16,5
KRBOX1-AS1,0,0,0,0,0,0
TRIM71,259,255,264,374,286,225
ZCWPW2,34,25,33,70,85,74
ANKRD28,3825,3698,4077,4676,4024,3514
COLQ,38,24,33,190,125,64
METTL6,620,575,628,934,810,656
THUMPD3-AS1,508,484,610,657,467,390
XKR4,21,10,16,30,23,13
RNU6-1292P,0,0,0,0,0,0
RNVU1-7,0,2,0,0,0,1
RNU6-46P,0,0,0,0,0,0
RNU1-28P,4,5,0,6,7,3
RNU6-132P,0,0,0,0,0,0
RNU6-47P,0,0,0,0,0,0
RNU6-877P,0,0,0,0,0,0
SNORA57,0,0,0,0,0,0
RNU6-1286P,0,0,0,0,0,0
RNU6-841P,0,0,0,0,0,0
RNU6-25P,0,0,0,0,0,0
RNU6-431P,0,0,0,0,0,0
SNORD58A,0,0,0,0,0,0
SNORA22B,0,0,0,1,2,2
RNU6-425P,0,0,0,0,0,0
RNU6-946P,0,0,0,0,0,0
RNU6-1296P,0,0,0,0,0,0
SNORD116-11,0,0,0,0,0,0
SNORA2A,0,0,0,1,0,0
RNU6-1336P,0,0,0,0,0,0
RNU6-477P,0,0,0,0,0,0
RNU6-338P,0,0,0,0,0,0
RNU6-741P,0,0,0,0,0,0
RNY1P5,0,0,0,0,0,0
RNU6-1264P,0,0,0,0,0,0
SNORD45C,0,0,0,0,0,0
SNORD116-14,0,0,0,0,0,0
SNORA69,0,0,0,1,0,0
RNU6-979P,0,0,0,0,0,0
RNU1-39P,0,0,0,0,0,0
RNU6-969P,0,0,0,0,0,0
RNU1-63P,0,0,0,0,0,0
SNORD60,0,0,0,0,0,0
RNU6-657P,0,0,0,0,0,0
SNORA80B,0,0,0,0,0,0
SNORA22,0,1,1,1,0,3
RNU6-1062P,0,0,0,0,0,0
SNORA70H,0,0,0,0,0,0
RNU6-672P,0,0,0,0,0,0
RNU6-449P,0,0,0,0,0,0
RNU6-1279P,0,0,0,0,0,0
SNORA70G,0,0,0,0,0,0
RNU6-608P,0,0,0,0,0,0
RNU6-1039P,0,0,0,0,0,0
RNU6-573P,0,0,0,0,0,0
RNU6-471P,0,0,0,0,0,0
RNU6-945P,0,0,0,0,0,0
RNU6-144P,0,0,0,0,0,0
SNORD21,0,0,0,0,0,0
RNU6-730P,0,0,0,0,0,0
RNU6-157P,0,0,0,0,0,0
RNU6-1189P,0,0,0,0,0,0
RNU6-1036P,0,0,0,0,0,0
RNU1-109P,0,0,0,0,0,0
SNORD116-18,0,0,0,0,0,0
SNORA56,0,0,0,0,0,0
RNU6-442P,0,0,0,0,0,0
RNY1P8,0,0,0,0,0,0
RNU1-73P,0,0,0,0,0,0
RNU6-723P,0,0,0,0,0,0
RNU6-1040P,0,0,0,0,0,0
RNU6-128P,0,0,0,0,0,0
RNU6-1227P,0,0,0,0,0,0
RNU6-1080P,0,0,0,0,0,0
RNU6-147P,0,0,0,0,0,0
RNU6-26P,0,0,0,0,0,0
RNU6-444P,0,0,0,0,0,0
RNU6-133P,0,0,0,0,0,0
RNU6-546P,0,0,0,0,0,0
RNU6-1074P,0,0,0,0,0,0
RNU6-1056P,0,0,0,0,0,0
RNU6-756P,0,0,0,0,0,0
RNU6-1027P,0,0,0,0,0,0
RNU6-259P,0,0,0,0,0,0
RNU6-1126P,0,0,0,0,0,0
RNU6-468P,0,0,0,0,0,0
RNU6-936P,0,0,0,0,0,0
RNU6-641P,0,0,0,0,0,0
RNU6-484P,0,0,0,0,0,0
RNU6-620P,0,0,0,0,0,0
RNU6-643P,0,0,0,0,0,0
RNU6-142P,0,0,0,0,0,0
RNU6-245P,0,0,0,0,0,0
RNU6-1083P,0,0,0,0,0,0
RNU6-1323P,0,0,0,0,0,0
SNORD101,0,0,0,0,0,0
SNORA30,3,0,0,0,0,0
RNU6-317P,0,0,0,0,0,0
SNORA6,0,0,0,0,0,0
RNU6-418P,0,0,0,0,0,0
RNU6-10P,0,0,0,0,0,0
RNU6-152P,0,0,0,0,0,0
RNU6-203P,0,0,0,0,0,0
RNU6-435P,0,0,0,0,0,0
RNU6-949P,0,0,0,0,0,0
RNU6-116P,0,0,0,0,0,0
RNU6-44P,0,0,0,0,0,0
RNU6-211P,0,0,0,0,0,0
SNORD37,0,0,0,0,0,0
RNU6-637P,0,0,0,0,0,0
RNU6-213P,0,0,0,0,0,0
SNORA75B,0,0,0,0,0,0
RNU6-224P,0,0,0,0,0,0
SNORA15B-2,0,1,1,6,0,1
RNU6-701P,0,0,0,0,0,0
RNU6-629P,0,0,0,0,0,0
RNU1-129P,0,0,0,2,0,0
RNU6-811P,0,0,0,0,0,0
SNORA32,0,0,0,0,0,0
RNY3P7,0,0,0,0,0,0
RNU6-639P,0,0,0,0,0,0
RNU6-926P,0,0,0,0,0,0
RNU6-968P,0,0,0,0,0,0
RNU6-1293P,0,0,0,0,0,0
RNU6-815P,0,0,0,0,0,0
SNORA10,0,0,0,0,0,0
RNU6-38P,0,0,0,0,0,0
RNU6-483P,0,0,0,0,0,0
RNU6-849P,0,0,0,0,0,0
RNU6-260P,0,0,0,0,0,0
RNU1-138P,0,0,0,0,0,0
RNU6-974P,0,0,0,0,0,0
RNU6-1032P,0,0,0,0,0,0
RNU6-20P,0,0,0,0,0,0
SNORA1,0,0,0,0,0,0
RNU1-74P,0,0,0,0,0,0
RNU6-1029P,0,0,0,0,0,0
SNORA5A,3,1,3,7,6,7
RNU6-746P,0,0,0,0,0,0
RNU6-413P,0,0,0,0,0,0
RNU6-206P,0,0,0,0,0,0
RNU6-209P,0,0,0,0,0,0
RNU6-890P,0,0,0,0,0,0
RNU6-895P,0,0,0,0,0,0
RNU6-571P,0,0,0,0,0,0
RNU6-214P,0,0,0,0,0,0
RNU6-767P,0,0,0,0,0,0
RNU5A-6P,0,0,0,0,0,0
RNU6-207P,0,0,0,0,0,0
RNU6-187P,0,0,0,0,0,0
RNU6-356P,0,0,0,0,0,0
SNORA70F,0,0,0,3,1,0
RNU6-398P,0,0,0,0,0,0
RNU6-533P,0,0,0,0,0,0
RNU6-761P,0,0,0,0,0,0
RNU6-1103P,0,0,0,0,0,0
RNU6-1310P,0,0,0,0,0,0
RNU6-190P,0,0,0,0,0,0
RNA5SP87,0,0,0,0,0,0
SNORA75,0,0,2,2,2,2
RNU6-1008P,0,0,0,0,0,0
RNU6-48P,0,0,0,0,0,0
RNU6-1200P,0,0,0,0,0,0
RNU6-217P,0,0,0,0,0,0
RNU6-42P,0,0,0,0,0,0
RNU6-1124P,0,0,0,0,0,0
SNORA9B,0,1,2,1,2,2
RNU6-36P,0,0,0,0,0,0
RNU6-98P,0,0,0,0,0,0
SNORA24B,0,0,0,0,0,0
RNU6-1013P,0,0,0,0,0,0
RNU1-136P,0,0,0,0,0,0
SNORA70J,0,0,0,0,0,0
SNORA29,0,0,0,0,0,0
RNU6-439P,0,0,0,0,0,0
RNU1-52P,0,0,0,0,0,0
RNU6-1181P,0,0,0,0,0,0
RNY1P6,0,0,0,0,0,0
RNU6-481P,0,0,0,0,0,0
RNU6-80P,0,0,0,0,0,0
RNU6-432P,0,0,0,0,0,0
RNU6-689P,0,0,0,0,0,0
RNU6-1024P,0,0,0,0,0,0
RNU6-1042P,0,0,0,0,0,0
RNU6-514P,0,0,0,0,0,0
RNU4-52P,0,0,0,0,0,0
SNORA70B,0,0,0,0,0,0
RNU4-31P,0,0,0,0,0,0
RNU6-281P,0,0,0,0,0,0
SNORD15A,0,0,1,0,0,0
RNU6-708P,0,0,0,0,0,0
SNORA20B,0,0,0,0,0,0
SNORA36A,0,10,0,0,9,0
RNU6-1324P,0,0,0,0,0,0
RNU6-1201P,0,0,0,0,0,0
RNU6-793P,0,0,0,0,0,0
RNU6-74P,0,0,0,0,0,0
RNU6-675P,0,0,0,0,0,0
RNU6-1316P,0,0,0,0,0,0
RNU6-474P,0,0,0,0,0,0
RNU6-1145P,0,0,0,0,0,0
RNU6-1144P,0,0,0,0,0,0
SNORD61,0,0,0,0,0,0
RNU6-662P,0,0,0,0,0,0
RNU6-40P,0,0,0,0,0,0
RNU6-49P,0,0,0,0,0,0
RNU6-198P,0,0,0,0,0,0
SNORD63,0,0,0,0,0,0
RNU6-610P,0,0,0,0,0,0
RNU6-574P,0,0,0,0,0,0
RNU6-842P,0,0,0,0,0,0
RNU6-524P,0,0,0,0,0,0
RNU6-622P,0,0,0,0,0,0
RNU6-820P,0,0,0,0,0,0
SNORD116-2,0,0,0,0,0,0
RNU6-611P,0,0,0,0,0,0
RNU6-301P,0,0,0,0,0,0
RNU6-891P,0,0,0,0,0,0
RNU6-804P,0,0,0,0,0,0
SNORD116-3,0,0,0,0,0,0
SNORA36C,0,0,0,0,0,0
RNU6-167P,0,0,0,0,0,0
RNU6-975P,0,0,0,0,0,0
RNU6-472P,0,0,0,0,0,0
RNU6-43P,0,0,0,0,0,0
SNORD59A,0,0,0,0,0,0
RNU6-154P,0,0,0,0,0,0
RNY3P14,0,0,0,0,0,0
RNU6-339P,0,0,0,0,0,0
RNU6-196P,0,0,0,0,0,0
RNU6-1226P,0,0,0,0,0,0
RNU6-532P,0,0,0,0,0,0
RNU6-886P,0,0,0,0,0,0
SNORA27,0,0,0,0,0,0
RNU6-378P,0,0,0,0,0,0
RNU6-937P,0,0,0,0,0,0
RNU1-8P,0,0,0,0,0,0
RNU6-784P,0,0,0,0,0,0
RNU6-480P,0,0,0,0,0,0
SNORD116-1,0,0,0,0,0,0
RNU5A-2P,0,0,0,0,0,0
SNORA72,0,0,0,0,0,0
RNU6-463P,0,0,0,0,0,0
RNU6-39P,0,0,0,0,0,0
RNU6-1113P,0,0,0,0,0,0
RNU6-1119P,0,0,0,0,0,0
RNU6-616P,0,0,0,0,0,0
RNU6-171P,0,0,0,0,0,0
RNU6-22P,0,0,0,0,0,0
RNU6-242P,0,0,0,0,0,0
SNORA7B,0,0,0,1,0,0
RNU6-921P,0,0,0,0,0,0
RNU6-517P,0,0,0,0,0,0
SNORD116-8,0,0,0,0,0,0
RNU6-424P,0,0,0,0,0,0
RNU6-614P,0,0,0,0,0,0
RNU6-166P,0,0,0,0,0,0
RNU6-434P,0,0,0,0,0,0
SNORD38C,0,0,0,0,0,0
RNVU1-32,0,0,1,1,0,1
SNORA25,0,0,0,0,0,0
RNU6-16P,0,0,0,0,0,0
RNU6-348P,0,0,0,0,0,0
RNU6-364P,0,0,0,0,0,0
RNU6-31P,0,0,0,0,0,0
